pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,33314,11.4276,15.5484,50.276681,40.58537443316572,-8.461750112082896,13,0.0390,7,0.0210,60,0.1801,8,0.0240,22,0.0660,20,0.0600
747,0,33262,11.4098,19.0279,59.460507,40.58534250188295,-8.461684447196218,16,0.0481,4,0.0120,0,0.0000,3,0.0090,2,0.0060,0,0.0000
676,2629,33109,11.3573,16.4094,52.642753,40.58531444599001,-8.46169890804259,7,0.0211,5,0.0151,74,0.2235,0,0.0000,7,0.0211,7,0.0211
50,59,28299,9.7073,15.9832,51.254907,40.5869714740899,-8.46381298857656,9,0.0318,4,0.0141,48,0.1696,9,0.0318,7,0.0247,0,0.0000
574,0,16584,5.6888,15.4214,50.060765,40.585437112156875,-8.461790618718162,6,0.0362,4,0.0241,27,0.1628,4,0.0241,16,0.0965,2,0.0121
453,0,16526,5.6689,18.8827,59.254777,40.58548899082777,-8.461953368755056,10,0.0605,1,0.0061,34,0.2057,2,0.0121,1,0.0061,1,0.0061
194,1226,16385,5.6205,15.9137,51.451282,40.58552313073095,-8.461889483952337,1,0.0061,3,0.0183,29,0.1770,7,0.0427,6,0.0366,0,0.0000
25,598,14164,4.8586,15.6216,50.164723,40.587014936563854,-8.463855719476282,1,0.0071,3,0.0212,32,0.2259,4,0.0282,2,0.0141,5,0.0353
592,2168,8392,2.8787,15.5044,50.578061,40.58513009643586,-8.461369892808754,3,0.0357,1,0.0119,17,0.2026,1,0.0119,5,0.0596,1,0.0119
359,830,8252,2.8307,15.5944,49.863683,40.58528525602739,-8.461554107547252,2,0.0242,5,0.0606,119,1.4421,1,0.0121,3,0.0364,0,0.0000
915,0,2453,0.8414,16.8349,53.797163,40.585374698240464,-8.461545238611667,0,0.0000,1,0.0408,9,0.3669,1,0.0408,0,0.0000,1,0.0408
684,0,2183,0.7488,19.5131,60.007201,40.58378675284757,-8.45700548598379,0,0.0000,1,0.0458,1,0.0458,0,0.0000,0,0.0000,0,0.0000
155,1127,1900,0.6518,15.7474,50.988263,40.57937810582621,-8.453987161001791,2,0.1053,0,0.0000,1,0.0526,0,0.0000,0,0.0000,0,0.0000
41,157,1869,0.6411,20.3103,61.678732,40.585589321431314,-8.46289660237516,1,0.0535,0,0.0000,2,0.1070,0,0.0000,0,0.0000,0,0.0000
27,51,1860,0.6380,16.5258,51.980946,40.58661874256888,-8.463815056784911,2,0.1075,1,0.0538,1,0.0538,0,0.0000,2,0.1075,3,0.1613
37,55,1817,0.6233,16.1970,51.379031,40.58695694694223,-8.463136722288574,2,0.1101,0,0.0000,2,0.1101,0,0.0000,1,0.0550,0,0.0000
237,0,1793,0.6150,19.8410,60.469738,40.585435234237934,-8.461844409080985,0,0.0000,0,0.0000,6,0.3346,0,0.0000,0,0.0000,0,0.0000
285,0,1649,0.5657,15.9569,51.050449,40.588128073009756,-8.465899177525865,0,0.0000,0,0.0000,4,0.2426,1,0.0606,0,0.0000,0,0.0000
109,703,1608,0.5516,19.9465,61.703943,40.58741435928216,-8.463184861535135,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
35,0,1597,0.5478,19.8460,61.902248,40.58744583621735,-8.464776158530869,1,0.0626,0,0.0000,5,0.3131,1,0.0626,0,0.0000,0,0.0000
304,1469,1464,0.5022,16.6960,53.571653,40.578459949066776,-8.450927860311365,0,0.0000,0,0.0000,2,0.1366,0,0.0000,0,0.0000,0,0.0000
736,0,1424,0.4885,15.4691,50.438554,40.585961075471424,-8.462615232458086,0,0.0000,1,0.0702,2,0.1404,0,0.0000,0,0.0000,0,0.0000
333,0,1408,0.4830,17.4063,54.501179,40.58473621687282,-8.460741763805025,2,0.1420,0,0.0000,5,0.3551,0,0.0000,0,0.0000,0,0.0000
708,0,1294,0.4439,15.9799,51.464923,40.57403404473027,-8.450486986161021,1,0.0773,0,0.0000,6,0.4637,0,0.0000,0,0.0000,1,0.0773
702,0,1292,0.4432,19.3746,59.872694,40.58441530284259,-8.462665272691872,0,0.0000,0,0.0000,2,0.1548,0,0.0000,0,0.0000,0,0.0000
513,0,1290,0.4425,16.2341,52.063628,40.58203391403989,-8.455794793370558,1,0.0775,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
287,0,1203,0.4127,16.2153,52.498412,40.5829365836569,-8.45606636927799,0,0.0000,0,0.0000,6,0.4988,0,0.0000,1,0.0831,0,0.0000
216,1265,1188,0.4075,17.0160,52.744083,40.580495942725705,-8.463575131345094,1,0.0842,0,0.0000,1,0.0842,0,0.0000,3,0.2525,0,0.0000
273,625,1180,0.4048,16.1314,51.900314,40.58564365601372,-8.462498335642234,0,0.0000,0,0.0000,4,0.3390,1,0.0847,0,0.0000,0,0.0000
170,0,1102,0.3780,15.9846,50.276289,40.58646688883815,-8.463485146298968,0,0.0000,0,0.0000,2,0.1815,0,0.0000,0,0.0000,0,0.0000
585,587,1073,0.3681,17.2815,54.613243,40.58482334949614,-8.460893509030715,1,0.0932,0,0.0000,0,0.0000,0,0.0000,1,0.0932,0,0.0000
263,946,1055,0.3619,16.6739,52.695014,40.58510349648144,-8.461391165525523,0,0.0000,0,0.0000,15,1.4218,1,0.0948,2,0.1896,0,0.0000
158,1136,1025,0.3516,15.7502,50.5712,40.58477229817955,-8.46069242634743,0,0.0000,0,0.0000,2,0.1951,0,0.0000,0,0.0000,0,0.0000
921,0,1017,0.3489,15.9518,51.370964,40.58460923507711,-8.46073321526542,0,0.0000,0,0.0000,0,0.0000,2,0.1967,0,0.0000,0,0.0000
580,0,1015,0.3482,15.9773,50.390788,40.58179275050183,-8.454020956005426,0,0.0000,0,0.0000,0,0.0000,1,0.0985,0,0.0000,0,0.0000
16,0,995,0.3413,17.0251,52.982774,40.590750883141105,-8.470113721133833,0,0.0000,0,0.0000,0,0.0000,1,0.1005,0,0.0000,1,0.1005
265,0,992,0.3403,15.7026,50.336129,40.589430075649965,-8.468458665591097,0,0.0000,0,0.0000,0,0.0000,1,0.1008,1,0.1008,0,0.0000
152,1118,963,0.3303,15.1599,51.584216,40.585594566999426,-8.461874313969592,0,0.0000,1,0.1038,2,0.2077,1,0.1038,2,0.2077,0,0.0000
