pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,55559,19913.6201,33.77962689014607,1.1988169526906638,2.9996,7.5244,7.4830,7.5107,15.5426,50.040285,38.668621056302115,-9.175236798072286,20,0.0360,12,0.0216,104,0.1872,8,0.0144,25,0.0450,18,0.0324
747,0,55231,19796.0573,8.256398135989166,0.4023549161010973,3.0141,8.7834,8.7759,8.8035,18.7242,58.583995,38.66862743544532,-9.175260902772463,29,0.0525,6,0.0109,0,0.0000,4,0.0072,4,0.0072,0,0.0000
676,2629,54892,19674.5520,28.751334516281364,1.201073078651241,3.0028,7.8024,7.8185,7.7626,16.2501,51.963534,38.66856943182825,-9.175307225561854,19,0.0346,13,0.0237,103,0.1876,4,0.0073,7,0.0128,19,0.0346
50,59,38920,13949.8208,0.8204205525822961,0.20007989819042088,2.9968,7.9334,7.9047,7.9153,16.6012,52.785523,38.669125013555885,-9.1752613724174,9,0.0231,10,0.0257,66,0.1696,8,0.0206,7,0.0180,0,0.0000
574,0,27675,9919.3548,5.960981697356782,0.40156525815162236,3.0160,7.4886,7.4877,7.5373,15.5360,50.030385,38.66860179703746,-9.175455308562334,6,0.0217,6,0.0217,47,0.1698,17,0.0614,9,0.0325,8,0.0289
453,0,27547,9873.4767,23.6411924449524,0.7003904948840753,3.0001,8.7567,8.7774,8.8051,18.7512,58.531713,38.66864588878754,-9.175117541571689,19,0.0690,4,0.0145,52,0.1888,0,0.0000,2,0.0073,4,0.0145
194,1226,27123,9721.5054,8.729928047276092,0.41036848198550196,3.0010,7.9490,7.9072,7.9173,16.5075,52.830127,38.66863935355927,-9.17528740874002,14,0.0516,4,0.0147,54,0.1991,4,0.0147,9,0.0332,0,0.0000
25,598,19468,6977.7778,6.16223473285851,0.40060459107596924,3.0024,7.5160,7.5834,7.5314,15.5278,50.290609,38.66907865382606,-9.175325644402717,4,0.0205,2,0.0103,45,0.2311,3,0.0154,4,0.0205,13,0.0668
359,830,13799,4945.8781,48.336873915466136,1.2017853504439204,3.0014,7.5253,7.4919,7.5136,15.4589,50.068483,38.668710791738945,-9.175272987768414,3,0.0217,4,0.0290,215,1.5581,0,0.0000,3,0.0217,1,0.0072
592,2168,13793,4943.7276,33.74248760567439,1.2003720594067817,3.0027,7.5018,7.4513,7.4453,15.4544,49.774337,38.66850779002049,-9.175310151149755,3,0.0218,3,0.0218,21,0.1523,4,0.0290,6,0.0435,4,0.0290
