pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,63990,22935.4839,8.267687583224353,0.40237612540969425,3.0157,8.4779,8.4710,8.4906,17.9316,56.532377,40.423753442258786,-8.43030214128702,19,0.0297,10,0.0156,0,0.0000,6,0.0094,5,0.0078,0,0.0000
676,2629,63939,22917.2043,28.798119767818406,1.201488239989498,3.0016,8.1496,8.1570,8.1429,17.1984,54.332287,40.42375793627607,-8.430543408353149,20,0.0313,7,0.0109,132,0.2064,4,0.0063,8,0.0125,20,0.0313
592,2330,63776,22858.7814,33.90222968878126,1.2001977525604726,3.0006,7.5379,7.5166,7.5229,15.4665,50.172144,40.4236023607314,-8.43022638083061,9,0.0141,15,0.0235,132,0.2070,9,0.0141,22,0.0345,14,0.0220
50,59,51862,18588.5305,0.8240840888555232,0.20037059737847113,2.9992,7.8805,7.8856,7.8699,16.4132,52.524628,40.420373010632304,-8.428472396448415,13,0.0251,12,0.0231,101,0.1947,16,0.0309,9,0.0174,0,0.0000
453,0,31964,11456.6308,23.599801363024692,0.7002857477139521,3.0019,8.4460,8.4268,8.4474,17.9699,56.267267,40.42344489376711,-8.430261814883727,14,0.0438,2,0.0063,73,0.2284,3,0.0094,3,0.0094,3,0.0094
574,0,31850,11415.7706,5.976021420885289,0.4021150389243141,3.0165,7.5230,7.4587,7.4797,15.5061,49.914283,40.42309523205353,-8.429886472248388,3,0.0094,5,0.0157,62,0.1947,5,0.0157,7,0.0220,6,0.0188
194,1226,31824,11406.4516,8.724636811784237,0.4102683035485371,2.9990,7.8369,7.8555,7.9094,16.4891,52.448342,40.423246189196426,-8.430249900846421,11,0.0346,12,0.0377,55,0.1728,12,0.0377,5,0.0157,0,0.0000
25,598,26024,9327.5986,6.150115879423758,0.3997792360609609,2.9988,7.5104,7.4862,7.4866,15.4738,49.96243,40.42098432565855,-8.42880710897646,9,0.0346,5,0.0192,46,0.1768,9,0.0346,6,0.0231,14,0.0538
359,830,15949,5716.4875,48.16407448479028,1.1994494532737563,2.9998,7.5378,7.5265,7.5320,15.5303,50.213918,40.42428427211256,-8.43077415622619,4,0.0251,5,0.0313,244,1.5299,2,0.0125,3,0.0188,1,0.0063
592,2168,15852,5681.7204,33.69855750554624,1.1962180488937706,2.9982,7.4756,7.5133,7.5572,15.5425,50.10231,40.423670580979014,-8.430953454699466,5,0.0315,2,0.0126,33,0.2082,2,0.0126,11,0.0694,6,0.0379
915,0,5336,1912.5448,10.477918376361412,0.4998480630130961,3.0036,8.4209,8.4741,8.4526,17.7817,56.328098,40.4229217498853,-8.430003010985972,4,0.0750,1,0.0187,14,0.2624,1,0.0187,0,0.0000,2,0.0375
27,51,5124,1836.5591,12.279353177922093,0.599869134153632,2.9963,8.0468,7.9498,8.0521,16.6181,53.441782,40.44050504692164,-8.431877103944913,2,0.0390,0,0.0000,9,0.1756,1,0.0195,2,0.0390,3,0.0585
155,1127,4642,1663.7993,8.07441598911421,0.5095632689194863,3.0032,7.8494,7.9418,8.0123,16.5498,52.896808,40.42679575099023,-8.451326554768038,1,0.0215,0,0.0000,5,0.1077,0,0.0000,1,0.0215,1,0.0215
427,0,3779,1354.4803,5.658357078955268,0.40033636901248665,3.0069,8.3811,8.3316,8.3723,17.4025,55.744385,40.437947464797354,-8.43686393606521,3,0.0794,1,0.0265,10,0.2646,0,0.0000,3,0.0794,0,0.0000
661,0,3482,1248.0287,1.7501607924246028,0.30037287160587256,3.0014,8.3423,8.3110,8.3374,17.1008,55.535066,40.46725193720216,-8.42003572631174,2,0.0574,0,0.0000,5,0.1436,0,0.0000,3,0.0862,3,0.0862
