pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,65165,23190.3915,8.244071973438553,0.40204319006144384,3.0160,8.8985,8.8813,8.8913,18.9982,59.269241,40.637653203374875,-8.63916825079447,29,0.0445,4,0.0061,0,0.0000,2,0.0031,7,0.0107,0,0.0000
592,2330,64803,23061.5658,33.86100349458207,1.2000475216573792,3.0006,7.5520,7.5546,7.5410,15.6568,50.328062,40.637708910690556,-8.639274884068914,11,0.0170,14,0.0216,135,0.2083,12,0.0185,25,0.0386,12,0.0185
676,2629,64045,22791.8149,28.746776797304594,1.2003574492585503,2.9995,7.8890,7.8840,7.9296,16.5187,52.672337,40.63764416779323,-8.639227644142679,17,0.0265,11,0.0172,119,0.1858,2,0.0031,9,0.0141,17,0.0265
50,59,55147,19625.2669,0.8194513038019391,0.20000146987452425,2.9986,7.6616,7.7113,7.6957,16.0126,51.263481,40.63773424638152,-8.638631652536155,14,0.0254,16,0.0290,106,0.1922,18,0.0326,15,0.0272,0,0.0000
194,1226,32349,11512.0996,8.73312198530046,0.410152622656696,2.9976,7.7614,7.7069,7.7493,16.0592,51.594606,40.63768196496041,-8.639124663910776,13,0.0402,7,0.0216,68,0.2102,17,0.0526,6,0.0185,0,0.0000
453,0,32289,11490.7473,23.65836619756975,0.7011571886051441,3.0036,8.8919,8.8589,8.8325,18.9748,59.073973,40.637720605015005,-8.639281572321487,14,0.0434,3,0.0093,75,0.2323,3,0.0093,3,0.0093,4,0.0124
574,0,32101,11423.8434,5.968696644011902,0.40177767294585315,3.0141,7.5532,7.4965,7.4960,15.5631,50.101595,40.63761757383449,-8.639224737757688,6,0.0187,7,0.0218,47,0.1464,11,0.0343,10,0.0312,8,0.0249
25,598,27484,9780.7829,6.16697186773651,0.4002332696292598,3.0012,7.5158,7.5067,7.5466,15.5553,50.153405,40.63781067874548,-8.63842668962404,10,0.0364,7,0.0255,49,0.1783,4,0.0146,8,0.0291,22,0.0800
592,2168,16080,5722.4199,33.83279758977243,1.2008997445187175,3.0058,7.5396,7.5139,7.5238,15.6107,50.17149,40.637817282055224,-8.639015154366524,6,0.0373,7,0.0435,30,0.1866,3,0.0187,7,0.0435,4,0.0249
359,830,16077,5721.3523,47.98687718057149,1.1986027109022865,3.0007,7.5562,7.4835,7.4735,15.4614,50.029183,40.637656324405285,-8.638830258838055,7,0.0435,3,0.0187,262,1.6297,0,0.0000,2,0.0124,2,0.0124
109,703,6846,2436.2989,1.031656198340731,0.6024654191760276,3.0053,9.2699,9.3297,9.3032,19.9559,62.006324,40.63802827371752,-8.643607339181806,4,0.0584,0,0.0000,12,0.1753,0,0.0000,0,0.0000,10,0.1461
915,0,4879,1736.2989,10.571923718602076,0.501745668876308,3.0033,8.1818,8.0213,8.0838,17.4146,53.970945,40.63753337737495,-8.639420198036124,2,0.0410,0,0.0000,14,0.2869,1,0.0205,0,0.0000,2,0.0410
506,0,4293,1527.7580,4.165000137290755,0.39910473086825615,3.0016,8.1731,8.1959,8.1957,17.0319,54.588018,40.63661080637759,-8.640788861495233,1,0.0233,0,0.0000,8,0.1863,1,0.0233,0,0.0000,2,0.0466
37,55,3930,1398.5765,10.108879341745073,0.5998437019594156,3.0013,7.5720,7.7491,7.7715,15.9774,51.316942,40.638990941766494,-8.638315153803646,0,0.0000,0,0.0000,5,0.1272,2,0.0509,0,0.0000,0,0.0000
684,0,3899,1387.5445,3.6413884357252506,0.40221852343577247,3.0105,8.9641,8.9887,9.0695,19.0498,60.049567,40.63644660560097,-8.638526987741148,1,0.0256,0,0.0000,6,0.1539,0,0.0000,2,0.0513,1,0.0256
16,0,3566,1269.0391,1.8772583784514598,0.3027257080493349,3.0067,8.1556,8.1486,8.3194,17.3561,54.719308,40.63847814207538,-8.635537065354965,1,0.0280,0,0.0000,9,0.2524,1,0.0280,1,0.0280,1,0.0280
237,0,3434,1222.0641,49.00590267425857,1.395719314434075,2.9953,9.1331,9.0748,9.0914,19.7283,60.665254,40.63780531554957,-8.63896770708913,3,0.0874,0,0.0000,9,0.2621,0,0.0000,2,0.0582,3,0.0874
736,0,2917,1038.0783,4.514475661677615,0.399555042810051,3.0024,7.5698,7.5132,7.5002,15.6733,50.184772,40.63707702289193,-8.637902864238997,1,0.0343,0,0.0000,7,0.2400,1,0.0343,0,0.0000,1,0.0343
513,0,2896,1030.6050,11.282343667584941,0.5999630393760321,3.0028,7.9997,7.8981,7.8381,16.4472,52.746285,40.63705838807295,-8.639361898986223,0,0.0000,1,0.0345,6,0.2072,0,0.0000,0,0.0000,0,0.0000
333,0,2848,1013.5231,1.2426135257273934,0.4116862256679415,2.9982,7.9902,8.1099,8.1011,16.7985,53.780457,40.63650448121432,-8.645376417083163,0,0.0000,1,0.0351,7,0.2458,1,0.0351,1,0.0351,2,0.0702
155,1127,2841,1011.0320,8.060635431282613,0.5081447064561411,2.9965,7.6959,7.7511,7.7466,15.9447,51.541317,40.637958286543025,-8.643656843262507,0,0.0000,0,0.0000,9,0.3168,2,0.0704,1,0.0352,1,0.0352
731,0,2805,998.2206,1.229017115610704,0.29955362861324997,2.9879,8.1169,8.1348,8.1469,16.7102,54.219045,40.63691338364765,-8.636251014995077,0,0.0000,3,0.1070,0,0.0000,2,0.0713,1,0.0357,1,0.0357
273,625,2548,906.7616,4.144589672684903,0.5139350309224985,3.0067,7.8257,7.7834,7.6845,16.5903,51.763442,40.63817671803523,-8.638202112281979,2,0.0785,0,0.0000,8,0.3140,0,0.0000,0,0.0000,0,0.0000
702,0,2495,887.9004,2.2363084103027564,0.19890714930681014,2.9908,9.0309,9.0477,9.0116,19.2353,60.200349,40.636596467886335,-8.638723633153074,0,0.0000,0,0.0000,6,0.2405,0,0.0000,0,0.0000,0,0.0000
519,0,2456,874.0214,2.151033327245089,0.3002616307257438,2.9996,8.2785,8.0607,8.1515,17.5090,54.423681,40.640614658423665,-8.639553297472295,0,0.0000,1,0.0407,4,0.1629,2,0.0814,2,0.0814,0,0.0000
285,0,2330,829.1815,4.631684698113256,0.41001098521079393,3.0000,7.6721,7.6472,7.6236,15.9601,50.984301,40.63803958335488,-8.637169875126926,1,0.0429,1,0.0429,7,0.3004,4,0.1717,0,0.0000,0,0.0000
434,791,2266,806.4057,19.515427716306533,0.3983820377925488,2.9947,9.1399,9.1130,8.9440,19.7926,60.437414,40.63360063211256,-8.63641604699484,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
919,0,2195,781.1388,1.0237039433389155,0.19935890358102623,2.9913,7.6433,7.5677,7.6178,15.7267,50.73046,40.63726778904455,-8.6363308626361,2,0.0911,0,0.0000,0,0.0000,1,0.0456,0,0.0000,0,0.0000
265,0,2152,765.8363,3.666022676235032,0.2986918794683841,2.9930,7.5167,7.5730,7.5553,15.6055,50.322249,40.63700372041771,-8.63531335281946,0,0.0000,2,0.0929,2,0.0929,1,0.0465,1,0.0465,0,0.0000
585,587,2120,754.4484,19.88123103459978,0.5999122438806462,3.0009,8.0821,8.1627,8.2071,17.2146,54.33742,40.6379025556082,-8.638870098921414,0,0.0000,1,0.0472,0,0.0000,0,0.0000,0,0.0000,0,0.0000
152,1118,2063,734.1637,6.482711708031403,0.8837946488247066,2.9811,7.5279,7.5531,7.5390,15.9632,50.266636,40.63650216532997,-8.640203722076157,0,0.0000,0,0.0000,5,0.2424,0,0.0000,0,0.0000,0,0.0000
170,0,2039,725.6228,12.261577617665854,0.5092003447706496,2.9975,7.5586,7.6523,7.8107,16.0711,51.159073,40.637775165232156,-8.638942234831902,0,0.0000,0,0.0000,3,0.1471,1,0.0490,0,0.0000,0,0.0000
41,157,2014,716.7260,7.734420886401979,0.8008184580811204,3.0074,9.2150,9.2646,9.1569,19.8952,61.414459,40.63762002484425,-8.640259194147719,1,0.0497,0,0.0000,4,0.1986,0,0.0000,0,0.0000,0,0.0000
