"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"65165"	"11.2356"	"8.244071973438553000"	"0.402043190061443840"	"3.0160"	"8.8985"	"8.8813"	"8.8913"	"18.9982"	"59.269241"	"40.637653203374875000"	"-8.639168250794470000"	"29"	"0.0445"	"4"	"0.0061"	"0"	"0.0000"	"2"	"0.0031"	"7"	"0.0107"	"0"	"0.0000"
"592"	"2330"	"64803"	"11.1732"	"33.861003494582070000"	"1.200047521657379200"	"3.0006"	"7.5520"	"7.5546"	"7.5410"	"15.6568"	"50.328062"	"40.637708910690556000"	"-8.639274884068914000"	"11"	"0.0170"	"14"	"0.0216"	"135"	"0.2083"	"12"	"0.0185"	"25"	"0.0386"	"12"	"0.0185"
"676"	"2629"	"64045"	"11.0425"	"28.746776797304594000"	"1.200357449258550300"	"2.9995"	"7.8890"	"7.8840"	"7.9296"	"16.5187"	"52.672337"	"40.637644167793230000"	"-8.639227644142679000"	"17"	"0.0265"	"11"	"0.0172"	"119"	"0.1858"	"2"	"0.0031"	"9"	"0.0141"	"17"	"0.0265"
"50"	"59"	"55147"	"9.5083"	"0.819451303801939100"	"0.200001469874524250"	"2.9986"	"7.6616"	"7.7113"	"7.6957"	"16.0126"	"51.263481"	"40.637734246381520000"	"-8.638631652536155000"	"14"	"0.0254"	"16"	"0.0290"	"106"	"0.1922"	"18"	"0.0326"	"15"	"0.0272"	"0"	"0.0000"
"194"	"1226"	"32349"	"5.5776"	"8.733121985300460000"	"0.410152622656696000"	"2.9976"	"7.7614"	"7.7069"	"7.7493"	"16.0592"	"51.594606"	"40.637681964960410000"	"-8.639124663910776000"	"13"	"0.0402"	"7"	"0.0216"	"68"	"0.2102"	"17"	"0.0526"	"6"	"0.0185"	"0"	"0.0000"
"453"	"0"	"32289"	"5.5672"	"23.658366197569750000"	"0.701157188605144100"	"3.0036"	"8.8919"	"8.8589"	"8.8325"	"18.9748"	"59.073973"	"40.637720605015005000"	"-8.639281572321487000"	"14"	"0.0434"	"3"	"0.0093"	"75"	"0.2323"	"3"	"0.0093"	"3"	"0.0093"	"4"	"0.0124"
"574"	"0"	"32101"	"5.5348"	"5.968696644011902000"	"0.401777672945853150"	"3.0141"	"7.5532"	"7.4965"	"7.4960"	"15.5631"	"50.101595"	"40.637617573834490000"	"-8.639224737757688000"	"6"	"0.0187"	"7"	"0.0218"	"47"	"0.1464"	"11"	"0.0343"	"10"	"0.0312"	"8"	"0.0249"
"25"	"598"	"27484"	"4.7387"	"6.166971867736510000"	"0.400233269629259800"	"3.0012"	"7.5158"	"7.5067"	"7.5466"	"15.5553"	"50.153405"	"40.637810678745480000"	"-8.638426689624040000"	"10"	"0.0364"	"7"	"0.0255"	"49"	"0.1783"	"4"	"0.0146"	"8"	"0.0291"	"22"	"0.0800"
"592"	"2168"	"16080"	"2.7725"	"33.832797589772430000"	"1.200899744518717500"	"3.0058"	"7.5396"	"7.5139"	"7.5238"	"15.6107"	"50.171490"	"40.637817282055224000"	"-8.639015154366524000"	"6"	"0.0373"	"7"	"0.0435"	"30"	"0.1866"	"3"	"0.0187"	"7"	"0.0435"	"4"	"0.0249"
"359"	"830"	"16077"	"2.7720"	"47.986877180571490000"	"1.198602710902286500"	"3.0007"	"7.5562"	"7.4835"	"7.4735"	"15.4614"	"50.029183"	"40.637656324405285000"	"-8.638830258838055000"	"7"	"0.0435"	"3"	"0.0187"	"262"	"1.6297"	"0"	"0.0000"	"2"	"0.0124"	"2"	"0.0124"
