pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,39042,10.3971,18.9735,59.327038,40.62568632454351,-8.736378822309462,14,0.0359,3,0.0077,0,0.0000,2,0.0051,5,0.0128,0,0.0000
676,2629,38100,10.1463,16.5676,52.563476,40.62585923037218,-8.736314444748684,12,0.0315,9,0.0236,75,0.1969,2,0.0052,3,0.0079,12,0.0315
592,2330,38007,10.1215,15.6261,50.336982,40.6257187097817,-8.736453690607823,7,0.0184,12,0.0316,70,0.1842,6,0.0158,11,0.0289,11,0.0289
50,59,32839,8.7452,15.9589,51.390451,40.62542982959497,-8.736228941954291,8,0.0244,7,0.0213,52,0.1583,12,0.0365,7,0.0213,0,0.0000
574,0,19140,5.0971,15.5309,50.043762,40.62588278358866,-8.7363333571125,5,0.0261,1,0.0052,27,0.1411,7,0.0366,7,0.0366,4,0.0209
194,1226,19131,5.0947,16.1626,51.756004,40.62590490524553,-8.73641765060557,5,0.0261,4,0.0209,39,0.2039,8,0.0418,5,0.0261,0,0.0000
453,0,19004,5.0609,18.9283,58.72306,40.6256676355149,-8.736422511560198,9,0.0474,5,0.0263,45,0.2368,1,0.0053,0,0.0000,0,0.0000
25,598,16712,4.4505,15.6017,50.217509,40.62535190577997,-8.736059795579198,6,0.0359,1,0.0060,38,0.2274,3,0.0180,5,0.0299,13,0.0778
359,830,9688,2.5800,15.5338,50.122892,40.625942752544354,-8.736213213871018,5,0.0516,0,0.0000,158,1.6309,1,0.0103,1,0.0103,6,0.0619
592,2168,9416,2.5075,15.6768,50.252779,40.625679692081356,-8.73631974813704,6,0.0637,2,0.0212,18,0.1912,5,0.0531,11,0.1168,2,0.0212
13,616,4440,1.1824,19.0802,59.530487,40.62920485763464,-8.738752950062889,2,0.0450,0,0.0000,15,0.3378,4,0.0901,0,0.0000,1,0.0225
109,703,3836,1.0216,20.1280,62.241296,40.62753050104442,-8.738600252480607,2,0.0521,0,0.0000,9,0.2346,0,0.0000,0,0.0000,6,0.1564
915,0,2885,0.7683,17.0825,53.698323,40.62570864883714,-8.736231118585431,1,0.0347,0,0.0000,3,0.1040,3,0.1040,1,0.0347,1,0.0347
167,0,2853,0.7598,19.0582,60.951031,40.63122739796176,-8.7300260719934,2,0.0701,0,0.0000,9,0.3155,0,0.0000,1,0.0351,0,0.0000
261,1367,2370,0.6311,15.0030,49.812405,40.63123279289994,-8.741629621946768,2,0.0844,0,0.0000,1,0.0422,0,0.0000,3,0.1266,0,0.0000
37,55,2223,0.5920,16.0522,52.044746,40.62639474219126,-8.736637093358272,1,0.0450,0,0.0000,6,0.2699,0,0.0000,0,0.0000,0,0.0000
280,292,2082,0.5545,19.1446,59.797152,40.619825894329644,-8.73557942200806,1,0.0480,0,0.0000,2,0.0961,0,0.0000,0,0.0000,0,0.0000
237,0,2010,0.5353,19.3881,60.926612,40.62512901569859,-8.736334917134924,1,0.0498,0,0.0000,5,0.2488,0,0.0000,0,0.0000,1,0.0498
16,0,1990,0.5300,17.1553,54.926734,40.62229513134527,-8.733269081855093,0,0.0000,1,0.0503,7,0.3518,0,0.0000,0,0.0000,0,0.0000
731,0,1896,0.5049,17.1835,54.273286,40.62310148280717,-8.734548120145472,1,0.0527,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
265,0,1887,0.5025,15.9942,50.711881,40.63261427857189,-8.735762037962678,1,0.0530,0,0.0000,2,0.1060,1,0.0530,0,0.0000,0,0.0000
316,0,1794,0.4778,19.1800,60.038283,40.63111659094976,-8.740413779017043,2,0.1115,0,0.0000,3,0.1672,0,0.0000,1,0.0557,0,0.0000
133,0,1716,0.4570,16.9918,54.50014,40.63202821916376,-8.74135905221737,1,0.0583,0,0.0000,5,0.2914,0,0.0000,1,0.0583,3,0.1748
273,625,1635,0.4354,16.6165,51.703829,40.62874128272153,-8.73700644983552,0,0.0000,0,0.0000,3,0.1835,0,0.0000,0,0.0000,0,0.0000
179,646,1603,0.4269,15.3961,50.187898,40.63023472439444,-8.740604587902451,1,0.0624,2,0.1248,3,0.1871,1,0.0624,0,0.0000,0,0.0000
506,0,1561,0.4157,16.6528,54.574766,40.62442250536132,-8.73461977576148,1,0.0641,0,0.0000,4,0.2562,1,0.0641,0,0.0000,1,0.0641
919,0,1553,0.4136,16.0425,50.721932,40.62302910121965,-8.73458884214525,1,0.0644,1,0.0644,0,0.0000,0,0.0000,0,0.0000,1,0.0644
