pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,32346,11.3575,18.8694,58.992985,41.12639046440486,-8.647025327173958,19,0.0587,3,0.0093,0,0.0000,2,0.0062,2,0.0062,0,0.0000
676,2629,31054,10.9038,16.4262,52.575372,41.1263797666132,-8.646833400287811,13,0.0419,8,0.0258,60,0.1932,1,0.0032,6,0.0193,13,0.0419
592,2330,31040,10.8989,15.7557,50.856443,41.12644556034693,-8.646911817667805,5,0.0161,11,0.0354,49,0.1579,3,0.0097,11,0.0354,7,0.0226
50,59,28691,10.0741,16.1149,51.793865,41.12628829267822,-8.646797043997301,9,0.0314,2,0.0070,72,0.2509,8,0.0279,9,0.0314,0,0.0000
194,1226,15777,5.5397,16.4925,52.17256,41.12629981818363,-8.647151434476003,6,0.0380,3,0.0190,25,0.1585,5,0.0317,4,0.0254,0,0.0000
574,0,15621,5.4849,15.5363,50.099372,41.12644150926392,-8.646882588999981,2,0.0128,4,0.0256,39,0.2497,4,0.0256,5,0.0320,4,0.0256
453,0,15432,5.4186,18.6233,58.362993,41.126407243279615,-8.646788883800944,8,0.0518,2,0.0130,37,0.2398,3,0.0194,0,0.0000,3,0.0194
25,598,14669,5.1507,15.8031,50.34439,41.1262929444288,-8.646886490664498,7,0.0477,7,0.0477,29,0.1977,2,0.0136,2,0.0136,8,0.0545
592,2168,7826,2.7479,15.7084,50.802144,41.12634403442619,-8.647219177302201,5,0.0639,2,0.0256,16,0.2044,0,0.0000,8,0.1022,1,0.0128
359,830,7709,2.7068,15.4327,50.039075,41.12634124995463,-8.647063022407227,1,0.0130,1,0.0130,108,1.4010,1,0.0130,1,0.0130,4,0.0519
109,703,2567,0.9013,19.4277,61.233658,41.12582433499729,-8.648393055066412,1,0.0390,0,0.0000,9,0.3506,0,0.0000,0,0.0000,1,0.0390
915,0,2324,0.8160,17.1910,53.950998,41.126071685759506,-8.646478282015893,2,0.0861,1,0.0430,3,0.1291,0,0.0000,0,0.0000,1,0.0430
456,0,2153,0.7560,15.7682,50.730307,41.131351763179346,-8.657296763988716,1,0.0464,1,0.0464,4,0.1858,1,0.0464,1,0.0464,0,0.0000
