pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,82823,28757.9861,8.253913525671837,0.40221677591069976,3.0156,8.6986,8.7134,8.6804,18.5560,57.982974,38.69701882823366,-9.34124772638669,36,0.0435,6,0.0072,0,0.0000,14,0.0169,8,0.0097,0,0.0000
592,2330,78451,27239.9306,33.89656786521514,1.2006400517929658,3.0004,7.4815,7.5017,7.5030,15.5303,49.969478,38.696577165276864,-9.340661419909804,18,0.0229,14,0.0178,185,0.2358,25,0.0319,27,0.0344,15,0.0191
676,2629,78288,27183.3333,28.72783662388363,1.2001195269587568,3.0008,7.9123,7.9181,7.9200,16.5510,52.778749,38.69668928211595,-9.340682238537974,25,0.0319,15,0.0192,140,0.1788,4,0.0051,16,0.0204,25,0.0319
50,59,59107,20523.2639,0.8217475448227897,0.2002463843626507,3.0010,7.8674,7.8806,7.8773,16.3619,52.500637,38.695848154053124,-9.341928382062086,15,0.0254,11,0.0186,111,0.1878,13,0.0220,12,0.0203,0,0.0000
453,0,39441,13694.7917,23.59767939856345,0.7002535826806373,3.0013,8.6993,8.6957,8.7352,18.4981,58.067057,38.696639568605825,-9.340604317542137,14,0.0355,1,0.0025,64,0.1623,4,0.0101,6,0.0152,8,0.0203
574,0,39145,13592.0139,5.997716778147591,0.4023895237571236,3.0151,7.5067,7.5026,7.5046,15.4720,50.031009,38.6965159273552,-9.340616948064415,19,0.0485,6,0.0153,59,0.1507,9,0.0230,17,0.0434,7,0.0179
194,1226,38664,13425.0000,8.755007043891025,0.4109194594823188,3.0012,7.8611,7.8592,7.8730,16.3852,52.429659,38.69658498500175,-9.340789666552885,16,0.0414,11,0.0285,78,0.2017,10,0.0259,8,0.0207,0,0.0000
25,598,30088,10447.2222,6.156200765487656,0.40011739986897593,2.9997,7.5181,7.4927,7.5479,15.4606,50.130485,38.69577317690754,-9.341751343123654,10,0.0332,9,0.0299,44,0.1462,12,0.0399,7,0.0233,14,0.0465
359,830,19680,6833.3333,48.14783292871528,1.1992145309948135,2.9963,7.5227,7.5163,7.5198,15.4786,50.130645,38.69654233878128,-9.34070098775243,2,0.0102,6,0.0305,307,1.5600,0,0.0000,1,0.0051,3,0.0152
592,2168,19625,6814.2361,33.741334444908915,1.1987372641381417,2.9978,7.4642,7.4878,7.4756,15.4637,49.839067,38.69650923095004,-9.34082780876893,3,0.0153,1,0.0051,36,0.1834,4,0.0204,8,0.0408,3,0.0153
506,0,11952,4150.0000,4.217353865244941,0.4009932918720935,3.0026,7.9674,7.9866,7.9229,16.6043,53.059614,38.69898224907502,-9.323772550513082,6,0.0502,2,0.0167,17,0.1422,3,0.0251,4,0.0335,1,0.0084
109,703,8482,2945.1389,1.0230204743783284,0.6004316972408524,3.0024,9.1435,9.0579,9.1797,19.7560,60.846779,38.695242893310905,-9.340474745504077,6,0.0707,0,0.0000,13,0.1533,0,0.0000,2,0.0236,6,0.0707
915,0,6069,2107.2917,10.464184196016951,0.499951140994094,3.0023,8.1018,8.2140,8.0850,17.0829,54.224194,38.6968480166766,-9.340977042990446,1,0.0165,0,0.0000,8,0.1318,2,0.0330,0,0.0000,0,0.0000
684,0,5280,1833.3333,3.5847241190216446,0.4006667780981165,3.0032,8.8320,8.7544,8.7790,18.8188,58.589608,38.6973501612977,-9.339952114065566,1,0.0189,1,0.0189,13,0.2462,1,0.0189,1,0.0189,1,0.0189
237,0,3990,1385.4167,49.16289342474776,1.3994975419652944,2.9965,8.8855,9.0514,8.9286,19.2055,59.700887,38.696853228271664,-9.34061633905499,2,0.0501,0,0.0000,9,0.2256,1,0.0251,0,0.0000,2,0.0501
