pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,115350,40052.0833,8.246041659264044,0.40212508301734756,3.0162,8.7579,8.7693,8.7645,18.6752,58.42607,38.713513613396,-9.221978746896756,50,0.0433,11,0.0095,0,0.0000,14,0.0121,8,0.0069,0,0.0000
676,2629,114463,39744.0972,28.69010589725958,1.198976904764936,2.9980,7.8088,7.7998,7.7923,16.2780,52.001788,38.71353880682898,-9.221924449616647,28,0.0245,30,0.0262,237,0.2071,16,0.0140,24,0.0210,28,0.0245
592,2330,114366,39710.4167,33.8388526565238,1.1996777153916214,3.0003,7.5030,7.5004,7.5169,15.5359,50.045126,38.71341723170713,-9.222035826622875,31,0.0271,25,0.0219,269,0.2352,30,0.0262,53,0.0463,22,0.0192
50,59,93516,32470.8333,0.8220816153869355,0.20025871574968895,3.0008,7.9335,7.9495,7.9282,16.5451,52.913583,38.7137317957718,-9.222352777113123,31,0.0331,16,0.0171,167,0.1786,32,0.0342,18,0.0192,0,0.0000
574,0,57066,19814.5833,5.9813402462098795,0.402067741137877,3.0155,7.5043,7.4818,7.5301,15.5193,50.035913,38.71348044729557,-9.221984771402063,14,0.0245,12,0.0210,124,0.2173,14,0.0245,24,0.0421,13,0.0228
453,0,56946,19772.9167,23.592120430746398,0.7003098043896067,3.0002,8.7726,8.7409,8.7607,18.6653,58.387029,38.71345374492653,-9.221853024058914,27,0.0474,7,0.0123,99,0.1738,4,0.0070,4,0.0070,6,0.0105
194,1226,56290,19545.1389,8.717506288764065,0.4101624067735083,2.9997,7.9323,7.9373,7.9201,16.5383,52.865975,38.713557829196155,-9.221857624757218,16,0.0284,9,0.0160,119,0.2114,8,0.0142,16,0.0284,0,0.0000
25,598,47587,16523.2639,6.1704523599872285,0.40049612861977935,3.0018,7.5330,7.5474,7.4908,15.5003,50.158487,38.713730432377524,-9.22232834282134,13,0.0273,15,0.0315,100,0.2101,9,0.0189,13,0.0273,25,0.0525
592,2168,28615,9935.7639,33.830856050744764,1.1997144079903281,2.9986,7.4887,7.5024,7.4495,15.5237,49.86793,38.713411488469845,-9.22207349622231,5,0.0175,12,0.0419,46,0.1608,2,0.0070,11,0.0384,13,0.0454
359,830,28435,9873.2639,48.21616053551037,1.1998047730647536,3.0001,7.4980,7.4661,7.4824,15.4579,49.881182,38.71343007998396,-9.221973294153392,10,0.0352,5,0.0176,454,1.5966,4,0.0141,2,0.0070,13,0.0457
