pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,66776,22712.9252,8.250287240867538,0.40210034649955045,3.0162,8.6900,8.6920,8.6823,18.4917,57.920608,38.71071531634132,-9.425392297110676,26,0.0389,4,0.0060,0,0.0000,10,0.0150,11,0.0165,0,0.0000
592,2330,63243,21511.2245,33.82177765437242,1.1995782398254975,2.9980,7.5155,7.4738,7.4731,15.4730,49.916506,38.71029512866583,-9.425312149019685,16,0.0253,8,0.0126,130,0.2056,13,0.0206,27,0.0427,15,0.0237
676,2629,63033,21439.7959,28.84374225601294,1.202166998312999,3.0018,7.9236,7.8979,7.9088,16.5333,52.734174,38.710272048005145,-9.425436487007268,20,0.0317,13,0.0206,100,0.1586,4,0.0063,6,0.0095,20,0.0317
50,59,48821,16605.7823,0.8215058875166826,0.20012005366541571,3.0002,7.8476,7.9118,7.8754,16.4584,52.522011,38.70990055169817,-9.424512065996486,16,0.0328,11,0.0225,90,0.1843,15,0.0307,12,0.0246,0,0.0000
194,1226,31794,10814.2857,8.731982377155857,0.410508123839385,3.0020,7.9030,7.9546,7.9341,16.4528,52.870565,38.71032805293859,-9.425302904620322,16,0.0503,4,0.0126,60,0.1887,9,0.0283,7,0.0220,0,0.0000
574,0,31718,10788.4354,5.9708283361088625,0.4019934900459789,3.0168,7.4986,7.5226,7.5063,15.5052,50.061009,38.7102891202407,-9.425383361276086,11,0.0347,11,0.0347,61,0.1923,5,0.0158,16,0.0504,10,0.0315
453,0,31656,10767.3469,23.61145310842855,0.7001538327383294,2.9991,8.7052,8.7112,8.6991,18.4280,58.034415,38.710183321213506,-9.425359753478807,17,0.0537,5,0.0158,84,0.2654,5,0.0158,1,0.0032,2,0.0063
25,598,24688,8397.2789,6.146350900152655,0.3999735247547503,2.9995,7.4720,7.5072,7.5001,15.5068,49.953917,38.71008536198086,-9.424371318030166,4,0.0162,5,0.0203,50,0.2025,7,0.0284,11,0.0446,10,0.0405
592,2168,16039,5455.4422,33.90750900655567,1.2005104449403816,3.0001,7.4955,7.4297,7.4548,15.5377,49.73347,38.71011828991394,-9.42527539687015,4,0.0249,6,0.0374,24,0.1496,1,0.0062,11,0.0686,6,0.0374
359,830,15828,5383.6735,48.22309150254614,1.2005913180639838,2.9990,7.5061,7.4727,7.4590,15.3968,49.861709,38.71042640028813,-9.425111260201502,2,0.0126,5,0.0316,227,1.4342,2,0.0126,3,0.0190,3,0.0190
37,55,10610,3608.8435,10.19052279669711,0.6007716720678858,3.0053,7.9426,7.8357,7.8950,16.3850,52.607434,38.71241840790619,-9.426715749492681,2,0.0189,0,0.0000,12,0.1131,1,0.0094,1,0.0094,4,0.0377
109,703,5422,1844.2177,1.0253120991543108,0.601129575774934,3.0072,9.2885,9.2051,9.2554,19.8154,61.664443,38.706491501509454,-9.426675921959143,2,0.0369,0,0.0000,13,0.2398,0,0.0000,0,0.0000,1,0.0184
915,0,4842,1646.9388,10.462701856535476,0.5007363626483503,2.9977,8.1113,8.2309,8.1629,16.8967,54.455878,38.71042771375856,-9.425042447789732,1,0.0207,0,0.0000,6,0.1239,1,0.0207,1,0.0207,1,0.0207
155,1127,4668,1587.7551,8.134568821832033,0.5112651553000189,3.0015,7.8762,7.7599,7.8586,16.3873,52.210381,38.701519434436435,-9.423360741685682,2,0.0428,1,0.0214,10,0.2142,1,0.0214,3,0.0643,2,0.0428
27,51,3748,1274.8299,12.227303669882915,0.5973353356250263,3.0011,8.1219,8.0840,8.0987,16.7126,54.010467,38.707353044278626,-9.426628732190187,2,0.0534,0,0.0000,15,0.4002,0,0.0000,2,0.0534,0,0.0000
237,0,3239,1101.7007,49.61361326424934,1.4040133729324034,2.9975,8.8904,8.9753,8.9000,19.1287,59.479244,38.71034524768097,-9.425402568707243,3,0.0926,0,0.0000,3,0.0926,1,0.0309,0,0.0000,3,0.0926
108,0,2848,968.7075,68.06178747335177,1.205381298061,3.0056,7.9308,8.0874,8.0467,16.4775,53.477683,38.72885792655444,-9.43853316226953,2,0.0702,0,0.0000,45,1.5801,0,0.0000,4,0.1404,1,0.0351
513,0,2707,920.7483,11.313518345774343,0.6017577947507188,3.0048,7.9815,8.1001,8.1928,16.9150,53.943299,38.712521801314914,-9.425987169686307,0,0.0000,0,0.0000,3,0.1108,0,0.0000,0,0.0000,0,0.0000
285,0,2638,897.2789,4.620357966011657,0.41017434634423683,2.9947,7.8249,7.9530,7.8836,16.5057,52.58105,38.70773452626212,-9.428578879348507,0,0.0000,0,0.0000,3,0.1137,4,0.1516,0,0.0000,0,0.0000
228,229,2607,886.7347,11.066816607333712,0.6101858761514518,2.9950,7.7614,7.9252,7.8903,16.4258,52.393207,38.70887483430101,-9.414314800261986,1,0.0384,0,0.0000,2,0.0767,0,0.0000,0,0.0000,1,0.0384
684,0,2541,864.2857,3.6256808229201423,0.4015591327658319,2.9972,8.8650,8.6521,8.7812,18.9622,58.440716,38.71436379991768,-9.425998278212615,0,0.0000,0,0.0000,7,0.2755,0,0.0000,1,0.0394,0,0.0000
273,625,2511,854.0816,4.142639070666069,0.5129687309407789,3.0012,8.0713,8.0155,8.0151,16.9379,53.559889,38.710319702296296,-9.425067525035885,1,0.0398,1,0.0398,5,0.1991,2,0.0796,0,0.0000,1,0.0398
333,0,2440,829.9320,1.23562953205936,0.411232021916084,2.9959,8.2533,8.3225,8.1852,17.1168,55.024623,38.71068800822934,-9.426455004295958,2,0.0820,0,0.0000,4,0.1639,1,0.0410,0,0.0000,1,0.0410
41,157,2409,819.3878,7.663114804878132,0.7988064687199591,2.9963,9.2271,9.3466,9.1528,19.7090,61.614351,38.70895118359766,-9.424096735848412,0,0.0000,0,0.0000,8,0.3321,0,0.0000,0,0.0000,0,0.0000
585,587,2333,793.5374,20.168137782501116,0.6027392952824625,3.0017,8.4196,8.3026,8.4668,17.6472,55.975598,38.7107473415609,-9.426609926479728,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
304,1469,2320,789.1156,62.38242018418572,0.412146559031801,2.9991,7.8073,7.8276,7.7629,16.4509,51.995134,38.71088128907273,-9.427407054738072,0,0.0000,0,0.0000,2,0.0862,1,0.0431,0,0.0000,0,0.0000
519,0,2236,760.5442,2.1379544680526243,0.29953996419586437,3.0004,8.1784,8.1673,8.2786,17.7581,54.72072,38.71179276684328,-9.422781768454481,0,0.0000,0,0.0000,3,0.1342,0,0.0000,1,0.0447,3,0.1342
35,0,2083,708.5034,7.746000407581082,0.6018702642195395,3.0048,9.3442,9.1109,9.2429,20.1123,61.551085,38.71044970890291,-9.422259225835347,2,0.0960,0,0.0000,3,0.1440,1,0.0480,0,0.0000,0,0.0000
170,0,2049,696.9388,12.191194567376492,0.5098585964125746,3.0029,7.6164,7.4817,7.5774,15.3909,50.389781,38.70925795230548,-9.424448277729304,0,0.0000,0,0.0000,1,0.0488,1,0.0488,1,0.0488,0,0.0000
263,946,2027,689.4558,17.95228253398505,0.3998768905116023,2.9985,8.0158,8.0143,7.6325,16.6650,52.583478,38.710058999529025,-9.425782735124342,0,0.0000,0,0.0000,32,1.5787,0,0.0000,0,0.0000,0,0.0000
921,0,1982,674.1497,2.5866461497563287,0.30199819349135937,3.0081,7.5449,7.4914,7.5308,15.5035,50.149077,38.710732924130305,-9.425049914726808,0,0.0000,0,0.0000,0,0.0000,2,0.1009,0,0.0000,0,0.0000
736,0,1965,668.3673,4.466178768979381,0.39786999810287976,2.9929,7.5959,7.4392,7.4107,15.4275,49.879491,38.71245020893373,-9.426728801062911,0,0.0000,0,0.0000,2,0.1018,0,0.0000,1,0.0509,0,0.0000
158,1136,1844,627.2109,9.75267215507288,0.6093206000567388,2.9957,7.5613,7.5033,7.4572,15.6811,50.048178,38.70961364936342,-9.422348046031075,0,0.0000,0,0.0000,2,0.1085,1,0.0542,0,0.0000,1,0.0542
590,0,1797,611.2245,1.0213285354471364,0.19982432314071913,2.9967,9.2131,9.2270,9.2549,20.0729,61.54448,38.710292401813426,-9.424817476303451,0,0.0000,0,0.0000,3,0.1669,0,0.0000,0,0.0000,0,0.0000
133,0,1749,594.8980,6.689102842226061,0.30041598116409335,3.0074,7.9914,7.9623,8.0955,16.8067,53.442699,38.701637734139084,-9.425799797619485,0,0.0000,0,0.0000,4,0.2287,0,0.0000,1,0.0572,1,0.0572
702,0,1725,586.7347,2.269322651818403,0.20071715134230037,3.0035,8.8510,8.6788,8.7287,18.6336,58.352383,38.71057809093528,-9.424404186681548,1,0.0580,0,0.0000,3,0.1739,0,0.0000,0,0.0000,0,0.0000
427,0,1712,582.3129,5.704709546145189,0.4009619493414127,2.9912,7.9901,8.0181,8.0152,16.6706,53.385222,38.71370067948928,-9.431140844430145,0,0.0000,0,0.0000,2,0.1168,1,0.0584,0,0.0000,1,0.0584
152,1118,1703,579.2517,6.456605117566445,0.8846866243551759,2.9876,7.8961,7.9877,7.9530,16.3940,52.97054,38.71008523578399,-9.425209397396898,1,0.0587,0,0.0000,2,0.1174,1,0.0587,1,0.0587,0,0.0000
661,0,1659,564.2857,1.7327772266690675,0.2984311279307379,2.9940,8.1917,8.1712,8.0121,17.0012,54.166492,38.71017468824752,-9.413787466113748,2,0.1206,0,0.0000,3,0.1808,0,0.0000,2,0.1206,2,0.1206
316,0,1646,559.8639,10.597339833999463,0.41181005718568986,3.0109,8.7230,9.0553,8.8062,19.7084,59.076616,38.71036109208101,-9.424737007661243,2,0.1215,0,0.0000,4,0.2430,0,0.0000,0,0.0000,0,0.0000
506,0,1631,554.7619,4.188492064168848,0.3995018785076638,3.0080,8.1067,8.2134,8.1343,16.9669,54.342986,38.71246865119149,-9.429687869169115,2,0.1226,0,0.0000,1,0.0613,0,0.0000,1,0.0613,0,0.0000
265,0,1559,530.2721,3.65938080377958,0.29797144660474095,3.0006,7.4189,7.5536,7.6536,15.9019,50.280193,38.72189367419916,-9.442571316875476,0,0.0000,0,0.0000,3,0.1924,2,0.1283,0,0.0000,0,0.0000
278,0,1530,520.4082,9.64833306782849,0.608422601998749,3.0000,7.5131,7.2359,7.3366,15.2627,49.07917,38.70037709828473,-9.431103964584873,1,0.0654,0,0.0000,3,0.1961,1,0.0654,0,0.0000,2,0.1307
527,0,1522,517.6871,2.178786098368858,0.40213398011891466,2.9967,7.3962,7.5335,7.4612,15.9685,49.757549,38.715644277664126,-9.431294346307487,0,0.0000,0,0.0000,1,0.0657,0,0.0000,1,0.0657,0,0.0000
557,0,1475,501.7007,14.961438380045221,0.30093612887587423,3.0041,7.8725,7.8759,7.9797,16.6637,52.729173,38.7072927385268,-9.42390313973094,0,0.0000,0,0.0000,3,0.2034,0,0.0000,0,0.0000,0,0.0000
580,0,1469,499.6599,5.725458995847676,0.5041540220927965,3.0116,7.6317,7.3880,7.5609,15.4854,50.179374,38.711278647197446,-9.42540166525307,2,0.1361,3,0.2042,0,0.0000,0,0.0000,0,0.0000,2,0.1361
92,0,1460,496.5986,0.10191600277177894,1.29594399884139,2.9973,8.9363,9.0753,8.8692,18.5932,59.735165,38.707785131877756,-9.42517079792152,1,0.0685,0,0.0000,2,0.1370,0,0.0000,0,0.0000,0,0.0000
338,0,1408,478.9116,160.67217525332848,1.200150003297473,3.0021,8.2365,8.4453,8.5277,17.5547,56.021115,38.71059051223528,-9.425556671806921,0,0.0000,0,0.0000,3,0.2131,0,0.0000,0,0.0000,0,0.0000
287,0,1376,468.0272,24.79984664726396,0.7921278816539534,3.0007,7.9578,7.8278,7.8794,16.4121,52.588859,38.70642767939568,-9.439502485785425,0,0.0000,0,0.0000,6,0.4360,0,0.0000,0,0.0000,0,0.0000
29,776,1334,453.7415,7.160825395530449,0.39984498191443224,3.0053,8.9895,9.0262,8.8403,18.9835,59.680038,38.70882882444242,-9.428761649823779,0,0.0000,0,0.0000,3,0.2249,0,0.0000,0,0.0000,0,0.0000
539,0,1291,439.1156,51.603232382988175,1.3903251049868166,2.9930,8.9868,8.8838,8.9558,19.3431,59.61433,38.71191999408511,-9.425002960439583,1,0.0775,0,0.0000,3,0.2324,0,0.0000,0,0.0000,0,0.0000
554,2063,1283,436.3946,38.58043121044567,0.6015689641027875,3.0047,7.8846,7.7085,7.8613,16.0811,52.120935,38.711608188130825,-9.426476648978545,0,0.0000,3,0.2338,1,0.0779,1,0.0779,1,0.0779,0,0.0000
261,1367,1250,425.1701,13.979803254286704,0.5111372543089271,3.0040,7.2960,7.4560,7.5440,15.6752,49.546712,38.70642501325016,-9.42907527867631,0,0.0000,0,0.0000,0,0.0000,2,0.1600,0,0.0000,0,0.0000
52,63,1241,422.1088,4.307678129397609,0.40011208895623973,3.0024,7.8912,7.8751,7.9331,16.3199,52.665375,38.71098453653705,-9.420005349806988,0,0.0000,1,0.0806,0,0.0000,0,0.0000,0,0.0000,0,0.0000
431,0,1234,419.7279,3.955452211436854,0.497550296981646,3.0008,8.3088,8.0624,7.8590,16.9287,53.84466,38.71287874558851,-9.428640734925871,0,0.0000,0,0.0000,3,0.2431,0,0.0000,0,0.0000,0,0.0000
16,0,1225,416.6667,1.8377527916674712,0.29946643448605836,3.0024,8.2596,8.3420,8.1584,16.8180,55.022237,38.70889880978906,-9.431185918458,0,0.0000,1,0.0816,0,0.0000,1,0.0816,0,0.0000,1,0.0816
274,628,1210,411.5646,28.870742400224543,0.9926457035640055,2.9901,8.1174,8.0198,8.3140,16.9884,54.336132,38.710333448147935,-9.426826756467841,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
13,616,1181,401.7007,3.3443177943760616,0.30272881532755064,3.0076,8.8180,8.7815,8.8273,18.7578,58.72619,38.71164781280403,-9.42749907640163,1,0.0847,0,0.0000,5,0.4234,1,0.0847,0,0.0000,0,0.0000
906,0,1170,397.9592,4.20456727080194,0.39961503781920943,2.9991,8.2436,8.0709,8.0940,16.8274,54.241368,38.70940166785253,-9.426123745799488,1,0.0855,0,0.0000,0,0.0000,1,0.0855,0,0.0000,0,0.0000
909,0,1147,390.1361,10.1307315968802,0.40073276530064594,3.0052,8.0724,8.1072,8.1770,17.4141,54.125754,38.71037663140362,-9.425092574450117,1,0.0872,2,0.1744,0,0.0000,0,0.0000,0,0.0000,0,0.0000
456,0,1079,367.0068,7.217957268287609,0.40167492406930017,2.9954,7.4208,7.4699,7.4597,15.5144,49.667331,38.71215856034046,-9.418825980794015,0,0.0000,0,0.0000,1,0.0927,0,0.0000,0,0.0000,0,0.0000
753,0,1048,356.4626,1.5209833966903532,0.29749781352921006,2.9722,8.2758,8.5124,8.6107,17.8101,56.441889,38.710086155963516,-9.429815913228678,0,0.0000,0,0.0000,1,0.0954,0,0.0000,0,0.0000,0,0.0000
912,0,1026,348.9796,6.234559461881872,0.5000019128638087,2.9951,7.4737,7.5604,7.4581,15.8080,49.982505,38.71007644019744,-9.424107663369869,2,0.1949,0,0.0000,0,0.0000,1,0.0975,0,0.0000,0,0.0000
777,0,1016,345.5782,3.3824155675366594,0.3000421772743094,2.9951,7.7776,7.6122,7.3789,15.6230,50.597126,38.711495256590176,-9.427494778667205,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
613,2231,1013,344.5578,8.71581109282289,0.501707394947284,3.0000,7.7799,7.1885,7.5183,15.5706,49.970316,38.71015050469921,-9.425069226636047,2,0.1974,0,0.0000,7,0.6910,0,0.0000,0,0.0000,1,0.0987
220,1277,993,337.7551,6.700464687121263,0.4117129158630861,2.9980,7.9094,7.9436,7.9849,16.5297,52.973072,38.710145219511574,-9.425628607998341,0,0.0000,1,0.1007,2,0.2014,0,0.0000,0,0.0000,1,0.1007
761,0,956,325.1701,3.2981244812461092,0.30006755953995984,3.0021,7.9592,8.2720,8.1046,16.7782,54.07954,38.70949064109872,-9.425989223476211,2,0.2092,0,0.0000,0,0.0000,1,0.1046,0,0.0000,0,0.0000
58,280,955,324.8299,19.380485532171438,0.7014014401360956,3.0073,8.1246,8.0565,8.0838,17.0545,53.922178,38.712549759548594,-9.42489125596296,0,0.0000,0,0.0000,1,0.1047,0,0.0000,0,0.0000,0,0.0000
179,646,954,324.4898,8.152540641126823,0.6135992629984325,3.0095,7.5797,7.6237,7.6184,15.9958,50.715105,38.70917678941665,-9.423692352337751,1,0.1048,0,0.0000,0,0.0000,0,0.0000,1,0.1048,0,0.0000
32,776,948,322.4490,9.205874723768789,0.498845022812942,2.9937,9.2226,8.9789,8.8956,18.9768,60.215696,38.714380974774194,-9.422914413859965,2,0.2110,1,0.1055,4,0.4219,0,0.0000,0,0.0000,0,0.0000
434,791,939,319.3878,19.66501159535937,0.39932168440950816,2.9872,9.4473,9.3546,9.2790,20.0224,62.402109,38.71295281137257,-9.426918121927596,1,0.1065,0,0.0000,0,0.0000,1,0.1065,0,0.0000,0,0.0000
122,1080,921,313.2653,55.597450038897485,1.2980577429265074,2.9935,9.0543,8.8447,9.0879,19.1053,59.971021,38.711110278837445,-9.429783183427398,0,0.0000,0,0.0000,2,0.2172,0,0.0000,0,0.0000,1,0.1086
