pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,84486,11.5657,17.8507,56.242786,40.204263849337785,-8.413887013944002,24,0.0284,17,0.0201,0,0.0000,8,0.0095,8,0.0095,0,0.0000
676,2629,84332,11.5446,17.2431,54.717049,40.204173700561604,-8.413809927801365,32,0.0379,15,0.0178,160,0.1897,1,0.0012,11,0.0130,32,0.0379
592,2330,84310,11.5416,15.5171,50.20634,40.20420882499904,-8.41381799212627,23,0.0273,19,0.0225,145,0.1720,15,0.0178,43,0.0510,22,0.0261
50,59,70589,9.6632,16.3570,52.301034,40.204778560134976,-8.413415012654214,27,0.0382,21,0.0297,126,0.1785,26,0.0368,10,0.0142,0,0.0000
453,0,42023,5.7527,17.8473,56.271209,40.20423530557742,-8.413811431877582,14,0.0333,8,0.0190,87,0.2070,1,0.0024,8,0.0190,5,0.0119
574,0,41955,5.7434,15.4541,49.945097,40.20424922438259,-8.413813369170139,7,0.0167,11,0.0262,85,0.2026,12,0.0286,16,0.0381,8,0.0191
194,1226,41807,5.7231,16.3701,52.263538,40.20422284753355,-8.413867318482444,10,0.0239,11,0.0263,83,0.1985,8,0.0191,6,0.0144,0,0.0000
25,598,35231,4.8229,15.5329,50.053345,40.204806384909155,-8.41342249815507,11,0.0312,6,0.0170,69,0.1959,5,0.0142,6,0.0170,20,0.0568
359,830,21312,2.9175,15.5576,49.992172,40.20421512681769,-8.413966434576441,8,0.0375,7,0.0328,341,1.6000,1,0.0047,2,0.0094,9,0.0422
592,2168,20894,2.8603,15.5947,50.091464,40.20422244229815,-8.413913641374652,6,0.0287,8,0.0383,37,0.1771,3,0.0144,12,0.0574,7,0.0335
915,0,7199,0.9855,18.0550,56.894661,40.20395895789161,-8.413967743854368,4,0.0556,1,0.0139,17,0.2361,2,0.0278,0,0.0000,2,0.0278
27,51,5382,0.7368,16.8926,53.391975,40.20427445020065,-8.413445876369321,0,0.0000,2,0.0372,13,0.2415,3,0.0557,1,0.0186,1,0.0186
37,55,5341,0.7312,16.3552,52.266963,40.203125223300034,-8.412229769546544,2,0.0374,2,0.0374,10,0.1872,1,0.0187,1,0.0187,1,0.0187
702,0,4601,0.6299,18.0596,56.863528,40.2018256766349,-8.422131090592188,1,0.0217,1,0.0217,10,0.2173,1,0.0217,0,0.0000,0,0.0000
304,1469,4342,0.5944,17.2462,55.513581,40.20351593071244,-8.41380167843942,4,0.0921,0,0.0000,11,0.2533,0,0.0000,4,0.0921,1,0.0230
41,157,4102,0.5615,19.1799,59.177643,40.2054248147184,-8.41339834812252,2,0.0488,0,0.0000,7,0.1706,0,0.0000,0,0.0000,0,0.0000
519,0,4080,0.5585,17.4140,55.107794,40.20415067785467,-8.418109727818768,3,0.0735,0,0.0000,5,0.1225,2,0.0490,0,0.0000,0,0.0000
684,0,4078,0.5583,18.4421,57.783796,40.20530446301202,-8.41606229423481,1,0.0245,1,0.0245,6,0.1471,1,0.0245,1,0.0245,1,0.0245
333,0,4037,0.5526,17.8189,55.617778,40.20441345354114,-8.414120008820174,2,0.0495,1,0.0248,8,0.1982,1,0.0248,0,0.0000,0,0.0000
513,0,3964,0.5426,16.7868,53.726292,40.20433641607974,-8.41465141167675,3,0.0757,2,0.0505,6,0.1514,0,0.0000,0,0.0000,3,0.0757
35,0,3884,0.5317,19.0821,59.328818,40.20498374816449,-8.413669086208984,0,0.0000,0,0.0000,7,0.1802,2,0.0515,1,0.0257,0,0.0000
237,0,3876,0.5306,18.5924,58.299482,40.204159379946645,-8.413605596870223,2,0.0516,1,0.0258,4,0.1032,1,0.0258,1,0.0258,2,0.0516
285,0,3626,0.4964,16.3673,52.178136,40.201562982889435,-8.414261474588894,2,0.0552,1,0.0276,5,0.1379,2,0.0552,1,0.0276,1,0.0276
767,0,3380,0.4627,15.1962,49.520039,40.20535488676115,-8.420715481805823,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0296,1,0.0296
109,703,3321,0.4546,19.2776,60.556059,40.20563865328582,-8.414335405172318,1,0.0301,0,0.0000,4,0.1204,0,0.0000,1,0.0301,2,0.0602
158,1136,3221,0.4409,15.3126,49.896194,40.20226675987249,-8.413547006232756,0,0.0000,0,0.0000,3,0.0931,0,0.0000,0,0.0000,1,0.0310
273,625,3203,0.4385,16.7908,54.279666,40.204946159451445,-8.41439451770831,2,0.0624,0,0.0000,3,0.0937,2,0.0624,0,0.0000,0,0.0000
13,616,3096,0.4238,18.0491,57.060643,40.20234221640877,-8.419087641736247,1,0.0323,1,0.0323,5,0.1615,1,0.0323,0,0.0000,0,0.0000
736,0,3084,0.4222,15.4861,50.796232,40.20342528795131,-8.413444134424521,0,0.0000,1,0.0324,4,0.1297,1,0.0324,1,0.0324,0,0.0000
585,587,2868,0.3926,18.0105,56.309463,40.20392633285921,-8.413457756916696,3,0.1046,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
52,63,2611,0.3574,17.2378,54.215105,40.20415840650472,-8.407991964407612,0,0.0000,0,0.0000,8,0.3064,2,0.0766,0,0.0000,0,0.0000
921,0,2609,0.3572,15.7620,50.258563,40.20395011343291,-8.413954098967805,0,0.0000,0,0.0000,0,0.0000,1,0.0383,2,0.0767,1,0.0383
