pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,49232,17274.3860,8.271069825237722,0.40255697238528965,3.0155,8.7891,8.7591,8.7562,18.7095,58.454219,41.005857098027725,-8.634232647489743,24,0.0487,4,0.0081,0,0.0000,5,0.0102,3,0.0061,0,0.0000
592,2330,49171,17252.9825,33.88392841357423,1.2009017868387086,3.0005,7.5416,7.5615,7.5433,15.5672,50.32536,41.005904759296044,-8.634216214993636,9,0.0183,9,0.0183,102,0.2074,10,0.0203,15,0.0305,11,0.0224
676,2629,49085,17222.8070,28.690322285984934,1.1993049168852434,2.9993,8.0492,8.0352,8.0076,16.8786,53.537836,41.005850653189086,-8.634225076491228,16,0.0326,10,0.0204,87,0.1772,1,0.0020,4,0.0081,16,0.0326
50,59,46447,16297.1930,0.8199621200780347,0.200006584341239,2.9982,7.6704,7.7180,7.6839,15.9765,51.271905,41.00599616264091,-8.634043732411788,16,0.0344,11,0.0237,92,0.1981,8,0.0172,12,0.0258,0,0.0000
194,1226,24763,8688.7719,8.694963382155853,0.4095309748372858,2.9994,7.7327,7.7100,7.7192,16.1177,51.470877,41.0059634764005,-8.634222882706812,8,0.0323,11,0.0444,50,0.2019,5,0.0202,7,0.0283,0,0.0000
453,0,24487,8591.9298,23.668799177997084,0.7010222479837973,3.0003,8.7277,8.7305,8.7046,18.4831,58.13943,41.00593768933912,-8.63418990265691,14,0.0572,6,0.0245,45,0.1838,4,0.0163,0,0.0000,2,0.0082
574,0,24383,8555.4386,5.9729299960860365,0.40185182108058803,3.0136,7.5103,7.4665,7.5159,15.5712,49.983558,41.00586032887461,-8.634130092799003,5,0.0205,5,0.0205,46,0.1887,6,0.0246,12,0.0492,5,0.0205
25,598,23361,8196.8421,6.160996413565223,0.4003797619858586,3.0033,7.5614,7.5411,7.5590,15.5019,50.359046,41.00610187153019,-8.634012951105035,9,0.0385,8,0.0342,56,0.2397,6,0.0257,1,0.0043,12,0.0514
359,830,12477,4377.8947,48.36531484014204,1.2014451519733025,3.0007,7.4289,7.4235,7.4518,15.5047,49.564958,41.00589765584042,-8.634225299287564,1,0.0080,5,0.0401,211,1.6911,0,0.0000,0,0.0000,3,0.0240
592,2168,12217,4286.6667,33.81637612712515,1.1998360376742547,2.9995,7.5897,7.5308,7.5708,15.5275,50.424987,41.00582468039225,-8.634089923310876,4,0.0327,2,0.0164,15,0.1228,1,0.0082,4,0.0327,0,0.0000
