pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,44741,11.5594,15.4914,50.168571,38.57169792517705,-7.912076134300367,10,0.0224,9,0.0201,69,0.1542,11,0.0246,16,0.0358,12,0.0268
747,0,44663,11.5392,16.5486,53.018279,38.57173444524063,-7.912068978915965,14,0.0313,5,0.0112,0,0.0000,8,0.0179,8,0.0179,0,0.0000
676,2629,44484,11.4930,16.2333,51.930347,38.5716297417163,-7.912040703571402,11,0.0247,11,0.0247,84,0.1888,2,0.0045,7,0.0157,11,0.0247
50,59,37353,9.6506,18.6172,58.403057,38.57177689072,-7.911179402645158,23,0.0616,5,0.0134,72,0.1928,5,0.0134,3,0.0080,0,0.0000
574,0,22474,5.8064,15.5388,50.025496,38.571669142015445,-7.912101828038407,9,0.0400,4,0.0178,51,0.2269,5,0.0222,10,0.0445,5,0.0222
453,0,22281,5.7566,16.6551,53.003903,38.57174025798452,-7.912050101679162,5,0.0224,4,0.0180,53,0.2379,5,0.0224,3,0.0135,3,0.0135
194,1226,22259,5.7509,18.6896,58.64695,38.571657189508876,-7.912048150370574,12,0.0539,2,0.0090,45,0.2022,5,0.0225,0,0.0000,0,0.0000
25,598,19021,4.9143,15.5388,49.988022,38.571859967708974,-7.910978399945694,6,0.0315,7,0.0368,34,0.1787,8,0.0421,1,0.0053,13,0.0683
359,830,11466,2.9624,15.4949,49.910804,38.571730879789875,-7.912030817569671,1,0.0087,7,0.0611,162,1.4129,2,0.0174,3,0.0262,2,0.0174
592,2168,10998,2.8415,15.4357,50.154001,38.57165164349383,-7.912122465286987,1,0.0091,1,0.0091,21,0.1909,1,0.0091,2,0.0182,3,0.0273
915,0,3134,0.8097,16.6688,52.715013,38.571662390764025,-7.912029031943623,2,0.0638,4,0.1276,7,0.2234,0,0.0000,0,0.0000,0,0.0000
