pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,3097953,634826.4344,18.5230,58.066077,1361,0.0439,296,0.0096,0,0.0000,320,0.0103,297,0.0096,0,0.0000
592,2330,3058101,626660.0410,15.6780,50.495939,775,0.0253,725,0.0237,6048,0.1978,581,0.0190,1295,0.0423,760,0.0249
676,2629,3049212,624838.5246,16.4238,52.434284,903,0.0296,586,0.0192,5913,0.1939,157,0.0051,510,0.0167,903,0.0296
50,59,2461069,504317.4180,16.4002,52.417906,779,0.0317,462,0.0188,4629,0.1881,724,0.0294,459,0.0187,0,0.0000
574,0,1528784,313275.4098,15.6521,50.424495,421,0.0275,360,0.0235,2934,0.1919,468,0.0306,631,0.0413,354,0.0232
453,0,1525616,312626.2295,18.3344,57.56602,700,0.0459,180,0.0118,2976,0.1951,172,0.0113,117,0.0077,177,0.0116
194,1226,1517533,310969.8770,16.5956,52.868667,517,0.0341,315,0.0208,2932,0.1932,362,0.0239,277,0.0183,0,0.0000
25,598,1237404,253566.3934,15.6729,50.463535,330,0.0267,305,0.0246,2363,0.1910,304,0.0246,266,0.0215,655,0.0529
359,830,766117,156991.1885,15.5052,49.97887,192,0.0251,202,0.0264,11928,1.5569,78,0.0102,128,0.0167,194,0.0253
592,2168,763419,156438.3197,15.6707,50.457835,189,0.0248,186,0.0244,1447,0.1895,146,0.0191,347,0.0455,215,0.0282
109,703,247279,50671.9262,19.6309,60.972869,122,0.0493,7,0.0028,467,0.1889,9,0.0036,9,0.0036,154,0.0623
915,0,226750,46465.1639,16.9301,53.755672,91,0.0401,38,0.0168,430,0.1896,61,0.0269,25,0.0110,46,0.0203
37,55,180233,36932.9918,16.3887,52.331531,52,0.0289,29,0.0161,321,0.1781,40,0.0222,31,0.0172,53,0.0294
27,51,152516,31253.2787,16.9501,53.894021,51,0.0334,25,0.0164,322,0.2111,23,0.0151,65,0.0426,33,0.0216
684,0,152220,31192.6230,18.6893,58.480056,66,0.0434,16,0.0105,290,0.1905,17,0.0112,15,0.0099,66,0.0434
237,0,150527,30845.6967,19.0779,59.427597,62,0.0412,11,0.0073,307,0.2040,3,0.0020,13,0.0086,62,0.0412
285,0,131785,27005.1230,16.3671,52.340335,37,0.0281,23,0.0175,243,0.1844,53,0.0402,23,0.0175,24,0.0182
41,157,131489,26944.4672,19.5384,60.909342,75,0.0570,6,0.0046,267,0.2031,19,0.0144,8,0.0061,2,0.0015
513,0,129711,26580.1230,17.0374,54.171629,32,0.0247,25,0.0193,236,0.1819,16,0.0123,16,0.0123,25,0.0193
506,0,127685,26164.9590,16.7628,53.509908,58,0.0454,16,0.0125,256,0.2005,32,0.0251,46,0.0360,26,0.0204
273,625,124688,25550.8197,16.8754,53.869023,46,0.0369,21,0.0168,232,0.1861,53,0.0425,13,0.0104,19,0.0152
333,0,123644,25336.8852,17.2259,54.641328,56,0.0453,19,0.0154,233,0.1884,32,0.0259,27,0.0218,17,0.0137
158,1136,119074,24400.4098,15.6872,50.464492,26,0.0218,19,0.0160,231,0.1940,36,0.0302,49,0.0412,29,0.0244
585,587,115687,23706.3525,17.3295,54.91728,43,0.0372,17,0.0147,0,0.0000,16,0.0138,21,0.0182,14,0.0121
155,1127,113923,23344.8770,16.3404,52.259413,38,0.0334,12,0.0105,205,0.1799,30,0.0263,33,0.0290,20,0.0176
736,0,113674,23293.8525,15.8474,50.776476,39,0.0343,35,0.0308,215,0.1891,32,0.0282,41,0.0361,27,0.0238
35,0,111995,22949.7951,19.6065,60.918852,59,0.0527,5,0.0045,210,0.1875,7,0.0063,4,0.0036,4,0.0036
304,1469,109181,22373.1557,16.5029,52.60429,50,0.0458,17,0.0156,204,0.1868,22,0.0202,81,0.0742,32,0.0293
152,1118,103033,21113.3197,16.3443,52.195778,39,0.0379,25,0.0243,200,0.1941,35,0.0340,73,0.0709,19,0.0184
170,0,101872,20875.4098,15.9781,51.357022,37,0.0363,24,0.0236,189,0.1855,39,0.0383,22,0.0216,37,0.0363
921,0,98773,20240.3689,15.8547,50.779126,26,0.0263,20,0.0202,0,0.0000,25,0.0253,64,0.0648,15,0.0152
702,0,97161,19910.0410,18.7881,58.771404,46,0.0473,6,0.0062,208,0.2141,3,0.0031,6,0.0062,0,0.0000
590,0,96057,19683.8115,19.6544,61.061216,48,0.0500,2,0.0021,197,0.2051,5,0.0052,4,0.0042,48,0.0500
263,946,96034,19679.0984,16.4445,52.551272,30,0.0312,13,0.0135,1520,1.5828,50,0.0521,40,0.0417,21,0.0219
519,0,94843,19435.0410,17.1507,54.265248,32,0.0337,19,0.0200,195,0.2056,23,0.0243,25,0.0264,16,0.0169
427,0,93009,19059.2213,16.7489,53.379384,24,0.0258,18,0.0194,173,0.1860,28,0.0301,41,0.0441,10,0.0108
16,0,90842,18615.1639,17.0581,54.20523,29,0.0319,9,0.0099,188,0.2070,33,0.0363,26,0.0286,45,0.0495
527,0,77978,15979.0984,15.7973,50.574869,21,0.0269,22,0.0282,159,0.2039,25,0.0321,17,0.0218,0,0.0000
396,1658,77045,15787.9098,16.5730,52.770205,26,0.0337,13,0.0169,139,0.1804,26,0.0337,39,0.0506,25,0.0324
753,0,76243,15623.5656,17.3850,54.96109,41,0.0538,12,0.0157,172,0.2256,11,0.0144,13,0.0171,17,0.0223
265,0,76159,15606.3525,15.7726,50.631793,14,0.0184,13,0.0171,133,0.1746,24,0.0315,16,0.0210,0,0.0000
434,791,75579,15487.5000,19.1727,59.658077,49,0.0648,8,0.0106,0,0.0000,9,0.0119,4,0.0053,4,0.0053
13,616,75349,15440.3689,18.8115,58.877108,37,0.0491,9,0.0119,152,0.2017,70,0.0929,7,0.0093,6,0.0080
261,1367,75263,15422.7459,15.4523,50.020341,16,0.0213,14,0.0186,154,0.2046,20,0.0266,19,0.0252,0,0.0000
316,0,74504,15267.2131,18.9509,59.237824,36,0.0483,7,0.0094,154,0.2067,3,0.0040,4,0.0054,0,0.0000
580,0,73817,15126.4344,16.0575,51.549968,17,0.0230,18,0.0244,0,0.0000,20,0.0271,16,0.0217,17,0.0230
133,0,66417,13610.0410,16.6203,53.093497,16,0.0241,14,0.0211,146,0.2198,27,0.0407,63,0.0949,86,0.1295
557,0,66295,13585.0410,16.9632,53.749391,17,0.0256,12,0.0181,124,0.1870,8,0.0121,7,0.0106,7,0.0106
431,0,63995,13113.7295,16.8900,53.870625,13,0.0203,12,0.0188,131,0.2047,12,0.0188,6,0.0094,0,0.0000
29,776,63677,13048.5656,18.8454,58.984502,28,0.0440,3,0.0047,126,0.1979,7,0.0110,33,0.0518,4,0.0063
163,0,62948,12899.1803,16.7161,53.30972,20,0.0318,8,0.0127,141,0.2240,12,0.0191,8,0.0127,0,0.0000
52,63,60366,12370.0820,16.4217,52.545702,17,0.0282,9,0.0149,121,0.2004,19,0.0315,9,0.0149,0,0.0000
287,0,59183,12127.6639,16.6315,52.972358,21,0.0355,7,0.0118,109,0.1842,16,0.0270,18,0.0304,8,0.0135
167,0,58650,12018.4426,19.2012,59.877967,21,0.0358,2,0.0034,114,0.1944,5,0.0085,4,0.0068,0,0.0000
539,0,58474,11982.3770,19.1041,59.336623,25,0.0428,4,0.0068,111,0.1898,2,0.0034,2,0.0034,7,0.0120
554,2063,58355,11957.9918,16.4006,52.460678,17,0.0291,16,0.0274,114,0.1954,12,0.0206,18,0.0308,10,0.0171
767,0,57545,11792.0082,15.6939,50.234793,18,0.0313,11,0.0191,0,0.0000,22,0.0382,5,0.0087,14,0.0243
32,776,57472,11777.0492,18.9498,59.069051,32,0.0557,6,0.0104,137,0.2384,5,0.0087,24,0.0418,3,0.0052
58,280,56965,11673.1557,17.0587,54.270168,18,0.0316,10,0.0176,104,0.1826,5,0.0088,22,0.0386,14,0.0246
909,0,56934,11666.8033,16.8943,53.736909,15,0.0263,13,0.0228,0,0.0000,15,0.0263,16,0.0281,6,0.0105
906,0,56479,11573.5656,16.9066,53.854229,21,0.0372,6,0.0106,0,0.0000,15,0.0266,19,0.0336,11,0.0195
274,628,56278,11532.3770,16.9719,53.956886,14,0.0249,11,0.0195,0,0.0000,5,0.0089,8,0.0142,3,0.0053
731,0,55606,11394.6721,17.1195,54.359917,25,0.0450,8,0.0144,0,0.0000,13,0.0234,18,0.0324,11,0.0198
661,0,55569,11387.0902,16.9170,53.886916,28,0.0504,9,0.0162,97,0.1746,15,0.0270,30,0.0540,42,0.0756
100,2728,55083,11287.5000,16.5851,52.976624,15,0.0272,7,0.0127,0,0.0000,11,0.0200,10,0.0182,34,0.0617
919,0,54795,11228.4836,15.7554,50.616112,15,0.0274,12,0.0219,0,0.0000,4,0.0073,1,0.0018,9,0.0164
216,1265,54468,11161.4754,16.7137,53.088465,22,0.0404,19,0.0349,116,0.2130,9,0.0165,34,0.0624,13,0.0239
84,0,52830,10825.8197,16.9196,53.767768,16,0.0303,6,0.0114,94,0.1779,9,0.0170,4,0.0076,16,0.0303
92,0,52471,10752.2541,19.1318,59.649487,27,0.0515,5,0.0095,105,0.2001,6,0.0114,9,0.0172,7,0.0133
179,646,51692,10592.6230,15.7922,50.673941,17,0.0329,20,0.0387,103,0.1993,20,0.0387,26,0.0503,22,0.0426
777,0,50208,10288.5246,15.6410,50.238099,12,0.0239,8,0.0159,0,0.0000,11,0.0219,14,0.0279,12,0.0239
912,0,49980,10241.8033,15.7213,50.737676,10,0.0200,9,0.0180,0,0.0000,11,0.0220,16,0.0320,15,0.0300
338,0,49768,10198.3607,17.3490,54.815985,19,0.0382,8,0.0161,104,0.2090,2,0.0040,3,0.0060,21,0.0422
761,0,47840,9803.2787,16.4412,52.377452,10,0.0209,14,0.0293,0,0.0000,21,0.0439,1,0.0021,11,0.0230
613,2231,47796,9794.2623,15.4110,50.15104,12,0.0251,16,0.0335,93,0.1946,10,0.0209,12,0.0251,13,0.0272
220,1277,47702,9775.0000,16.4346,52.423675,16,0.0335,11,0.0231,95,0.1992,16,0.0335,10,0.0210,25,0.0524
122,1080,47607,9755.5328,19.1777,59.666294,24,0.0504,4,0.0084,103,0.2164,1,0.0021,0,0.0000,38,0.0798
203,0,47551,9744.0574,16.9298,53.807863,10,0.0210,11,0.0231,95,0.1998,3,0.0063,8,0.0168,0,0.0000
667,0,42875,8785.8607,18.3229,57.498374,18,0.0420,6,0.0140,76,0.1773,4,0.0093,20,0.0466,4,0.0093
353,908,42134,8634.0164,15.5236,50.010615,8,0.0190,7,0.0166,76,0.1804,11,0.0261,19,0.0451,21,0.0498
48,259,41920,8590.1639,19.1301,59.435066,20,0.0477,3,0.0072,88,0.2099,3,0.0072,2,0.0048,20,0.0477
111,846,41856,8577.0492,17.7881,56.071262,16,0.0382,1,0.0024,93,0.2222,8,0.0191,6,0.0143,7,0.0167
307,0,41773,8560.0410,19.1415,59.57154,21,0.0503,2,0.0048,97,0.2322,6,0.0144,37,0.0886,1,0.0024
228,229,41118,8425.8197,16.4472,52.493166,23,0.0559,8,0.0195,72,0.1751,2,0.0049,14,0.0340,8,0.0195
176,0,40864,8373.7705,18.3756,57.656079,14,0.0343,3,0.0073,87,0.2129,0,0.0000,9,0.0220,9,0.0220
309,1484,40271,8252.2541,15.7590,50.753127,11,0.0273,4,0.0099,84,0.2086,11,0.0273,18,0.0447,20,0.0497
38,57,38896,7970.4918,16.4522,52.422029,11,0.0283,10,0.0257,0,0.0000,4,0.0103,10,0.0257,10,0.0257
108,0,38696,7929.5082,16.6151,52.999017,15,0.0388,6,0.0155,572,1.4782,5,0.0129,20,0.0517,6,0.0155
280,292,38110,7809.4262,18.7978,59.070481,24,0.0630,1,0.0026,65,0.1706,3,0.0079,8,0.0210,6,0.0157
110,706,37360,7655.7377,19.9029,61.384544,18,0.0482,0,0.0000,0,0.0000,0,0.0000,0,0.0000,23,0.0616
618,2345,36714,7523.3607,16.4789,52.387409,11,0.0300,7,0.0191,567,1.5444,1,0.0027,7,0.0191,11,0.0300
548,0,36646,7509.4262,18.3025,57.590045,20,0.0546,5,0.0136,61,0.1665,7,0.0191,4,0.0109,0,0.0000
456,0,36545,7488.7295,15.6604,50.511246,7,0.0192,15,0.0410,75,0.2052,9,0.0246,7,0.0192,0,0.0000
19,45,36517,7482.9918,16.8121,53.484665,13,0.0356,8,0.0219,81,0.2218,8,0.0219,9,0.0246,0,0.0000
190,1214,35250,7223.3607,16.6480,53.024361,15,0.0426,6,0.0170,58,0.1645,11,0.0312,12,0.0340,6,0.0170
278,0,35055,7183.4016,15.7300,50.470845,11,0.0314,8,0.0228,82,0.2339,12,0.0342,4,0.0114,18,0.0513
74,67,33485,6861.6803,18.2347,57.174325,17,0.0508,2,0.0060,72,0.2150,3,0.0090,26,0.0776,3,0.0090
559,0,33245,6812.5000,18.3831,57.658212,15,0.0451,7,0.0211,63,0.1895,2,0.0060,18,0.0541,9,0.0271
616,0,32826,6726.6393,15.6642,50.416342,6,0.0183,11,0.0335,58,0.1767,6,0.0183,3,0.0091,5,0.0152
524,0,32416,6642.6230,16.8918,53.493866,8,0.0247,8,0.0247,57,0.1758,7,0.0216,12,0.0370,4,0.0123
454,0,32248,6608.1967,19.5675,60.819437,17,0.0527,1,0.0031,0,0.0000,2,0.0062,1,0.0031,2,0.0062
234,941,32170,6592.2131,16.8865,53.972428,13,0.0404,5,0.0155,48,0.1492,3,0.0093,4,0.0124,13,0.0404
708,0,30216,6191.8033,16.2976,52.225082,13,0.0430,7,0.0232,59,0.1953,3,0.0099,3,0.0099,13,0.0430
588,0,29485,6042.0082,15.7526,50.515558,4,0.0136,9,0.0305,67,0.2272,5,0.0170,3,0.0102,5,0.0170
602,0,28928,5927.8689,18.1110,56.746093,15,0.0519,2,0.0069,0,0.0000,5,0.0173,11,0.0380,4,0.0138
275,631,28002,5738.1148,17.0137,53.937565,10,0.0357,6,0.0214,0,0.0000,1,0.0036,2,0.0071,5,0.0179
751,0,27752,5686.8852,15.8722,50.582052,6,0.0216,7,0.0252,59,0.2126,15,0.0541,4,0.0144,0,0.0000
81,655,27222,5578.2787,15.7763,50.577075,9,0.0331,7,0.0257,44,0.1616,8,0.0294,15,0.0551,5,0.0184
204,1244,25332,5190.9836,15.8607,50.902233,10,0.0395,6,0.0237,421,1.6619,7,0.0276,2,0.0079,9,0.0355
171,0,25036,5130.3279,15.9899,51.436775,6,0.0240,5,0.0200,0,0.0000,2,0.0080,3,0.0120,6,0.0240
296,1451,24525,5025.6148,19.0210,59.648529,7,0.0285,3,0.0122,58,0.2365,5,0.0204,4,0.0163,0,0.0000
432,0,24042,4926.6393,16.5344,52.549075,6,0.0250,6,0.0250,0,0.0000,1,0.0042,5,0.0208,0,0.0000
195,1229,23969,4911.6803,16.5949,53.021247,6,0.0250,4,0.0167,0,0.0000,0,0.0000,4,0.0167,0,0.0000
603,0,23966,4911.0656,15.7424,50.561331,7,0.0292,8,0.0334,0,0.0000,2,0.0083,9,0.0376,8,0.0334
739,0,23928,4903.2787,18.3132,57.541099,6,0.0251,5,0.0209,0,0.0000,4,0.0167,13,0.0543,1,0.0042
741,2679,23523,4820.2869,17.0550,54.801023,10,0.0425,5,0.0213,0,0.0000,1,0.0043,4,0.0170,11,0.0468
42,160,22969,4706.7623,19.9175,61.801167,11,0.0479,1,0.0044,0,0.0000,1,0.0044,1,0.0044,0,0.0000
328,746,22497,4610.0410,18.1894,57.342476,9,0.0400,4,0.0178,40,0.1778,1,0.0044,11,0.0489,3,0.0133
421,94,22416,4593.4426,15.6040,50.272012,6,0.0268,5,0.0223,0,0.0000,0,0.0000,7,0.0312,0,0.0000
159,1139,21687,4444.0574,15.6206,50.60934,4,0.0184,4,0.0184,0,0.0000,3,0.0138,8,0.0369,7,0.0323
156,1130,21645,4435.4508,16.2988,52.388406,4,0.0185,4,0.0185,0,0.0000,5,0.0231,2,0.0092,1,0.0046
153,1121,21324,4369.6721,16.3029,52.29567,12,0.0563,7,0.0328,0,0.0000,7,0.0328,4,0.0188,4,0.0188
529,0,21307,4366.1885,16.8521,53.407707,8,0.0375,1,0.0047,40,0.1877,5,0.0235,12,0.0563,1,0.0047
28,53,20710,4243.8525,17.1420,54.234712,5,0.0241,2,0.0097,0,0.0000,1,0.0048,1,0.0048,6,0.0290
218,0,20396,4179.5082,17.5777,55.412532,5,0.0245,1,0.0049,48,0.2353,1,0.0049,4,0.0196,0,0.0000
520,0,19277,3950.2049,17.2388,54.679782,5,0.0259,6,0.0311,0,0.0000,4,0.0208,10,0.0519,1,0.0052
30,779,19001,3893.6475,19.1153,59.471377,10,0.0526,0,0.0000,0,0.0000,2,0.0105,13,0.0684,0,0.0000
605,0,18978,3888.9344,15.7021,50.466972,8,0.0422,3,0.0158,30,0.1581,4,0.0211,9,0.0474,3,0.0158
33,785,18961,3885.4508,19.1122,59.667016,8,0.0422,1,0.0053,0,0.0000,0,0.0000,8,0.0422,0,0.0000
185,0,18847,3862.0902,16.3025,52.421404,4,0.0212,3,0.0159,36,0.1910,0,0.0000,0,0.0000,4,0.0212
