pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,25923,10246.2451,8.259283429169793,0.40239811299502043,3.0127,8.8180,8.8360,8.7809,18.8432,58.74423,41.0262384567339,-8.574433370015985,13,0.0501,0,0.0000,0,0.0000,1,0.0039,1,0.0039,0,0.0000
592,2330,25587,10113.4387,33.85199939772733,1.2006972501718383,3.0013,7.5876,7.5835,7.5296,15.7151,50.445838,41.02622817940407,-8.574560151609072,7,0.0274,4,0.0156,63,0.2462,5,0.0195,13,0.0508,11,0.0430
676,2629,25554,10100.3953,28.72423750101244,1.199781816712388,2.9997,7.9462,7.9413,7.9731,16.6086,53.023657,41.02617850089821,-8.574590370938198,5,0.0196,6,0.0235,49,0.1918,2,0.0078,6,0.0235,5,0.0196
50,59,24587,9718.1818,0.8229767559613302,0.20039843670025284,3.0025,7.6927,7.7559,7.7434,16.0729,51.537812,41.02614648003431,-8.574352701182331,9,0.0366,6,0.0244,46,0.1871,10,0.0407,2,0.0081,0,0.0000
574,0,12936,5113.0435,6.001531233403996,0.4026279430145291,3.0155,7.5367,7.5015,7.5121,15.5530,50.111978,41.02631457138013,-8.57456214273074,1,0.0077,3,0.0232,23,0.1778,1,0.0077,5,0.0387,5,0.0387
194,1226,12905,5100.7905,8.732637811725692,0.4106204505240611,3.0010,7.8045,7.7586,7.8139,16.2444,51.949032,41.0262044480257,-8.574592869464201,2,0.0155,4,0.0310,26,0.2015,4,0.0310,2,0.0155,0,0.0000
453,0,12777,5050.1976,23.56267043489102,0.6995052501218686,2.9992,8.6292,8.6833,8.7506,18.5407,57.918156,41.026259650376616,-8.57452152188002,11,0.0861,0,0.0000,19,0.1487,1,0.0078,0,0.0000,3,0.0235
25,598,12332,4874.3083,6.1535804849764455,0.4000685268742985,3.0020,7.6563,7.5808,7.5253,15.6083,50.582939,41.026112948076126,-8.574335576096889,2,0.0162,1,0.0081,29,0.2352,3,0.0243,4,0.0324,5,0.0405
592,2168,6460,2553.3597,33.784135113854894,1.1990878134320027,3.0017,7.4997,7.6272,7.4800,15.6514,50.237735,41.02631756288361,-8.574894553374657,1,0.0155,3,0.0464,14,0.2167,2,0.0310,2,0.0310,1,0.0155
359,830,6327,2500.7905,48.50586776834404,1.202769147447118,2.9962,7.5073,7.5318,7.5021,15.8114,50.091892,41.026133855123454,-8.574808709230346,2,0.0316,7,0.1106,94,1.4857,0,0.0000,1,0.0158,1,0.0158
