pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,52118,19161.0294,8.243801023408947,0.4020193416626692,3.0148,8.9078,8.9161,8.9165,18.9893,59.423155,40.60110668310864,-8.662760775977361,27,0.0518,5,0.0096,0,0.0000,3,0.0058,5,0.0096,0,0.0000
676,2629,51404,18898.5294,28.698973553138302,1.199017740658232,2.9971,7.9013,7.8870,7.8909,16.5173,52.620598,40.60102309340115,-8.662745736151445,14,0.0272,7,0.0136,102,0.1984,4,0.0078,6,0.0117,14,0.0272
592,2330,51099,18786.3971,33.93479855762917,1.2014681083207512,3.0013,7.5069,7.5176,7.5400,15.5990,50.143337,40.60094235830335,-8.66274191706324,13,0.0254,11,0.0215,86,0.1683,9,0.0176,18,0.0352,14,0.0274
50,59,45081,16573.8971,0.8234653500990061,0.20044145307434347,3.0006,7.6930,7.7389,7.6984,15.9218,51.400772,40.60080333616107,-8.661942407392615,12,0.0266,10,0.0222,78,0.1730,12,0.0266,5,0.0111,0,0.0000
574,0,25881,9515.0735,5.98301419562305,0.40239065306508515,3.0146,7.4996,7.4297,7.5172,15.4896,49.880985,40.60102509435355,-8.662664882794727,7,0.0270,11,0.0425,49,0.1893,16,0.0618,6,0.0232,5,0.0193
453,0,25523,9383.4559,23.610607904441977,0.7004307463539741,2.9993,8.8895,8.8665,8.8871,18.9828,59.20693,40.601046902787616,-8.662686425905378,18,0.0705,5,0.0196,46,0.1802,1,0.0039,1,0.0039,1,0.0039
194,1226,25447,9355.5147,8.697222013484193,0.409745577350581,2.9994,7.7059,7.7360,7.7312,16.1184,51.49562,40.60116075697096,-8.662556375158786,9,0.0354,12,0.0472,48,0.1886,4,0.0157,7,0.0275,0,0.0000
25,598,22546,8288.9706,6.179472064396052,0.4005003888008784,2.9981,7.5175,7.5272,7.5619,15.4375,50.236787,40.6008147645123,-8.661851585655679,2,0.0089,5,0.0222,49,0.2173,10,0.0444,8,0.0355,7,0.0310
359,830,12920,4750.0000,48.166277143559036,1.1990548963607308,2.9997,7.4728,7.4286,7.4807,15.5872,49.738154,40.601051213545034,-8.662630780554224,8,0.0619,2,0.0155,205,1.5867,0,0.0000,1,0.0077,4,0.0310
592,2168,12785,4700.3676,33.979514310618235,1.2028739684813181,3.0028,7.4765,7.5393,7.5222,15.5190,50.084401,40.60095018223469,-8.662607495869908,3,0.0235,2,0.0156,34,0.2659,2,0.0156,4,0.0313,7,0.0548
109,703,3925,1443.0147,1.034586649886362,0.6023488591051406,2.9985,9.2910,9.2820,9.2848,20.0512,61.906352,40.60126649486111,-8.663436646688883,0,0.0000,0,0.0000,8,0.2038,0,0.0000,0,0.0000,1,0.0255
915,0,3886,1428.6765,10.457188303236121,0.5000022918975746,3.0026,8.1487,8.0733,8.0517,17.1359,53.941719,40.60111634081928,-8.662781208373064,1,0.0257,1,0.0257,10,0.2573,1,0.0257,1,0.0257,1,0.0257
684,0,3586,1318.3824,3.5382612312013015,0.39801719349426484,2.9933,9.0056,9.0206,8.9180,19.2172,59.876057,40.60098534090577,-8.662973059909987,2,0.0558,0,0.0000,5,0.1394,1,0.0279,0,0.0000,2,0.0558
37,55,3239,1190.8088,10.158752061447368,0.5990157959542282,2.9913,7.6215,7.8348,7.6388,15.9571,51.322328,40.602894334425876,-8.661620314597013,1,0.0309,2,0.0617,4,0.1235,0,0.0000,1,0.0309,1,0.0309
731,0,3080,1132.3529,1.2219087506584196,0.29903076222995134,3.0019,8.0081,7.9136,8.1549,17.1494,53.503585,40.59928217277232,-8.661864015494592,0,0.0000,1,0.0325,0,0.0000,0,0.0000,0,0.0000,1,0.0325
16,0,2875,1056.9853,1.8264471972669163,0.2984078699937483,2.9993,8.0991,8.2393,8.0779,17.3297,54.258564,40.59894932193516,-8.661608987092066,0,0.0000,0,0.0000,8,0.2783,1,0.0348,1,0.0348,0,0.0000
736,0,2865,1053.3088,4.551374179229036,0.40088241537446745,3.0042,7.6339,7.6607,7.5895,15.5396,50.853456,40.600772040984346,-8.662426686867647,0,0.0000,0,0.0000,4,0.1396,1,0.0349,1,0.0349,2,0.0698
506,0,2800,1029.4118,4.206019604581279,0.39977000317987965,2.9939,8.2029,8.1714,8.1561,17.3414,54.511861,40.600703632090124,-8.663092849334602,1,0.0357,2,0.0714,8,0.2857,0,0.0000,0,0.0000,0,0.0000
237,0,2773,1019.4853,49.84742020718079,1.4072518242080418,2.9978,9.1161,9.0545,9.2030,19.5020,60.83013,40.60142789266202,-8.662494485791202,0,0.0000,1,0.0361,5,0.1803,0,0.0000,0,0.0000,0,0.0000
919,0,2507,921.6912,1.0256452773298537,0.19967880848042982,3.0000,7.6953,7.6262,7.5373,15.8177,50.79734,40.59949203898571,-8.661679985275063,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0399
513,0,2463,905.5147,11.25641766385656,0.5987080935178223,3.0016,7.8055,7.7682,7.8567,16.5449,52.067515,40.600937415691426,-8.6623945280039,0,0.0000,1,0.0406,5,0.2030,0,0.0000,0,0.0000,1,0.0406
702,0,2323,854.0441,2.231870929498738,0.1990471004629423,2.9953,9.0288,9.0314,9.0052,19.5075,60.145463,40.60486901992343,-8.664028913069469,0,0.0000,0,0.0000,4,0.1722,0,0.0000,0,0.0000,0,0.0000
152,1118,2319,852.5735,6.476746489047181,0.8834734523831204,2.9849,7.6636,7.6097,7.6589,15.6671,50.960802,40.60438961524828,-8.662852687576978,1,0.0431,0,0.0000,2,0.0862,2,0.0862,3,0.1294,0,0.0000
273,625,2209,812.1324,4.107404044275914,0.51149564853235,3.0036,7.8158,7.9045,7.8511,16.7216,52.380688,40.601321048995516,-8.664025747011527,1,0.0453,1,0.0453,4,0.1811,1,0.0453,0,0.0000,0,0.0000
285,0,2164,795.5882,4.6226598383319475,0.4103901150957729,2.9986,7.7870,7.7135,7.7075,15.9954,51.573203,40.60037188968802,-8.663969430750413,0,0.0000,0,0.0000,5,0.2311,1,0.0462,0,0.0000,1,0.0462
167,0,2152,791.1765,8.766079371857376,0.5116832135002852,3.0070,9.2556,9.2472,9.2430,19.9684,61.657324,40.59709126345968,-8.66171169865898,2,0.0929,0,0.0000,4,0.1859,0,0.0000,0,0.0000,0,0.0000
265,0,1877,690.0735,3.711027478395684,0.3008883261582003,3.0133,7.5232,7.4912,7.5397,15.3111,50.120251,40.60058411746277,-8.663943017700493,0,0.0000,0,0.0000,4,0.2131,1,0.0533,1,0.0533,0,0.0000
163,0,1812,666.1765,21.62469040077079,0.7078237839491573,3.0055,7.9746,7.8377,7.7185,16.3598,52.291027,40.59916783806921,-8.659115219361428,0,0.0000,1,0.0552,1,0.0552,0,0.0000,1,0.0552,0,0.0000
170,0,1747,642.2794,12.226481588795396,0.5092718108335675,3.0023,7.5541,7.6119,7.8288,15.8374,51.099605,40.60086897088316,-8.662809062306993,1,0.0572,0,0.0000,2,0.1145,0,0.0000,0,0.0000,1,0.0572
309,1484,1718,631.6176,15.56888125824678,0.6094300727443628,3.0082,7.4692,7.6513,7.7037,15.5407,50.720512,40.59842028488153,-8.665563065893698,0,0.0000,0,0.0000,3,0.1746,1,0.0582,3,0.1746,4,0.2328
27,51,1718,631.6176,12.16647123422606,0.5969089277622376,2.9895,7.9953,7.7416,7.7020,16.3137,52.086438,40.60048320600091,-8.662335150641566,0,0.0000,0,0.0000,4,0.2328,0,0.0000,0,0.0000,0,0.0000
396,1658,1674,615.4412,2.057269104965851,0.30026114882642857,2.9988,7.8333,7.8333,7.9158,16.8978,52.405365,40.59855019649551,-8.6634171982878,0,0.0000,0,0.0000,4,0.2389,1,0.0597,0,0.0000,0,0.0000
158,1136,1649,606.2500,9.622327939074696,0.6059165027201031,2.9909,7.5719,7.6186,7.4864,15.5209,50.392784,40.600257124787355,-8.66286578377614,0,0.0000,0,0.0000,4,0.2426,0,0.0000,0,0.0000,1,0.0606
155,1127,1624,597.0588,8.075707071108235,0.5102091280585005,3.0025,7.8030,7.7229,7.8227,16.3849,51.885634,40.599751598732674,-8.662230817590173,0,0.0000,0,0.0000,5,0.3079,0,0.0000,0,0.0000,0,0.0000
921,0,1620,595.5882,2.5934151093889124,0.3012556074080164,3.0056,7.6006,7.6531,7.5191,15.5333,50.606303,40.60076496407466,-8.662321392819576,2,0.1235,0,0.0000,0,0.0000,0,0.0000,2,0.1235,1,0.0617
263,946,1599,587.8676,18.003187891528505,0.4008824094727738,3.0113,7.7949,7.9099,7.7917,16.6535,52.214503,40.600735873198,-8.663005539775405,1,0.0625,0,0.0000,23,1.4384,1,0.0625,1,0.0625,0,0.0000
585,587,1578,580.1471,20.1945706685688,0.6012187407531884,3.0032,8.3606,7.9106,8.2218,17.0982,54.428974,40.60092848319352,-8.663236773815363,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0634,0,0.0000
434,791,1551,570.2206,19.71260530548711,0.3999606226336572,3.0058,9.0477,9.1696,9.2882,19.7350,61.123308,40.60139105489484,-8.663732104728908,1,0.0645,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
29,776,1539,565.8088,7.224668319694713,0.4008912284742941,3.0026,9.0988,9.0741,9.0026,19.3996,60.389818,40.6009903122251,-8.667679566300144,0,0.0000,0,0.0000,6,0.3899,0,0.0000,0,0.0000,0,0.0000
41,157,1515,556.9853,7.669837028201264,0.798852143960424,2.9941,9.3010,9.3307,9.3340,19.7122,62.145994,40.60217973088893,-8.662537500342237,1,0.0660,0,0.0000,7,0.4620,0,0.0000,0,0.0000,0,0.0000
17,0,1489,547.4265,30.403527313076694,1.0924311882329856,2.9926,8.1867,8.4030,8.3902,17.0154,55.510826,40.59559605371749,-8.660198121028971,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0672,0,0.0000
431,0,1482,544.8529,4.074280975716685,0.5039530501011582,3.0068,8.0843,8.1113,8.1687,17.1329,54.143145,40.599899951284634,-8.662960706879057,0,0.0000,0,0.0000,3,0.2024,0,0.0000,0,0.0000,0,0.0000
