pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,46793,11.7426,16.6388,53.287803,49.41330969284129,6.9048418831207785,14,0.0299,9,0.0192,102,0.2180,5,0.0107,26,0.0556,11,0.0235
676,2629,46578,11.6886,15.6778,50.291291,49.413372112939165,6.904917529116975,10,0.0215,12,0.0258,110,0.2362,4,0.0086,8,0.0172,10,0.0215
747,0,46207,11.5955,19.2987,59.986257,49.41348044388739,6.904871831082821,15,0.0325,6,0.0130,0,0.0000,6,0.0130,1,0.0022,0,0.0000
50,59,35878,9.0035,15.5677,50.00279,49.41177656257883,6.903840733507715,9,0.0251,11,0.0307,69,0.1923,14,0.0390,7,0.0195,0,0.0000
574,0,23196,5.8210,16.6092,52.985995,49.413277371050754,6.9047512501312225,7,0.0302,6,0.0259,32,0.1380,7,0.0302,10,0.0431,3,0.0129
194,1226,23140,5.8069,16.7529,53.58891,49.41335745137038,6.90476711429026,15,0.0648,5,0.0216,54,0.2334,4,0.0173,3,0.0130,0,0.0000
453,0,22942,5.7572,18.0381,56.59716,49.41337438362378,6.904711311804735,5,0.0218,4,0.0174,45,0.1961,1,0.0044,2,0.0087,0,0.0000
25,598,17909,4.4942,16.6946,53.333722,49.411810150236,6.903839636362859,3,0.0168,3,0.0168,31,0.1731,5,0.0279,6,0.0335,11,0.0614
359,830,11700,2.9361,15.6089,50.077058,49.41345426827879,6.904952446465913,1,0.0085,3,0.0256,212,1.8120,1,0.0085,2,0.0171,4,0.0342
592,2168,11356,2.8498,16.5055,53.083242,49.41349192846473,6.904831095341778,5,0.0440,1,0.0088,26,0.2290,2,0.0176,8,0.0704,8,0.0704
527,0,7843,1.9682,16.6361,52.793871,49.423502015927234,6.9058430300537275,1,0.0128,3,0.0383,15,0.1913,4,0.0510,2,0.0255,0,0.0000
519,0,4255,1.0678,16.8385,53.748578,49.41971942555935,6.9127897268280005,3,0.0705,1,0.0235,4,0.0940,1,0.0235,0,0.0000,1,0.0235
915,0,3144,0.7890,15.7179,50.183801,49.413273517366456,6.904691696112416,1,0.0318,0,0.0000,8,0.2545,1,0.0318,0,0.0000,0,0.0000
92,0,2749,0.6899,18.6290,57.828778,49.41186561935068,6.907655346355914,1,0.0364,0,0.0000,3,0.1091,1,0.0364,2,0.0728,0,0.0000
684,0,2669,0.6698,18.6785,57.698651,49.41454240832057,6.905317826666473,2,0.0749,2,0.0749,7,0.2623,2,0.0749,0,0.0000,2,0.0749
333,0,2517,0.6316,18.1212,57.75039,49.41326932896902,6.905418803095557,1,0.0397,0,0.0000,6,0.2384,1,0.0397,1,0.0397,0,0.0000
170,0,2432,0.6103,17.5082,55.982299,49.41276968717373,6.904377435066056,2,0.0822,0,0.0000,8,0.3289,0,0.0000,0,0.0000,2,0.0822
736,0,2317,0.5814,17.3267,55.182508,49.41354859064567,6.904104892765789,0,0.0000,1,0.0432,5,0.2158,2,0.0863,1,0.0432,0,0.0000
37,55,2280,0.5722,15.3496,50.973698,49.41176747720931,6.903875932012276,0,0.0000,0,0.0000,3,0.1316,0,0.0000,0,0.0000,0,0.0000
237,0,2184,0.5481,18.6900,57.957844,49.413667713264154,6.904871831801813,0,0.0000,0,0.0000,2,0.0916,0,0.0000,1,0.0458,0,0.0000
41,157,2180,0.5471,19.2450,60.746197,49.41162401756666,6.904264307133484,1,0.0459,0,0.0000,5,0.2294,0,0.0000,0,0.0000,0,0.0000
602,0,2084,0.5230,19.2131,60.320998,49.41266032901928,6.904850436716625,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
35,0,1847,0.4635,18.5744,58.438316,49.41243648198173,6.903836296611956,0,0.0000,0,0.0000,3,0.1624,0,0.0000,1,0.0541,0,0.0000
921,0,1784,0.4477,17.1547,55.184395,49.41320791797339,6.904879346414633,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
285,0,1691,0.4244,15.4039,50.631402,49.41270493156035,6.903689228477748,0,0.0000,0,0.0000,3,0.1774,1,0.0591,0,0.0000,1,0.0591
273,625,1679,0.4213,15.6200,50.072174,49.41306424491572,6.9042562823376965,0,0.0000,1,0.0596,3,0.1787,1,0.0596,1,0.0596,0,0.0000
585,587,1616,0.4055,15.4981,50.186974,49.414209044846466,6.905723970534357,0,0.0000,1,0.0619,0,0.0000,0,0.0000,0,0.0000,0,0.0000
590,0,1535,0.3852,18.0697,56.770059,49.4107001027944,6.899510347690557,1,0.0651,0,0.0000,3,0.1954,0,0.0000,0,0.0000,1,0.0651
263,946,1515,0.3802,15.6884,49.840713,49.41340452464563,6.904883982010986,1,0.0660,0,0.0000,30,1.9802,0,0.0000,0,0.0000,0,0.0000
13,616,1461,0.3666,19.7974,60.200904,49.41242650277663,6.910139833650776,0,0.0000,0,0.0000,3,0.2053,1,0.0684,0,0.0000,0,0.0000
456,0,1434,0.3599,16.2803,53.034268,49.418088767761034,6.915086031766375,0,0.0000,0,0.0000,2,0.1395,0,0.0000,0,0.0000,0,0.0000
