pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,273910,79164.7399,8.24994994547269,0.4022087746054115,3.0166,8.8206,8.8073,8.8059,18.7785,58.741721,38.73105385576411,-9.149488302268463,137,0.0500,19,0.0069,0,0.0000,26,0.0095,18,0.0066,0,0.0000
592,2330,273009,78904.3353,33.87201140736043,1.200168608316567,2.9999,7.5206,7.4868,7.5100,15.4824,50.038573,38.73107353979241,-9.149515107203698,74,0.0271,54,0.0198,570,0.2088,56,0.0205,120,0.0440,59,0.0216
676,2629,271877,78577.1676,28.729361168382482,1.2001147344791483,2.9998,7.7897,7.8106,7.7797,16.2699,51.955601,38.73108061990305,-9.149452584373151,85,0.0313,44,0.0162,488,0.1795,17,0.0063,52,0.0191,85,0.0313
50,59,220729,63794.5087,0.822212480838875,0.2002897630309341,3.0002,7.9027,7.9040,7.9059,16.5428,52.694571,38.730230312875435,-9.14919800608916,70,0.0317,41,0.0186,407,0.1844,62,0.0281,35,0.0159,0,0.0000
574,0,136567,39470.2312,5.9917646568477165,0.40246760226851663,3.0173,7.5105,7.5027,7.4960,15.4554,50.020482,38.73101833287727,-9.149475210838297,38,0.0278,34,0.0249,275,0.2014,46,0.0337,57,0.0417,38,0.0278
453,0,136496,39449.7110,23.576706568423354,0.6999675910172619,2.9988,8.8101,8.8181,8.7987,18.7254,58.726507,38.731069016723744,-9.149477001921202,66,0.0484,13,0.0095,282,0.2066,19,0.0139,8,0.0059,15,0.0110
194,1226,134764,38949.1329,8.710223230220299,0.409745024131235,2.9980,7.8880,7.8889,7.8927,16.5241,52.598987,38.73106595756498,-9.149445005320214,58,0.0430,27,0.0200,230,0.1707,25,0.0186,21,0.0156,0,0.0000
25,598,111340,32179.1908,6.154473057382139,0.40001180597397396,2.9992,7.4781,7.4937,7.4806,15.4886,49.894323,38.730264999738836,-9.149146979553784,25,0.0225,32,0.0287,190,0.1706,18,0.0162,21,0.0189,51,0.0458
359,830,68497,19796.8208,48.31582885892078,1.2016604259172106,3.0004,7.4957,7.5047,7.4979,15.4997,49.996392,38.731076280492566,-9.149488727155713,18,0.0263,14,0.0204,1048,1.5300,7,0.0102,6,0.0088,18,0.0263
592,2168,68019,19658.6705,33.870180492324565,1.2003393088547754,3.0005,7.4985,7.4730,7.5182,15.5121,49.977318,38.73111857244469,-9.149443278995983,17,0.0250,17,0.0250,128,0.1882,23,0.0338,29,0.0426,22,0.0323
109,703,30768,8892.4855,1.0244130527958257,0.6001969113024295,3.0002,9.3124,9.2950,9.2984,20.0379,62.012977,38.7361328317972,-9.150409425590379,10,0.0325,0,0.0000,54,0.1755,0,0.0000,1,0.0033,13,0.0423
915,0,19321,5584.1040,10.520988671773953,0.5010762774102469,3.0002,7.9303,7.9170,7.9865,16.6807,52.964169,38.73099565890598,-9.149322807534706,9,0.0466,5,0.0259,43,0.2226,12,0.0621,3,0.0155,2,0.0104
37,55,16466,4758.9595,10.16643201630699,0.5999244408692058,2.9964,7.9017,7.8173,7.8165,16.5154,52.301199,38.7280291540345,-9.151067512097608,4,0.0243,4,0.0243,30,0.1822,3,0.0182,2,0.0121,5,0.0304
27,51,15484,4475.1445,12.263315500334114,0.5992363873381474,2.9973,8.1202,8.1095,8.1267,17.0169,54.125262,38.729343525484616,-9.14899961223233,6,0.0387,3,0.0194,39,0.2519,5,0.0323,9,0.0581,3,0.0194
285,0,15477,4473.1214,4.61275013601706,0.4101835613937388,3.0009,7.9400,7.9656,7.9278,16.4198,52.963027,38.7234006513904,-9.164344579911898,1,0.0065,1,0.0065,36,0.2326,7,0.0452,2,0.0129,4,0.0258
237,0,14211,4107.2254,49.1091485168798,1.3986207805830857,2.9967,9.0471,9.0750,9.0654,19.3944,60.41672,38.73102234730188,-9.149414181217214,6,0.0422,0,0.0000,23,0.1618,0,0.0000,0,0.0000,6,0.0422
41,157,12791,3696.8208,7.705265842113067,0.79988370891592,2.9999,9.2629,9.3113,9.2979,19.9831,61.937996,38.7292051385028,-9.149273775345254,9,0.0704,0,0.0000,19,0.1485,7,0.0547,1,0.0078,0,0.0000
35,0,12495,3611.2717,7.686807667963864,0.5995278120856676,3.0010,9.3581,9.3084,9.3212,20.2126,62.194798,38.72914444487272,-9.148382968918545,8,0.0640,1,0.0080,20,0.1601,0,0.0000,0,0.0000,0,0.0000
273,625,12213,3529.7688,4.095589284016801,0.5096944742194162,2.9994,8.1855,8.1362,8.1204,17.0423,54.31574,38.73110464475643,-9.148165317092502,3,0.0246,2,0.0164,17,0.1392,5,0.0409,0,0.0000,2,0.0164
304,1469,12196,3524.8555,61.571908446062004,0.4101330335688867,2.9989,7.7746,7.8362,7.7714,16.2907,51.960363,38.73083420576543,-9.151276890100874,4,0.0328,3,0.0246,15,0.1230,4,0.0328,10,0.0820,2,0.0164
684,0,11169,3228.0347,3.616114728476516,0.4012411470714302,3.0023,8.8174,8.8641,8.9029,19.0039,59.076419,38.73505940872479,-9.145021248041626,4,0.0358,1,0.0090,22,0.1970,1,0.0090,1,0.0090,4,0.0358
333,0,10412,3009.2486,1.2305045939744275,0.41007898421063277,3.0011,7.9699,8.0085,8.0132,16.7283,53.314539,38.73005625122582,-9.148508115512191,7,0.0672,1,0.0096,16,0.1537,4,0.0384,4,0.0384,0,0.0000
513,0,10257,2964.4509,11.348676495963065,0.6013751595648653,3.0007,8.1433,8.1059,8.0776,17.1289,54.05957,38.73136397474306,-9.14892584817461,1,0.0097,3,0.0292,31,0.3022,2,0.0195,2,0.0195,3,0.0292
152,1118,10038,2901.1561,6.571444325029476,0.8908080106485806,3.0062,7.8550,7.8551,7.8258,16.3649,52.301685,38.73137252726912,-9.150470917548171,4,0.0398,2,0.0199,20,0.1992,1,0.0100,8,0.0797,4,0.0398
158,1136,9861,2850.0000,9.76127737614104,0.611254303083202,3.0042,7.4980,7.4377,7.5599,15.5152,49.990198,38.72852995745798,-9.150309367707889,0,0.0000,4,0.0406,27,0.2738,3,0.0304,4,0.0406,3,0.0304
702,0,9754,2819.0751,2.2603314599707462,0.20001684619168625,3.0009,8.9580,8.9080,8.9495,18.8653,59.589885,38.73472162255783,-9.149962396662708,7,0.0718,0,0.0000,24,0.2461,0,0.0000,1,0.0103,0,0.0000
585,587,9340,2699.4220,20.10340266069016,0.6012252800933815,3.0011,8.1718,8.1548,8.1960,17.1183,54.494908,38.729235764621045,-9.15222140050286,4,0.0428,1,0.0107,0,0.0000,2,0.0214,1,0.0107,3,0.0321
590,0,9254,2674.5665,1.0298954176901483,0.20013089055086358,3.0032,9.2816,9.2549,9.2888,19.9341,61.834162,38.732960286153876,-9.144261915301437,4,0.0432,0,0.0000,28,0.3026,3,0.0324,1,0.0108,4,0.0432
265,0,8878,2565.8960,3.678310306905934,0.2995244603931212,2.9977,7.5372,7.4619,7.4946,15.5327,49.986006,38.74171455476756,-9.140716222498277,1,0.0113,1,0.0113,12,0.1352,2,0.0225,1,0.0113,0,0.0000
921,0,8562,2474.5665,2.5625942260918007,0.29973060221064735,3.0009,7.4929,7.3623,7.5367,15.5241,49.759688,38.73069547836518,-9.149652112961787,3,0.0350,4,0.0467,0,0.0000,5,0.0584,7,0.0818,2,0.0234
263,946,8502,2457.2254,17.898108224563202,0.39901094525150227,2.9963,7.8138,7.7835,7.8342,16.3359,52.069885,38.73130145097491,-9.149663045638556,0,0.0000,1,0.0118,139,1.6349,4,0.0470,1,0.0118,3,0.0353
427,0,8397,2426.8786,5.679556941594023,0.4012431555433826,3.0021,7.9218,7.9447,7.8622,16.3330,52.730522,38.730712648033595,-9.151660575722731,3,0.0357,0,0.0000,16,0.1905,2,0.0238,4,0.0476,2,0.0238
170,0,8357,2415.3179,12.342091074565548,0.5110248389746871,2.9996,7.4691,7.4991,7.4631,15.5238,49.847258,38.730259427470436,-9.149717722641578,4,0.0479,1,0.0120,15,0.1795,4,0.0479,3,0.0359,4,0.0479
557,0,8357,2415.3179,14.87257972114697,0.30004613381258566,3.0008,7.9083,8.0316,7.9226,16.3957,53.027822,38.731005647645404,-9.1515347106441,3,0.0359,3,0.0359,12,0.1436,2,0.0239,1,0.0120,0,0.0000
155,1127,8105,2342.4855,8.115894962390646,0.5102252988251724,2.9975,7.8500,7.8410,7.7863,16.4007,52.171661,38.73097426265534,-9.149535036049272,3,0.0370,1,0.0123,10,0.1234,4,0.0494,3,0.0370,2,0.0247
316,0,8091,2338.4393,10.5816265654614,0.4114063255697905,3.0032,9.0392,9.1043,9.0754,19.3253,60.486426,38.72959203854849,-9.148236528888058,4,0.0494,0,0.0000,19,0.2348,0,0.0000,0,0.0000,0,0.0000
708,0,7866,2273.4104,7.1693349658495595,0.39926940950139345,3.0022,7.9244,7.8318,8.0048,16.5345,52.802227,38.744383828722086,-9.130485661093493,2,0.0254,2,0.0254,16,0.2034,0,0.0000,1,0.0127,2,0.0254
616,0,7801,2254.6243,7.920347419996595,0.4009875483813767,3.0056,7.5328,7.4838,7.3798,15.4012,49.769698,38.72968835716768,-9.153558677537628,2,0.0256,2,0.0256,15,0.1923,2,0.0256,2,0.0256,1,0.0128
736,0,7722,2231.7919,4.531123269192528,0.4006929600363089,3.0034,7.5306,7.4922,7.4347,15.7174,49.905566,38.73077773256331,-9.148551258740945,6,0.0777,1,0.0130,21,0.2720,1,0.0130,3,0.0389,3,0.0389
519,0,7437,2149.4220,2.1588025984379895,0.29962616393770913,2.9980,8.0535,7.9977,7.9863,16.9359,53.416723,38.73100224801807,-9.149504102944633,2,0.0269,1,0.0134,9,0.1210,3,0.0403,2,0.0269,0,0.0000
396,1658,7398,2138.1503,2.055188643538362,0.3002740276862106,3.0022,7.7776,7.8039,7.7390,16.3712,51.823352,38.74267211116288,-9.15150132716691,3,0.0406,1,0.0135,12,0.1622,2,0.0270,4,0.0541,2,0.0270
16,0,7304,2110.9827,1.8483501718531696,0.30025070920580466,3.0047,7.9252,7.9173,7.9207,16.4091,52.807289,38.73724405344351,-9.13957752439511,2,0.0274,2,0.0274,12,0.1643,5,0.0685,1,0.0137,4,0.0548
133,0,7244,2093.6416,6.645772438467034,0.2997242117514848,2.9932,7.8776,7.9420,7.8854,16.4797,52.677717,38.73328851151329,-9.147396608305353,1,0.0138,1,0.0138,20,0.2761,5,0.0690,2,0.0276,3,0.0414
527,0,6794,1963.5838,2.1462580436082814,0.3997675498601632,3.0041,7.5100,7.5253,7.5472,15.4875,50.183555,38.73115193150227,-9.156376112923953,7,0.1030,3,0.0442,13,0.1913,3,0.0442,2,0.0294,0,0.0000
