pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
676,2629,39348,11.6358,15.6068,50.317737,49.510778598956804,6.746492164089802,8,0.0203,7,0.0178,69,0.1754,3,0.0076,14,0.0356,8,0.0203
592,2330,39059,11.5504,16.6895,53.237288,49.51078068093,6.746466651361937,11,0.0282,4,0.0102,77,0.1971,4,0.0102,16,0.0410,9,0.0230
747,0,38695,11.4427,19.3621,60.362084,49.5107543656555,6.746518864887551,17,0.0439,1,0.0026,0,0.0000,0,0.0000,3,0.0078,0,0.0000
50,59,30962,9.1560,15.5768,49.949904,49.51030818761535,6.747843377803392,8,0.0258,9,0.0291,60,0.1938,12,0.0388,9,0.0291,0,0.0000
574,0,19492,5.7641,16.4753,52.837865,49.51077205655262,6.746539188403017,7,0.0359,1,0.0051,33,0.1693,7,0.0359,9,0.0462,6,0.0308
194,1226,19430,5.7458,16.7611,53.185699,49.5107170635242,6.7467173194885754,7,0.0360,2,0.0103,37,0.1904,2,0.0103,4,0.0206,0,0.0000
453,0,19334,5.7174,18.2179,57.235366,49.51077796959619,6.746531847719517,9,0.0466,4,0.0207,32,0.1655,2,0.0103,1,0.0052,6,0.0310
25,598,15505,4.5851,16.8200,53.08766,49.510319575355176,6.7478452315629145,5,0.0322,1,0.0064,30,0.1935,4,0.0258,1,0.0064,7,0.0451
592,2168,9885,2.9232,16.8341,53.059543,49.51088478839705,6.7464734687120025,4,0.0405,0,0.0000,21,0.2124,1,0.0101,6,0.0607,3,0.0303
359,830,9692,2.8661,15.5706,49.852813,49.51079130803835,6.74652047775805,3,0.0310,1,0.0103,141,1.4548,3,0.0310,3,0.0310,6,0.0619
751,0,3350,0.9906,16.7570,53.635173,49.515482646249914,6.7376077966810195,1,0.0299,0,0.0000,5,0.1493,2,0.0597,1,0.0299,0,0.0000
109,703,2961,0.8756,18.3874,57.326738,49.51368127565078,6.732504878348401,0,0.0000,0,0.0000,5,0.1689,0,0.0000,0,0.0000,0,0.0000
261,1367,2818,0.8333,15.5841,50.084436,49.51838873443795,6.7370101188421465,1,0.0355,0,0.0000,8,0.2839,0,0.0000,1,0.0355,0,0.0000
915,0,2461,0.7278,15.6851,50.687639,49.51058508604198,6.746819541661566,1,0.0406,1,0.0406,6,0.2438,1,0.0406,0,0.0000,1,0.0406
684,0,2433,0.7195,18.5746,57.38148,49.50926880788162,6.751830757019104,0,0.0000,0,0.0000,3,0.1233,0,0.0000,1,0.0411,0,0.0000
702,0,2414,0.7139,19.3836,60.167581,49.5056626461692,6.747559214517923,1,0.0414,0,0.0000,7,0.2900,0,0.0000,0,0.0000,0,0.0000
285,0,2296,0.6790,15.4800,50.393001,49.51018356115402,6.744147260111725,2,0.0871,0,0.0000,2,0.0871,2,0.0871,1,0.0436,2,0.0871
736,0,2117,0.6260,16.9849,54.203623,49.511002769891945,6.745858176591074,0,0.0000,0,0.0000,7,0.3307,0,0.0000,0,0.0000,0,0.0000
287,0,2071,0.6124,15.1366,50.25367,49.50828296201278,6.741118112901153,1,0.0483,0,0.0000,5,0.2414,1,0.0483,0,0.0000,0,0.0000
333,0,2014,0.5956,17.8009,56.372086,49.51065382382824,6.746442658747053,0,0.0000,0,0.0000,4,0.1986,0,0.0000,0,0.0000,1,0.0497
170,0,1951,0.5769,17.5295,56.023696,49.51043996361486,6.747354483834476,0,0.0000,0,0.0000,6,0.3075,0,0.0000,0,0.0000,0,0.0000
37,55,1922,0.5684,15.5343,49.969886,49.51015217477279,6.747820908652566,0,0.0000,0,0.0000,3,0.1561,1,0.0520,0,0.0000,1,0.0520
41,157,1872,0.5536,19.4685,60.440385,49.510290044651946,6.748406543134719,1,0.0534,0,0.0000,4,0.2137,0,0.0000,0,0.0000,0,0.0000
92,0,1855,0.5486,19.0782,58.581709,49.50884360836421,6.747347544193054,1,0.0539,1,0.0539,5,0.2695,0,0.0000,0,0.0000,1,0.0539
