pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,74925,11.7198,18.7141,58.594853,41.23100229703651,-8.617576387961883,35,0.0467,3,0.0040,0,0.0000,5,0.0067,8,0.0107,0,0.0000
592,2330,71631,11.2046,15.7843,50.616899,41.2309884660368,-8.617550667415419,10,0.0140,18,0.0251,132,0.1843,14,0.0195,19,0.0265,19,0.0265
676,2629,71581,11.1968,16.6093,52.901815,41.231015160961796,-8.61752973410936,26,0.0363,17,0.0237,157,0.2193,2,0.0028,13,0.0182,26,0.0363
50,59,64265,10.0524,16.2039,51.818277,41.231075623913604,-8.617432299982063,21,0.0327,12,0.0187,140,0.2178,11,0.0171,10,0.0156,0,0.0000
574,0,36016,5.6337,15.5800,50.361451,41.23090105439623,-8.617513125684775,14,0.0389,9,0.0250,78,0.2166,20,0.0555,11,0.0305,7,0.0194
453,0,35912,5.6174,18.4321,57.87432,41.23111865972996,-8.617676682251119,14,0.0390,7,0.0195,72,0.2005,4,0.0111,2,0.0056,3,0.0084
194,1226,35658,5.5777,16.5227,52.429258,41.23120012653544,-8.617718547891027,14,0.0393,9,0.0252,61,0.1711,8,0.0224,5,0.0140,0,0.0000
25,598,32224,5.0405,15.7324,50.547424,41.23116294827967,-8.61743643931145,7,0.0217,15,0.0465,61,0.1893,12,0.0372,6,0.0186,18,0.0559
359,830,18094,2.8303,15.3792,49.833097,41.23100565425478,-8.617490447925839,3,0.0166,4,0.0221,279,1.5419,1,0.0055,2,0.0111,4,0.0221
592,2168,17909,2.8013,15.6844,50.857334,41.23100498671057,-8.617810673034057,6,0.0335,4,0.0223,26,0.1452,2,0.0112,11,0.0614,5,0.0279
915,0,5503,0.8608,17.2686,54.829035,41.23098710775179,-8.617533806866135,4,0.0727,1,0.0182,9,0.1635,0,0.0000,2,0.0363,2,0.0363
684,0,4788,0.7489,18.9244,58.746911,41.230038182818696,-8.617022707414165,2,0.0418,0,0.0000,5,0.1044,1,0.0209,0,0.0000,2,0.0418
109,703,4183,0.6543,19.5047,61.002917,41.23109596287948,-8.618747498120795,3,0.0717,0,0.0000,10,0.2391,0,0.0000,0,0.0000,4,0.0956
37,55,4030,0.6304,16.3759,51.506509,41.2309310466265,-8.617685073175235,0,0.0000,2,0.0496,6,0.1489,0,0.0000,4,0.0993,1,0.0248
237,0,3538,0.5534,19.2066,59.526425,41.23097345412242,-8.617474226510932,3,0.0848,0,0.0000,7,0.1979,0,0.0000,0,0.0000,3,0.0848
304,1469,3509,0.5489,16.7361,53.034965,41.225604652958445,-8.61654222639884,4,0.1140,1,0.0285,6,0.1710,1,0.0285,4,0.1140,2,0.0570
27,51,3458,0.5409,16.5463,52.675272,41.23006249454787,-8.616964859415537,0,0.0000,0,0.0000,6,0.1735,0,0.0000,1,0.0289,0,0.0000
41,157,3381,0.5289,19.5661,61.203481,41.22929403804985,-8.617097300703415,3,0.0887,0,0.0000,3,0.0887,1,0.0296,0,0.0000,0,0.0000
513,0,3358,0.5253,16.7088,53.316849,41.23093157075547,-8.618478307584834,3,0.0893,3,0.0893,5,0.1489,1,0.0298,2,0.0596,0,0.0000
736,0,3216,0.5030,16.1648,50.923181,41.23177847083371,-8.617564277986205,0,0.0000,0,0.0000,3,0.0933,2,0.0622,0,0.0000,1,0.0311
273,625,3169,0.4957,16.4632,52.285734,41.229996382817056,-8.61782959417737,2,0.0631,0,0.0000,7,0.2209,1,0.0316,1,0.0316,1,0.0316
35,0,2949,0.4613,19.5137,61.258403,41.23049769093032,-8.61690822362073,1,0.0339,0,0.0000,7,0.2374,0,0.0000,0,0.0000,0,0.0000
333,0,2876,0.4499,17.1725,54.551846,41.22895595975567,-8.617616385755566,0,0.0000,1,0.0348,9,0.3129,1,0.0348,0,0.0000,0,0.0000
170,0,2610,0.4083,16.1069,51.405839,41.23097924496262,-8.617080044308462,1,0.0383,1,0.0383,7,0.2682,2,0.0766,1,0.0383,1,0.0383
506,0,2561,0.4006,17.0387,54.155924,41.23537412946739,-8.62018747321227,2,0.0781,0,0.0000,3,0.1171,0,0.0000,0,0.0000,0,0.0000
285,0,2532,0.3961,16.2330,52.360912,41.23177798434121,-8.615857095373467,5,0.1975,1,0.0395,7,0.2765,0,0.0000,0,0.0000,1,0.0395
753,0,2490,0.3895,17.0233,54.082101,41.23112640901378,-8.616505822596778,4,0.1606,0,0.0000,3,0.1205,0,0.0000,1,0.0402,1,0.0402
585,587,2372,0.3710,17.4073,54.946674,41.22999336304378,-8.617095282419646,0,0.0000,1,0.0422,0,0.0000,0,0.0000,0,0.0000,0,0.0000
921,0,2368,0.3704,16.0549,50.187614,41.230918358089674,-8.61764146293802,1,0.0422,0,0.0000,0,0.0000,0,0.0000,3,0.1267,0,0.0000
158,1136,2327,0.3640,15.6596,50.543829,41.23031031545477,-8.619777051076515,1,0.0430,0,0.0000,4,0.1719,0,0.0000,1,0.0430,1,0.0430
84,0,2326,0.3638,16.9136,53.393452,41.21921366580911,-8.615382045185019,1,0.0430,2,0.0860,5,0.2150,0,0.0000,0,0.0000,0,0.0000
265,0,2291,0.3584,15.9241,50.723073,41.24060707437615,-8.613895132177388,0,0.0000,1,0.0436,3,0.1309,0,0.0000,0,0.0000,0,0.0000
702,0,2290,0.3582,18.9782,59.104297,41.22822705050155,-8.615361924404475,3,0.1310,0,0.0000,8,0.3493,0,0.0000,0,0.0000,0,0.0000
519,0,2287,0.3577,16.9178,54.521745,41.22953132118043,-8.61849777480949,1,0.0437,0,0.0000,4,0.1749,0,0.0000,0,0.0000,0,0.0000
261,1367,2266,0.3544,15.1580,49.695124,41.22641688554232,-8.61004103521382,1,0.0441,0,0.0000,5,0.2207,0,0.0000,0,0.0000,0,0.0000
152,1118,2212,0.3460,16.0714,51.610448,41.23074180475755,-8.618718308108843,3,0.1356,1,0.0452,4,0.1808,2,0.0904,2,0.0904,1,0.0452
263,946,2173,0.3399,16.6756,52.766779,41.23129352047107,-8.617753607930402,1,0.0460,0,0.0000,22,1.0124,0,0.0000,2,0.0920,1,0.0460
155,1127,2149,0.3361,16.2718,51.8392,41.23141577331285,-8.617537060487653,0,0.0000,0,0.0000,2,0.0931,1,0.0465,1,0.0465,0,0.0000
16,0,2027,0.3171,17.3276,54.791362,41.234129385109526,-8.61459781337922,0,0.0000,2,0.0987,5,0.2467,2,0.0987,0,0.0000,0,0.0000
590,0,2006,0.3138,19.6471,60.225982,41.23040545339783,-8.616892058734546,1,0.0499,0,0.0000,4,0.1994,0,0.0000,0,0.0000,1,0.0499
13,616,1957,0.3061,18.8988,59.542325,41.23289993386678,-8.616805771068769,0,0.0000,0,0.0000,5,0.2555,0,0.0000,0,0.0000,0,0.0000
554,2063,1877,0.2936,16.3138,51.347933,41.225883824678654,-8.616914284790717,0,0.0000,0,0.0000,6,0.3197,0,0.0000,0,0.0000,1,0.0533
100,2728,1799,0.2814,16.2979,52.520584,41.229905638272115,-8.621447737307022,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
777,0,1765,0.2761,16.2686,50.806431,41.22617660066626,-8.615568342461355,0,0.0000,0,0.0000,0,0.0000,1,0.0567,0,0.0000,0,0.0000
427,0,1672,0.2615,16.5772,54.347339,41.231919135246116,-8.61589803785054,2,0.1196,0,0.0000,5,0.2990,0,0.0000,2,0.1196,0,0.0000
431,0,1629,0.2548,16.8926,54.558367,41.23290146064214,-8.617226981499575,0,0.0000,0,0.0000,2,0.1228,0,0.0000,0,0.0000,0,0.0000
731,0,1596,0.2496,17.0232,54.206291,41.2335923455449,-8.615445258338017,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
58,280,1587,0.2482,16.4216,53.267587,41.229735298273106,-8.61890507000825,1,0.0630,0,0.0000,4,0.2520,1,0.0630,1,0.0630,0,0.0000
287,0,1513,0.2367,16.4461,53.218804,41.23155101002775,-8.6119191561435,1,0.0661,0,0.0000,4,0.2644,0,0.0000,3,0.1983,0,0.0000
919,0,1479,0.2313,15.5842,51.211826,41.23289559924136,-8.616545208545489,0,0.0000,2,0.1352,0,0.0000,0,0.0000,0,0.0000,0,0.0000
434,791,1401,0.2191,19.8358,60.986524,41.23268584401194,-8.616554175159544,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
557,0,1387,0.2170,17.1730,54.510981,41.22804802297205,-8.61785836640768,1,0.0721,0,0.0000,4,0.2884,1,0.0721,0,0.0000,0,0.0000
316,0,1386,0.2168,19.0433,59.486797,41.231805603282375,-8.619334322014819,2,0.1443,0,0.0000,5,0.3608,0,0.0000,0,0.0000,0,0.0000
539,0,1351,0.2113,19.4796,59.172739,41.22930170476213,-8.618795132959095,0,0.0000,0,0.0000,4,0.2961,0,0.0000,0,0.0000,0,0.0000
527,0,1343,0.2101,15.5428,50.401273,41.23451547161142,-8.615710076514937,0,0.0000,1,0.0745,3,0.2234,1,0.0745,1,0.0745,0,0.0000
906,0,1321,0.2066,16.3164,52.916132,41.23170955274054,-8.617788446105928,0,0.0000,0,0.0000,0,0.0000,1,0.0757,0,0.0000,0,0.0000
580,0,1288,0.2015,16.2096,52.508719,41.23076993456927,-8.617755665005104,0,0.0000,0,0.0000,0,0.0000,1,0.0776,0,0.0000,0,0.0000
274,628,1280,0.2002,16.6789,53.53482,41.23093816259431,-8.618759055934486,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
163,0,1274,0.1993,16.7661,54.048462,41.238311514698026,-8.612897323189884,0,0.0000,0,0.0000,1,0.0785,0,0.0000,1,0.0785,0,0.0000
338,0,1267,0.1982,17.6875,55.908122,41.23049314986918,-8.616759239151554,0,0.0000,0,0.0000,1,0.0789,0,0.0000,0,0.0000,1,0.0789
396,1658,1255,0.1963,16.2255,53.703538,41.233037600348105,-8.615439474758825,1,0.0797,0,0.0000,6,0.4781,0,0.0000,1,0.0797,2,0.1594
909,0,1255,0.1963,16.5442,53.220032,41.231141529611875,-8.616564241494734,0,0.0000,1,0.0797,0,0.0000,0,0.0000,0,0.0000,0,0.0000
52,63,1216,0.1902,16.9400,52.527344,41.230916658807224,-8.620493653002281,0,0.0000,1,0.0822,0,0.0000,1,0.0822,0,0.0000,0,0.0000
912,0,1197,0.1872,15.8463,50.751028,41.23045906232853,-8.61776124168595,1,0.0835,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
167,0,1197,0.1872,19.9123,61.472206,41.23526772224982,-8.61065010413269,0,0.0000,0,0.0000,3,0.2506,0,0.0000,0,0.0000,0,0.0000
29,776,1191,0.1863,19.5264,59.966457,41.230731832343956,-8.618180736810032,0,0.0000,0,0.0000,2,0.1679,2,0.1679,0,0.0000,0,0.0000
133,0,1145,0.1791,17.1930,53.971791,41.236187215770826,-8.616474494765914,0,0.0000,0,0.0000,1,0.0873,0,0.0000,0,0.0000,0,0.0000
767,0,1126,0.1761,15.8632,51.132585,41.23700625930999,-8.621146195590017,1,0.0888,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0888
32,776,1126,0.1761,19.2931,59.289485,41.23344254136376,-8.617867038584558,0,0.0000,0,0.0000,2,0.1776,0,0.0000,0,0.0000,0,0.0000
179,646,1121,0.1753,15.8278,51.174541,41.23091508088583,-8.618038589476061,0,0.0000,0,0.0000,6,0.5352,2,0.1784,2,0.1784,1,0.0892
216,1265,1112,0.1739,16.8516,54.554434,41.23321616800963,-8.616207518264552,2,0.1799,0,0.0000,1,0.0899,0,0.0000,1,0.0899,0,0.0000
220,1277,1090,0.1705,16.1862,52.415918,41.23164026947575,-8.616617705772613,0,0.0000,0,0.0000,3,0.2752,1,0.0917,0,0.0000,2,0.1835
761,0,1083,0.1694,16.0351,52.227304,41.23111553731827,-8.617094455815467,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
613,2231,1034,0.1617,15.1973,49.138356,41.23074066204943,-8.61710028719052,0,0.0000,0,0.0000,1,0.0967,0,0.0000,0,0.0000,1,0.0967
38,57,997,0.1560,16.4814,51.334112,41.23062266909989,-8.617110534131747,0,0.0000,1,0.1003,0,0.0000,0,0.0000,0,0.0000,0,0.0000
190,1214,965,0.1509,16.7845,53.296539,41.2314655893176,-8.616056136580076,2,0.2073,0,0.0000,4,0.4145,1,0.1036,0,0.0000,1,0.1036
616,0,963,0.1506,15.7383,50.511059,41.23430256880192,-8.632502081664489,0,0.0000,0,0.0000,2,0.2077,1,0.1038,0,0.0000,1,0.1038
602,0,947,0.1481,17.7350,56.749958,41.231169179009406,-8.61761253458209,2,0.2112,0,0.0000,0,0.0000,1,0.1056,0,0.0000,0,0.0000
307,0,926,0.1448,18.9179,59.48405,41.231470116596704,-8.617919001820763,0,0.0000,0,0.0000,5,0.5400,0,0.0000,2,0.2160,0,0.0000
228,229,902,0.1411,15.7672,50.906575,41.23173198593957,-8.614335050093686,1,0.1109,1,0.1109,2,0.2217,0,0.0000,0,0.0000,0,0.0000
122,1080,897,0.1403,18.9532,59.507035,41.23582703087689,-8.619838251139985,1,0.1115,0,0.0000,4,0.4459,0,0.0000,0,0.0000,1,0.1115
667,0,857,0.1341,18.5939,57.982544,41.23288580409212,-8.621821988471247,0,0.0000,1,0.1167,0,0.0000,0,0.0000,0,0.0000,0,0.0000
234,941,847,0.1325,16.7025,53.928949,41.23314305597554,-8.618164305306646,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
661,0,842,0.1317,17.4086,55.318017,41.229306419537714,-8.616521088890497,1,0.1188,0,0.0000,3,0.3563,1,0.1188,1,0.1188,1,0.1188
203,0,789,0.1234,16.7858,54.685311,41.23376631661086,-8.61896622575636,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
108,0,776,0.1214,16.6662,53.353312,41.2307443859993,-8.616238139303803,0,0.0000,0,0.0000,9,1.1598,0,0.0000,0,0.0000,0,0.0000
454,0,760,0.1189,19.8895,62.000145,41.23031697827589,-8.617723309600173,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
559,0,755,0.1181,18.2450,57.730477,41.231464903678265,-8.619731522092044,0,0.0000,0,0.0000,3,0.3974,0,0.0000,2,0.2649,0,0.0000
