pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,97233,11.1551,18.8575,58.965465,41.17182342977836,-8.676985213843045,41,0.0422,5,0.0051,0,0.0000,6,0.0062,9,0.0093,0,0.0000
676,2629,96570,11.0790,16.3977,52.520086,41.171703005201216,-8.676883490325459,28,0.0290,21,0.0217,178,0.1843,2,0.0021,23,0.0238,28,0.0290
592,2330,96494,11.0703,15.7090,50.690602,41.171711418474786,-8.67689090900452,18,0.0187,21,0.0218,199,0.2062,16,0.0166,38,0.0394,20,0.0207
50,59,67526,7.7469,16.1369,51.716169,41.17235566878552,-8.678339204548237,18,0.0267,14,0.0207,128,0.1896,26,0.0385,19,0.0281,0,0.0000
453,0,48615,5.5774,18.5661,58.222607,41.17162490759298,-8.676823787475556,21,0.0432,3,0.0062,82,0.1687,6,0.0123,5,0.0103,6,0.0123
574,0,48476,5.5614,15.5695,50.028831,41.17174692236284,-8.676969787855226,10,0.0206,14,0.0289,121,0.2496,14,0.0289,17,0.0351,10,0.0206
194,1226,48137,5.5225,16.4170,52.299672,41.17158657315519,-8.676830922657413,15,0.0312,8,0.0166,91,0.1890,15,0.0312,4,0.0083,0,0.0000
25,598,33752,3.8722,15.7326,50.871651,41.17233784606612,-8.678383677695575,11,0.0326,3,0.0089,67,0.1985,3,0.0089,14,0.0415,17,0.0504
359,830,24554,2.8170,15.4681,49.865622,41.171781834891554,-8.676947444256271,10,0.0407,5,0.0204,399,1.6250,2,0.0081,4,0.0163,4,0.0163
592,2168,24192,2.7754,15.6687,50.630433,41.17166441090441,-8.676854040989523,2,0.0083,6,0.0248,45,0.1860,5,0.0207,4,0.0165,7,0.0289
396,1658,13466,1.5449,16.5140,52.54139,41.169554043831866,-8.677759032806106,2,0.0149,2,0.0149,18,0.1337,6,0.0446,3,0.0223,4,0.0297
109,703,11872,1.3620,19.7393,61.463958,41.17369344589971,-8.676751279175157,5,0.0421,0,0.0000,26,0.2190,0,0.0000,1,0.0084,11,0.0927
915,0,7202,0.8263,16.8735,53.801378,41.1716420322513,-8.67680506986775,4,0.0555,2,0.0278,16,0.2222,4,0.0555,2,0.0278,3,0.0417
155,1127,7069,0.8110,15.9163,51.8112,41.16375000311041,-8.66550170590855,2,0.0283,4,0.0566,17,0.2405,1,0.0141,1,0.0141,0,0.0000
27,51,5795,0.6648,16.4036,52.234596,41.16443352087054,-8.669688493791288,0,0.0000,1,0.0173,8,0.1381,0,0.0000,0,0.0000,2,0.0345
37,55,5152,0.5911,16.2378,51.431603,41.17368364225404,-8.678121421115403,1,0.0194,3,0.0582,12,0.2329,0,0.0000,1,0.0194,1,0.0194
237,0,4999,0.5735,19.1004,59.937344,41.17156667335975,-8.676951852137222,2,0.0400,1,0.0200,11,0.2200,0,0.0000,0,0.0000,2,0.0400
261,1367,4967,0.5698,15.5873,50.196561,41.16794837158799,-8.680381574474248,1,0.0201,0,0.0000,8,0.1611,1,0.0201,1,0.0201,0,0.0000
585,587,4613,0.5292,17.0518,54.286146,41.173664997624456,-8.67765452539811,2,0.0434,0,0.0000,0,0.0000,2,0.0434,2,0.0434,0,0.0000
684,0,4052,0.4649,18.8127,59.081402,41.17325766734098,-8.677456519120584,1,0.0247,0,0.0000,8,0.1974,0,0.0000,1,0.0247,1,0.0247
434,791,3939,0.4519,19.1008,59.59098,41.163202071735384,-8.674155665524722,2,0.0508,0,0.0000,0,0.0000,1,0.0254,0,0.0000,0,0.0000
506,0,3827,0.4391,16.7468,53.931986,41.174048981108406,-8.676008345653957,4,0.1045,0,0.0000,7,0.1829,0,0.0000,2,0.0523,0,0.0000
273,625,3814,0.4376,16.3408,52.094043,41.17127746653369,-8.676061237151503,1,0.0262,0,0.0000,9,0.2360,3,0.0787,1,0.0262,2,0.0524
285,0,3569,0.4095,16.1393,51.865727,41.17318415755037,-8.67799716136237,2,0.0560,1,0.0280,8,0.2242,1,0.0280,0,0.0000,1,0.0280
427,0,3528,0.4048,16.5306,53.062458,41.1710190313444,-8.674443233187805,2,0.0567,2,0.0567,5,0.1417,1,0.0283,2,0.0567,0,0.0000
513,0,3509,0.4026,16.5694,53.155902,41.172310643717736,-8.677226703480356,1,0.0285,0,0.0000,6,0.1710,0,0.0000,0,0.0000,0,0.0000
158,1136,3502,0.4018,15.8547,50.643435,41.17321216963219,-8.676474376865983,0,0.0000,1,0.0286,10,0.2856,2,0.0571,3,0.0857,3,0.0857
519,0,3480,0.3992,17.4287,54.201739,41.171337310189,-8.676286537334594,1,0.0287,1,0.0287,8,0.2299,1,0.0287,0,0.0000,0,0.0000
170,0,3473,0.3984,15.7774,51.486758,41.17219502486953,-8.678462389142773,3,0.0864,0,0.0000,6,0.1728,0,0.0000,0,0.0000,3,0.0864
41,157,3458,0.3967,19.7950,61.514644,41.17042596633503,-8.675694822459047,3,0.0868,0,0.0000,6,0.1735,0,0.0000,1,0.0289,0,0.0000
333,0,3375,0.3872,16.9230,54.093162,41.17008159877373,-8.673678009037559,1,0.0296,1,0.0296,10,0.2963,0,0.0000,0,0.0000,1,0.0296
590,0,3367,0.3863,19.5860,60.83752,41.173316162524706,-8.677513009991477,2,0.0594,0,0.0000,7,0.2079,0,0.0000,0,0.0000,2,0.0594
16,0,3299,0.3785,16.8093,53.695062,41.175984827342944,-8.677423820252566,1,0.0303,0,0.0000,5,0.1516,1,0.0303,0,0.0000,2,0.0606
921,0,3208,0.3680,15.9370,50.86448,41.171669449842895,-8.676598280889058,0,0.0000,1,0.0312,0,0.0000,0,0.0000,1,0.0312,1,0.0312
753,0,3202,0.3674,16.1027,53.422239,41.169510640689346,-8.677831857276296,3,0.0937,0,0.0000,7,0.2186,0,0.0000,0,0.0000,0,0.0000
702,0,3148,0.3612,19.1731,59.342065,41.17251930732233,-8.676131839096712,4,0.1271,0,0.0000,5,0.1588,0,0.0000,1,0.0318,0,0.0000
736,0,3138,0.3600,15.6530,50.912078,41.17218151140618,-8.677403342395298,0,0.0000,3,0.0956,4,0.1275,1,0.0319,1,0.0319,0,0.0000
263,946,3006,0.3449,16.2927,52.418141,41.17175654528743,-8.676925842771345,2,0.0665,1,0.0333,48,1.5968,2,0.0665,4,0.1331,0,0.0000
152,1118,2874,0.3297,16.3900,51.671632,41.17280943640031,-8.67699997665356,0,0.0000,0,0.0000,4,0.1392,0,0.0000,4,0.1392,2,0.0696
316,0,2772,0.3180,19.2244,60.333467,41.171194235772205,-8.676793395807424,0,0.0000,0,0.0000,7,0.2525,0,0.0000,0,0.0000,0,0.0000
304,1469,2766,0.3173,16.4046,52.472075,41.16811677104105,-8.67118117422184,1,0.0362,0,0.0000,3,0.1085,1,0.0362,1,0.0362,2,0.0723
580,0,2765,0.3172,15.6546,50.861928,41.17255490499363,-8.675949531325703,1,0.0362,0,0.0000,0,0.0000,0,0.0000,1,0.0362,1,0.0362
35,0,2738,0.3141,19.8126,61.427597,41.1695730005585,-8.674674201034495,1,0.0365,0,0.0000,7,0.2557,0,0.0000,0,0.0000,0,0.0000
557,0,2672,0.3065,17.4042,54.298133,41.17031394410032,-8.674029663495016,1,0.0374,0,0.0000,6,0.2246,1,0.0374,1,0.0374,0,0.0000
133,0,2614,0.2999,16.6064,52.727139,41.17143001225013,-8.678463805035435,1,0.0383,2,0.0765,7,0.2678,0,0.0000,5,0.1913,6,0.2295
110,706,2601,0.2984,20.0146,61.720658,41.17441289185751,-8.676519669188027,2,0.0769,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0384
456,0,2454,0.2815,15.6610,50.383089,41.17430156069513,-8.68159275014535,0,0.0000,1,0.0407,2,0.0815,2,0.0815,1,0.0407,0,0.0000
661,0,2436,0.2795,16.8805,53.863321,41.17837386209231,-8.682900200729556,1,0.0411,2,0.0821,5,0.2053,1,0.0411,2,0.0821,1,0.0411
203,0,2313,0.2654,16.8210,53.106589,41.170546473284936,-8.673058232113867,0,0.0000,0,0.0000,5,0.2162,0,0.0000,1,0.0432,0,0.0000
616,0,2270,0.2604,16.2361,50.637278,41.1884000395987,-8.682824782478649,0,0.0000,0,0.0000,3,0.1322,0,0.0000,0,0.0000,0,0.0000
767,0,2180,0.2501,16.0211,50.292642,41.173145895282744,-8.675633739894533,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0459,1,0.0459
122,1080,2111,0.2422,19.4344,60.773757,41.17473167956109,-8.678691481623204,1,0.0474,0,0.0000,4,0.1895,0,0.0000,0,0.0000,3,0.1421
527,0,2086,0.2393,15.5254,50.17895,41.17419063848822,-8.67861009311647,1,0.0479,0,0.0000,3,0.1438,1,0.0479,1,0.0479,0,0.0000
539,0,2069,0.2374,19.2465,59.657434,41.17014153530807,-8.674453132812706,0,0.0000,0,0.0000,2,0.0967,0,0.0000,0,0.0000,0,0.0000
431,0,1912,0.2194,16.4718,53.744692,41.17324796106647,-8.67863742693556,0,0.0000,0,0.0000,2,0.1046,2,0.1046,0,0.0000,0,0.0000
731,0,1868,0.2143,17.1033,54.398035,41.1778297475288,-8.683240269043985,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
296,1451,1865,0.2140,18.7668,59.665185,41.174435821623305,-8.676635167035675,1,0.0536,0,0.0000,6,0.3217,0,0.0000,0,0.0000,0,0.0000
265,0,1852,0.2125,16.0994,51.386971,41.17343669861211,-8.676782634875911,0,0.0000,1,0.0540,7,0.3780,1,0.0540,0,0.0000,0,0.0000
190,1214,1851,0.2124,16.6569,53.320108,41.16645273355281,-8.672159299106728,1,0.0540,2,0.1080,4,0.2161,0,0.0000,0,0.0000,0,0.0000
32,776,1798,0.2063,19.3053,59.781257,41.17315521174485,-8.67920254418683,2,0.1112,0,0.0000,4,0.2225,0,0.0000,2,0.1112,0,0.0000
751,0,1784,0.2047,15.5594,50.251676,41.16969024675328,-8.672995731565734,1,0.0561,0,0.0000,3,0.1682,0,0.0000,0,0.0000,0,0.0000
278,0,1752,0.2010,15.8602,50.757312,41.17236737892517,-8.678283776574887,0,0.0000,0,0.0000,4,0.2283,2,0.1142,0,0.0000,0,0.0000
179,646,1749,0.2007,15.9400,51.238125,41.171004328882496,-8.678374347337694,1,0.0572,0,0.0000,2,0.1144,1,0.0572,2,0.1144,0,0.0000
906,0,1723,0.1977,16.6866,53.285647,41.17141741809085,-8.67675559023165,1,0.0580,0,0.0000,0,0.0000,0,0.0000,2,0.1161,0,0.0000
919,0,1721,0.1974,15.7728,50.221517,41.17567636256734,-8.68232602723215,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
29,776,1711,0.1963,19.1812,59.198703,41.172808018154484,-8.678585701240943,1,0.0584,0,0.0000,3,0.1753,0,0.0000,1,0.0584,0,0.0000
274,628,1691,0.1940,16.5624,52.576405,41.171823029183486,-8.677115780121941,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
52,63,1677,0.1924,16.3304,53.00068,41.170438208707985,-8.673881056970243,1,0.0596,1,0.0596,3,0.1789,2,0.1193,0,0.0000,0,0.0000
909,0,1674,0.1921,16.8244,52.628429,41.17143296966689,-8.67657970614634,1,0.0597,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.1195
92,0,1664,0.1909,19.3810,60.252332,41.17298223683873,-8.67594523644588,0,0.0000,0,0.0000,3,0.1803,0,0.0000,0,0.0000,0,0.0000
338,0,1662,0.1907,17.7762,55.126438,41.17156475604764,-8.675916921049792,1,0.0602,1,0.0602,4,0.2407,0,0.0000,1,0.0602,0,0.0000
297,1454,1558,0.1787,19.4365,59.646175,41.173261123761,-8.674562589048062,2,0.1284,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
81,655,1549,0.1777,16.0594,51.320646,41.169321647380634,-8.675366977822621,0,0.0000,2,0.1291,1,0.0646,0,0.0000,1,0.0646,0,0.0000
912,0,1532,0.1758,16.0392,51.364961,41.171209228201974,-8.676625644133415,1,0.0653,0,0.0000,0,0.0000,0,0.0000,1,0.0653,0,0.0000
176,0,1524,0.1748,18.6437,59.024475,41.174160753509284,-8.671781418545203,0,0.0000,1,0.0656,3,0.1969,0,0.0000,1,0.0656,0,0.0000
353,908,1517,0.1740,15.2103,49.755933,41.16699959407127,-8.670864446039895,0,0.0000,0,0.0000,2,0.1318,1,0.0659,1,0.0659,1,0.0659
220,1277,1504,0.1725,16.2314,52.210499,41.17193302027905,-8.677182015848528,0,0.0000,1,0.0665,2,0.1330,0,0.0000,0,0.0000,2,0.1330
667,0,1497,0.1717,17.6874,55.80654,41.172047512362504,-8.674176241183803,1,0.0668,1,0.0668,1,0.0668,0,0.0000,1,0.0668,0,0.0000
613,2231,1490,0.1709,15.3503,50.879913,41.171292236046,-8.676306362795073,0,0.0000,0,0.0000,2,0.1342,1,0.0671,0,0.0000,0,0.0000
84,0,1486,0.1705,17.0579,52.90107,41.17202784953457,-8.676284052883183,0,0.0000,0,0.0000,2,0.1346,0,0.0000,0,0.0000,0,0.0000
761,0,1474,0.1691,16.0543,51.85732,41.17156902402975,-8.676850975852863,1,0.0678,1,0.0678,0,0.0000,2,0.1357,0,0.0000,2,0.1357
167,0,1470,0.1686,19.6823,60.248021,41.17158285042347,-8.677613603469196,0,0.0000,0,0.0000,4,0.2721,0,0.0000,0,0.0000,0,0.0000
554,2063,1468,0.1684,16.6001,51.822609,41.168269951294064,-8.671618886806648,0,0.0000,1,0.0681,2,0.1362,0,0.0000,2,0.1362,0,0.0000
163,0,1425,0.1635,16.7172,53.266295,41.17454963958296,-8.678796044359762,0,0.0000,0,0.0000,6,0.4211,0,0.0000,0,0.0000,0,0.0000
100,2728,1406,0.1613,16.5939,53.118386,41.17086703596825,-8.675247428550474,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0711
307,0,1378,0.1581,19.2264,59.050058,41.17136592417012,-8.67864721218842,1,0.0726,0,0.0000,7,0.5080,0,0.0000,2,0.1451,0,0.0000
216,1265,1360,0.1560,17.1684,53.485338,41.17356117613074,-8.679492310988845,0,0.0000,1,0.0735,1,0.0735,0,0.0000,0,0.0000,1,0.0735
777,0,1351,0.1550,16.1051,51.152154,41.16663836463022,-8.670661088542362,1,0.0740,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0740
58,280,1343,0.1541,16.8377,52.355614,41.173897611163596,-8.676949331362101,0,0.0000,1,0.0745,5,0.3723,0,0.0000,0,0.0000,0,0.0000
280,292,1282,0.1471,19.4282,59.018924,41.16794906644893,-8.674253544389147,0,0.0000,0,0.0000,1,0.0780,0,0.0000,0,0.0000,0,0.0000
602,0,1270,0.1457,18.3118,56.906292,41.17210838621517,-8.677219152919136,1,0.0787,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
228,229,1255,0.1440,16.1434,51.190861,41.17368737083596,-8.68127350396848,1,0.0797,0,0.0000,4,0.3187,0,0.0000,1,0.0797,0,0.0000
548,0,1229,0.1410,17.7388,55.27345,41.17946680782737,-8.681660540478761,0,0.0000,0,0.0000,2,0.1627,0,0.0000,0,0.0000,0,0.0000
13,616,1202,0.1379,19.1647,60.114518,41.17213579758925,-8.677854971037078,1,0.0832,0,0.0000,1,0.0832,1,0.0832,0,0.0000,0,0.0000
618,2345,1198,0.1374,16.6127,52.268456,41.17217431100842,-8.677172885500589,0,0.0000,0,0.0000,19,1.5860,0,0.0000,0,0.0000,0,0.0000
559,0,1192,0.1368,18.6267,58.03896,41.17054900428011,-8.67508555673075,0,0.0000,1,0.0839,3,0.2517,0,0.0000,0,0.0000,1,0.0839
108,0,1090,0.1251,16.6018,52.917422,41.17106918152165,-8.675597079354121,0,0.0000,0,0.0000,19,1.7431,1,0.0917,0,0.0000,0,0.0000
454,0,1065,0.1222,19.8197,61.308329,41.17064455870817,-8.67658731679673,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
38,57,1065,0.1222,15.8901,51.371934,41.17253342404666,-8.678855865220235,0,0.0000,1,0.0939,0,0.0000,0,0.0000,0,0.0000,0,0.0000
42,160,1033,0.1185,19.4676,61.29939,41.167971423966,-8.672162681983608,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
204,1244,1028,0.1179,15.7714,50.542666,41.17095651058785,-8.672506863157285,0,0.0000,0,0.0000,14,1.3619,0,0.0000,0,0.0000,0,0.0000
