pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,41244,11.3136,15.4333,50.022192,38.705796945924334,-8.963088848204482,9,0.0218,17,0.0412,78,0.1891,12,0.0291,16,0.0388,10,0.0242
747,0,40942,11.2307,18.4760,57.857243,38.70582345894831,-8.963194863874271,18,0.0440,3,0.0073,0,0.0000,7,0.0171,6,0.0147,0,0.0000
676,2629,40897,11.2184,16.4239,52.622138,38.705720984103166,-8.963047807973197,11,0.0269,8,0.0196,77,0.1883,1,0.0024,6,0.0147,11,0.0269
50,59,28854,7.9149,16.4553,52.712876,38.7050171392303,-8.962294470496705,12,0.0416,5,0.0173,57,0.1975,8,0.0277,3,0.0104,0,0.0000
194,1226,20642,5.6623,16.5721,52.924664,38.70572350698655,-8.96308202228904,7,0.0339,4,0.0194,40,0.1938,5,0.0242,0,0.0000,0,0.0000
453,0,20547,5.6362,18.4734,57.832702,38.705843174819826,-8.963141226613688,6,0.0292,2,0.0097,41,0.1995,2,0.0097,3,0.0146,1,0.0049
574,0,20503,5.6241,15.4989,50.029959,38.7057711702394,-8.963050770535583,5,0.0244,5,0.0244,34,0.1658,10,0.0488,7,0.0341,2,0.0098
25,598,14790,4.0570,15.6480,50.051092,38.70498553124857,-8.962195956930875,2,0.0135,2,0.0135,31,0.2096,5,0.0338,3,0.0203,6,0.0406
359,830,10244,2.8100,15.3854,49.702383,38.70569537692161,-8.96274123720239,1,0.0098,3,0.0293,155,1.5131,2,0.0195,2,0.0195,4,0.0390
592,2168,10207,2.7999,15.4587,50.021864,38.705778301850046,-8.963019548895302,2,0.0196,3,0.0294,25,0.2449,3,0.0294,3,0.0294,1,0.0098
109,703,5156,1.4143,19.9672,61.334802,38.70677798859664,-8.968541209249496,1,0.0194,0,0.0000,10,0.1939,0,0.0000,1,0.0194,4,0.0776
915,0,3075,0.8435,16.9824,53.969317,38.70571140825304,-8.962539030300372,1,0.0325,0,0.0000,6,0.1951,0,0.0000,0,0.0000,1,0.0325
37,55,2593,0.7113,16.5156,52.995665,38.70636664392611,-8.965058699931374,1,0.0386,0,0.0000,4,0.1543,0,0.0000,0,0.0000,2,0.0771
155,1127,2410,0.6611,16.4315,52.906374,38.70797918435627,-8.96078786785072,1,0.0415,0,0.0000,4,0.1660,0,0.0000,2,0.0830,1,0.0415
16,0,2400,0.6583,16.8021,53.389704,38.704612706662815,-8.961456098232873,1,0.0417,0,0.0000,5,0.2083,0,0.0000,2,0.0833,1,0.0417
506,0,2326,0.6380,16.9536,53.289415,38.70622093696684,-8.964415917610166,2,0.0860,0,0.0000,3,0.1290,0,0.0000,1,0.0430,1,0.0430
684,0,2227,0.6109,18.6798,58.625878,38.70572160935671,-8.962928440076178,2,0.0898,0,0.0000,5,0.2245,0,0.0000,0,0.0000,2,0.0898
513,0,2080,0.5706,17.3365,54.557769,38.70562571221033,-8.961323726583243,1,0.0481,0,0.0000,8,0.3846,0,0.0000,0,0.0000,0,0.0000
237,0,2041,0.5599,19.5341,59.787707,38.70591469264059,-8.963336670229955,0,0.0000,0,0.0000,5,0.2450,0,0.0000,0,0.0000,0,0.0000
456,0,1968,0.5398,15.6179,49.650996,38.70891065883591,-8.963087120792983,0,0.0000,1,0.0508,3,0.1524,1,0.0508,0,0.0000,0,0.0000
52,63,1846,0.5064,16.5135,52.625564,38.70497683159098,-8.953469549938086,0,0.0000,0,0.0000,9,0.4875,1,0.0542,0,0.0000,0,0.0000
273,625,1837,0.5039,17.1981,54.273255,38.70613381387165,-8.965331098305786,0,0.0000,0,0.0000,3,0.1633,1,0.0544,0,0.0000,0,0.0000
27,51,1810,0.4965,16.6646,54.038039,38.70700247974953,-8.9664715639467,0,0.0000,0,0.0000,1,0.0552,0,0.0000,0,0.0000,0,0.0000
261,1367,1754,0.4811,15.5319,49.93805,38.708571146360974,-8.961286832761266,0,0.0000,0,0.0000,4,0.2281,1,0.0570,0,0.0000,0,0.0000
590,0,1747,0.4792,19.7647,61.129565,38.7070022753404,-8.968307951043755,1,0.0572,0,0.0000,4,0.2290,0,0.0000,0,0.0000,1,0.0572
285,0,1714,0.4702,16.5058,52.524277,38.706344996782995,-8.963090192594755,0,0.0000,2,0.1167,4,0.2334,1,0.0583,0,0.0000,0,0.0000
702,0,1589,0.4359,18.7086,58.804261,38.70540567352099,-8.962774533750581,2,0.1259,0,0.0000,6,0.3776,0,0.0000,0,0.0000,0,0.0000
427,0,1587,0.4353,16.5709,53.168022,38.708343550197974,-8.960926703695852,0,0.0000,0,0.0000,6,0.3781,0,0.0000,0,0.0000,1,0.0630
736,0,1534,0.4208,15.2555,49.936226,38.70535852141624,-8.96150346295737,0,0.0000,1,0.0652,4,0.2608,0,0.0000,0,0.0000,1,0.0652
122,1080,1496,0.4104,19.4151,60.331243,38.70605715031952,-8.963431463244158,1,0.0668,0,0.0000,5,0.3342,0,0.0000,0,0.0000,0,0.0000
434,791,1486,0.4076,19.3452,60.412752,38.70670953902439,-8.96599699794719,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
41,157,1465,0.4019,19.3078,60.580969,38.708052096266414,-8.96346201021278,0,0.0000,0,0.0000,4,0.2730,0,0.0000,0,0.0000,0,0.0000
585,587,1396,0.3829,17.2693,56.082522,38.70617068182136,-8.963757622962737,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
333,0,1370,0.3758,16.8496,53.211555,38.702539360395754,-8.960624248410841,1,0.0730,0,0.0000,2,0.1460,1,0.0730,1,0.0730,0,0.0000
13,616,1364,0.3742,18.7075,58.431202,38.70411541983863,-8.956940739476137,0,0.0000,0,0.0000,4,0.2933,1,0.0733,1,0.0733,0,0.0000
316,0,1320,0.3621,19.1864,60.412424,38.70599241420386,-8.963148147737133,2,0.1515,1,0.0758,2,0.1515,0,0.0000,0,0.0000,0,0.0000
263,946,1301,0.3569,16.3789,53.027479,38.70546973843128,-8.962280021777966,0,0.0000,0,0.0000,19,1.4604,0,0.0000,2,0.1537,0,0.0000
921,0,1286,0.3528,15.3398,50.521625,38.705678143472035,-8.963269552240613,2,0.1555,0,0.0000,0,0.0000,0,0.0000,2,0.1555,1,0.0778
158,1136,1286,0.3528,15.3274,49.438429,38.70664040918407,-8.963857683272018,0,0.0000,0,0.0000,1,0.0778,0,0.0000,0,0.0000,0,0.0000
133,0,1281,0.3514,16.3240,53.357541,38.7047069861064,-8.964286197207187,1,0.0781,0,0.0000,2,0.1561,0,0.0000,2,0.1561,4,0.3123
170,0,1278,0.3506,15.4859,50.267825,38.70525755998057,-8.962353297215575,0,0.0000,0,0.0000,2,0.1565,0,0.0000,0,0.0000,0,0.0000
431,0,1258,0.3451,16.8203,53.75376,38.705567903008934,-8.96191896991611,0,0.0000,0,0.0000,2,0.1590,0,0.0000,1,0.0795,0,0.0000
163,0,1184,0.3248,16.8243,53.089316,38.705476523163384,-8.96428576861423,1,0.0845,0,0.0000,3,0.2534,0,0.0000,0,0.0000,0,0.0000
519,0,1154,0.3166,17.4003,54.007348,38.705768585362236,-8.96333122222763,0,0.0000,0,0.0000,4,0.3466,0,0.0000,1,0.0867,0,0.0000
152,1118,1104,0.3028,16.4556,53.031431,38.70569500609858,-8.964085919570847,0,0.0000,0,0.0000,2,0.1812,1,0.0906,0,0.0000,0,0.0000
110,706,1074,0.2946,19.6331,61.16284,38.70718261598132,-8.97043582509795,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.1862
48,259,1061,0.2910,18.5363,58.489925,38.70844963382541,-8.973687379907785,0,0.0000,0,0.0000,2,0.1885,0,0.0000,0,0.0000,0,0.0000
58,280,1048,0.2875,17.1880,55.159103,38.70307324038138,-8.96041548835731,1,0.0954,0,0.0000,0,0.0000,0,0.0000,1,0.0954,0,0.0000
731,0,996,0.2732,16.5884,53.688273,38.70514640542055,-8.961896445483408,1,0.1004,0,0.0000,0,0.0000,0,0.0000,1,0.1004,0,0.0000
667,0,953,0.2614,18.2371,57.099276,38.70535338175554,-8.957291458915934,0,0.0000,0,0.0000,3,0.3148,0,0.0000,1,0.1049,0,0.0000
539,0,946,0.2595,18.9979,58.891195,38.70598931828318,-8.963243284821194,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
92,0,920,0.2524,19.1250,59.828413,38.70588049919204,-8.966766744998043,1,0.1087,1,0.1087,3,0.3261,0,0.0000,0,0.0000,0,0.0000
396,1658,905,0.2482,16.5492,52.120508,38.709525188208424,-8.968726329678297,0,0.0000,0,0.0000,0,0.0000,1,0.1105,0,0.0000,0,0.0000
84,0,882,0.2419,16.5737,52.121451,38.70592518799365,-8.961332996453457,0,0.0000,0,0.0000,3,0.3401,0,0.0000,0,0.0000,0,0.0000
35,0,861,0.2362,19.6829,61.016725,38.70559038947321,-8.962708620241642,0,0.0000,0,0.0000,3,0.3484,0,0.0000,0,0.0000,0,0.0000
111,846,855,0.2345,18.0269,55.13207,38.71189898481641,-8.968928136499155,2,0.2339,0,0.0000,2,0.2339,0,0.0000,0,0.0000,0,0.0000
190,1214,840,0.2304,16.7071,53.275131,38.7041396937868,-8.961682863294936,0,0.0000,0,0.0000,3,0.3571,0,0.0000,0,0.0000,1,0.1190
29,776,820,0.2249,18.8951,59.517732,38.70514338537954,-8.964256864580658,1,0.1220,0,0.0000,0,0.0000,0,0.0000,2,0.2439,0,0.0000
527,0,810,0.2222,15.5407,50.359259,38.70680923546525,-8.96657241264997,0,0.0000,0,0.0000,2,0.2469,1,0.1235,0,0.0000,0,0.0000
906,0,805,0.2208,16.3553,55.343056,38.70590519191971,-8.96260380166614,1,0.1242,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
274,628,764,0.2096,16.8547,55.026126,38.70587921873264,-8.963483501023214,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
228,229,759,0.2082,16.2754,51.286759,38.70771164802293,-8.969997175526958,1,0.1318,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
909,0,754,0.2068,17.8767,54.229072,38.70574682869419,-8.963223090963897,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
296,1451,745,0.2044,18.7758,60.340215,38.707511371473146,-8.972123219533145,0,0.0000,0,0.0000,1,0.1342,0,0.0000,0,0.0000,0,0.0000
338,0,716,0.1964,17.0489,54.739288,38.705500910745364,-8.962707857395063,1,0.1397,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
529,0,709,0.1945,16.4133,53.126389,38.70284681791747,-8.965175787785263,0,0.0000,0,0.0000,2,0.2821,0,0.0000,1,0.1410,0,0.0000
203,0,705,0.1934,17.0851,53.156936,38.7043141883393,-8.96544122579007,1,0.1418,0,0.0000,3,0.4255,0,0.0000,0,0.0000,0,0.0000
280,292,692,0.1898,18.7962,58.452124,38.70374329504759,-8.964049915993298,2,0.2890,0,0.0000,3,0.4335,0,0.0000,0,0.0000,0,0.0000
