pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,199288,11.0833,18.7020,58.540169,38.77724608211925,-9.141138249296944,93,0.0467,16,0.0080,0,0.0000,18,0.0090,22,0.0110,0,0.0000
592,2330,199003,11.0674,15.5174,50.037374,38.77720094450987,-9.141028800185563,46,0.0231,45,0.0226,390,0.1960,41,0.0206,83,0.0417,42,0.0211
676,2629,198510,11.0400,16.2860,52.085469,38.777236816113984,-9.141102329289666,54,0.0272,23,0.0116,421,0.2121,9,0.0045,23,0.0116,54,0.0272
50,59,149887,8.3359,16.5537,52.713733,38.7772032733255,-9.13997118650487,39,0.0260,21,0.0140,293,0.1955,42,0.0280,26,0.0173,0,0.0000
574,0,99773,5.5488,15.5089,49.961087,38.77732262106329,-9.141198017725573,33,0.0331,18,0.0180,185,0.1854,37,0.0371,60,0.0601,28,0.0281
453,0,99056,5.5089,18.6783,58.458839,38.777148695004755,-9.141178530690606,50,0.0505,14,0.0141,191,0.1928,15,0.0151,6,0.0061,18,0.0182
194,1226,98501,5.4781,16.5458,52.712797,38.77716138734499,-9.141120699091491,30,0.0305,24,0.0244,202,0.2051,21,0.0213,10,0.0102,0,0.0000
25,598,75180,4.1811,15.5207,50.09799,38.7771861426005,-9.140059578681086,25,0.0333,26,0.0346,154,0.2048,21,0.0279,16,0.0213,44,0.0585
592,2168,50003,2.7809,15.4835,50.090464,38.77727360457644,-9.14129014049649,8,0.0160,14,0.0280,98,0.1960,6,0.0120,20,0.0400,15,0.0300
359,830,49660,2.7618,15.5830,50.090498,38.77727629168704,-9.141338581090897,16,0.0322,12,0.0242,753,1.5163,5,0.0101,11,0.0222,9,0.0181
109,703,29380,1.6339,19.9053,61.829197,38.77262193446195,-9.135713692793436,14,0.0477,0,0.0000,56,0.1906,1,0.0034,0,0.0000,22,0.0749
915,0,14224,0.7911,16.6452,53.105383,38.7772598652366,-9.141419513138374,5,0.0352,5,0.0352,22,0.1547,3,0.0211,2,0.0141,2,0.0141
48,259,12268,0.6823,18.9156,58.651057,38.77787934278071,-9.126066236464535,7,0.0571,1,0.0082,31,0.2527,1,0.0082,1,0.0082,7,0.0571
27,51,11740,0.6529,16.8563,53.959129,38.78040572459185,-9.144620855154242,2,0.0170,2,0.0170,25,0.2129,0,0.0000,3,0.0256,4,0.0341
37,55,10503,0.5841,16.5838,52.766328,38.77759402784442,-9.140242350893429,3,0.0286,1,0.0095,21,0.1999,2,0.0190,1,0.0095,6,0.0571
237,0,10147,0.5643,19.3328,60.496722,38.77707116803822,-9.141581333983666,3,0.0296,1,0.0099,19,0.1872,0,0.0000,3,0.0296,3,0.0296
585,587,10082,0.5607,17.1618,54.763593,38.772889090569265,-9.140672334874026,5,0.0496,3,0.0298,0,0.0000,2,0.0198,2,0.0198,2,0.0198
41,157,9424,0.5241,19.7874,61.436277,38.77767028744883,-9.149691316719153,8,0.0849,0,0.0000,17,0.1804,0,0.0000,0,0.0000,0,0.0000
304,1469,9359,0.5205,16.2527,51.799961,38.78021979117095,-9.142546092899856,2,0.0214,1,0.0107,17,0.1816,3,0.0321,4,0.0427,3,0.0321
285,0,9097,0.5059,16.6316,52.806191,38.7748062981648,-9.139759130979611,0,0.0000,1,0.0110,21,0.2308,3,0.0330,2,0.0220,1,0.0110
513,0,8060,0.4483,17.2081,54.504263,38.77872998396012,-9.143922417570796,4,0.0496,1,0.0124,13,0.1613,0,0.0000,0,0.0000,3,0.0372
58,280,7817,0.4347,16.6592,53.604547,38.78717145868364,-9.164726742367971,3,0.0384,0,0.0000,13,0.1663,0,0.0000,4,0.0512,2,0.0256
273,625,7805,0.4341,16.9509,54.085297,38.77687575388686,-9.139455732684114,3,0.0384,1,0.0128,15,0.1922,1,0.0128,2,0.0256,1,0.0128
155,1127,7662,0.4261,16.4646,52.527934,38.77661833339204,-9.140854130116004,1,0.0131,2,0.0261,13,0.1697,1,0.0131,0,0.0000,0,0.0000
684,0,7286,0.4052,18.9713,59.257925,38.77945193872185,-9.146690699802084,5,0.0686,2,0.0274,11,0.1510,1,0.0137,0,0.0000,5,0.0686
35,0,7068,0.3931,20.1886,62.536306,38.7790321917652,-9.142585329313805,5,0.0707,0,0.0000,12,0.1698,0,0.0000,0,0.0000,0,0.0000
100,2728,6917,0.3847,16.3290,53.073724,38.77766638314035,-9.152285042830483,3,0.0434,1,0.0145,0,0.0000,2,0.0289,1,0.0145,4,0.0578
333,0,6877,0.3825,16.7782,53.283252,38.7803593096026,-9.143676059069643,3,0.0436,0,0.0000,9,0.1309,1,0.0145,2,0.0291,1,0.0145
590,0,6789,0.3776,19.9499,62.167269,38.777593266724004,-9.14426190419229,4,0.0589,1,0.0147,11,0.1620,0,0.0000,0,0.0000,4,0.0589
152,1118,6697,0.3724,16.3785,52.332931,38.77787867533942,-9.140093718719623,1,0.0149,1,0.0149,8,0.1195,1,0.0149,9,0.1344,0,0.0000
110,706,6683,0.3717,20.3063,62.013386,38.7703185820273,-9.133885691267166,6,0.0898,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0299
16,0,6623,0.3683,16.6693,53.054823,38.776485230565626,-9.138895885358563,0,0.0000,0,0.0000,11,0.1661,2,0.0302,2,0.0302,1,0.0151
580,0,6535,0.3634,15.3818,49.641778,38.77429982859752,-9.13168325573667,1,0.0153,3,0.0459,0,0.0000,1,0.0153,2,0.0306,1,0.0153
519,0,6236,0.3468,16.8884,53.183668,38.780165521092684,-9.145950218274853,1,0.0160,2,0.0321,16,0.2566,4,0.0641,3,0.0481,3,0.0481
557,0,6184,0.3439,16.6011,52.867275,38.77617130866111,-9.138521489054195,0,0.0000,1,0.0162,6,0.0970,0,0.0000,2,0.0323,1,0.0162
702,0,6155,0.3423,18.7569,58.87858,38.77763671854549,-9.144882884932132,4,0.0650,0,0.0000,11,0.1787,0,0.0000,0,0.0000,0,0.0000
263,946,6153,0.3422,16.1797,52.316634,38.777068353928335,-9.140716104806858,2,0.0325,0,0.0000,86,1.3977,3,0.0488,0,0.0000,2,0.0325
921,0,6124,0.3406,15.4820,50.020699,38.77710684205949,-9.141089035834753,3,0.0490,1,0.0163,0,0.0000,0,0.0000,6,0.0980,1,0.0163
