pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,22123,9334.5992,8.240443763528878,0.40203074074814893,3.0141,8.8523,8.8532,8.8391,18.8985,58.987863,40.61986580036041,-8.592178544878843,5,0.0226,4,0.0181,0,0.0000,0,0.0000,2,0.0090,0,0.0000
592,2330,21843,9216.4557,33.785685599175004,1.1990286824161887,3.0012,7.5616,7.4978,7.5354,15.5661,50.210537,40.61970025832275,-8.592153560072513,12,0.0549,5,0.0229,49,0.2243,6,0.0275,16,0.0733,6,0.0275
676,2629,21462,9055.6962,28.830583931992944,1.2014322419022594,3.0011,7.9620,7.9139,7.9662,16.4892,52.982439,40.61980067199761,-8.592239059224548,5,0.0233,2,0.0093,53,0.2469,1,0.0047,1,0.0047,5,0.0233
50,59,21092,8899.5781,0.8219361397477053,0.20010587431458626,2.9977,7.6887,7.7088,7.7413,15.9194,51.419379,40.61983673019146,-8.591634015087173,4,0.0190,2,0.0095,38,0.1802,4,0.0190,4,0.0190,0,0.0000
574,0,11150,4704.6414,5.967971190510683,0.40154218496132993,3.0145,7.4805,7.5521,7.4658,15.6064,49.99658,40.61987525734513,-8.592203747423865,3,0.0269,0,0.0000,25,0.2242,4,0.0359,3,0.0269,5,0.0448
453,0,10923,4608.8608,23.56235624350817,0.6999893337256218,2.9986,8.8972,8.8779,8.7925,18.7723,59.03896,40.61976263641574,-8.592175048236792,10,0.0915,0,0.0000,27,0.2472,0,0.0000,1,0.0092,1,0.0092
194,1226,10874,4588.1857,8.752701647784631,0.4106965954616434,3.0006,7.7997,7.7767,7.8113,16.1325,51.972691,40.61976011475027,-8.5921655551717,4,0.0368,1,0.0092,24,0.2207,3,0.0276,3,0.0276,0,0.0000
25,598,10442,4405.9072,6.134287685615508,0.3995475392881076,3.0021,7.6126,7.5554,7.4652,15.5390,50.29624,40.61960391306418,-8.591461325726662,1,0.0096,4,0.0383,16,0.1532,1,0.0096,1,0.0096,4,0.0383
359,830,5444,2297.0464,47.63146290183067,1.194805230649517,2.9919,7.5617,7.4998,7.5975,15.4837,50.353439,40.61971866568789,-8.59247497430157,0,0.0000,1,0.0184,84,1.5430,2,0.0367,3,0.0551,1,0.0184
592,2168,5419,2286.4979,33.76872511159936,1.200295631549833,3.0039,7.5001,7.7035,7.4394,15.4427,50.317616,40.61958434380335,-8.592454100947448,0,0.0000,0,0.0000,9,0.1661,2,0.0369,0,0.0000,1,0.0185
