pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,37495,13734.4322,33.875538370939346,1.2009178109139116,3.0024,7.5510,7.5350,7.5454,15.5407,50.291857,40.213447835389836,-8.25309754254172,4,0.0107,9,0.0240,77,0.2054,10,0.0267,8,0.0213,9,0.0240
676,2629,37060,13575.0916,28.72338044408876,1.2000389740753714,2.9997,7.8940,7.9820,7.9663,16.5519,52.982725,40.21350805405544,-8.2529054550192,17,0.0459,9,0.0243,65,0.1754,2,0.0054,6,0.0162,17,0.0459
747,0,36950,13534.7985,8.245639980796348,0.4019923298190092,3.0168,8.2880,8.3037,8.3268,17.5145,55.374437,40.21336193132454,-8.252874494920976,7,0.0189,7,0.0189,0,0.0000,7,0.0189,6,0.0162,0,0.0000
50,59,36243,13275.8242,0.8221982744317542,0.20026970417283618,3.0024,8.2793,8.2495,8.2769,17.3754,55.123915,40.21343031415678,-8.25302809426153,16,0.0441,5,0.0138,73,0.2014,6,0.0166,6,0.0166,0,0.0000
574,0,18690,6846.1538,5.962284034679401,0.40165675497671255,3.0148,7.5020,7.4635,7.4132,15.4375,49.730444,40.2135479782312,-8.252932027915241,5,0.0268,4,0.0214,28,0.1498,6,0.0321,10,0.0535,1,0.0054
453,0,18664,6836.6300,23.583631705496728,0.6997986281847647,2.9980,8.2862,8.2598,8.2849,17.4333,55.179664,40.21368414459747,-8.253123146254147,12,0.0643,3,0.0161,30,0.1607,0,0.0000,4,0.0214,1,0.0054
194,1226,18656,6833.6996,8.74463746751079,0.4105586095502706,3.0028,8.2632,8.2575,8.2652,17.5092,55.079691,40.213459596133696,-8.252965026874904,3,0.0161,2,0.0107,36,0.1930,2,0.0107,1,0.0054,0,0.0000
25,598,18186,6661.5385,6.19670803695786,0.40105455718750976,3.0028,7.5032,7.5255,7.5455,15.6705,50.164997,40.21350045735417,-8.25309130936993,4,0.0220,4,0.0220,34,0.1870,2,0.0110,4,0.0220,11,0.0605
592,2168,9470,3468.8645,34.020438722023705,1.2017856630796564,3.0004,7.6018,7.5947,7.5023,15.6156,50.441908,40.213627282131384,-8.25293803635629,8,0.0845,0,0.0000,22,0.2323,1,0.0106,12,0.1267,4,0.0422
359,830,9320,3413.9194,47.97400647971607,1.1979965675018016,3.0039,7.4878,7.4467,7.5097,15.6043,49.875768,40.21339548076399,-8.25277474419709,3,0.0322,2,0.0215,163,1.7489,1,0.0107,3,0.0322,2,0.0215
915,0,2909,1065.5678,10.40709622289424,0.4986774104776173,3.0014,8.2094,8.0553,8.2970,17.1901,54.581688,40.21349973174791,-8.253053189865918,1,0.0344,0,0.0000,2,0.0688,0,0.0000,1,0.0344,1,0.0344
27,51,2761,1011.3553,12.196428007189779,0.5978026968197546,2.9895,8.4480,8.5473,8.6436,18.3723,56.975368,40.21427820862652,-8.254224319193598,1,0.0362,0,0.0000,1,0.0362,0,0.0000,1,0.0362,0,0.0000
37,55,2311,846.5201,10.128538575162104,0.5995321554668022,3.0061,8.2376,8.1947,8.3782,17.4955,55.134397,40.21367703849817,-8.253014367082177,3,0.1298,0,0.0000,5,0.2164,1,0.0433,0,0.0000,2,0.0865
285,0,1835,672.1612,4.563048826450211,0.4068919034569983,2.9880,8.3755,8.0659,8.2877,17.1695,54.953749,40.214083920654204,-8.253350929373086,1,0.0545,2,0.1090,2,0.1090,1,0.0545,0,0.0000,0,0.0000
513,0,1748,640.2930,11.401477015809554,0.6023217853610521,2.9977,8.5486,8.5601,8.6167,17.5755,57.16762,40.21195658556881,-8.252480568001447,0,0.0000,0,0.0000,2,0.1144,0,0.0000,0,0.0000,0,0.0000
41,157,1734,635.1648,7.768880918329837,0.803448963897451,3.0104,8.8541,8.6275,8.7278,18.5288,58.242953,40.21463172678674,-8.25415085331924,0,0.0000,0,0.0000,5,0.2884,0,0.0000,0,0.0000,0,0.0000
35,0,1719,629.6703,7.7577687337456815,0.6017734704493644,3.0035,8.7766,8.7307,8.7580,18.7405,58.367231,40.21383919544512,-8.253697451418212,1,0.0582,0,0.0000,1,0.0582,0,0.0000,0,0.0000,0,0.0000
237,0,1710,626.3736,49.7090684434278,1.406500263755401,3.0023,8.6503,8.4830,8.5398,18.2737,57.05131,40.2133149004963,-8.25303169212225,0,0.0000,0,0.0000,6,0.3509,0,0.0000,0,0.0000,0,0.0000
684,0,1694,620.5128,3.545353638450258,0.39753106828457907,2.9976,8.2444,8.5821,8.3040,17.9244,55.845402,40.21283105049927,-8.25277866761433,0,0.0000,0,0.0000,4,0.2361,1,0.0590,0,0.0000,0,0.0000
273,625,1630,597.0696,4.083920401411695,0.5083731035183893,2.9865,8.6503,8.6650,8.6503,18.4963,57.701528,40.213453999407406,-8.252982686822968,2,0.1227,1,0.0613,8,0.4908,2,0.1227,0,0.0000,0,0.0000
736,0,1531,560.8059,4.536765575058549,0.4010867251534621,3.0000,7.4683,7.4690,7.5905,15.7041,50.061666,40.21367182457819,-8.253489488784624,1,0.0653,0,0.0000,7,0.4572,0,0.0000,2,0.1306,1,0.0653
265,0,1470,538.4615,3.6968682403058075,0.3000591541935263,3.0082,7.4313,7.4653,7.4653,15.9905,49.693061,40.21639415954569,-8.255772591040483,1,0.0680,1,0.0680,3,0.2041,0,0.0000,0,0.0000,0,0.0000
109,703,1444,528.9377,1.0148998843583374,0.5965701766374039,3.0076,9.0907,8.9148,8.7562,19.3262,59.470665,40.2121437454383,-8.25077022900785,4,0.2770,0,0.0000,2,0.1385,0,0.0000,0,0.0000,0,0.0000
333,0,1354,495.9707,1.2414907097111088,0.411762928909804,3.0148,8.2740,8.2230,8.4417,17.3456,55.419313,40.213356718207045,-8.253834918824134,1,0.0739,0,0.0000,5,0.3693,0,0.0000,0,0.0000,1,0.0739
753,0,1348,493.7729,1.5378481407901299,0.30043168723008395,2.9970,8.5289,8.5987,8.4644,17.8887,56.870965,40.21417229149805,-8.254928451122055,0,0.0000,1,0.0742,0,0.0000,1,0.0742,2,0.1484,2,0.1484
170,0,1308,479.1209,12.144557828647423,0.5068168939530165,2.9962,7.6407,7.6170,7.6407,15.5497,50.8851,40.2140871466626,-8.253059705938615,0,0.0000,0,0.0000,4,0.3058,0,0.0000,0,0.0000,0,0.0000
304,1469,1281,469.2308,62.626082899796025,0.4145565564227906,3.0063,8.0055,7.9571,8.1811,16.8735,53.652576,40.21374087163348,-8.256344576779028,0,0.0000,0,0.0000,5,0.3903,0,0.0000,0,0.0000,0,0.0000
585,587,1227,449.4505,20.203807605582757,0.601888593024798,2.9950,8.4588,8.5729,8.5819,18.9299,56.919275,40.21366101150613,-8.25282181526038,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
