pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,126266,40862.7832,8.254738883590651,0.4023152445324889,3.0166,8.8224,8.8443,8.8232,18.7962,58.866437,41.157113677921096,-8.613138999021041,47,0.0372,9,0.0071,0,0.0000,9,0.0071,14,0.0111,0,0.0000
592,2330,125316,40555.3398,33.86292983474041,1.2000481516796846,3.0006,7.5923,7.5790,7.6032,15.7383,50.610196,41.157174312325175,-8.613408100963673,31,0.0247,31,0.0247,216,0.1724,20,0.0160,53,0.0423,38,0.0303
676,2629,124736,40367.6375,28.751285828384052,1.2009093770438026,3.0012,7.8827,7.8753,7.8867,16.4645,52.543696,41.15722087580741,-8.613255519212384,36,0.0289,32,0.0257,262,0.2100,9,0.0072,24,0.0192,36,0.0289
50,59,96062,31088.0259,0.8218584485518021,0.2001535915187342,3.0001,7.7693,7.7682,7.7758,16.1416,51.807358,41.157847652724854,-8.612628999926194,30,0.0312,18,0.0187,173,0.1801,42,0.0437,11,0.0115,0,0.0000
453,0,62536,20238.1877,23.578324099979383,0.6998919902926223,2.9982,8.6972,8.7319,8.7553,18.5752,58.187559,41.157169569857544,-8.61316836506485,20,0.0320,6,0.0096,100,0.1599,11,0.0176,5,0.0080,9,0.0144
574,0,62378,20187.0550,5.977268519677143,0.401830406979759,3.0141,7.5228,7.5139,7.5629,15.5437,50.221279,41.157155867839826,-8.613169129987938,11,0.0176,16,0.0257,122,0.1956,14,0.0224,20,0.0321,17,0.0273
194,1226,62194,20127.5081,8.720996317985104,0.41018952780780027,3.0005,7.8872,7.8315,7.8413,16.4197,52.355467,41.15719097366366,-8.613267548934752,20,0.0322,9,0.0145,109,0.1753,17,0.0273,8,0.0129,0,0.0000
25,598,48511,15699.3528,6.153629469269712,0.3999548675163157,2.9998,7.5914,7.6174,7.5459,15.7834,50.565958,41.15790533543146,-8.61248566501413,10,0.0206,15,0.0309,71,0.1464,7,0.0144,9,0.0186,19,0.0392
592,2168,31443,10175.7282,33.78109122168873,1.1984032861441498,2.9981,7.6293,7.5901,7.5532,15.7548,50.60576,41.15726560654611,-8.61325996787031,11,0.0350,8,0.0254,61,0.1940,2,0.0064,16,0.0509,8,0.0254
359,830,31388,10157.9288,48.274661992742374,1.2017503996771814,3.0006,7.5061,7.5253,7.4509,15.5224,49.960655,41.15711032685297,-8.613267596871369,7,0.0223,9,0.0287,471,1.5006,5,0.0159,7,0.0223,5,0.0159
109,703,16380,5300.9709,1.030535970227325,0.6015600665391194,3.0009,9.2399,9.2451,9.2368,19.7225,61.603683,41.16242113938415,-8.619084665774974,14,0.0855,1,0.0061,32,0.1954,2,0.0122,0,0.0000,8,0.0488
915,0,9362,3029.7735,10.471936711687448,0.5006514312362911,2.9967,8.0305,8.0905,8.0783,16.8786,53.77624,41.15705048742956,-8.6131905878547,1,0.0107,0,0.0000,19,0.2029,1,0.0107,0,0.0000,3,0.0320
506,0,7343,2376.3754,4.232878634421707,0.40151353942618806,3.0033,7.9837,7.9496,7.9888,16.6176,53.160222,41.153611756853095,-8.621071478891368,2,0.0272,1,0.0136,11,0.1498,1,0.0136,2,0.0272,0,0.0000
37,55,7154,2315.2104,10.228468148900358,0.6019978123098212,3.0036,7.7671,7.7260,7.7157,16.3699,51.575215,41.15795270769179,-8.613044181443069,2,0.0280,1,0.0140,10,0.1398,2,0.0280,1,0.0140,2,0.0280
27,51,6985,2260.5178,12.257669558656858,0.5993957998228919,3.0004,7.7957,7.8571,7.9340,16.3613,52.415194,41.154760961055096,-8.60983933134557,2,0.0286,2,0.0286,11,0.1575,1,0.0143,2,0.0286,0,0.0000
237,0,6237,2018.4466,49.17870471369328,1.4004265825699131,2.9992,8.9432,9.0265,8.9131,19.2485,59.73957,41.15721065275047,-8.61316416268875,3,0.0481,0,0.0000,15,0.2405,0,0.0000,0,0.0000,3,0.0481
285,0,5471,1770.5502,4.611298768262665,0.4091998896648087,3.0005,7.8501,7.7260,7.7794,16.1901,51.901066,41.1577461429312,-8.61223032437016,1,0.0183,1,0.0183,13,0.2376,2,0.0366,1,0.0183,0,0.0000
333,0,5356,1733.3333,1.2279543187747666,0.40921431595824315,2.9994,8.1742,8.1187,8.0485,17.0937,54.09216,41.15439233267771,-8.613540347378573,3,0.0560,2,0.0373,6,0.1120,2,0.0373,2,0.0373,1,0.0187
513,0,5239,1695.4693,11.177005204368193,0.5969167369089374,2.9927,7.9714,7.7860,7.9821,16.5682,52.754354,41.15594282284896,-8.612858046226142,0,0.0000,2,0.0382,8,0.1527,0,0.0000,0,0.0000,1,0.0191
41,157,5204,1684.1424,7.627924469332198,0.7971654195354242,2.9962,9.1849,9.1512,9.1520,19.5319,61.084616,41.15572123937152,-8.6114162334996,4,0.0769,0,0.0000,13,0.2498,0,0.0000,0,0.0000,0,0.0000
684,0,5105,1652.1036,3.6214139270448347,0.40185906974031427,3.0045,8.8979,8.9659,8.8029,18.7269,59.259622,41.15512629610171,-8.613584973573152,1,0.0196,0,0.0000,9,0.1763,0,0.0000,0,0.0000,1,0.0196
304,1469,5016,1623.3010,61.58088522799435,0.4101948259629776,3.0010,7.8066,7.7988,7.9001,16.3886,52.234595,41.15485777261946,-8.60653690189143,3,0.0598,1,0.0199,9,0.1794,1,0.0199,4,0.0797,4,0.0797
