"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"126266"	"11.2102"	"8.254738883590651000"	"0.402315244532488900"	"3.0166"	"8.8224"	"8.8443"	"8.8232"	"18.7962"	"58.866437"	"41.157113677921096000"	"-8.613138999021041000"	"47"	"0.0372"	"9"	"0.0071"	"0"	"0.0000"	"9"	"0.0071"	"14"	"0.0111"	"0"	"0.0000"
"592"	"2330"	"125316"	"11.1259"	"33.862929834740410000"	"1.200048151679684600"	"3.0006"	"7.5923"	"7.5790"	"7.6032"	"15.7383"	"50.610196"	"41.157174312325175000"	"-8.613408100963673000"	"31"	"0.0247"	"31"	"0.0247"	"216"	"0.1724"	"20"	"0.0160"	"53"	"0.0423"	"38"	"0.0303"
"676"	"2629"	"124736"	"11.0744"	"28.751285828384052000"	"1.200909377043802600"	"3.0012"	"7.8827"	"7.8753"	"7.8867"	"16.4645"	"52.543696"	"41.157220875807410000"	"-8.613255519212384000"	"36"	"0.0289"	"32"	"0.0257"	"262"	"0.2100"	"9"	"0.0072"	"24"	"0.0192"	"36"	"0.0289"
"50"	"59"	"96062"	"8.5286"	"0.821858448551802100"	"0.200153591518734200"	"3.0001"	"7.7693"	"7.7682"	"7.7758"	"16.1416"	"51.807358"	"41.157847652724854000"	"-8.612628999926194000"	"30"	"0.0312"	"18"	"0.0187"	"173"	"0.1801"	"42"	"0.0437"	"11"	"0.0115"	"0"	"0.0000"
"453"	"0"	"62536"	"5.5521"	"23.578324099979383000"	"0.699891990292622300"	"2.9982"	"8.6972"	"8.7319"	"8.7553"	"18.5752"	"58.187559"	"41.157169569857544000"	"-8.613168365064850000"	"20"	"0.0320"	"6"	"0.0096"	"100"	"0.1599"	"11"	"0.0176"	"5"	"0.0080"	"9"	"0.0144"
"574"	"0"	"62378"	"5.5381"	"5.977268519677143000"	"0.401830406979759000"	"3.0141"	"7.5228"	"7.5139"	"7.5629"	"15.5437"	"50.221279"	"41.157155867839826000"	"-8.613169129987938000"	"11"	"0.0176"	"16"	"0.0257"	"122"	"0.1956"	"14"	"0.0224"	"20"	"0.0321"	"17"	"0.0273"
"194"	"1226"	"62194"	"5.5217"	"8.720996317985104000"	"0.410189527807800270"	"3.0005"	"7.8872"	"7.8315"	"7.8413"	"16.4197"	"52.355467"	"41.157190973663660000"	"-8.613267548934752000"	"20"	"0.0322"	"9"	"0.0145"	"109"	"0.1753"	"17"	"0.0273"	"8"	"0.0129"	"0"	"0.0000"
"25"	"598"	"48511"	"4.3069"	"6.153629469269712000"	"0.399954867516315700"	"2.9998"	"7.5914"	"7.6174"	"7.5459"	"15.7834"	"50.565958"	"41.157905335431460000"	"-8.612485665014130000"	"10"	"0.0206"	"15"	"0.0309"	"71"	"0.1464"	"7"	"0.0144"	"9"	"0.0186"	"19"	"0.0392"
"592"	"2168"	"31443"	"2.7916"	"33.781091221688730000"	"1.198403286144149800"	"2.9981"	"7.6293"	"7.5901"	"7.5532"	"15.7548"	"50.605760"	"41.157265606546110000"	"-8.613259967870310000"	"11"	"0.0350"	"8"	"0.0254"	"61"	"0.1940"	"2"	"0.0064"	"16"	"0.0509"	"8"	"0.0254"
"359"	"830"	"31388"	"2.7867"	"48.274661992742374000"	"1.201750399677181400"	"3.0006"	"7.5061"	"7.5253"	"7.4509"	"15.5224"	"49.960655"	"41.157110326852970000"	"-8.613267596871369000"	"7"	"0.0223"	"9"	"0.0287"	"471"	"1.5006"	"5"	"0.0159"	"7"	"0.0223"	"5"	"0.0159"
"109"	"703"	"16380"	"1.4543"	"1.030535970227325000"	"0.601560066539119400"	"3.0009"	"9.2399"	"9.2451"	"9.2368"	"19.7225"	"61.603683"	"41.162421139384150000"	"-8.619084665774974000"	"14"	"0.0855"	"1"	"0.0061"	"32"	"0.1954"	"2"	"0.0122"	"0"	"0.0000"	"8"	"0.0488"
"915"	"0"	"9362"	"0.8312"	"10.471936711687448000"	"0.500651431236291100"	"2.9967"	"8.0305"	"8.0905"	"8.0783"	"16.8786"	"53.776240"	"41.157050487429560000"	"-8.613190587854700000"	"1"	"0.0107"	"0"	"0.0000"	"19"	"0.2029"	"1"	"0.0107"	"0"	"0.0000"	"3"	"0.0320"
"506"	"0"	"7343"	"0.6519"	"4.232878634421707000"	"0.401513539426188060"	"3.0033"	"7.9837"	"7.9496"	"7.9888"	"16.6176"	"53.160222"	"41.153611756853095000"	"-8.621071478891368000"	"2"	"0.0272"	"1"	"0.0136"	"11"	"0.1498"	"1"	"0.0136"	"2"	"0.0272"	"0"	"0.0000"
"37"	"55"	"7154"	"0.6352"	"10.228468148900358000"	"0.601997812309821200"	"3.0036"	"7.7671"	"7.7260"	"7.7157"	"16.3699"	"51.575215"	"41.157952707691790000"	"-8.613044181443069000"	"2"	"0.0280"	"1"	"0.0140"	"10"	"0.1398"	"2"	"0.0280"	"1"	"0.0140"	"2"	"0.0280"
"27"	"51"	"6985"	"0.6201"	"12.257669558656858000"	"0.599395799822891900"	"3.0004"	"7.7957"	"7.8571"	"7.9340"	"16.3613"	"52.415194"	"41.154760961055096000"	"-8.609839331345570000"	"2"	"0.0286"	"2"	"0.0286"	"11"	"0.1575"	"1"	"0.0143"	"2"	"0.0286"	"0"	"0.0000"
"237"	"0"	"6237"	"0.5537"	"49.178704713693280000"	"1.400426582569913100"	"2.9992"	"8.9432"	"9.0265"	"8.9131"	"19.2485"	"59.739570"	"41.157210652750470000"	"-8.613164162688750000"	"3"	"0.0481"	"0"	"0.0000"	"15"	"0.2405"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.0481"
"285"	"0"	"5471"	"0.4857"	"4.611298768262665000"	"0.409199889664808700"	"3.0005"	"7.8501"	"7.7260"	"7.7794"	"16.1901"	"51.901066"	"41.157746142931200000"	"-8.612230324370160000"	"1"	"0.0183"	"1"	"0.0183"	"13"	"0.2376"	"2"	"0.0366"	"1"	"0.0183"	"0"	"0.0000"
"333"	"0"	"5356"	"0.4755"	"1.227954318774766600"	"0.409214315958243150"	"2.9994"	"8.1742"	"8.1187"	"8.0485"	"17.0937"	"54.092160"	"41.154392332677710000"	"-8.613540347378573000"	"3"	"0.0560"	"2"	"0.0373"	"6"	"0.1120"	"2"	"0.0373"	"2"	"0.0373"	"1"	"0.0187"
"513"	"0"	"5239"	"0.4651"	"11.177005204368193000"	"0.596916736908937400"	"2.9927"	"7.9714"	"7.7860"	"7.9821"	"16.5682"	"52.754354"	"41.155942822848960000"	"-8.612858046226142000"	"0"	"0.0000"	"2"	"0.0382"	"8"	"0.1527"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0191"
"41"	"157"	"5204"	"0.4620"	"7.627924469332198000"	"0.797165419535424200"	"2.9962"	"9.1849"	"9.1512"	"9.1520"	"19.5319"	"61.084616"	"41.155721239371520000"	"-8.611416233499600000"	"4"	"0.0769"	"0"	"0.0000"	"13"	"0.2498"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"684"	"0"	"5105"	"0.4532"	"3.621413927044834700"	"0.401859069740314270"	"3.0045"	"8.8979"	"8.9659"	"8.8029"	"18.7269"	"59.259622"	"41.155126296101710000"	"-8.613584973573152000"	"1"	"0.0196"	"0"	"0.0000"	"9"	"0.1763"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0196"
"304"	"1469"	"5016"	"0.4453"	"61.580885227994350000"	"0.410194825962977600"	"3.0010"	"7.8066"	"7.7988"	"7.9001"	"16.3886"	"52.234595"	"41.154857772619460000"	"-8.606536901891430000"	"3"	"0.0598"	"1"	"0.0199"	"9"	"0.1794"	"1"	"0.0199"	"4"	"0.0797"	"4"	"0.0797"
"585"	"587"	"4899"	"0.4349"	"19.967243177916675000"	"0.599922106112825900"	"2.9986"	"8.0882"	"8.1451"	"8.1819"	"17.0339"	"54.255944"	"41.156817893464710000"	"-8.610205066439061000"	"1"	"0.0204"	"1"	"0.0204"	"0"	"0.0000"	"1"	"0.0204"	"1"	"0.0204"	"1"	"0.0204"
"273"	"625"	"4818"	"0.4278"	"4.062743907321051000"	"0.508711735547864400"	"3.0008"	"7.8381"	"8.0141"	"7.9394"	"16.4815"	"52.870320"	"41.156839726450030000"	"-8.613080096683634000"	"1"	"0.0208"	"0"	"0.0000"	"6"	"0.1245"	"2"	"0.0415"	"0"	"0.0000"	"1"	"0.0208"
"590"	"0"	"4749"	"0.4216"	"1.026582194035093900"	"0.200251675905215980"	"3.0038"	"9.0413"	"9.1078"	"9.1567"	"19.5372"	"60.679390"	"41.155719590521850000"	"-8.616162397794650000"	"4"	"0.0842"	"0"	"0.0000"	"6"	"0.1263"	"0"	"0.0000"	"2"	"0.0421"	"4"	"0.0842"
