pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,60788,11.7261,18.6278,58.07195,38.70896600339362,-9.297917603171296,26,0.0428,7,0.0115,0,0.0000,5,0.0082,10,0.0165,0,0.0000
676,2629,59620,11.5008,16.5163,52.797392,38.708659500659955,-9.297781141240199,14,0.0235,11,0.0185,106,0.1778,4,0.0067,12,0.0201,14,0.0235
592,2330,59222,11.4240,15.5184,49.858235,38.70874756636335,-9.297766824688123,17,0.0287,15,0.0253,110,0.1857,16,0.0270,25,0.0422,11,0.0186
50,59,43401,8.3721,16.4730,52.564167,38.70989861089523,-9.296625152413608,15,0.0346,14,0.0323,81,0.1866,12,0.0276,8,0.0184,0,0.0000
574,0,29870,5.7620,15.4825,50.05659,38.70862763883642,-9.29779105168636,9,0.0301,9,0.0301,61,0.2042,9,0.0301,13,0.0435,2,0.0067
453,0,29738,5.7365,18.4240,57.918111,38.70871169561194,-9.297784131630317,12,0.0404,0,0.0000,53,0.1782,1,0.0034,2,0.0067,4,0.0135
194,1226,29374,5.6663,16.4098,52.648817,38.708858819253734,-9.297692416356263,9,0.0306,6,0.0204,57,0.1940,7,0.0238,9,0.0306,0,0.0000
25,598,21883,4.2213,15.4440,50.072992,38.70984141914679,-9.296777825713011,4,0.0183,7,0.0320,57,0.2605,7,0.0320,3,0.0137,10,0.0457
592,2168,14999,2.8933,15.4610,50.044812,38.708793756785134,-9.297590169212162,4,0.0267,4,0.0267,26,0.1733,4,0.0267,5,0.0333,2,0.0133
359,830,14896,2.8735,15.4109,50.031169,38.708734235195394,-9.297614810358017,1,0.0067,1,0.0067,246,1.6515,1,0.0067,2,0.0134,2,0.0134
506,0,9135,1.7622,16.6895,53.047064,38.702050375114986,-9.31193567705652,5,0.0547,0,0.0000,21,0.2299,4,0.0438,6,0.0657,0,0.0000
427,0,5111,0.9859,16.6648,53.183379,38.70509004337383,-9.301859281182004,1,0.0196,2,0.0391,12,0.2348,5,0.0978,5,0.0978,0,0.0000
915,0,4510,0.8700,16.9550,54.271027,38.70851366027057,-9.29795713621318,3,0.0665,1,0.0222,13,0.2882,2,0.0443,1,0.0222,0,0.0000
396,1658,3480,0.6713,16.3109,52.605371,38.703258010815716,-9.30118093181815,2,0.0575,0,0.0000,7,0.2011,1,0.0287,3,0.0862,1,0.0287
304,1469,3410,0.6578,16.4056,52.847153,38.70700682076406,-9.298202886682606,2,0.0587,0,0.0000,2,0.0587,0,0.0000,2,0.0587,1,0.0293
27,51,3152,0.6080,16.9004,53.95514,38.709966471106384,-9.296308068823892,2,0.0635,1,0.0317,8,0.2538,0,0.0000,2,0.0635,1,0.0317
237,0,3018,0.5822,19.2575,60.202518,38.70881025449901,-9.297361754087923,1,0.0331,0,0.0000,11,0.3645,0,0.0000,0,0.0000,1,0.0331
684,0,2972,0.5733,18.9219,58.21744,38.710566654670515,-9.298980105418558,2,0.0673,0,0.0000,6,0.2019,0,0.0000,1,0.0336,2,0.0673
109,703,2960,0.5710,19.5595,61.037622,38.70777259718329,-9.297696993796793,2,0.0676,0,0.0000,5,0.1689,0,0.0000,0,0.0000,2,0.0676
37,55,2785,0.5372,16.4998,52.478772,38.71042948490271,-9.295826049163761,0,0.0000,1,0.0359,4,0.1436,1,0.0359,0,0.0000,1,0.0359
158,1136,2738,0.5282,15.6198,50.289777,38.71510572868111,-9.291745827442206,1,0.0365,0,0.0000,8,0.2922,2,0.0730,3,0.1096,2,0.0730
513,0,2704,0.5216,17.1960,53.951372,38.710219958470745,-9.298604242542222,0,0.0000,0,0.0000,5,0.1849,0,0.0000,0,0.0000,0,0.0000
41,157,2694,0.5197,19.5746,61.900527,38.71038191853734,-9.296773244402969,0,0.0000,1,0.0371,7,0.2598,1,0.0371,1,0.0371,0,0.0000
333,0,2488,0.4799,17.3023,54.353433,38.71174127926987,-9.298289619880835,0,0.0000,1,0.0402,6,0.2412,1,0.0402,2,0.0804,1,0.0402
585,587,2401,0.4632,17.7468,55.257589,38.708443863279356,-9.296416889227995,1,0.0416,0,0.0000,0,0.0000,1,0.0416,2,0.0833,0,0.0000
35,0,2316,0.4468,19.8830,62.254905,38.70944735734631,-9.296426833515413,0,0.0000,0,0.0000,3,0.1295,0,0.0000,0,0.0000,1,0.0432
580,0,2290,0.4417,15.0585,49.785529,38.70115834831,-9.299135482675185,1,0.0437,0,0.0000,0,0.0000,1,0.0437,0,0.0000,1,0.0437
273,625,2190,0.4225,16.6936,54.572338,38.70917158033005,-9.297433455089855,0,0.0000,0,0.0000,4,0.1826,0,0.0000,0,0.0000,1,0.0457
590,0,2171,0.4188,19.7715,61.2672,38.708229367797024,-9.297805634723192,0,0.0000,0,0.0000,2,0.0921,0,0.0000,0,0.0000,0,0.0000
285,0,2113,0.4076,16.5390,52.049115,38.70983908391728,-9.298141337656803,1,0.0473,0,0.0000,1,0.0473,1,0.0473,0,0.0000,0,0.0000
736,0,2095,0.4041,15.4014,49.826554,38.70941868058105,-9.298669298973804,0,0.0000,0,0.0000,1,0.0477,2,0.0955,0,0.0000,1,0.0477
702,0,1979,0.3818,18.7797,58.294351,38.71049058099168,-9.293750090953406,1,0.0505,0,0.0000,1,0.0505,0,0.0000,0,0.0000,0,0.0000
263,946,1927,0.3717,16.8672,53.170779,38.70899902466249,-9.29768792090988,0,0.0000,0,0.0000,29,1.5049,1,0.0519,0,0.0000,0,0.0000
170,0,1923,0.3709,15.4207,50.200473,38.7088625628888,-9.297517794682909,0,0.0000,1,0.0520,4,0.2080,3,0.1560,0,0.0000,0,0.0000
921,0,1859,0.3586,15.5212,50.254099,38.708663062792425,-9.297907405864063,1,0.0538,0,0.0000,0,0.0000,0,0.0000,2,0.1076,0,0.0000
519,0,1854,0.3576,17.0324,55.264256,38.70778747056657,-9.294806350150926,2,0.1079,0,0.0000,4,0.2157,1,0.0539,1,0.0539,0,0.0000
554,2063,1853,0.3574,16.0210,51.463826,38.70746809380994,-9.2974811885839,0,0.0000,0,0.0000,1,0.0540,0,0.0000,0,0.0000,0,0.0000
155,1127,1746,0.3368,16.0321,51.210361,38.70994760268541,-9.296312891728586,2,0.1145,0,0.0000,2,0.1145,0,0.0000,1,0.0573,1,0.0573
152,1118,1713,0.3304,16.5178,52.566608,38.71064783779668,-9.297035593900203,1,0.0584,1,0.0584,6,0.3503,0,0.0000,0,0.0000,0,0.0000
777,0,1604,0.3094,15.4433,49.247831,38.70715306625601,-9.297419569399871,0,0.0000,0,0.0000,0,0.0000,0,0.0000,3,0.1870,0,0.0000
100,2728,1565,0.3019,16.6319,53.574677,38.707585002796314,-9.285954183614884,1,0.0639,0,0.0000,0,0.0000,1,0.0639,1,0.0639,1,0.0639
92,0,1538,0.2967,18.6424,59.861281,38.69804543668266,-9.302908092605422,1,0.0650,0,0.0000,6,0.3901,2,0.1300,0,0.0000,1,0.0650
557,0,1498,0.2890,16.6542,53.135988,38.70510603484456,-9.296810164657256,1,0.0668,0,0.0000,2,0.1335,0,0.0000,0,0.0000,0,0.0000
261,1367,1461,0.2818,15.0787,50.15449,38.705604437671916,-9.292391295483737,0,0.0000,1,0.0684,4,0.2738,0,0.0000,1,0.0684,0,0.0000
527,0,1338,0.2581,16.0291,49.345635,38.709623181922275,-9.296608183547209,0,0.0000,0,0.0000,3,0.2242,0,0.0000,0,0.0000,0,0.0000
434,791,1336,0.2577,19.6766,60.497335,38.708224523321775,-9.296492126655265,1,0.0749,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
316,0,1319,0.2544,18.9795,59.08182,38.709778264513545,-9.297573345110305,0,0.0000,0,0.0000,4,0.3033,0,0.0000,0,0.0000,0,0.0000
667,0,1310,0.2527,18.1450,57.214596,38.70744362592199,-9.297260955198633,0,0.0000,0,0.0000,1,0.0763,0,0.0000,0,0.0000,0,0.0000
13,616,1255,0.2421,19.2143,58.687897,38.709169812733656,-9.29365786858827,1,0.0797,0,0.0000,1,0.0797,1,0.0797,0,0.0000,0,0.0000
753,0,1208,0.2330,18.2136,56.675919,38.70827892235447,-9.297958991779378,0,0.0000,0,0.0000,1,0.0828,0,0.0000,0,0.0000,0,0.0000
287,0,1184,0.2284,16.5059,52.931698,38.71882587773455,-9.298541726084865,0,0.0000,0,0.0000,3,0.2534,0,0.0000,0,0.0000,0,0.0000
29,776,1184,0.2284,18.9155,59.825532,38.69914231262505,-9.3031523926862,0,0.0000,0,0.0000,1,0.0845,1,0.0845,0,0.0000,0,0.0000
539,0,1180,0.2276,19.4678,59.943526,38.70918203001386,-9.297806574578951,1,0.0847,0,0.0000,2,0.1695,0,0.0000,0,0.0000,0,0.0000
338,0,1168,0.2253,17.9683,54.946601,38.71018966357378,-9.298167669535083,0,0.0000,0,0.0000,2,0.1712,0,0.0000,0,0.0000,1,0.0856
274,628,1152,0.2222,17.3490,54.006502,38.70832101362169,-9.298263149805429,1,0.0868,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
906,0,1149,0.2216,17.7824,54.383551,38.70930804730058,-9.297723149059784,1,0.0870,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0870
909,0,1123,0.2166,17.2155,54.540392,38.70946184660355,-9.297509011277981,0,0.0000,0,0.0000,0,0.0000,2,0.1781,0,0.0000,0,0.0000
52,63,1069,0.2062,16.2021,51.287858,38.71573631110793,-9.291262336347664,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
203,0,1050,0.2025,16.5429,53.030667,38.70798541019509,-9.29969754944974,0,0.0000,0,0.0000,5,0.4762,0,0.0000,0,0.0000,0,0.0000
661,0,1037,0.2000,17.3896,54.391813,38.71058116726113,-9.296643173899342,0,0.0000,0,0.0000,0,0.0000,1,0.0964,0,0.0000,1,0.0964
309,1484,990,0.1910,16.1273,50.538647,38.70424111591169,-9.292746427712268,0,0.0000,0,0.0000,1,0.1010,1,0.1010,0,0.0000,0,0.0000
265,0,977,0.1885,15.2170,49.785302,38.706595080581415,-9.29612465654225,0,0.0000,0,0.0000,1,0.1024,0,0.0000,0,0.0000,0,0.0000
912,0,971,0.1873,15.0628,49.991998,38.70839945321207,-9.299270789449215,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.2060,0,0.0000
220,1277,968,0.1867,16.3430,52.346126,38.7083316437559,-9.29779746620558,1,0.1033,1,0.1033,3,0.3099,0,0.0000,0,0.0000,0,0.0000
761,0,958,0.1848,16.2672,52.38666,38.70840186175584,-9.297438679834299,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1044,0,0.0000
431,0,943,0.1819,17.0095,54.511591,38.70987297462419,-9.298840774975131,0,0.0000,0,0.0000,2,0.2121,0,0.0000,0,0.0000,0,0.0000
613,2231,941,0.1815,15.5239,49.979862,38.709360272387784,-9.298170704747328,0,0.0000,1,0.1063,3,0.3188,2,0.2125,0,0.0000,0,0.0000
548,0,923,0.1780,17.8223,56.458592,38.711857486658005,-9.301924057864662,0,0.0000,0,0.0000,1,0.1083,1,0.1083,0,0.0000,0,0.0000
185,0,877,0.1692,16.1209,53.305451,38.69482502326077,-9.312977593000285,0,0.0000,0,0.0000,1,0.1140,0,0.0000,0,0.0000,0,0.0000
179,646,842,0.1624,16.0000,49.891841,38.70780125989479,-9.297697538177246,1,0.1188,1,0.1188,2,0.2375,0,0.0000,0,0.0000,0,0.0000
524,0,831,0.1603,17.1324,54.154212,38.708506042376364,-9.297019602633057,0,0.0000,1,0.1203,0,0.0000,1,0.1203,0,0.0000,0,0.0000
133,0,766,0.1478,16.8721,53.481319,38.70915411554919,-9.297643247096683,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
307,0,761,0.1468,19.2654,60.090644,38.70827607330973,-9.2971402754274,0,0.0000,0,0.0000,4,0.5256,0,0.0000,0,0.0000,0,0.0000
38,57,725,0.1399,15.9669,52.471945,38.70996377050575,-9.297216488054014,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
32,776,710,0.1370,20.0789,59.956197,38.7083359084973,-9.295550738030755,1,0.1408,1,0.1408,3,0.4225,0,0.0000,1,0.1408,0,0.0000
618,2345,703,0.1356,16.4353,54.490313,38.70919727173207,-9.297531059841122,0,0.0000,0,0.0000,18,2.5605,0,0.0000,0,0.0000,0,0.0000
16,0,699,0.1348,16.8054,53.670415,38.70376822877734,-9.302317045969264,0,0.0000,0,0.0000,1,0.1431,0,0.0000,0,0.0000,0,0.0000
353,908,692,0.1335,15.0101,50.061214,38.70619085143062,-9.298013712585808,0,0.0000,0,0.0000,2,0.2890,0,0.0000,0,0.0000,1,0.1445
454,0,678,0.1308,19.9499,61.31118,38.709288902957304,-9.297641755993391,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
529,0,671,0.1294,17.0313,52.803294,38.7209656542729,-9.299872291641005,0,0.0000,1,0.1490,3,0.4471,0,0.0000,0,0.0000,0,0.0000
559,0,661,0.1275,18.4387,58.510757,38.709647453465436,-9.297913549525155,0,0.0000,0,0.0000,3,0.4539,0,0.0000,0,0.0000,0,0.0000
