pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,48315,11.3921,15.4869,49.893323,38.85521243827562,-9.074772858053425,18,0.0373,12,0.0248,95,0.1966,7,0.0145,29,0.0600,15,0.0310
747,0,48166,11.3570,18.6701,58.524226,38.855102610236266,-9.074873243357914,22,0.0457,7,0.0145,0,0.0000,6,0.0125,5,0.0104,0,0.0000
676,2629,48020,11.3226,16.2833,52.127681,38.85520102974795,-9.074852337550322,11,0.0229,10,0.0208,90,0.1874,3,0.0062,7,0.0146,11,0.0229
50,59,35435,8.3552,16.3388,52.637528,38.85245251337966,-9.076250588901395,11,0.0310,6,0.0169,68,0.1919,13,0.0367,7,0.0198,0,0.0000
453,0,24318,5.7339,18.6339,58.736298,38.85522209471787,-9.074839523706457,7,0.0288,2,0.0082,49,0.2015,6,0.0247,0,0.0000,1,0.0041
574,0,24033,5.6667,15.5021,50.009386,38.85511297880369,-9.074886648592425,4,0.0166,5,0.0208,45,0.1872,7,0.0291,12,0.0499,9,0.0374
194,1226,23766,5.6037,16.4937,52.498157,38.85503326004381,-9.07483182110855,1,0.0042,5,0.0210,38,0.1599,7,0.0295,2,0.0084,0,0.0000
25,598,17786,4.1937,15.4083,49.964872,38.85273767378855,-9.076013003425572,5,0.0281,3,0.0169,36,0.2024,2,0.0112,4,0.0225,9,0.0506
359,830,11960,2.8200,15.3517,49.839468,38.85537067465891,-9.074770904655766,2,0.0167,4,0.0334,206,1.7224,1,0.0084,2,0.0167,3,0.0251
592,2168,11928,2.8125,15.5497,50.165764,38.85535646203291,-9.0748104359584,4,0.0335,3,0.0252,27,0.2264,3,0.0252,6,0.0503,6,0.0503
52,63,5319,1.2542,16.2121,52.481495,38.86661804654422,-9.080438229464892,4,0.0752,0,0.0000,11,0.2068,0,0.0000,2,0.0376,0,0.0000
100,2728,5306,1.2511,16.4325,52.276295,38.87466145655457,-9.062199604713586,1,0.0188,2,0.0377,0,0.0000,0,0.0000,1,0.0188,2,0.0377
304,1469,3916,0.9233,16.6614,52.297692,38.85517473598424,-9.076743037822379,2,0.0511,0,0.0000,13,0.3320,1,0.0255,2,0.0511,1,0.0255
915,0,3433,0.8095,16.8986,53.660903,38.85472213892556,-9.075025522018114,0,0.0000,0,0.0000,9,0.2622,1,0.0291,0,0.0000,1,0.0291
41,157,3139,0.7401,19.6919,61.672813,38.85534323853093,-9.070358258365479,1,0.0319,0,0.0000,8,0.2549,1,0.0319,1,0.0319,0,0.0000
