pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
676,2629,50037,10.0569,16.3279,52.184896,37.096904761115276,-8.094714970244917,12,0.0240,11,0.0220,99,0.1979,4,0.0080,6,0.0120,12,0.0240
747,0,50014,10.0523,16.3055,52.183258,37.09671137527338,-8.09466325532988,19,0.0380,9,0.0180,0,0.0000,10,0.0200,8,0.0160,0,0.0000
592,2330,49815,10.0123,15.5093,50.086039,37.096790060052975,-8.094930789761175,8,0.0161,12,0.0241,77,0.1546,11,0.0221,14,0.0281,12,0.0241
50,59,39776,7.9945,18.7902,58.789119,37.096940076779674,-8.089953487114458,18,0.0453,1,0.0025,74,0.1860,5,0.0126,2,0.0050,0,0.0000
453,0,24994,5.0235,16.3434,52.127087,37.09700155309813,-8.094891008070853,5,0.0200,5,0.0200,52,0.2080,2,0.0080,3,0.0120,3,0.0120
574,0,24989,5.0225,15.6185,50.143424,37.096783229197236,-8.094494728868849,5,0.0200,5,0.0200,43,0.1721,6,0.0240,10,0.0400,6,0.0240
194,1226,24846,4.9938,18.7307,58.661731,37.09691571539633,-8.094767710088336,9,0.0362,1,0.0040,50,0.2012,0,0.0000,3,0.0121,0,0.0000
25,598,19990,4.0178,15.5549,49.834068,37.09677760773978,-8.089945185665648,3,0.0150,3,0.0150,43,0.2151,3,0.0150,7,0.0350,7,0.0350
359,830,12343,2.4808,15.5713,50.000441,37.09684299473409,-8.094613162266151,6,0.0486,6,0.0486,205,1.6609,1,0.0081,2,0.0162,2,0.0162
592,2168,12276,2.4673,15.4528,49.751277,37.09673437159784,-8.09536455882475,2,0.0163,2,0.0163,26,0.2118,0,0.0000,2,0.0163,1,0.0081
328,746,6375,1.2813,19.6899,61.419813,37.09410904981113,-8.100970264098015,2,0.0314,0,0.0000,14,0.2196,0,0.0000,2,0.0314,0,0.0000
218,0,4692,0.9430,19.4844,60.728517,37.09387277892004,-8.097234523481312,1,0.0213,0,0.0000,10,0.2131,0,0.0000,0,0.0000,0,0.0000
111,846,3868,0.7774,19.9641,61.454713,37.09749545159887,-8.091402014124418,0,0.0000,0,0.0000,6,0.1551,2,0.0517,0,0.0000,0,0.0000
273,625,3589,0.7214,19.0574,60.595601,37.093974280885504,-8.096976476191138,2,0.0557,0,0.0000,9,0.2508,0,0.0000,0,0.0000,0,0.0000
58,280,3582,0.7199,19.2194,60.109872,37.08886656397635,-8.097143738303773,2,0.0558,1,0.0279,6,0.1675,0,0.0000,2,0.0558,0,0.0000
915,0,3567,0.7169,16.9557,53.215601,37.09617382640802,-8.095616759184697,3,0.0841,0,0.0000,10,0.2803,0,0.0000,0,0.0000,0,0.0000
109,703,3509,0.7053,17.3075,55.292095,37.08538150473004,-8.101616639977761,1,0.0285,0,0.0000,8,0.2280,0,0.0000,0,0.0000,3,0.0855
