pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,46955,11.5517,18.7606,59.018648,41.18710405222238,-8.56228527680551,25,0.0532,3,0.0064,0,0.0000,4,0.0085,4,0.0085,0,0.0000
676,2629,45318,11.1490,16.4878,52.479473,41.18720453181276,-8.561947689880649,19,0.0419,8,0.0177,87,0.1920,1,0.0022,10,0.0221,19,0.0419
592,2330,45282,11.1401,15.7420,50.571922,41.1872752142711,-8.562044352547659,11,0.0243,14,0.0309,107,0.2363,12,0.0265,16,0.0353,6,0.0133
50,59,36969,9.0950,16.1470,51.896351,41.18673710129725,-8.561492539787123,11,0.0298,8,0.0216,69,0.1866,10,0.0270,12,0.0325,0,0.0000
574,0,22966,5.6500,15.4488,50.128899,41.187215691023916,-8.562156620504988,3,0.0131,7,0.0305,49,0.2134,4,0.0174,10,0.0435,5,0.0218
453,0,22708,5.5865,18.5536,58.172664,41.18731632536072,-8.561967813493295,8,0.0352,1,0.0044,50,0.2202,1,0.0044,1,0.0044,2,0.0088
194,1226,22362,5.5014,16.3864,52.44441,41.18710277909969,-8.562102380267115,12,0.0537,4,0.0179,32,0.1431,2,0.0089,1,0.0045,0,0.0000
25,598,18477,4.5456,15.7079,50.678394,41.1868443742205,-8.561687996928272,5,0.0271,3,0.0162,25,0.1353,9,0.0487,3,0.0162,10,0.0541
359,830,11539,2.8388,15.5007,49.725667,41.18698755767325,-8.562133730342442,1,0.0087,4,0.0347,177,1.5339,1,0.0087,2,0.0173,2,0.0173
592,2168,11290,2.7775,15.9049,50.93138,41.18730690330896,-8.561978991291179,3,0.0266,3,0.0266,15,0.1329,3,0.0266,8,0.0709,1,0.0089
915,0,3380,0.8315,17.0941,53.631116,41.187507321290845,-8.561785673511976,1,0.0296,0,0.0000,4,0.1183,2,0.0592,0,0.0000,1,0.0296
109,703,3113,0.7658,19.8281,61.038744,41.18870713225251,-8.565992626386263,1,0.0321,0,0.0000,3,0.0964,0,0.0000,0,0.0000,4,0.1285
41,157,3055,0.7516,19.2573,60.250275,41.194944206782985,-8.568922879234858,1,0.0327,0,0.0000,7,0.2291,1,0.0327,0,0.0000,0,0.0000
684,0,2978,0.7326,18.7549,59.412015,41.18743112431376,-8.561596585424631,2,0.0672,1,0.0336,4,0.1343,0,0.0000,0,0.0000,2,0.0672
304,1469,2968,0.7302,16.3002,52.217722,41.18724974653417,-8.56082901254789,2,0.0674,0,0.0000,5,0.1685,0,0.0000,2,0.0674,0,0.0000
13,616,2951,0.7260,19.0373,59.368926,41.18774549568597,-8.557022396728094,1,0.0339,0,0.0000,5,0.1694,2,0.0678,0,0.0000,1,0.0339
37,55,2877,0.7078,16.2468,51.778492,41.187511494061695,-8.558291839849506,1,0.0348,0,0.0000,5,0.1738,2,0.0695,2,0.0695,1,0.0348
506,0,2623,0.6453,16.7427,53.455303,41.18249926450728,-8.561747049309533,0,0.0000,0,0.0000,2,0.0762,1,0.0381,1,0.0381,1,0.0381
27,51,2571,0.6325,16.2322,52.723944,41.18732038857684,-8.562114699813877,0,0.0000,0,0.0000,8,0.3112,0,0.0000,1,0.0389,0,0.0000
237,0,2354,0.5791,19.2443,60.537018,41.18672949196115,-8.561767128926423,1,0.0425,0,0.0000,3,0.1274,0,0.0000,1,0.0425,1,0.0425
513,0,2233,0.5494,16.5822,53.252687,41.1870877946788,-8.56156754759352,0,0.0000,0,0.0000,4,0.1791,0,0.0000,0,0.0000,0,0.0000
580,0,2061,0.5070,15.9437,51.912261,41.18133651295124,-8.551183663669095,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
736,0,1943,0.4780,15.6886,50.189346,41.18691756980002,-8.560782721455833,0,0.0000,0,0.0000,2,0.1029,0,0.0000,1,0.0515,0,0.0000
273,625,1829,0.4500,16.4560,52.989486,41.187830984256955,-8.563601883758222,3,0.1640,0,0.0000,2,0.1093,1,0.0547,0,0.0000,0,0.0000
35,0,1752,0.4310,19.5023,61.473939,41.18730658069667,-8.561336379788111,1,0.0571,0,0.0000,3,0.1712,0,0.0000,0,0.0000,0,0.0000
554,2063,1665,0.4096,15.6408,50.812108,41.18759854962732,-8.56203480913544,0,0.0000,0,0.0000,3,0.1802,1,0.0601,0,0.0000,0,0.0000
333,0,1654,0.4069,16.7690,54.275121,41.18804069491692,-8.563344776724222,0,0.0000,0,0.0000,6,0.3628,1,0.0605,0,0.0000,0,0.0000
753,0,1642,0.4040,17.4909,54.351048,41.18700771064234,-8.564756628571418,0,0.0000,0,0.0000,3,0.1827,1,0.0609,0,0.0000,0,0.0000
155,1127,1590,0.3912,16.0969,51.711988,41.186116518439015,-8.566321166966793,1,0.0629,0,0.0000,2,0.1258,0,0.0000,1,0.0629,1,0.0629
