pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,80046,11.4114,18.6928,58.583678,49.32305927110184,6.755068364662693,37,0.0462,7,0.0087,0,0.0000,1,0.0012,7,0.0087,0,0.0000
592,2330,79983,11.4025,16.5952,52.871405,49.32301176025403,6.755084161798217,20,0.0250,18,0.0225,154,0.1925,12,0.0150,32,0.0400,30,0.0375
676,2629,79445,11.3258,15.7363,50.62793,49.322962048084776,6.75500160512626,17,0.0214,22,0.0277,159,0.2001,2,0.0025,12,0.0151,17,0.0214
50,59,68561,9.7741,15.5190,50.010221,49.323193587039604,6.755249236993294,16,0.0233,10,0.0146,121,0.1765,23,0.0335,14,0.0204,0,0.0000
574,0,39977,5.6992,16.9741,53.961188,49.32299519787506,6.755053497808003,19,0.0475,8,0.0200,80,0.2001,9,0.0225,20,0.0500,8,0.0200
194,1226,39875,5.6846,16.6567,52.867218,49.322996025175875,6.755022463525403,20,0.0502,10,0.0251,78,0.1956,9,0.0226,11,0.0276,0,0.0000
453,0,39772,5.6699,17.6071,55.750057,49.32306400815685,6.755014643173344,22,0.0553,5,0.0126,64,0.1609,6,0.0151,7,0.0176,7,0.0176
25,598,34155,4.8692,16.5140,52.796631,49.3231462595437,6.755247212799024,16,0.0468,4,0.0117,78,0.2284,5,0.0146,4,0.0117,22,0.0644
592,2168,19928,2.8410,16.5409,52.981275,49.32302925559855,6.75500865173408,8,0.0401,1,0.0050,42,0.2108,8,0.0401,11,0.0552,7,0.0351
359,830,19824,2.8261,15.6135,50.103584,49.32301145253215,6.755130285853878,6,0.0303,5,0.0252,301,1.5184,1,0.0050,3,0.0151,3,0.0151
707,0,5689,0.8110,18.1134,57.438348,49.32355777853988,6.755621327028151,4,0.0703,1,0.0176,0,0.0000,0,0.0000,2,0.0352,0,0.0000
915,0,5296,0.7550,15.9896,51.047366,49.32300917266015,6.755219333797662,0,0.0000,0,0.0000,15,0.2832,0,0.0000,0,0.0000,3,0.0566
309,1484,5147,0.7338,16.6124,52.950777,49.31792024692013,6.745089487630633,2,0.0389,0,0.0000,13,0.2526,1,0.0194,3,0.0583,2,0.0389
506,0,4842,0.6903,15.7094,50.828325,49.32648338039285,6.756077827848642,0,0.0000,2,0.0413,4,0.0826,1,0.0207,3,0.0620,1,0.0207
37,55,4447,0.6340,15.1884,49.741365,49.32316177897338,6.754851784399913,1,0.0225,0,0.0000,3,0.0675,1,0.0225,0,0.0000,1,0.0225
170,0,3910,0.5574,17.4852,54.925867,49.322952716907864,6.754956429152798,3,0.0767,0,0.0000,15,0.3836,0,0.0000,1,0.0256,3,0.0767
427,0,3865,0.5510,15.8789,51.261139,49.319199792161854,6.75631025021582,0,0.0000,2,0.0517,9,0.2329,1,0.0259,0,0.0000,0,0.0000
736,0,3855,0.5496,17.4029,54.148944,49.323707593946004,6.755044346895083,1,0.0259,1,0.0259,5,0.1297,0,0.0000,3,0.0778,0,0.0000
92,0,3704,0.5280,18.4390,58.444906,49.32315979722908,6.755325539168181,1,0.0270,0,0.0000,7,0.1890,0,0.0000,0,0.0000,0,0.0000
237,0,3660,0.5218,18.2648,56.605429,49.32319869398729,6.755122081380924,0,0.0000,0,0.0000,4,0.1093,0,0.0000,1,0.0273,0,0.0000
285,0,3497,0.4985,15.5282,50.399969,49.32315215288414,6.756117692686857,1,0.0286,1,0.0286,12,0.3432,1,0.0286,1,0.0286,1,0.0286
333,0,3430,0.4890,18.7808,58.336324,49.3204233311291,6.7535634174071415,0,0.0000,0,0.0000,8,0.2332,1,0.0292,1,0.0292,0,0.0000
122,1080,3347,0.4772,19.6340,60.864434,49.3235952577724,6.755422547342321,2,0.0598,0,0.0000,4,0.1195,0,0.0000,0,0.0000,2,0.0598
684,0,3276,0.4670,17.9277,56.442186,49.32354321485218,6.754769258881376,2,0.0611,2,0.0611,7,0.2137,1,0.0305,0,0.0000,2,0.0611
921,0,3161,0.4506,16.9804,53.427567,49.323049944344376,6.755252413869628,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0316,1,0.0316
109,703,3138,0.4474,18.9449,59.042553,49.32250682027895,6.752992127382823,2,0.0637,1,0.0319,4,0.1275,1,0.0319,0,0.0000,3,0.0956
602,0,3115,0.4441,18.8530,58.976938,49.32281426657001,6.755046507253242,1,0.0321,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
133,0,3048,0.4345,15.5735,51.053639,49.32185327945537,6.752468754023229,0,0.0000,0,0.0000,5,0.1640,2,0.0656,2,0.0656,1,0.0328
265,0,3035,0.4327,16.6082,52.939456,49.31833156359974,6.7575227403151334,0,0.0000,0,0.0000,4,0.1318,0,0.0000,0,0.0000,0,0.0000
585,587,2848,0.4060,15.7788,51.017479,49.324061735703395,6.7553424294360145,0,0.0000,1,0.0351,0,0.0000,1,0.0351,0,0.0000,0,0.0000
158,1136,2734,0.3898,16.7396,52.926178,49.322292228490035,6.753681087638027,1,0.0366,0,0.0000,5,0.1829,0,0.0000,2,0.0732,0,0.0000
152,1118,2671,0.3808,15.4830,49.792494,49.32337161408565,6.755244991253594,4,0.1498,2,0.0749,3,0.1123,1,0.0374,4,0.1498,2,0.0749
41,157,2652,0.3781,19.5298,61.131244,49.323621840364176,6.756225550696089,0,0.0000,0,0.0000,5,0.1885,0,0.0000,0,0.0000,0,0.0000
263,946,2562,0.3652,15.5917,51.05475,49.32252846690941,6.754889638844633,1,0.0390,1,0.0390,45,1.7564,0,0.0000,1,0.0390,1,0.0390
731,0,2556,0.3644,18.1002,57.028287,49.325031394092754,6.754787769087935,3,0.1174,0,0.0000,0,0.0000,2,0.0782,2,0.0782,0,0.0000
273,625,2537,0.3617,15.3122,50.419188,49.322798596567,6.755162812185958,0,0.0000,0,0.0000,3,0.1182,2,0.0788,0,0.0000,0,0.0000
84,0,2438,0.3476,17.6604,55.694106,49.33057449256535,6.749608319065165,2,0.0820,0,0.0000,3,0.1231,2,0.0820,0,0.0000,0,0.0000
155,1127,2389,0.3406,15.3093,50.318489,49.32251225983093,6.754480511240996,0,0.0000,1,0.0419,5,0.2093,0,0.0000,0,0.0000,0,0.0000
108,0,2269,0.3235,15.7946,50.700811,49.334051177398436,6.765029483262959,1,0.0441,0,0.0000,33,1.4544,0,0.0000,1,0.0441,0,0.0000
35,0,2085,0.2972,18.8341,58.666758,49.32224722669792,6.755583365125399,0,0.0000,0,0.0000,4,0.1918,0,0.0000,0,0.0000,0,0.0000
580,0,2078,0.2962,18.7786,57.960563,49.32265801691269,6.7549733198104045,1,0.0481,2,0.0962,0,0.0000,1,0.0481,0,0.0000,1,0.0481
32,776,1856,0.2646,18.1956,56.82951,49.32380003730708,6.752791770741958,1,0.0539,0,0.0000,5,0.2694,0,0.0000,1,0.0539,0,0.0000
396,1658,1826,0.2603,17.3894,54.568697,49.31884082524998,6.754850313339356,1,0.0548,0,0.0000,2,0.1095,0,0.0000,1,0.0548,0,0.0000
261,1367,1798,0.2563,15.4900,50.786046,49.32311378619218,6.755572650099739,1,0.0556,0,0.0000,7,0.3893,1,0.0556,0,0.0000,0,0.0000
287,0,1736,0.2475,15.9050,51.267414,49.32289659407174,6.755629788817199,0,0.0000,0,0.0000,3,0.1728,0,0.0000,0,0.0000,0,0.0000
919,0,1734,0.2472,16.9885,53.253881,49.32491133858853,6.7548107102289325,1,0.0577,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
431,0,1693,0.2414,15.7177,50.982487,49.32341838472696,6.755510029657231,0,0.0000,1,0.0591,5,0.2953,0,0.0000,0,0.0000,0,0.0000
434,791,1672,0.2384,18.3074,58.757375,49.32346004398504,6.7551781385947605,2,0.1196,1,0.0598,0,0.0000,1,0.0598,0,0.0000,0,0.0000
163,0,1634,0.2329,17.0973,55.026426,49.32006737291107,6.757180714062581,0,0.0000,0,0.0000,4,0.2448,0,0.0000,0,0.0000,0,0.0000
316,0,1579,0.2251,18.3547,57.703287,49.322873855245795,6.755385251193244,1,0.0633,1,0.0633,5,0.3167,0,0.0000,0,0.0000,0,0.0000
912,0,1560,0.2224,17.1077,53.031442,49.32256058509108,6.754392706678309,0,0.0000,0,0.0000,0,0.0000,1,0.0641,0,0.0000,0,0.0000
13,616,1533,0.2185,19.3699,59.555069,49.32403635054634,6.756395387471119,1,0.0652,1,0.0652,2,0.1305,2,0.1305,0,0.0000,0,0.0000
753,0,1525,0.2174,15.5626,50.27762,49.32776730215053,6.7619510176932005,1,0.0656,0,0.0000,5,0.3279,1,0.0656,1,0.0656,2,0.1311
179,646,1509,0.2151,16.9516,54.717641,49.32307431970275,6.75491505959798,1,0.0663,0,0.0000,5,0.3313,0,0.0000,0,0.0000,1,0.0663
16,0,1472,0.2098,17.9416,56.779837,49.32325745418932,6.755700673863329,1,0.0679,0,0.0000,4,0.2717,0,0.0000,0,0.0000,1,0.0679
539,0,1428,0.2036,18.5511,57.427696,49.32359994877313,6.754797089283038,1,0.0700,0,0.0000,5,0.3501,0,0.0000,0,0.0000,0,0.0000
513,0,1422,0.2027,15.8059,50.95007,49.32362739718438,6.755181547481491,0,0.0000,1,0.0703,3,0.2110,0,0.0000,0,0.0000,2,0.1406
216,1265,1422,0.2027,16.0795,50.407855,49.317866374158534,6.756459518968442,0,0.0000,0,0.0000,8,0.5626,0,0.0000,0,0.0000,0,0.0000
527,0,1408,0.2007,17.2372,54.788601,49.322391376864296,6.754788180528407,0,0.0000,0,0.0000,2,0.1420,1,0.0710,0,0.0000,0,0.0000
220,1277,1320,0.1882,15.8212,49.752652,49.32307543275472,6.754950734574357,1,0.0758,0,0.0000,6,0.4545,0,0.0000,1,0.0758,0,0.0000
