pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,52664,17974.0614,8.260632537625325,0.40252685301364594,3.0157,8.7962,8.7896,8.8342,18.7318,58.710859,41.189949731075274,-8.626629225674078,20,0.0380,0,0.0000,0,0.0000,10,0.0190,3,0.0057,0,0.0000
592,2330,49228,16801.3652,33.92836982448068,1.2010722057561454,3.0003,7.6073,7.5806,7.6197,15.7955,50.683674,41.189961231821016,-8.626350276537247,17,0.0345,10,0.0203,92,0.1869,8,0.0163,27,0.0548,16,0.0325
676,2629,49105,16759.3857,28.78368930816359,1.2016720255919198,3.0004,7.8735,7.9105,7.9220,16.4840,52.679807,41.18996625919481,-8.62630106695677,22,0.0448,9,0.0183,111,0.2260,1,0.0020,10,0.0204,22,0.0448
50,59,39213,13383.2765,0.8194373318868308,0.19997713339059867,2.9991,7.7462,7.7578,7.7741,16.1294,51.729106,41.189961505972796,-8.626935718734485,12,0.0306,5,0.0128,65,0.1658,11,0.0281,7,0.0179,0,0.0000
574,0,25034,8544.0273,5.989209167642615,0.40264274822187884,3.0188,7.5008,7.5580,7.5824,15.6332,50.313528,41.19002720459388,-8.62659111801625,9,0.0360,8,0.0320,47,0.1877,7,0.0280,8,0.0320,6,0.0240
453,0,24842,8478.4983,23.558523839783643,0.6996764800018009,2.9983,8.6984,8.6968,8.7412,18.4030,58.080872,41.1899507778884,-8.626412586612322,10,0.0403,1,0.0040,43,0.1731,1,0.0040,0,0.0000,1,0.0040
194,1226,24412,8331.7406,8.710399973170734,0.4102276193050833,3.0007,7.8116,7.8409,7.8910,16.4635,52.318791,41.18989653786183,-8.626686731964249,6,0.0246,4,0.0164,49,0.2007,7,0.0287,7,0.0287,0,0.0000
25,598,19899,6791.4676,6.166456286776339,0.4000930352099794,3.0004,7.5920,7.5787,7.5693,15.8251,50.533408,41.19002675162383,-8.62700250427854,4,0.0201,1,0.0050,32,0.1608,9,0.0452,1,0.0050,10,0.0503
592,2168,12398,4231.3993,33.7942064700227,1.198466329283413,2.9978,7.5829,7.5811,7.6049,15.7964,50.597571,41.18991195147171,-8.626593356823708,1,0.0081,2,0.0161,16,0.1291,4,0.0323,5,0.0403,4,0.0323
359,830,12344,4212.9693,48.18470562257875,1.1991404915889619,3.0023,7.4017,7.5013,7.5123,15.4978,49.811852,41.19003551977296,-8.62653238925128,4,0.0324,1,0.0081,208,1.6850,1,0.0081,5,0.0405,3,0.0243
109,703,8368,2855.9727,1.0220037005649414,0.5995726266993391,2.9993,9.0754,9.2220,9.1971,19.7010,61.098824,41.18594241998577,-8.627951574909499,3,0.0359,0,0.0000,23,0.2749,1,0.0120,2,0.0239,5,0.0598
915,0,3733,1274.0614,10.453117971952945,0.4997132778039989,3.0048,8.1034,8.0311,8.0206,17.2060,53.67801,41.18998275406982,-8.626833817763757,2,0.0536,1,0.0268,8,0.2143,0,0.0000,0,0.0000,1,0.0268
37,55,3015,1029.0102,10.221583355599968,0.6012484120492319,3.0033,7.6730,7.6862,7.8265,16.3536,51.523944,41.18824256700511,-8.62690959969181,0,0.0000,1,0.0332,5,0.1658,0,0.0000,0,0.0000,1,0.0332
