"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"52664"	"11.5307"	"8.260632537625325000"	"0.402526853013645940"	"3.0157"	"8.7962"	"8.7896"	"8.8342"	"18.7318"	"58.710859"	"41.189949731075274000"	"-8.626629225674078000"	"20"	"0.0380"	"0"	"0.0000"	"0"	"0.0000"	"10"	"0.0190"	"3"	"0.0057"	"0"	"0.0000"
"592"	"2330"	"49228"	"10.7784"	"33.928369824480680000"	"1.201072205756145400"	"3.0003"	"7.6073"	"7.5806"	"7.6197"	"15.7955"	"50.683674"	"41.189961231821016000"	"-8.626350276537247000"	"17"	"0.0345"	"10"	"0.0203"	"92"	"0.1869"	"8"	"0.0163"	"27"	"0.0548"	"16"	"0.0325"
"676"	"2629"	"49105"	"10.7515"	"28.783689308163590000"	"1.201672025591919800"	"3.0004"	"7.8735"	"7.9105"	"7.9220"	"16.4840"	"52.679807"	"41.189966259194810000"	"-8.626301066956770000"	"22"	"0.0448"	"9"	"0.0183"	"111"	"0.2260"	"1"	"0.0020"	"10"	"0.0204"	"22"	"0.0448"
"50"	"59"	"39213"	"8.5856"	"0.819437331886830800"	"0.199977133390598670"	"2.9991"	"7.7462"	"7.7578"	"7.7741"	"16.1294"	"51.729106"	"41.189961505972796000"	"-8.626935718734485000"	"12"	"0.0306"	"5"	"0.0128"	"65"	"0.1658"	"11"	"0.0281"	"7"	"0.0179"	"0"	"0.0000"
"574"	"0"	"25034"	"5.4811"	"5.989209167642615000"	"0.402642748221878840"	"3.0188"	"7.5008"	"7.5580"	"7.5824"	"15.6332"	"50.313528"	"41.190027204593880000"	"-8.626591118016250000"	"9"	"0.0360"	"8"	"0.0320"	"47"	"0.1877"	"7"	"0.0280"	"8"	"0.0320"	"6"	"0.0240"
"453"	"0"	"24842"	"5.4391"	"23.558523839783643000"	"0.699676480001800900"	"2.9983"	"8.6984"	"8.6968"	"8.7412"	"18.4030"	"58.080872"	"41.189950777888400000"	"-8.626412586612322000"	"10"	"0.0403"	"1"	"0.0040"	"43"	"0.1731"	"1"	"0.0040"	"0"	"0.0000"	"1"	"0.0040"
"194"	"1226"	"24412"	"5.3450"	"8.710399973170734000"	"0.410227619305083300"	"3.0007"	"7.8116"	"7.8409"	"7.8910"	"16.4635"	"52.318791"	"41.189896537861830000"	"-8.626686731964249000"	"6"	"0.0246"	"4"	"0.0164"	"49"	"0.2007"	"7"	"0.0287"	"7"	"0.0287"	"0"	"0.0000"
"25"	"598"	"19899"	"4.3569"	"6.166456286776339000"	"0.400093035209979400"	"3.0004"	"7.5920"	"7.5787"	"7.5693"	"15.8251"	"50.533408"	"41.190026751623830000"	"-8.627002504278540000"	"4"	"0.0201"	"1"	"0.0050"	"32"	"0.1608"	"9"	"0.0452"	"1"	"0.0050"	"10"	"0.0503"
"592"	"2168"	"12398"	"2.7145"	"33.794206470022700000"	"1.198466329283413000"	"2.9978"	"7.5829"	"7.5811"	"7.6049"	"15.7964"	"50.597571"	"41.189911951471710000"	"-8.626593356823708000"	"1"	"0.0081"	"2"	"0.0161"	"16"	"0.1291"	"4"	"0.0323"	"5"	"0.0403"	"4"	"0.0323"
"359"	"830"	"12344"	"2.7027"	"48.184705622578750000"	"1.199140491588961900"	"3.0023"	"7.4017"	"7.5013"	"7.5123"	"15.4978"	"49.811852"	"41.190035519772960000"	"-8.626532389251280000"	"4"	"0.0324"	"1"	"0.0081"	"208"	"1.6850"	"1"	"0.0081"	"5"	"0.0405"	"3"	"0.0243"
"109"	"703"	"8368"	"1.8322"	"1.022003700564941400"	"0.599572626699339100"	"2.9993"	"9.0754"	"9.2220"	"9.1971"	"19.7010"	"61.098824"	"41.185942419985770000"	"-8.627951574909499000"	"3"	"0.0359"	"0"	"0.0000"	"23"	"0.2749"	"1"	"0.0120"	"2"	"0.0239"	"5"	"0.0598"
"915"	"0"	"3733"	"0.8173"	"10.453117971952945000"	"0.499713277803998900"	"3.0048"	"8.1034"	"8.0311"	"8.0206"	"17.2060"	"53.678010"	"41.189982754069820000"	"-8.626833817763757000"	"2"	"0.0536"	"1"	"0.0268"	"8"	"0.2143"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0268"
"37"	"55"	"3015"	"0.6601"	"10.221583355599968000"	"0.601248412049231900"	"3.0033"	"7.6730"	"7.6862"	"7.8265"	"16.3536"	"51.523944"	"41.188242567005110000"	"-8.626909599691810000"	"0"	"0.0000"	"1"	"0.0332"	"5"	"0.1658"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0332"
"333"	"0"	"2676"	"0.5859"	"1.237424103133032200"	"0.411541842912959140"	"2.9981"	"8.2223"	"8.1061"	"8.1491"	"17.1816"	"54.394582"	"41.194788323870820000"	"-8.614586622546320000"	"0"	"0.0000"	"1"	"0.0374"	"6"	"0.2242"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"527"	"0"	"2573"	"0.5634"	"2.169976992999539000"	"0.401562691869969230"	"3.0066"	"7.5282"	"7.6238"	"7.4431"	"15.5942"	"50.211112"	"41.195271903228460000"	"-8.621883401841224000"	"2"	"0.0777"	"0"	"0.0000"	"3"	"0.1166"	"1"	"0.0389"	"0"	"0.0000"	"0"	"0.0000"
"237"	"0"	"2475"	"0.5419"	"49.060027641544636000"	"1.396133888895317000"	"2.9951"	"8.9236"	"9.0416"	"8.8311"	"19.1099"	"59.547443"	"41.189979751502420000"	"-8.626803544529528000"	"1"	"0.0404"	"0"	"0.0000"	"3"	"0.1212"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0404"
"702"	"0"	"2464"	"0.5395"	"2.256360088218696700"	"0.200009942685533880"	"3.0070"	"8.9667"	"8.6899"	"9.0292"	"19.2009"	"59.301973"	"41.191221416242634000"	"-8.617776868958332000"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0812"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"273"	"625"	"2363"	"0.5174"	"4.079983874498787500"	"0.508018156141042700"	"2.9970"	"7.7914"	"7.9505"	"7.9154"	"16.3931"	"52.571477"	"41.193035541193480000"	"-8.624215958151161000"	"1"	"0.0423"	"0"	"0.0000"	"6"	"0.2539"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"16"	"0"	"2221"	"0.4863"	"1.869195635779813200"	"0.300852391142557460"	"2.9991"	"7.8933"	"8.0185"	"8.2580"	"16.8496"	"53.710554"	"41.186532100681850000"	"-8.632861182965675000"	"1"	"0.0450"	"0"	"0.0000"	"4"	"0.1801"	"0"	"0.0000"	"1"	"0.0450"	"1"	"0.0450"
"110"	"706"	"2077"	"0.4548"	"9.775270417246515000"	"1.200686178685153500"	"2.9928"	"9.2792"	"9.0997"	"9.0920"	"19.9701"	"61.046331"	"41.184860274251120000"	"-8.628723544736312000"	"1"	"0.0481"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.1444"
"684"	"0"	"2054"	"0.4497"	"3.584620383228043700"	"0.400431623658801900"	"3.0010"	"8.7872"	"8.7648"	"8.8822"	"19.0282"	"58.742785"	"41.192302870393930000"	"-8.625321573781326000"	"0"	"0.0000"	"0"	"0.0000"	"4"	"0.1947"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"513"	"0"	"2010"	"0.4401"	"11.424090083349160000"	"0.603604612005118800"	"3.0065"	"7.9662"	"7.8224"	"7.9348"	"16.7458"	"52.718712"	"41.191801630997010000"	"-8.626629575527478000"	"0"	"0.0000"	"1"	"0.0498"	"6"	"0.2985"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"506"	"0"	"1921"	"0.4206"	"4.223668118783583000"	"0.401234166642340500"	"3.0083"	"8.0713"	"8.1359"	"8.2806"	"16.8496"	"54.417226"	"41.188186174438100000"	"-8.628128385191667000"	"2"	"0.1041"	"0"	"0.0000"	"3"	"0.1562"	"1"	"0.0521"	"0"	"0.0000"	"0"	"0.0000"
"158"	"1136"	"1838"	"0.4024"	"9.664792621856028000"	"0.608307914089494700"	"2.9951"	"7.5065"	"7.5533"	"7.5724"	"15.6730"	"50.293781"	"41.187697346430630000"	"-8.625540220798625000"	"1"	"0.0544"	"0"	"0.0000"	"3"	"0.1632"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"27"	"51"	"1751"	"0.3834"	"12.255953808704966000"	"0.598284293453329800"	"2.9989"	"7.9823"	"7.8892"	"7.7664"	"16.7322"	"52.528789"	"41.192141588280860000"	"-8.626644330161923000"	"0"	"0.0000"	"0"	"0.0000"	"4"	"0.2284"	"1"	"0.0571"	"1"	"0.0571"	"0"	"0.0000"
"152"	"1118"	"1739"	"0.3808"	"6.686662883988874000"	"0.898424081654299100"	"3.0092"	"7.7470"	"7.8235"	"7.8413"	"16.2358"	"52.026090"	"41.190342846678630000"	"-8.626616167165865000"	"0"	"0.0000"	"1"	"0.0575"	"5"	"0.2875"	"1"	"0.0575"	"2"	"0.1150"	"1"	"0.0575"
"170"	"0"	"1700"	"0.3722"	"12.609369266433580000"	"0.515913665119029500"	"3.0094"	"7.6982"	"7.6724"	"7.8818"	"15.9324"	"51.671830"	"41.189524242388110000"	"-8.627392649510390000"	"0"	"0.0000"	"1"	"0.0588"	"4"	"0.2353"	"1"	"0.0588"	"0"	"0.0000"	"0"	"0.0000"
"304"	"1469"	"1684"	"0.3687"	"61.128374099165130000"	"0.408558042423529800"	"2.9905"	"7.7951"	"7.9555"	"8.0374"	"16.7589"	"52.862197"	"41.195943833990240000"	"-8.624271423451033000"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.1781"	"1"	"0.0594"	"2"	"0.1188"	"0"	"0.0000"
