pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,37833,11.8867,17.7839,56.376533,40.20429747574778,-8.44808069307508,8,0.0211,9,0.0238,0,0.0000,4,0.0106,3,0.0079,0,0.0000
676,2629,36426,11.4446,17.2250,54.782669,40.20422860041058,-8.447966838384476,15,0.0412,3,0.0082,54,0.1482,0,0.0000,8,0.0220,15,0.0412
592,2330,36167,11.3633,15.4733,50.11032,40.20412058531695,-8.447911148290977,4,0.0111,10,0.0276,68,0.1880,7,0.0194,12,0.0332,4,0.0111
50,59,29627,9.3085,16.2300,52.502322,40.202683509405944,-8.448304409493241,9,0.0304,7,0.0236,73,0.2464,8,0.0270,4,0.0135,0,0.0000
574,0,18093,5.6846,15.6137,49.96395,40.204125826255115,-8.4479597316533,6,0.0332,6,0.0332,33,0.1824,6,0.0332,6,0.0332,4,0.0221
453,0,18088,5.6830,17.9130,56.358552,40.20423749211134,-8.447818362254653,11,0.0608,2,0.0111,37,0.2046,4,0.0221,1,0.0055,0,0.0000
194,1226,17883,5.6186,16.3187,52.265245,40.20412279213948,-8.447964252951515,8,0.0447,4,0.0224,43,0.2405,11,0.0615,6,0.0336,0,0.0000
25,598,14815,4.6547,15.4367,49.938137,40.2025933179583,-8.448285945078231,3,0.0202,4,0.0270,26,0.1755,7,0.0472,2,0.0135,7,0.0472
359,830,9196,2.8893,15.7464,50.486471,40.204132720991105,-8.447994234186957,1,0.0109,2,0.0217,143,1.5550,0,0.0000,0,0.0000,5,0.0544
592,2168,9045,2.8418,15.5631,50.017547,40.204066537941095,-8.447728357406616,1,0.0111,1,0.0111,17,0.1879,2,0.0221,2,0.0221,2,0.0221
29,776,7309,2.2964,17.7667,56.466461,40.22033242406234,-8.45185951099699,1,0.0137,0,0.0000,13,0.1779,2,0.0274,1,0.0137,0,0.0000
915,0,3076,0.9664,18.0293,56.191301,40.204056671363844,-8.447828090393756,1,0.0325,0,0.0000,2,0.0650,0,0.0000,0,0.0000,0,0.0000
27,51,2678,0.8414,16.8977,53.33835,40.20373438502522,-8.451072922878657,1,0.0373,0,0.0000,6,0.2240,0,0.0000,1,0.0373,0,0.0000
304,1469,2226,0.6994,17.3450,55.03642,40.20214379723527,-8.446863120914738,3,0.1348,1,0.0449,4,0.1797,0,0.0000,3,0.1348,1,0.0449
684,0,2076,0.6523,18.0742,57.641888,40.20437382903589,-8.447782207683966,2,0.0963,0,0.0000,3,0.1445,0,0.0000,1,0.0482,2,0.0963
333,0,1981,0.6224,17.6507,55.611651,40.20155895778136,-8.443336179469194,0,0.0000,0,0.0000,2,0.1010,0,0.0000,0,0.0000,0,0.0000
41,157,1890,0.5938,18.7079,59.281625,40.20264794538461,-8.445398474282461,1,0.0529,0,0.0000,3,0.1587,0,0.0000,0,0.0000,0,0.0000
513,0,1827,0.5740,16.9863,53.887991,40.20429526138447,-8.447699036735589,2,0.1095,0,0.0000,4,0.2189,0,0.0000,0,0.0000,1,0.0547
37,55,1784,0.5605,16.1996,51.794854,40.20292529504026,-8.44826611145266,1,0.0561,1,0.0561,3,0.1682,0,0.0000,0,0.0000,0,0.0000
519,0,1728,0.5429,17.7755,55.082309,40.20117082941833,-8.441905142228565,1,0.0579,0,0.0000,2,0.1157,0,0.0000,0,0.0000,0,0.0000
237,0,1612,0.5065,18.7351,58.002494,40.20420121721294,-8.447951989422302,4,0.2481,1,0.0620,1,0.0620,0,0.0000,0,0.0000,4,0.2481
35,0,1571,0.4936,18.7588,59.506366,40.20174674405248,-8.446915164517486,0,0.0000,0,0.0000,6,0.3819,0,0.0000,0,0.0000,0,0.0000
736,0,1515,0.4760,15.4343,49.271749,40.20477199321271,-8.448580864769726,0,0.0000,0,0.0000,3,0.1980,1,0.0660,1,0.0660,1,0.0660
285,0,1420,0.4461,16.6035,51.779423,40.20343055638777,-8.448516467975578,0,0.0000,0,0.0000,2,0.1408,0,0.0000,0,0.0000,0,0.0000
273,625,1379,0.4333,16.6280,53.104641,40.20444779603892,-8.44676604907471,0,0.0000,1,0.0725,1,0.0725,1,0.0725,0,0.0000,0,0.0000
203,0,1367,0.4295,17.4433,54.877696,40.20419582171002,-8.442525720777311,1,0.0732,0,0.0000,2,0.1463,1,0.0732,0,0.0000,0,0.0000
585,587,1324,0.4160,18.1005,57.072795,40.20363556423692,-8.445680366409585,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0755
52,63,1210,0.3802,17.0901,55.265289,40.19693015338949,-8.445595589025178,0,0.0000,0,0.0000,2,0.1653,0,0.0000,0,0.0000,0,0.0000
554,2063,1163,0.3654,16.5202,52.477188,40.201721287922446,-8.447189758133039,1,0.0860,1,0.0860,1,0.0860,1,0.0860,2,0.1720,0,0.0000
921,0,1159,0.3641,15.7196,50.21195,40.204453978420304,-8.448353221966007,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0863
702,0,1146,0.3601,18.1850,57.145655,40.20434572413686,-8.443145374890204,0,0.0000,0,0.0000,3,0.2618,0,0.0000,0,0.0000,0,0.0000
170,0,1130,0.3550,15.5717,49.968726,40.20479403332944,-8.448770461329612,1,0.0885,0,0.0000,2,0.1770,1,0.0885,0,0.0000,1,0.0885
263,946,1128,0.3544,17.3644,54.241552,40.20455808010554,-8.448125533604886,0,0.0000,0,0.0000,22,1.9504,1,0.0887,0,0.0000,0,0.0000
109,703,1097,0.3447,19.2990,59.992024,40.203123107878135,-8.448915924282645,1,0.0912,0,0.0000,2,0.1823,0,0.0000,0,0.0000,1,0.0912
155,1127,1068,0.3356,16.1891,51.402388,40.20157803597548,-8.447767070852287,0,0.0000,0,0.0000,1,0.0936,0,0.0000,0,0.0000,0,0.0000
13,616,1039,0.3264,18.0106,56.562974,40.2027731973009,-8.444786131543019,0,0.0000,0,0.0000,1,0.0962,0,0.0000,0,0.0000,0,0.0000
777,0,1019,0.3202,15.8302,50.121089,40.20218867041997,-8.44709924252828,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
152,1118,1017,0.3195,16.0020,51.755752,40.20329018562757,-8.447965124594608,0,0.0000,1,0.0983,3,0.2950,0,0.0000,0,0.0000,0,0.0000
158,1136,970,0.3048,15.3588,50.64167,40.20326063412751,-8.448915538254068,0,0.0000,0,0.0000,5,0.5155,0,0.0000,1,0.1031,0,0.0000
