pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,67869,10.9963,15.5021,49.913828,38.62256801189006,-9.107214885511747,15,0.0221,21,0.0309,150,0.2210,20,0.0295,26,0.0383,13,0.0192
747,0,67469,10.9315,18.6315,58.429344,38.62250550511356,-9.107361101566555,39,0.0578,8,0.0119,0,0.0000,7,0.0104,5,0.0074,0,0.0000
676,2629,67308,10.9054,16.3478,52.104088,38.62253708332564,-9.107274157589032,23,0.0342,9,0.0134,126,0.1872,3,0.0045,9,0.0134,23,0.0342
50,59,51501,8.3443,16.5290,52.647253,38.622175963832085,-9.108823641179622,14,0.0272,9,0.0175,105,0.2039,15,0.0291,10,0.0194,0,0.0000
574,0,33821,5.4798,15.5710,49.931385,38.62247369940506,-9.107340270739462,11,0.0325,14,0.0414,75,0.2218,8,0.0237,10,0.0296,10,0.0296
453,0,33741,5.4668,18.5985,58.512576,38.62251141565629,-9.10727456964423,12,0.0356,2,0.0059,55,0.1630,3,0.0089,2,0.0059,4,0.0119
194,1226,33588,5.4420,16.5564,52.572069,38.62249741929749,-9.1071401278039,14,0.0417,4,0.0119,81,0.2412,12,0.0357,11,0.0327,0,0.0000
25,598,26325,4.2653,15.4644,49.964933,38.62224896519192,-9.108767973558479,2,0.0076,7,0.0266,41,0.1557,4,0.0152,7,0.0266,9,0.0342
592,2168,17095,2.7698,15.4571,49.97707,38.62253732613939,-9.107242255816523,1,0.0058,11,0.0643,33,0.1930,3,0.0175,2,0.0117,1,0.0058
359,830,16983,2.7516,15.4178,49.991447,38.6225341550468,-9.107245373225753,3,0.0177,4,0.0236,251,1.4779,2,0.0118,3,0.0177,4,0.0236
109,703,6332,1.0259,19.9000,61.378884,38.62321822337612,-9.110937207276914,3,0.0474,0,0.0000,10,0.1579,0,0.0000,0,0.0000,7,0.1105
506,0,6140,0.9948,16.7546,52.69743,38.62135897963784,-9.112037265502048,1,0.0163,1,0.0163,15,0.2443,2,0.0326,1,0.0163,4,0.0651
152,1118,5394,0.8740,16.3628,52.604157,38.61753925257121,-9.101531088293374,2,0.0371,2,0.0371,6,0.1112,2,0.0371,0,0.0000,0,0.0000
915,0,5034,0.8156,16.9138,53.940697,38.62245650680295,-9.107135027864487,3,0.0596,1,0.0199,10,0.1986,1,0.0199,0,0.0000,1,0.0199
