pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,77227,26814.9306,8.251356318788105,0.402083063081616,3.0161,8.6101,8.6053,8.6335,18.2615,57.441936,38.53854037094055,-8.899598231388095,35,0.0453,10,0.0129,0,0.0000,9,0.0117,7,0.0091,0,0.0000
592,2330,77222,26813.1944,33.899927050314865,1.2007814817718085,2.9995,7.4928,7.5269,7.5126,15.4717,50.07181,38.53842702311485,-8.899580309205305,10,0.0129,18,0.0233,134,0.1735,8,0.0104,31,0.0401,23,0.0298
676,2629,76766,26654.8611,28.72949985296604,1.1999167217895117,3.0000,7.8434,7.8190,7.8387,16.3474,52.224706,38.53857207433032,-8.899535947856714,18,0.0234,17,0.0221,162,0.2110,6,0.0078,12,0.0156,18,0.0234
50,59,68356,23734.7222,0.8208808385773174,0.20008695044849767,3.0003,8.0767,8.0304,8.0274,16.9226,53.632165,38.53851190088375,-8.899533365341021,30,0.0439,10,0.0146,141,0.2063,15,0.0219,9,0.0132,0,0.0000
574,0,38702,13438.1944,5.995984294880108,0.4026862658039286,3.0176,7.5323,7.4970,7.5030,15.5863,50.071725,38.53839156556147,-8.899578215691431,12,0.0310,7,0.0181,62,0.1602,12,0.0310,15,0.0388,7,0.0181
194,1226,38537,13380.9028,8.740488372452115,0.4103060779489144,2.9986,8.0606,8.0669,8.0545,17.0007,53.737605,38.53867081707121,-8.89974423359775,13,0.0337,6,0.0156,76,0.1972,10,0.0259,6,0.0156,0,0.0000
453,0,38412,13337.5000,23.61253377332138,0.6999567478260468,2.9999,8.6253,8.6324,8.6128,18.3027,57.489926,38.53841651727131,-8.899669765842917,12,0.0312,4,0.0104,83,0.2161,1,0.0026,3,0.0078,7,0.0182
25,598,34101,11840.6250,6.175497572423216,0.40075792132140553,2.9980,7.5115,7.4778,7.5212,15.5781,50.023199,38.53864705020492,-8.899700691045469,8,0.0235,7,0.0205,61,0.1789,14,0.0411,7,0.0205,17,0.0499
359,830,19274,6692.3611,48.31958182860693,1.2014286600917248,2.9999,7.5145,7.5324,7.4645,15.6281,50.025137,38.538099192613444,-8.898684009523084,8,0.0415,6,0.0311,302,1.5669,4,0.0208,5,0.0259,5,0.0259
592,2168,19112,6636.1111,33.86098940389559,1.200453664383717,3.0035,7.5278,7.4862,7.4983,15.4654,50.027559,38.5387793315605,-8.899931402375657,4,0.0209,2,0.0105,40,0.2093,3,0.0157,7,0.0366,7,0.0366
