"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"77227"	"11.4958"	"8.251356318788105000"	"0.402083063081616000"	"3.0161"	"8.6101"	"8.6053"	"8.6335"	"18.2615"	"57.441936"	"38.538540370940550000"	"-8.899598231388095000"	"35"	"0.0453"	"10"	"0.0129"	"0"	"0.0000"	"9"	"0.0117"	"7"	"0.0091"	"0"	"0.0000"
"592"	"2330"	"77222"	"11.4951"	"33.899927050314865000"	"1.200781481771808500"	"2.9995"	"7.4928"	"7.5269"	"7.5126"	"15.4717"	"50.071810"	"38.538427023114850000"	"-8.899580309205305000"	"10"	"0.0129"	"18"	"0.0233"	"134"	"0.1735"	"8"	"0.0104"	"31"	"0.0401"	"23"	"0.0298"
"676"	"2629"	"76766"	"11.4272"	"28.729499852966040000"	"1.199916721789511700"	"3.0000"	"7.8434"	"7.8190"	"7.8387"	"16.3474"	"52.224706"	"38.538572074330320000"	"-8.899535947856714000"	"18"	"0.0234"	"17"	"0.0221"	"162"	"0.2110"	"6"	"0.0078"	"12"	"0.0156"	"18"	"0.0234"
"50"	"59"	"68356"	"10.1753"	"0.820880838577317400"	"0.200086950448497670"	"3.0003"	"8.0767"	"8.0304"	"8.0274"	"16.9226"	"53.632165"	"38.538511900883750000"	"-8.899533365341021000"	"30"	"0.0439"	"10"	"0.0146"	"141"	"0.2063"	"15"	"0.0219"	"9"	"0.0132"	"0"	"0.0000"
"574"	"0"	"38702"	"5.7611"	"5.995984294880108000"	"0.402686265803928600"	"3.0176"	"7.5323"	"7.4970"	"7.5030"	"15.5863"	"50.071725"	"38.538391565561470000"	"-8.899578215691431000"	"12"	"0.0310"	"7"	"0.0181"	"62"	"0.1602"	"12"	"0.0310"	"15"	"0.0388"	"7"	"0.0181"
"194"	"1226"	"38537"	"5.7365"	"8.740488372452115000"	"0.410306077948914400"	"2.9986"	"8.0606"	"8.0669"	"8.0545"	"17.0007"	"53.737605"	"38.538670817071210000"	"-8.899744233597750000"	"13"	"0.0337"	"6"	"0.0156"	"76"	"0.1972"	"10"	"0.0259"	"6"	"0.0156"	"0"	"0.0000"
"453"	"0"	"38412"	"5.7179"	"23.612533773321380000"	"0.699956747826046800"	"2.9999"	"8.6253"	"8.6324"	"8.6128"	"18.3027"	"57.489926"	"38.538416517271310000"	"-8.899669765842917000"	"12"	"0.0312"	"4"	"0.0104"	"83"	"0.2161"	"1"	"0.0026"	"3"	"0.0078"	"7"	"0.0182"
"25"	"598"	"34101"	"5.0762"	"6.175497572423216000"	"0.400757921321405530"	"2.9980"	"7.5115"	"7.4778"	"7.5212"	"15.5781"	"50.023199"	"38.538647050204920000"	"-8.899700691045469000"	"8"	"0.0235"	"7"	"0.0205"	"61"	"0.1789"	"14"	"0.0411"	"7"	"0.0205"	"17"	"0.0499"
"359"	"830"	"19274"	"2.8691"	"48.319581828606930000"	"1.201428660091724800"	"2.9999"	"7.5145"	"7.5324"	"7.4645"	"15.6281"	"50.025137"	"38.538099192613444000"	"-8.898684009523084000"	"8"	"0.0415"	"6"	"0.0311"	"302"	"1.5669"	"4"	"0.0208"	"5"	"0.0259"	"5"	"0.0259"
"592"	"2168"	"19112"	"2.8450"	"33.860989403895590000"	"1.200453664383717000"	"3.0035"	"7.5278"	"7.4862"	"7.4983"	"15.4654"	"50.027559"	"38.538779331560500000"	"-8.899931402375657000"	"4"	"0.0209"	"2"	"0.0105"	"40"	"0.2093"	"3"	"0.0157"	"7"	"0.0366"	"7"	"0.0366"
"915"	"0"	"5547"	"0.8257"	"10.403187283665986000"	"0.498520978125842730"	"2.9989"	"8.0119"	"8.0436"	"7.9737"	"16.9165"	"53.398181"	"38.538717785187260000"	"-8.899273916196707000"	"3"	"0.0541"	"0"	"0.0000"	"14"	"0.2524"	"1"	"0.0180"	"0"	"0.0000"	"0"	"0.0000"
"109"	"703"	"5101"	"0.7593"	"1.032220526977496900"	"0.602982112590004400"	"3.0031"	"9.1606"	"9.1435"	"9.1427"	"19.6718"	"60.992886"	"38.540495694389640000"	"-8.894181598921822000"	"3"	"0.0588"	"0"	"0.0000"	"15"	"0.2941"	"0"	"0.0000"	"0"	"0.0000"	"5"	"0.0980"
