pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,131828,42117.5719,8.245744131533636,0.4020587574564714,3.0154,8.7189,8.7170,8.7098,18.5397,58.101295,38.792713307582225,-9.356908400096216,62,0.0470,12,0.0091,0,0.0000,14,0.0106,14,0.0106,0,0.0000
592,2330,130304,41630.6709,33.86411938294954,1.2000539704955535,2.9995,7.5061,7.5063,7.5123,15.5104,50.054935,38.79268097703961,-9.35692738012722,41,0.0315,32,0.0246,233,0.1788,14,0.0107,65,0.0499,21,0.0161
676,2629,129287,41305.7508,28.751180402009958,1.2005013200221781,3.0002,7.9175,7.9332,7.8924,16.5565,52.762436,38.79265766100548,-9.356973440892508,27,0.0209,24,0.0186,248,0.1918,4,0.0031,21,0.0162,27,0.0209
50,59,99954,31934.1853,0.8204477277025871,0.20010222850655895,2.9995,7.8861,7.8956,7.8697,16.4408,52.558628,38.792537854889545,-9.355977801517803,35,0.0350,13,0.0130,196,0.1961,34,0.0340,25,0.0250,0,0.0000
453,0,65140,20811.5016,23.621033594953236,0.7005245665096961,3.0006,8.7077,8.7241,8.7139,18.5352,58.101594,38.79275221641673,-9.356951281976665,35,0.0537,5,0.0077,119,0.1827,7,0.0107,7,0.0107,1,0.0015
574,0,65093,20796.4856,5.969137915537914,0.40187529735679894,3.0145,7.4811,7.4667,7.5182,15.5110,49.924402,38.79257215924441,-9.356771587035087,24,0.0369,18,0.0277,145,0.2228,20,0.0307,23,0.0353,14,0.0215
194,1226,64596,20637.6997,8.704797892547232,0.4098972948542556,2.9994,7.8457,7.8574,7.8630,16.4090,52.369111,38.792665935324464,-9.356906206232331,18,0.0279,11,0.0170,105,0.1625,9,0.0139,8,0.0124,0,0.0000
25,598,50033,15984.9840,6.175331399240241,0.4006343666350318,3.0036,7.4980,7.4957,7.5029,15.4950,49.992673,38.79268319459246,-9.356105908395108,12,0.0240,14,0.0280,76,0.1519,16,0.0320,11,0.0220,22,0.0440
592,2168,32832,10489.4569,33.968535644136274,1.2013023557751714,2.9998,7.4968,7.5022,7.4825,15.5429,49.958988,38.79277528705714,-9.3568033765676,4,0.0122,9,0.0274,73,0.2223,8,0.0244,13,0.0396,9,0.0274
359,830,32556,10401.2780,48.325371426619306,1.2014444795555137,3.0001,7.5061,7.5422,7.4936,15.5555,50.093251,38.79262763090317,-9.356846306695289,6,0.0184,11,0.0338,510,1.5665,3,0.0092,5,0.0154,6,0.0184
767,0,15278,4881.1502,12.327552754224934,0.5001610026018091,2.9993,7.4845,7.4642,7.5047,15.6536,49.896365,38.78603340123068,-9.390673682984088,8,0.0524,3,0.0196,0,0.0000,12,0.0785,0,0.0000,2,0.0131
915,0,9821,3137.6997,10.463691360577933,0.4995992320485587,2.9999,8.1352,8.1115,8.1041,17.0500,54.11279,38.79267089358394,-9.356813197219223,3,0.0305,3,0.0305,12,0.1222,1,0.0102,0,0.0000,1,0.0102
109,703,9219,2945.3674,1.0209939889945352,0.5984582556827005,2.9938,9.1793,9.2663,9.2218,19.9490,61.48317,38.79232205792668,-9.35047489286671,3,0.0325,1,0.0108,14,0.1519,1,0.0108,0,0.0000,2,0.0217
13,616,7208,2302.8754,3.2922557267535075,0.3001088976268796,3.0000,8.7109,8.7687,8.7979,18.6057,58.394336,38.79872825011368,-9.341906106270185,4,0.0555,1,0.0139,11,0.1526,9,0.1249,0,0.0000,1,0.0139
684,0,7158,2286.9010,3.5966486182705535,0.40051584731437423,3.0028,8.8152,8.9401,8.9271,18.9202,59.294028,38.79181957726345,-9.355640692640673,5,0.0699,0,0.0000,18,0.2515,0,0.0000,0,0.0000,5,0.0699
27,51,6926,2212.7796,12.320938665042497,0.6006967869474612,2.9973,8.0706,8.0202,8.0758,16.8812,53.703615,38.79291445445318,-9.357839267414146,3,0.0433,1,0.0144,14,0.2021,1,0.0144,4,0.0578,2,0.0289
237,0,6492,2074.1214,49.17486552598297,1.4014137892371776,3.0012,8.9430,8.9395,8.9811,19.0571,59.696739,38.79259515180429,-9.35710656712791,2,0.0308,0,0.0000,21,0.3235,0,0.0000,0,0.0000,2,0.0308
37,55,6287,2008.6262,10.161477689833383,0.6005040463549451,2.9965,7.7924,7.8145,7.8177,16.5104,52.054886,38.79236745127641,-9.356194491874897,2,0.0318,1,0.0159,13,0.2068,1,0.0159,3,0.0477,0,0.0000
304,1469,6215,1985.6230,61.550315874466065,0.4096095215681195,3.0002,7.8811,8.0119,7.7990,16.6182,52.648898,38.794656669877625,-9.352225633436845,3,0.0483,0,0.0000,12,0.1931,0,0.0000,4,0.0644,0,0.0000
41,157,6157,1967.0927,7.712658043570096,0.8010914157068313,3.0031,9.2639,9.2006,9.1614,19.7973,61.390991,38.79522880923756,-9.357265302192058,2,0.0325,1,0.0162,11,0.1787,0,0.0000,0,0.0000,0,0.0000
