"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"131828"	"11.5207"	"8.245744131533636000"	"0.402058757456471400"	"3.0154"	"8.7189"	"8.7170"	"8.7098"	"18.5397"	"58.101295"	"38.792713307582225000"	"-9.356908400096216000"	"62"	"0.0470"	"12"	"0.0091"	"0"	"0.0000"	"14"	"0.0106"	"14"	"0.0106"	"0"	"0.0000"
"592"	"2330"	"130304"	"11.3875"	"33.864119382949540000"	"1.200053970495553500"	"2.9995"	"7.5061"	"7.5063"	"7.5123"	"15.5104"	"50.054935"	"38.792680977039610000"	"-9.356927380127220000"	"41"	"0.0315"	"32"	"0.0246"	"233"	"0.1788"	"14"	"0.0107"	"65"	"0.0499"	"21"	"0.0161"
"676"	"2629"	"129287"	"11.2986"	"28.751180402009958000"	"1.200501320022178100"	"3.0002"	"7.9175"	"7.9332"	"7.8924"	"16.5565"	"52.762436"	"38.792657661005480000"	"-9.356973440892508000"	"27"	"0.0209"	"24"	"0.0186"	"248"	"0.1918"	"4"	"0.0031"	"21"	"0.0162"	"27"	"0.0209"
"50"	"59"	"99954"	"8.7352"	"0.820447727702587100"	"0.200102228506558950"	"2.9995"	"7.8861"	"7.8956"	"7.8697"	"16.4408"	"52.558628"	"38.792537854889545000"	"-9.355977801517803000"	"35"	"0.0350"	"13"	"0.0130"	"196"	"0.1961"	"34"	"0.0340"	"25"	"0.0250"	"0"	"0.0000"
"453"	"0"	"65140"	"5.6927"	"23.621033594953236000"	"0.700524566509696100"	"3.0006"	"8.7077"	"8.7241"	"8.7139"	"18.5352"	"58.101594"	"38.792752216416730000"	"-9.356951281976665000"	"35"	"0.0537"	"5"	"0.0077"	"119"	"0.1827"	"7"	"0.0107"	"7"	"0.0107"	"1"	"0.0015"
"574"	"0"	"65093"	"5.6886"	"5.969137915537914000"	"0.401875297356798940"	"3.0145"	"7.4811"	"7.4667"	"7.5182"	"15.5110"	"49.924402"	"38.792572159244410000"	"-9.356771587035087000"	"24"	"0.0369"	"18"	"0.0277"	"145"	"0.2228"	"20"	"0.0307"	"23"	"0.0353"	"14"	"0.0215"
"194"	"1226"	"64596"	"5.6452"	"8.704797892547232000"	"0.409897294854255600"	"2.9994"	"7.8457"	"7.8574"	"7.8630"	"16.4090"	"52.369111"	"38.792665935324464000"	"-9.356906206232331000"	"18"	"0.0279"	"11"	"0.0170"	"105"	"0.1625"	"9"	"0.0139"	"8"	"0.0124"	"0"	"0.0000"
"25"	"598"	"50033"	"4.3725"	"6.175331399240241000"	"0.400634366635031800"	"3.0036"	"7.4980"	"7.4957"	"7.5029"	"15.4950"	"49.992673"	"38.792683194592460000"	"-9.356105908395108000"	"12"	"0.0240"	"14"	"0.0280"	"76"	"0.1519"	"16"	"0.0320"	"11"	"0.0220"	"22"	"0.0440"
"592"	"2168"	"32832"	"2.8693"	"33.968535644136274000"	"1.201302355775171400"	"2.9998"	"7.4968"	"7.5022"	"7.4825"	"15.5429"	"49.958988"	"38.792775287057140000"	"-9.356803376567600000"	"4"	"0.0122"	"9"	"0.0274"	"73"	"0.2223"	"8"	"0.0244"	"13"	"0.0396"	"9"	"0.0274"
"359"	"830"	"32556"	"2.8451"	"48.325371426619306000"	"1.201444479555513700"	"3.0001"	"7.5061"	"7.5422"	"7.4936"	"15.5555"	"50.093251"	"38.792627630903170000"	"-9.356846306695289000"	"6"	"0.0184"	"11"	"0.0338"	"510"	"1.5665"	"3"	"0.0092"	"5"	"0.0154"	"6"	"0.0184"
"767"	"0"	"15278"	"1.3352"	"12.327552754224934000"	"0.500161002601809100"	"2.9993"	"7.4845"	"7.4642"	"7.5047"	"15.6536"	"49.896365"	"38.786033401230680000"	"-9.390673682984088000"	"8"	"0.0524"	"3"	"0.0196"	"0"	"0.0000"	"12"	"0.0785"	"0"	"0.0000"	"2"	"0.0131"
"915"	"0"	"9821"	"0.8583"	"10.463691360577933000"	"0.499599232048558700"	"2.9999"	"8.1352"	"8.1115"	"8.1041"	"17.0500"	"54.112790"	"38.792670893583940000"	"-9.356813197219223000"	"3"	"0.0305"	"3"	"0.0305"	"12"	"0.1222"	"1"	"0.0102"	"0"	"0.0000"	"1"	"0.0102"
"109"	"703"	"9219"	"0.8057"	"1.020993988994535200"	"0.598458255682700500"	"2.9938"	"9.1793"	"9.2663"	"9.2218"	"19.9490"	"61.483170"	"38.792322057926680000"	"-9.350474892866710000"	"3"	"0.0325"	"1"	"0.0108"	"14"	"0.1519"	"1"	"0.0108"	"0"	"0.0000"	"2"	"0.0217"
"13"	"616"	"7208"	"0.6299"	"3.292255726753507500"	"0.300108897626879600"	"3.0000"	"8.7109"	"8.7687"	"8.7979"	"18.6057"	"58.394336"	"38.798728250113680000"	"-9.341906106270185000"	"4"	"0.0555"	"1"	"0.0139"	"11"	"0.1526"	"9"	"0.1249"	"0"	"0.0000"	"1"	"0.0139"
"684"	"0"	"7158"	"0.6256"	"3.596648618270553500"	"0.400515847314374230"	"3.0028"	"8.8152"	"8.9401"	"8.9271"	"18.9202"	"59.294028"	"38.791819577263450000"	"-9.355640692640673000"	"5"	"0.0699"	"0"	"0.0000"	"18"	"0.2515"	"0"	"0.0000"	"0"	"0.0000"	"5"	"0.0699"
"27"	"51"	"6926"	"0.6053"	"12.320938665042497000"	"0.600696786947461200"	"2.9973"	"8.0706"	"8.0202"	"8.0758"	"16.8812"	"53.703615"	"38.792914454453180000"	"-9.357839267414146000"	"3"	"0.0433"	"1"	"0.0144"	"14"	"0.2021"	"1"	"0.0144"	"4"	"0.0578"	"2"	"0.0289"
"237"	"0"	"6492"	"0.5673"	"49.174865525982970000"	"1.401413789237177600"	"3.0012"	"8.9430"	"8.9395"	"8.9811"	"19.0571"	"59.696739"	"38.792595151804290000"	"-9.357106567127910000"	"2"	"0.0308"	"0"	"0.0000"	"21"	"0.3235"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0308"
"37"	"55"	"6287"	"0.5494"	"10.161477689833383000"	"0.600504046354945100"	"2.9965"	"7.7924"	"7.8145"	"7.8177"	"16.5104"	"52.054886"	"38.792367451276410000"	"-9.356194491874897000"	"2"	"0.0318"	"1"	"0.0159"	"13"	"0.2068"	"1"	"0.0159"	"3"	"0.0477"	"0"	"0.0000"
"304"	"1469"	"6215"	"0.5431"	"61.550315874466065000"	"0.409609521568119500"	"3.0002"	"7.8811"	"8.0119"	"7.7990"	"16.6182"	"52.648898"	"38.794656669877625000"	"-9.352225633436845000"	"3"	"0.0483"	"0"	"0.0000"	"12"	"0.1931"	"0"	"0.0000"	"4"	"0.0644"	"0"	"0.0000"
"41"	"157"	"6157"	"0.5381"	"7.712658043570096000"	"0.801091415706831300"	"3.0031"	"9.2639"	"9.2006"	"9.1614"	"19.7973"	"61.390991"	"38.795228809237560000"	"-9.357265302192058000"	"2"	"0.0325"	"1"	"0.0162"	"11"	"0.1787"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"513"	"0"	"5971"	"0.5218"	"11.321068833679686000"	"0.601774565022429400"	"3.0022"	"8.0085"	"8.0161"	"8.1487"	"16.9389"	"53.718469"	"38.792515662778020000"	"-9.352519227472325000"	"0"	"0.0000"	"1"	"0.0167"	"6"	"0.1005"	"2"	"0.0335"	"1"	"0.0167"	"1"	"0.0167"
"590"	"0"	"5948"	"0.5198"	"1.022404626917492200"	"0.199766254346885390"	"3.0002"	"9.1775"	"9.1653"	"9.2419"	"19.7675"	"61.299373"	"38.793318149353254000"	"-9.356398181171656000"	"3"	"0.0504"	"0"	"0.0000"	"10"	"0.1681"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.0504"
"35"	"0"	"5170"	"0.4518"	"7.687581976147115000"	"0.599615387184513300"	"2.9971"	"9.2631"	"9.2497"	"9.2253"	"19.9857"	"61.640232"	"38.792964366129060000"	"-9.358400088690798000"	"1"	"0.0193"	"0"	"0.0000"	"14"	"0.2708"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"285"	"0"	"4956"	"0.4331"	"4.579670041751380000"	"0.408683681391706400"	"2.9988"	"7.7950"	"7.8791"	"7.8349"	"16.5143"	"52.242421"	"38.792973511145720000"	"-9.363047161062624000"	"3"	"0.0605"	"1"	"0.0202"	"7"	"0.1412"	"1"	"0.0202"	"2"	"0.0404"	"0"	"0.0000"
"273"	"625"	"4932"	"0.4310"	"4.122592840665055000"	"0.510784040388723200"	"3.0000"	"7.9795"	"8.0333"	"8.1687"	"16.7881"	"53.736653"	"38.792590823367775000"	"-9.356663491166575000"	"0"	"0.0000"	"1"	"0.0203"	"7"	"0.1419"	"3"	"0.0608"	"0"	"0.0000"	"0"	"0.0000"
"333"	"0"	"4929"	"0.4308"	"1.228661963019220600"	"0.408950785332997000"	"2.9921"	"8.2449"	"8.3303"	"8.2607"	"17.2605"	"55.190856"	"38.792756712037296000"	"-9.357576695625860000"	"3"	"0.0609"	"0"	"0.0000"	"8"	"0.1623"	"1"	"0.0203"	"1"	"0.0203"	"0"	"0.0000"
"736"	"0"	"4839"	"0.4229"	"4.541842091357146000"	"0.401771511364885370"	"3.0035"	"7.4811"	"7.4662"	"7.5067"	"15.4846"	"49.897820"	"38.792433471007850000"	"-9.358224521344251000"	"1"	"0.0207"	"5"	"0.1033"	"11"	"0.2273"	"0"	"0.0000"	"2"	"0.0413"	"1"	"0.0207"
"152"	"1118"	"4394"	"0.3840"	"6.575493066606052000"	"0.889614988680686000"	"2.9925"	"7.8441"	"7.8052"	"7.7797"	"16.2153"	"52.064465"	"38.791606613890660000"	"-9.352662343514693000"	"1"	"0.0228"	"1"	"0.0228"	"9"	"0.2048"	"2"	"0.0455"	"1"	"0.0228"	"3"	"0.0683"
"585"	"587"	"4357"	"0.3808"	"20.008826544114640000"	"0.600429436844638100"	"3.0007"	"8.2073"	"8.2722"	"8.3932"	"17.5446"	"55.272442"	"38.793776731647560000"	"-9.356455895469752000"	"3"	"0.0689"	"1"	"0.0230"	"0"	"0.0000"	"2"	"0.0459"	"1"	"0.0230"	"0"	"0.0000"
"155"	"1127"	"4287"	"0.3746"	"8.167032465533675000"	"0.512818042871272500"	"3.0049"	"7.7915"	"7.7966"	"7.7964"	"16.2610"	"51.965384"	"38.791129867173765000"	"-9.355043635708528000"	"1"	"0.0233"	"0"	"0.0000"	"9"	"0.2099"	"0"	"0.0000"	"1"	"0.0233"	"0"	"0.0000"
"158"	"1136"	"4241"	"0.3706"	"9.691411843073658000"	"0.607886418218401100"	"2.9936"	"7.4544"	"7.5921"	"7.4794"	"15.3714"	"50.057380"	"38.793010492292490000"	"-9.361564097851610000"	"2"	"0.0472"	"0"	"0.0000"	"8"	"0.1886"	"2"	"0.0472"	"0"	"0.0000"	"3"	"0.0707"
"921"	"0"	"4059"	"0.3547"	"2.580633583651674700"	"0.300058253513380100"	"2.9970"	"7.5910"	"7.5726"	"7.5159"	"15.5706"	"50.398827"	"38.792812858817400000"	"-9.356543792298577000"	"1"	"0.0246"	"2"	"0.0493"	"0"	"0.0000"	"3"	"0.0739"	"5"	"0.1232"	"1"	"0.0246"
"434"	"791"	"4054"	"0.3543"	"19.625559637071113000"	"0.398614270423207100"	"2.9941"	"9.0469"	"8.9393"	"8.8732"	"19.0222"	"59.687573"	"38.793841023138540000"	"-9.359640136325579000"	"2"	"0.0493"	"1"	"0.0247"	"0"	"0.0000"	"1"	"0.0247"	"0"	"0.0000"	"0"	"0.0000"
"263"	"946"	"4048"	"0.3538"	"17.739516304944548000"	"0.398574323457212600"	"2.9899"	"7.7982"	"7.9607"	"7.8661"	"16.6472"	"52.499983"	"38.792725879913180000"	"-9.356675904255050000"	"1"	"0.0247"	"1"	"0.0247"	"63"	"1.5563"	"4"	"0.0988"	"2"	"0.0494"	"1"	"0.0247"
"170"	"0"	"4010"	"0.3504"	"12.291960551181676000"	"0.509807870818624800"	"2.9953"	"7.4349"	"7.5741"	"7.5960"	"15.3429"	"50.233227"	"38.792292490168200000"	"-9.357228031798881000"	"3"	"0.0748"	"1"	"0.0249"	"6"	"0.1496"	"1"	"0.0249"	"0"	"0.0000"	"3"	"0.0748"
"661"	"0"	"3983"	"0.3481"	"1.733887203106985600"	"0.298744949443170800"	"2.9992"	"8.0823"	"8.1029"	"8.0791"	"16.8250"	"53.920874"	"38.802660886076460000"	"-9.349222456547670000"	"1"	"0.0251"	"0"	"0.0000"	"5"	"0.1255"	"0"	"0.0000"	"2"	"0.0502"	"2"	"0.0502"
"519"	"0"	"3753"	"0.3280"	"2.157996684090118000"	"0.300234829020207500"	"2.9989"	"8.2273"	"8.1508"	"8.2590"	"17.4034"	"54.749097"	"38.793849045780590000"	"-9.354374481952432000"	"0"	"0.0000"	"0"	"0.0000"	"10"	"0.2665"	"1"	"0.0266"	"0"	"0.0000"	"1"	"0.0266"
"16"	"0"	"3628"	"0.3171"	"1.854518681941263800"	"0.300313751128773600"	"2.9948"	"8.0176"	"8.0028"	"8.1370"	"17.0783"	"53.683142"	"38.793767149188050000"	"-9.359001480496287000"	"1"	"0.0276"	"0"	"0.0000"	"9"	"0.2481"	"1"	"0.0276"	"2"	"0.0551"	"1"	"0.0276"
"527"	"0"	"3597"	"0.3143"	"2.154927952331717700"	"0.400548520300204550"	"3.0067"	"7.5168"	"7.4851"	"7.6150"	"15.6022"	"50.259769"	"38.787011233319810000"	"-9.358923604319658000"	"1"	"0.0278"	"0"	"0.0000"	"6"	"0.1668"	"1"	"0.0278"	"1"	"0.0278"	"0"	"0.0000"
"456"	"0"	"3589"	"0.3136"	"7.110549012609563000"	"0.397645191977402060"	"2.9922"	"7.3586"	"7.5046"	"7.5350"	"15.7127"	"49.773737"	"38.799703601434620000"	"-9.351773410973497000"	"1"	"0.0279"	"1"	"0.0279"	"8"	"0.2229"	"0"	"0.0000"	"2"	"0.0557"	"0"	"0.0000"
"427"	"0"	"3449"	"0.3014"	"5.621574125682671000"	"0.398582485333741960"	"2.9983"	"8.0441"	"8.1977"	"8.1290"	"16.9356"	"54.157408"	"38.794671650495980000"	"-9.363049633116320000"	"0"	"0.0000"	"0"	"0.0000"	"6"	"0.1740"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0290"
"167"	"0"	"3412"	"0.2982"	"8.714153069439416000"	"0.508885662177313500"	"3.0103"	"8.9950"	"8.8280"	"9.0111"	"19.0375"	"59.631319"	"38.786905922111075000"	"-9.355993695511016000"	"1"	"0.0293"	"0"	"0.0000"	"5"	"0.1465"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"265"	"0"	"3378"	"0.2952"	"3.684270339131920500"	"0.299986405879983430"	"3.0030"	"7.5142"	"7.4124"	"7.5074"	"15.2001"	"49.853336"	"38.793058861810080000"	"-9.371770271126241000"	"4"	"0.1184"	"0"	"0.0000"	"7"	"0.2072"	"1"	"0.0296"	"0"	"0.0000"	"0"	"0.0000"
"702"	"0"	"3374"	"0.2949"	"2.245093684500949000"	"0.199601770165641300"	"2.9950"	"8.7721"	"8.8109"	"8.8975"	"18.7424"	"58.845391"	"38.792676140132520000"	"-9.354502651013805000"	"2"	"0.0593"	"0"	"0.0000"	"7"	"0.2075"	"1"	"0.0296"	"0"	"0.0000"	"0"	"0.0000"
"506"	"0"	"3280"	"0.2866"	"4.172771865473029000"	"0.397680771763494150"	"2.9942"	"8.1052"	"8.2091"	"8.1829"	"17.2668"	"54.438335"	"38.791962529016345000"	"-9.354330966493897000"	"0"	"0.0000"	"1"	"0.0305"	"8"	"0.2439"	"2"	"0.0610"	"0"	"0.0000"	"1"	"0.0305"
"554"	"2063"	"3192"	"0.2790"	"38.010860749183024000"	"0.596504649761257400"	"2.9994"	"7.9812"	"7.9063"	"7.8001"	"16.2603"	"52.639233"	"38.794527503958356000"	"-9.352295007779391000"	"0"	"0.0000"	"1"	"0.0313"	"6"	"0.1880"	"0"	"0.0000"	"2"	"0.0627"	"0"	"0.0000"
"753"	"0"	"3021"	"0.2640"	"1.535080241826393800"	"0.299610695938598240"	"2.9990"	"8.3469"	"8.4896"	"8.3393"	"17.8318"	"55.946174"	"38.793106513756550000"	"-9.358492819485049000"	"1"	"0.0331"	"0"	"0.0000"	"6"	"0.1986"	"0"	"0.0000"	"1"	"0.0331"	"2"	"0.0662"
"777"	"0"	"2819"	"0.2464"	"3.398702224286703000"	"0.300666792456198600"	"2.9957"	"7.6158"	"7.5303"	"7.5051"	"15.7879"	"50.336215"	"38.794383034518646000"	"-9.351849311566370000"	"0"	"0.0000"	"1"	"0.0355"	"0"	"0.0000"	"1"	"0.0355"	"1"	"0.0355"	"0"	"0.0000"
"133"	"0"	"2809"	"0.2455"	"6.709362292574070000"	"0.300649180573345940"	"3.0053"	"7.9242"	"8.0360"	"8.0680"	"16.6123"	"53.395899"	"38.793302721248665000"	"-9.343643056438227000"	"0"	"0.0000"	"0"	"0.0000"	"6"	"0.2136"	"1"	"0.0356"	"2"	"0.0712"	"2"	"0.0712"
"316"	"0"	"2766"	"0.2417"	"10.556301326972610000"	"0.409425127163254350"	"3.0029"	"8.8641"	"8.9093"	"8.9613"	"19.1273"	"59.410315"	"38.791553363462440000"	"-9.353716624020096000"	"2"	"0.0723"	"2"	"0.0723"	"4"	"0.1446"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"557"	"0"	"2705"	"0.2364"	"15.012951729783305000"	"0.301026481086457200"	"2.9985"	"7.9715"	"7.8200"	"8.0961"	"16.9176"	"53.083582"	"38.793984227922090000"	"-9.354956985437429000"	"0"	"0.0000"	"1"	"0.0370"	"6"	"0.2218"	"1"	"0.0370"	"0"	"0.0000"	"0"	"0.0000"
"261"	"1367"	"2685"	"0.2346"	"13.990732871828776000"	"0.511367175145138500"	"2.9955"	"7.4145"	"7.4767"	"7.6182"	"15.4022"	"50.021132"	"38.797858826053755000"	"-9.357227486109862000"	"1"	"0.0372"	"0"	"0.0000"	"6"	"0.2235"	"1"	"0.0372"	"1"	"0.0372"	"0"	"0.0000"
"280"	"292"	"2524"	"0.2206"	"6.800708139041981000"	"0.410128471878055070"	"3.0024"	"8.7698"	"8.8784"	"8.8891"	"18.8011"	"58.971692"	"38.798123027358100000"	"-9.360153321103450000"	"0"	"0.0000"	"0"	"0.0000"	"5"	"0.1981"	"1"	"0.0396"	"0"	"0.0000"	"1"	"0.0396"
"338"	"0"	"2523"	"0.2205"	"157.045769784369950000"	"1.189181804656982400"	"2.9988"	"8.2493"	"8.1966"	"8.3147"	"17.9937"	"55.023551"	"38.792600058940140000"	"-9.356911795426935000"	"2"	"0.0793"	"1"	"0.0396"	"9"	"0.3567"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0396"
"909"	"0"	"2501"	"0.2186"	"10.168116201774133000"	"0.402436055618825200"	"3.0040"	"8.1152"	"8.1068"	"8.1779"	"16.9964"	"54.221851"	"38.792390038134520000"	"-9.356702888310075000"	"0"	"0.0000"	"1"	"0.0400"	"0"	"0.0000"	"1"	"0.0400"	"1"	"0.0400"	"1"	"0.0400"
"431"	"0"	"2374"	"0.2075"	"4.040870980750880000"	"0.502923681217285900"	"3.0068"	"8.1407"	"8.0918"	"8.0661"	"16.8050"	"53.997081"	"38.791494405816630000"	"-9.357291596243051000"	"0"	"0.0000"	"0"	"0.0000"	"4"	"0.1685"	"1"	"0.0421"	"0"	"0.0000"	"0"	"0.0000"
"278"	"0"	"2372"	"0.2073"	"9.670162251557745000"	"0.605740498812678300"	"2.9920"	"7.4899"	"7.5046"	"7.4473"	"15.4317"	"49.870713"	"38.800458262758220000"	"-9.352463815108944000"	"0"	"0.0000"	"0"	"0.0000"	"8"	"0.3373"	"1"	"0.0422"	"0"	"0.0000"	"0"	"0.0000"
"906"	"0"	"2371"	"0.2072"	"4.195778221672250000"	"0.399239868076669200"	"2.9962"	"8.0042"	"8.1388"	"8.0561"	"16.9916"	"53.775732"	"38.792376039460880000"	"-9.356661969465085000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0422"	"2"	"0.0844"	"0"	"0.0000"
"539"	"0"	"2333"	"0.2039"	"52.418291864427860000"	"1.398982597409554200"	"2.9944"	"8.9233"	"8.9147"	"9.0274"	"19.2255"	"59.700810"	"38.792802384821180000"	"-9.350826317368840000"	"2"	"0.0857"	"0"	"0.0000"	"4"	"0.1715"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"529"	"0"	"2310"	"0.2019"	"8.729041776169524000"	"0.300328785685928900"	"2.9952"	"7.9524"	"7.8506"	"7.8602"	"16.3277"	"52.584957"	"38.781749039565960000"	"-9.341590177654139000"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0866"	"1"	"0.0433"	"1"	"0.0433"	"0"	"0.0000"
"274"	"628"	"2296"	"0.2007"	"28.924647272308704000"	"0.994584435312874800"	"3.0074"	"8.2034"	"8.1533"	"8.1733"	"16.8837"	"54.511224"	"38.792543859161260000"	"-9.355743838220901000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0436"	"0"	"0.0000"
"309"	"1484"	"2277"	"0.1990"	"15.550028113560767000"	"0.609181492499840300"	"2.9969"	"7.4664"	"7.5714"	"7.5859"	"15.4405"	"50.274805"	"38.792536138259820000"	"-9.378436730996430000"	"2"	"0.0878"	"0"	"0.0000"	"3"	"0.1318"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0439"
"216"	"1265"	"2257"	"0.1972"	"9.051131518928544000"	"0.611201235856819600"	"3.0009"	"8.0208"	"7.9712"	"7.8520"	"16.9030"	"52.986726"	"38.793030374625516000"	"-9.354368431764598000"	"0"	"0.0000"	"2"	"0.0886"	"4"	"0.1772"	"0"	"0.0000"	"2"	"0.0886"	"3"	"0.1329"
"580"	"0"	"2239"	"0.1957"	"5.603491416149302000"	"0.497877502692204650"	"2.9906"	"7.5623"	"7.3640"	"7.4980"	"15.4681"	"49.831764"	"38.793448616650636000"	"-9.356816102856898000"	"0"	"0.0000"	"1"	"0.0447"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0447"	"0"	"0.0000"
"32"	"776"	"2188"	"0.1912"	"9.221196099925084000"	"0.499472221560517460"	"3.0018"	"8.7975"	"9.0626"	"8.9360"	"19.4881"	"59.546929"	"38.792830253499370000"	"-9.351554226731274000"	"0"	"0.0000"	"0"	"0.0000"	"6"	"0.2742"	"0"	"0.0000"	"1"	"0.0457"	"0"	"0.0000"
