pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
676,2629,71186,11.4076,17.5477,55.30913,45.65775945632845,9.650681185989873,24,0.0337,15,0.0211,134,0.1882,3,0.0042,13,0.0183,24,0.0337
747,0,70806,11.3467,16.5262,52.752428,45.65774445842858,9.650750117957738,24,0.0339,14,0.0198,0,0.0000,14,0.0198,14,0.0198,0,0.0000
592,2330,70729,11.3343,15.4908,49.919108,45.65780628409447,9.65075329554909,21,0.0297,20,0.0283,119,0.1682,14,0.0198,41,0.0580,18,0.0254
50,59,56380,9.0349,17.1911,54.476533,45.65796531045635,9.649734361068592,25,0.0443,8,0.0142,111,0.1969,6,0.0106,6,0.0106,0,0.0000
453,0,35669,5.7160,16.6198,52.788372,45.65780995092515,9.650810522091112,14,0.0392,10,0.0280,63,0.1766,7,0.0196,7,0.0196,9,0.0252
194,1226,35467,5.6836,17.1845,54.539306,45.657801239708235,9.650793824324115,9,0.0254,4,0.0113,76,0.2143,10,0.0282,6,0.0169,0,0.0000
574,0,35443,5.6797,15.7312,50.92194,45.6576648210918,9.65049165955813,9,0.0254,11,0.0310,62,0.1749,10,0.0282,23,0.0649,4,0.0113
25,598,28525,4.5711,15.5097,49.764198,45.657935276097604,9.64986501580813,8,0.0280,8,0.0280,59,0.2068,13,0.0456,8,0.0280,15,0.0526
359,830,17689,2.8347,15.4318,49.738516,45.657648714256126,9.650568918712766,4,0.0226,7,0.0396,253,1.4303,1,0.0057,2,0.0113,2,0.0113
592,2168,17526,2.8085,15.5132,49.983388,45.65773839891527,9.650757700880009,8,0.0456,5,0.0285,33,0.1883,1,0.0057,9,0.0514,5,0.0285
109,703,7885,1.2636,16.8946,53.943465,45.646904675386274,9.64200066217779,2,0.0254,1,0.0127,19,0.2410,0,0.0000,1,0.0127,2,0.0254
915,0,6202,0.9939,18.0432,57.364963,45.65784057566428,9.650913122089701,2,0.0322,0,0.0000,9,0.1451,1,0.0161,1,0.0161,0,0.0000
19,45,5273,0.8450,17.6459,55.205346,45.66042623329333,9.64114759488881,5,0.0948,1,0.0190,9,0.1707,2,0.0379,2,0.0379,0,0.0000
585,587,4861,0.7790,19.0864,59.459671,45.65516836763843,9.659913632452897,2,0.0411,0,0.0000,0,0.0000,1,0.0206,1,0.0206,1,0.0206
513,0,4448,0.7128,17.5938,56.697104,45.65818071162066,9.651900866352394,2,0.0450,0,0.0000,4,0.0899,2,0.0450,2,0.0450,0,0.0000
16,0,4346,0.6964,18.1107,57.593169,45.65666492358664,9.649069456751452,1,0.0230,1,0.0230,12,0.2761,0,0.0000,0,0.0000,1,0.0230
506,0,4318,0.6920,17.7844,57.373286,45.65765833073904,9.651138439042407,3,0.0695,0,0.0000,17,0.3937,1,0.0232,0,0.0000,0,0.0000
37,55,3570,0.5721,17.0773,54.377902,45.658177807305826,9.65072480409383,2,0.0560,1,0.0280,7,0.1961,3,0.0840,0,0.0000,0,0.0000
273,625,3161,0.5066,18.1208,56.261364,45.65858006010564,9.651991852642583,3,0.0949,2,0.0633,6,0.1898,0,0.0000,0,0.0000,0,0.0000
684,0,3096,0.4961,17.1334,54.60584,45.656952543456576,9.64958110107653,0,0.0000,0,0.0000,4,0.1292,1,0.0323,0,0.0000,0,0.0000
427,0,2989,0.4790,18.1619,56.169622,45.651239663761075,9.655469219338476,0,0.0000,1,0.0335,4,0.1338,1,0.0335,0,0.0000,0,0.0000
285,0,2958,0.4740,17.1731,54.630815,45.657592264212326,9.65431476571602,3,0.1014,0,0.0000,8,0.2705,0,0.0000,1,0.0338,3,0.1014
152,1118,2936,0.4705,17.5538,54.536046,45.658828402406385,9.65377333894631,1,0.0341,0,0.0000,5,0.1703,0,0.0000,1,0.0341,0,0.0000
27,51,2906,0.4657,17.5385,56.077055,45.659948438872526,9.654731210168864,2,0.0688,0,0.0000,7,0.2409,0,0.0000,2,0.0688,0,0.0000
431,0,2895,0.4639,18.1751,57.045503,45.6583345118446,9.651591009867923,0,0.0000,0,0.0000,6,0.2073,0,0.0000,1,0.0345,0,0.0000
155,1127,2791,0.4473,17.0133,54.331007,45.66031896456611,9.658233625451103,3,0.1075,0,0.0000,4,0.1433,2,0.0717,1,0.0358,1,0.0358
736,0,2712,0.4346,15.3245,49.799255,45.657705235420224,9.652094195666558,3,0.1106,0,0.0000,6,0.2212,1,0.0369,0,0.0000,0,0.0000
237,0,2676,0.4288,17.3288,54.825587,45.657998744232714,9.651438267656898,0,0.0000,1,0.0374,11,0.4111,0,0.0000,1,0.0374,0,0.0000
58,280,2669,0.4277,17.4743,55.625459,45.65824559340838,9.656603129935753,2,0.0749,0,0.0000,6,0.2248,0,0.0000,3,0.1124,0,0.0000
731,0,2379,0.3812,18.3539,57.840349,45.65633472443367,9.649256297154995,1,0.0420,1,0.0420,0,0.0000,1,0.0420,0,0.0000,0,0.0000
263,946,2265,0.3630,17.4433,55.784256,45.657406343998396,9.649986021114993,2,0.0883,0,0.0000,36,1.5894,1,0.0442,1,0.0442,1,0.0442
921,0,2261,0.3623,15.5086,49.650668,45.65797510075314,9.65102281763129,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
702,0,2245,0.3598,17.2187,53.946058,45.65984357301885,9.65177770463395,2,0.0891,0,0.0000,6,0.2673,0,0.0000,0,0.0000,0,0.0000
170,0,2231,0.3575,15.4931,49.432784,45.65847673787862,9.65113415604291,0,0.0000,0,0.0000,6,0.2689,0,0.0000,0,0.0000,0,0.0000
519,0,2203,0.3530,18.5402,58.676564,45.65797465115157,9.651515292646534,0,0.0000,0,0.0000,1,0.0454,0,0.0000,0,0.0000,0,0.0000
122,1080,2176,0.3487,17.5290,55.117385,45.658532942469115,9.650301704741256,0,0.0000,0,0.0000,11,0.5055,1,0.0460,0,0.0000,0,0.0000
333,0,2053,0.3290,18.1705,58.148018,45.65769116706498,9.649578996793235,1,0.0487,0,0.0000,3,0.1461,1,0.0487,1,0.0487,0,0.0000
158,1136,2016,0.3231,15.3785,50.356081,45.65835358572154,9.65049288001216,1,0.0496,0,0.0000,4,0.1984,0,0.0000,1,0.0496,0,0.0000
163,0,2008,0.3218,18.0732,57.768885,45.65986716801098,9.654384052598752,0,0.0000,0,0.0000,2,0.0996,1,0.0498,0,0.0000,0,0.0000
287,0,1939,0.3107,18.2929,56.766952,45.65656960186837,9.651880977280628,1,0.0516,0,0.0000,2,0.1031,0,0.0000,0,0.0000,0,0.0000
590,0,1784,0.2859,18.7920,58.933761,45.65790541679064,9.650879748567794,0,0.0000,0,0.0000,4,0.2242,0,0.0000,0,0.0000,0,0.0000
261,1367,1778,0.2849,15.1631,50.017391,45.656511758164676,9.651818808350438,0,0.0000,1,0.0562,3,0.1687,1,0.0562,0,0.0000,0,0.0000
216,1265,1772,0.2840,17.9441,56.739391,45.658851298267884,9.653146517659977,2,0.1129,0,0.0000,4,0.2257,0,0.0000,0,0.0000,1,0.0564
316,0,1714,0.2747,17.0957,54.46769,45.65858522906463,9.65070877605891,0,0.0000,1,0.0583,8,0.4667,0,0.0000,0,0.0000,0,0.0000
52,63,1650,0.2644,18.0176,55.700958,45.65442472661054,9.650630907968894,1,0.0606,0,0.0000,4,0.2424,1,0.0606,0,0.0000,0,0.0000
100,2728,1615,0.2588,17.3158,54.167189,45.66181977028048,9.648497904745499,0,0.0000,0,0.0000,0,0.0000,1,0.0619,0,0.0000,0,0.0000
133,0,1571,0.2518,17.9911,57.199122,45.65696757875985,9.647723762163018,0,0.0000,0,0.0000,6,0.3819,0,0.0000,1,0.0637,2,0.1273
274,628,1553,0.2489,17.8886,56.605725,45.656846899563014,9.650473221761557,1,0.0644,0,0.0000,0,0.0000,0,0.0000,1,0.0644,0,0.0000
434,791,1544,0.2474,16.9462,54.120531,45.657946225633445,9.65194134099852,0,0.0000,1,0.0648,0,0.0000,1,0.0648,0,0.0000,0,0.0000
41,157,1527,0.2447,16.7420,54.870112,45.65895941661704,9.648089767896332,0,0.0000,0,0.0000,4,0.2620,0,0.0000,1,0.0655,0,0.0000
