pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,41196,11.0349,18.7799,58.687249,41.37458852482189,-8.754533902313101,24,0.0583,3,0.0073,0,0.0000,2,0.0049,3,0.0073,0,0.0000
676,2629,41182,11.0312,16.5349,52.819411,41.374501550809896,-8.754539871513026,9,0.0219,9,0.0219,78,0.1894,4,0.0097,6,0.0146,9,0.0219
592,2330,41072,11.0017,15.7932,50.649842,41.37446280001887,-8.754518320790368,9,0.0219,16,0.0390,82,0.1996,3,0.0073,16,0.0390,8,0.0195
50,59,32104,8.5995,16.1476,51.635301,41.37451434034455,-8.754738166853363,14,0.0436,4,0.0125,49,0.1526,12,0.0374,11,0.0343,0,0.0000
194,1226,20566,5.5089,16.4058,52.572003,41.37466834124666,-8.75458500559272,6,0.0292,6,0.0292,42,0.2042,5,0.0243,4,0.0194,0,0.0000
453,0,20546,5.5035,18.4546,58.000463,41.37471113976022,-8.754521656816562,11,0.0535,2,0.0097,40,0.1947,4,0.0195,0,0.0000,0,0.0000
574,0,20543,5.5027,15.5694,50.439665,41.374633874125806,-8.754544782084517,5,0.0243,5,0.0243,37,0.1801,13,0.0633,8,0.0389,5,0.0243
25,598,16029,4.2936,15.6957,50.564303,41.3745765600475,-8.754700039237374,8,0.0499,5,0.0312,30,0.1872,6,0.0374,6,0.0374,11,0.0686
592,2168,10373,2.7786,15.6947,50.353627,41.37476985974517,-8.75450357221049,0,0.0000,5,0.0482,15,0.1446,4,0.0386,3,0.0289,0,0.0000
359,830,10335,2.7684,15.3448,50.053269,41.37437885855293,-8.754486152232454,6,0.0581,2,0.0194,182,1.7610,1,0.0097,2,0.0194,8,0.0774
158,1136,4746,1.2713,15.8930,50.421867,41.39130086102053,-8.753552967049611,0,0.0000,0,0.0000,8,0.1686,0,0.0000,1,0.0211,2,0.0421
109,703,3976,1.0650,19.7228,61.268174,41.37662112979166,-8.75857639309099,2,0.0503,0,0.0000,8,0.2012,0,0.0000,0,0.0000,1,0.0252
915,0,3088,0.8272,17.2597,54.55604,41.37476978837705,-8.75477476916592,2,0.0648,0,0.0000,2,0.0648,0,0.0000,0,0.0000,1,0.0324
37,55,2592,0.6943,16.1404,51.932469,41.37847574069312,-8.758323434459715,0,0.0000,0,0.0000,6,0.2315,2,0.0772,1,0.0386,0,0.0000
155,1127,2474,0.6627,15.9559,51.709353,41.36571230096494,-8.753820003442684,0,0.0000,0,0.0000,2,0.0808,2,0.0808,0,0.0000,0,0.0000
684,0,2339,0.6265,18.9478,58.895075,41.370987859936356,-8.75167800248166,0,0.0000,0,0.0000,4,0.1710,0,0.0000,0,0.0000,0,0.0000
506,0,2296,0.6150,17.2391,54.275109,41.37231621646537,-8.753022548409088,0,0.0000,0,0.0000,4,0.1742,0,0.0000,0,0.0000,0,0.0000
237,0,2089,0.5596,18.9210,59.512824,41.37507688290756,-8.754908427722402,0,0.0000,0,0.0000,3,0.1436,0,0.0000,0,0.0000,0,0.0000
513,0,1827,0.4894,16.7389,53.65075,41.375410127690635,-8.75403759835893,0,0.0000,1,0.0547,1,0.0547,1,0.0547,1,0.0547,1,0.0547
736,0,1735,0.4647,15.8219,50.205585,41.37472813987997,-8.752381890808115,0,0.0000,0,0.0000,3,0.1729,0,0.0000,0,0.0000,1,0.0576
16,0,1723,0.4615,16.7853,54.629547,41.37476034621572,-8.752956781629083,1,0.0580,0,0.0000,3,0.1741,0,0.0000,0,0.0000,1,0.0580
273,625,1621,0.4342,16.5904,52.81926,41.372496127350836,-8.754148026325879,0,0.0000,0,0.0000,4,0.2468,1,0.0617,1,0.0617,1,0.0617
731,0,1601,0.4289,16.9525,54.715728,41.375528402170104,-8.752868712980106,1,0.0625,0,0.0000,0,0.0000,1,0.0625,1,0.0625,2,0.1249
285,0,1594,0.4270,16.1556,51.929385,41.37243850243883,-8.752431637706563,0,0.0000,0,0.0000,2,0.1255,0,0.0000,0,0.0000,0,0.0000
41,157,1559,0.4176,18.9917,59.767652,41.375166000652264,-8.753470365054852,0,0.0000,0,0.0000,4,0.2566,1,0.0641,0,0.0000,0,0.0000
152,1118,1540,0.4125,16.3468,51.784942,41.37611050252745,-8.757266407914345,0,0.0000,0,0.0000,2,0.1299,0,0.0000,2,0.1299,0,0.0000
519,0,1431,0.3833,17.4878,54.142467,41.375828564869884,-8.753366391498123,0,0.0000,0,0.0000,2,0.1398,0,0.0000,0,0.0000,0,0.0000
590,0,1427,0.3822,19.6174,61.328318,41.37532698327544,-8.755907436834585,1,0.0701,0,0.0000,5,0.3504,0,0.0000,0,0.0000,1,0.0701
585,587,1427,0.3822,17.1703,54.7426,41.373141268785076,-8.753285062613973,1,0.0701,0,0.0000,0,0.0000,1,0.0701,0,0.0000,0,0.0000
27,51,1404,0.3761,16.5128,53.061054,41.374129311294965,-8.753191603300452,0,0.0000,0,0.0000,5,0.3561,0,0.0000,0,0.0000,0,0.0000
170,0,1400,0.3750,16.0657,51.92865,41.374056527935586,-8.755406815481473,0,0.0000,1,0.0714,2,0.1429,1,0.0714,0,0.0000,0,0.0000
108,0,1339,0.3587,16.8559,53.43133,41.35771432162725,-8.751622863179742,0,0.0000,1,0.0747,21,1.5683,0,0.0000,0,0.0000,0,0.0000
702,0,1336,0.3579,18.9199,59.487575,41.37602807875652,-8.756623632152488,0,0.0000,0,0.0000,1,0.0749,0,0.0000,0,0.0000,0,0.0000
921,0,1291,0.3458,16.1433,51.133509,41.374892568265956,-8.754568288589759,1,0.0775,0,0.0000,0,0.0000,0,0.0000,1,0.0775,0,0.0000
431,0,1228,0.3289,17.4381,54.247134,41.37394805436518,-8.753451829183057,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0814,0,0.0000
263,946,1226,0.3284,16.4739,53.195661,41.37442087717818,-8.754416869727681,1,0.0816,0,0.0000,27,2.2023,0,0.0000,0,0.0000,0,0.0000
434,791,1217,0.3260,19.4815,60.821611,41.37548235585824,-8.754760150391187,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
919,0,1176,0.3150,15.9643,51.075264,41.37470675783835,-8.751362503806053,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
122,1080,1173,0.3142,19.3180,60.113564,41.37525523873668,-8.755509188483805,0,0.0000,0,0.0000,3,0.2558,0,0.0000,0,0.0000,1,0.0853
163,0,1091,0.2922,16.8772,53.033804,41.37376593406154,-8.750824932845065,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
316,0,1089,0.2917,18.8981,58.859266,41.37420177081585,-8.755518742438236,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
