pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,48153,17321.2230,8.244432293868739,0.40168825460708135,3.0117,8.8559,8.8601,8.8418,18.9389,59.017155,41.12482568931503,-8.60999915533091,31,0.0644,6,0.0125,0,0.0000,7,0.0145,7,0.0145,0,0.0000
592,2330,47627,17132.0144,33.85128746486483,1.2002849310809236,3.0002,7.6164,7.6294,7.6133,15.6974,50.798137,41.12500377214097,-8.610214118290644,13,0.0273,23,0.0483,109,0.2289,8,0.0168,22,0.0462,8,0.0168
676,2629,47439,17064.3885,28.75458456910194,1.2005790383120618,3.0001,7.9076,7.8730,7.8981,16.5001,52.61918,41.12497960983991,-8.610301982507863,23,0.0485,7,0.0148,101,0.2129,1,0.0021,7,0.0148,23,0.0485
50,59,41668,14988.4892,0.8198997264971448,0.2000135769081198,2.9986,7.7561,7.7423,7.7699,16.1896,51.707495,41.12508786821475,-8.610551466898011,9,0.0216,8,0.0192,71,0.1704,15,0.0360,7,0.0168,0,0.0000
574,0,23854,8580.5755,5.995286622855416,0.40280662356859903,3.0175,7.5249,7.4965,7.5223,15.5290,50.097172,41.12506186223581,-8.610239529863842,9,0.0377,5,0.0210,37,0.1551,6,0.0252,13,0.0545,5,0.0210
453,0,23682,8518.7050,23.552004229281934,0.6989307958810627,2.9978,8.7031,8.7288,8.7181,18.5986,58.110972,41.12502320555154,-8.610166169661703,16,0.0676,4,0.0169,45,0.1900,1,0.0042,0,0.0000,2,0.0084
194,1226,23307,8383.8129,8.730896129844128,0.41012773992148144,2.9980,7.8148,7.8641,7.8423,16.3592,52.269376,41.124970801536286,-8.61032521849541,5,0.0215,3,0.0129,43,0.1845,5,0.0215,4,0.0172,0,0.0000
25,598,21299,7661.5108,6.138489382807515,0.3998843738424384,3.0008,7.5735,7.5836,7.6043,15.7400,50.580883,41.125139863754875,-8.610641335107033,7,0.0329,9,0.0423,57,0.2676,2,0.0094,3,0.0141,15,0.0704
359,830,12088,4348.2014,48.368260498889605,1.2014097694123242,2.9996,7.4296,7.4527,7.4853,15.4792,49.705698,41.124887521706135,-8.61011534240957,2,0.0165,1,0.0083,195,1.6132,3,0.0248,7,0.0579,4,0.0331
592,2168,12010,4320.1439,33.87830349960296,1.2021758796471937,3.0010,7.6102,7.5630,7.5773,15.8734,50.556593,41.12503995161697,-8.610292967841337,2,0.0167,5,0.0416,26,0.2165,3,0.0250,8,0.0666,1,0.0083
158,1136,3865,1390.2878,9.80389121700191,0.6114453049697254,3.0060,7.5294,7.6592,7.6983,15.9366,50.859801,41.12203012898942,-8.599528023539584,1,0.0259,1,0.0259,5,0.1294,0,0.0000,1,0.0259,1,0.0259
915,0,3568,1283.4532,10.494147035468671,0.5005781801645922,2.9994,7.9770,8.0583,7.9605,17.0160,53.323969,41.12505558634641,-8.610195271611117,1,0.0280,0,0.0000,5,0.1401,1,0.0280,1,0.0280,2,0.0561
109,703,2982,1072.6619,1.0234756727323766,0.5998791135212945,3.0054,9.2374,9.3900,9.2529,19.7401,61.956124,41.12467703725633,-8.613678371946454,3,0.1006,0,0.0000,8,0.2683,0,0.0000,0,0.0000,4,0.1341
37,55,2739,985.2518,10.153636394299134,0.5996692343409281,2.9920,7.7901,7.6287,7.8430,16.0354,51.692833,41.12500008528036,-8.610535122972726,2,0.0730,0,0.0000,6,0.2191,1,0.0365,0,0.0000,0,0.0000
27,51,2696,969.7842,12.312679821730368,0.6000882707735198,3.0111,7.9722,8.0137,7.9848,16.6829,53.268209,41.12511745480021,-8.609987010267949,0,0.0000,0,0.0000,4,0.1484,0,0.0000,1,0.0371,0,0.0000
304,1469,2688,966.9065,61.77252309943508,0.4110761018517832,3.0089,7.8583,7.6834,7.8776,16.4862,52.042798,41.12701651740902,-8.608170520990013,2,0.0744,1,0.0372,9,0.3348,0,0.0000,4,0.1488,1,0.0372
41,157,2507,901.7986,7.675080812239123,0.7991727420550858,2.9980,9.2437,9.2481,9.1488,19.9844,61.423642,41.12540389903694,-8.609968655823568,2,0.0798,1,0.0399,7,0.2792,0,0.0000,0,0.0000,0,0.0000
35,0,2468,887.7698,7.82773586570081,0.6046876320483282,2.9988,9.0976,9.2431,9.2224,19.9311,61.251653,41.12510715655467,-8.609692342136107,0,0.0000,0,0.0000,4,0.1621,0,0.0000,0,0.0000,0,0.0000
237,0,2379,855.7554,49.62031820985427,1.4070094587724684,3.0093,8.9256,8.8281,8.9000,19.1513,59.230244,41.12518859026753,-8.610218378815416,0,0.0000,0,0.0000,5,0.2102,0,0.0000,0,0.0000,0,0.0000
684,0,2222,799.2806,3.5788620865017737,0.3985195134629761,2.9977,8.7993,8.9158,8.8051,19.1575,58.933821,41.125330972697796,-8.608932503390939,1,0.0450,0,0.0000,5,0.2250,0,0.0000,0,0.0000,1,0.0450
333,0,2062,741.7266,1.2229476902067054,0.40841170097214535,2.9971,8.1828,8.0878,8.2609,16.9651,54.514573,41.12512155047839,-8.609097742547979,3,0.1455,0,0.0000,7,0.3395,0,0.0000,1,0.0485,0,0.0000
513,0,1965,706.8345,11.150545510825703,0.5966705190218878,2.9893,8.0198,8.0814,7.9746,16.5201,53.501868,41.12588243781278,-8.609305046270052,0,0.0000,0,0.0000,4,0.2036,0,0.0000,0,0.0000,0,0.0000
285,0,1948,700.7194,4.625765427601933,0.40996751014375216,2.9985,7.6042,7.8044,7.6294,16.1751,51.195601,41.124538754473825,-8.610030678567457,0,0.0000,1,0.0513,2,0.1027,1,0.0513,0,0.0000,0,0.0000
736,0,1777,639.2086,4.535919389868292,0.4013687756769967,2.9932,7.4744,7.8357,7.4007,15.7181,50.468301,41.125112812364115,-8.610027276136934,0,0.0000,0,0.0000,4,0.2251,0,0.0000,0,0.0000,0,0.0000
155,1127,1771,637.0504,8.068064348546457,0.50921364250094,2.9994,7.6352,7.7352,7.6940,16.4777,51.254207,41.12451055407574,-8.610599441882027,2,0.1129,0,0.0000,2,0.1129,0,0.0000,1,0.0565,0,0.0000
273,625,1682,605.0360,4.095259430469429,0.5103585772685857,3.0071,7.9429,7.8960,7.9608,16.7015,52.888086,41.12487341118452,-8.609801887729978,1,0.0595,1,0.0595,1,0.0595,0,0.0000,1,0.0595,0,0.0000
921,0,1593,573.0216,2.5658281130268374,0.3002749401035357,3.0025,7.4457,7.6962,7.5706,15.6667,50.472128,41.12468836522017,-8.610100812256722,0,0.0000,0,0.0000,0,0.0000,1,0.0628,0,0.0000,0,0.0000
