pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
592,2330,50734,11.6402,15.9353,51.179607,41.298998703781535,-7.7368378561814355,12,0.0237,14,0.0276,103,0.2030,11,0.0217,16,0.0315,16,0.0315
676,2629,50385,11.5602,16.4747,52.515407,41.29896719838315,-7.736789527217285,14,0.0278,9,0.0179,94,0.1866,1,0.0020,5,0.0099,14,0.0278
747,0,49995,11.4707,18.3316,57.516554,41.299018214590795,-7.7366656693001925,16,0.0320,6,0.0120,0,0.0000,6,0.0120,3,0.0060,0,0.0000
50,59,41929,9.6201,16.6375,53.222192,41.29881885409624,-7.737069525237927,16,0.0382,8,0.0191,83,0.1980,7,0.0167,6,0.0143,0,0.0000
574,0,25282,5.8006,15.4860,50.005019,41.29906508573629,-7.73685409315419,6,0.0237,6,0.0237,46,0.1819,9,0.0356,8,0.0316,3,0.0119
194,1226,25169,5.7747,17.1538,54.248554,41.29901218360962,-7.736756051295043,6,0.0238,7,0.0278,47,0.1867,6,0.0238,5,0.0199,0,0.0000
453,0,25103,5.7596,17.9146,56.542518,41.2990678209059,-7.736987918011691,13,0.0518,2,0.0080,52,0.2071,5,0.0199,1,0.0040,4,0.0159
25,598,21092,4.8393,15.9419,50.968674,41.29879074575435,-7.736953160840858,8,0.0379,2,0.0095,32,0.1517,2,0.0095,5,0.0237,16,0.0759
359,830,12761,2.9278,15.4649,50.049026,41.29897166078563,-7.737054035396596,1,0.0078,4,0.0313,197,1.5438,1,0.0078,3,0.0235,0,0.0000
592,2168,12424,2.8505,16.0328,50.976051,41.298767667119456,-7.736754116626888,4,0.0322,2,0.0161,17,0.1368,1,0.0080,8,0.0644,1,0.0080
915,0,3686,0.8457,16.8435,53.774102,41.299379253335296,-7.736932582271927,0,0.0000,1,0.0271,2,0.0543,0,0.0000,0,0.0000,1,0.0271
27,51,3302,0.7576,17.3407,54.44116,41.298910984767815,-7.7371574487083485,1,0.0303,0,0.0000,1,0.0303,1,0.0303,1,0.0303,0,0.0000
41,157,3108,0.7131,18.7037,58.857516,41.29865567482702,-7.738793214464021,6,0.1931,0,0.0000,5,0.1609,0,0.0000,0,0.0000,0,0.0000
456,0,2990,0.6860,15.8405,51.165398,41.30036581179379,-7.735776744636049,1,0.0334,2,0.0669,4,0.1338,0,0.0000,0,0.0000,0,0.0000
548,0,2980,0.6837,16.5906,53.156631,41.306279371401864,-7.729884185257245,2,0.0671,1,0.0336,4,0.1342,2,0.0671,2,0.0671,0,0.0000
37,55,2715,0.6229,16.5112,52.600829,41.29849627887972,-7.736891152458442,0,0.0000,0,0.0000,5,0.1842,0,0.0000,0,0.0000,3,0.1105
684,0,2635,0.6046,18.3708,57.597264,41.29784943482285,-7.735967282792977,1,0.0380,0,0.0000,4,0.1518,0,0.0000,0,0.0000,1,0.0380
