pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
676,2629,58091,11.6124,16.0036,51.209619,46.78037585752363,6.63880336437596,18,0.0310,12,0.0207,111,0.1911,4,0.0069,7,0.0121,18,0.0310
747,0,57798,11.5538,18.7460,58.586881,46.78042565651243,6.638776092145012,32,0.0554,2,0.0035,0,0.0000,6,0.0104,4,0.0069,0,0.0000
592,2330,57754,11.5451,16.3662,52.337932,46.78042511893493,6.638833004030378,23,0.0398,10,0.0173,128,0.2216,12,0.0208,34,0.0589,19,0.0329
50,59,47173,9.4299,15.6562,50.262624,46.77976404252241,6.638889865669047,17,0.0360,12,0.0254,83,0.1759,14,0.0297,13,0.0276,0,0.0000
453,0,28955,5.7881,17.9210,56.399636,46.78037861546957,6.638812081750386,16,0.0553,4,0.0138,60,0.2072,2,0.0069,0,0.0000,4,0.0138
574,0,28898,5.7767,16.6836,53.196299,46.780314127804765,6.63880323088218,7,0.0242,4,0.0138,61,0.2111,8,0.0277,10,0.0346,3,0.0104
194,1226,28757,5.7485,16.4577,52.588677,46.780286180131725,6.638881780299685,10,0.0348,5,0.0174,69,0.2399,4,0.0139,10,0.0348,0,0.0000
25,598,23440,4.6857,16.3505,52.379417,46.77984261536009,6.638857374052698,6,0.0256,3,0.0128,40,0.1706,6,0.0256,2,0.0085,17,0.0725
359,830,14570,2.9125,15.3940,49.908803,46.780469402053555,6.638813961490207,4,0.0275,3,0.0206,223,1.5305,0,0.0000,1,0.0069,3,0.0206
592,2168,14345,2.8676,16.2429,52.347017,46.78040211469425,6.638818394628468,1,0.0070,3,0.0209,32,0.2231,2,0.0139,5,0.0349,3,0.0209
915,0,4075,0.8146,16.4623,52.715556,46.780347238796935,6.639025027279133,1,0.0245,0,0.0000,9,0.2209,0,0.0000,0,0.0000,2,0.0491
707,0,3735,0.7466,18.3368,57.900338,46.780029415132745,6.637964670446502,2,0.0535,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
37,55,3117,0.6231,15.7857,49.799307,46.77995657989158,6.639147938302738,0,0.0000,0,0.0000,4,0.1283,1,0.0321,0,0.0000,1,0.0321
684,0,3049,0.6095,18.4260,57.457022,46.77993393222296,6.638459861939576,3,0.0984,0,0.0000,5,0.1640,0,0.0000,1,0.0328,3,0.0984
506,0,2964,0.5925,16.1134,51.695877,46.78108557629197,6.636525437118299,1,0.0337,0,0.0000,3,0.1012,1,0.0337,4,0.1350,3,0.1012
216,1265,2962,0.5921,16.0071,51.156074,46.78287080757429,6.6456145562425455,0,0.0000,3,0.1013,7,0.2363,0,0.0000,1,0.0338,1,0.0338
333,0,2842,0.5681,18.0830,58.041316,46.779932510140824,6.637997534444827,1,0.0352,0,0.0000,8,0.2815,1,0.0352,0,0.0000,0,0.0000
170,0,2780,0.5557,17.4554,55.6475,46.77998301322816,6.6393823467697075,0,0.0000,1,0.0360,3,0.1079,0,0.0000,1,0.0360,0,0.0000
92,0,2741,0.5479,18.7169,58.809781,46.77966442142439,6.638869491624145,0,0.0000,0,0.0000,10,0.3648,0,0.0000,0,0.0000,1,0.0365
736,0,2678,0.5353,17.1677,53.818066,46.78017289438968,6.6390148480061955,3,0.1120,1,0.0373,2,0.0747,0,0.0000,1,0.0373,0,0.0000
237,0,2671,0.5339,18.5904,58.371004,46.78062885079496,6.638565187969652,2,0.0749,0,0.0000,4,0.1498,0,0.0000,1,0.0374,2,0.0749
590,0,2668,0.5333,18.0334,57.086503,46.78345827988537,6.646524073147705,0,0.0000,0,0.0000,3,0.1124,1,0.0375,0,0.0000,0,0.0000
580,0,2525,0.5047,18.5160,57.196943,46.78617658247883,6.633054854947865,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
109,703,2218,0.4434,18.5604,58.057291,46.77873356210181,6.635498293676881,2,0.0902,0,0.0000,3,0.1353,0,0.0000,0,0.0000,1,0.0451
921,0,2153,0.4304,17.0669,53.434529,46.78021949551563,6.639131766026447,1,0.0464,0,0.0000,0,0.0000,0,0.0000,1,0.0464,0,0.0000
285,0,2105,0.4208,15.5107,50.229558,46.78140438811927,6.638372468843193,0,0.0000,0,0.0000,2,0.0950,0,0.0000,0,0.0000,1,0.0475
13,616,2102,0.4202,19.4919,59.952365,46.77228380205762,6.638347485363425,2,0.0951,0,0.0000,4,0.1903,3,0.1427,0,0.0000,0,0.0000
602,0,2003,0.4004,19.0959,59.129102,46.77982044709403,6.639127997038899,2,0.0999,1,0.0499,0,0.0000,0,0.0000,0,0.0000,0,0.0000
41,157,1994,0.3986,19.1424,60.066771,46.77968808995806,6.6393423699301275,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
585,587,1990,0.3978,15.8186,51.479528,46.78167435084662,6.638249540669696,2,0.1005,1,0.0503,0,0.0000,0,0.0000,0,0.0000,1,0.0503
228,229,1960,0.3918,15.3541,50.130393,46.7897256210326,6.641682415700538,1,0.0510,0,0.0000,4,0.2041,1,0.0510,1,0.0510,0,0.0000
