pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
747,0,56352,11.6519,18.5254,57.974729,38.76428400758108,-9.291356189922077,31,0.0550,4,0.0071,0,0.0000,11,0.0195,6,0.0106,0,0.0000
592,2330,56182,11.6168,15.4586,49.907278,38.7642264925336,-9.291201129685358,13,0.0231,7,0.0125,118,0.2100,12,0.0214,23,0.0409,14,0.0249
676,2629,55221,11.4181,16.4568,52.731804,38.764254204437194,-9.2912822551446,14,0.0254,8,0.0145,99,0.1793,0,0.0000,13,0.0235,14,0.0254
50,59,45274,9.3613,16.4906,52.687237,38.76446215604112,-9.291890414223678,14,0.0309,6,0.0133,88,0.1944,11,0.0243,8,0.0177,0,0.0000
453,0,27883,5.7654,18.4796,57.853351,38.76412652320396,-9.291207296293198,11,0.0395,4,0.0143,46,0.1650,5,0.0179,3,0.0108,4,0.0143
574,0,27632,5.7135,15.4658,49.9692,38.764258136677384,-9.291248041179061,5,0.0181,7,0.0253,45,0.1629,7,0.0253,14,0.0507,11,0.0398
194,1226,27403,5.6661,16.4903,52.486949,38.76427764389964,-9.291262959065328,11,0.0401,6,0.0219,51,0.1861,9,0.0328,4,0.0146,0,0.0000
25,598,22827,4.7200,15.5325,50.184412,38.764424151357005,-9.292006560770256,8,0.0350,3,0.0131,46,0.2015,2,0.0088,6,0.0263,17,0.0745
359,830,13968,2.8882,15.4766,50.070487,38.76412357518454,-9.291195375580012,4,0.0286,2,0.0143,230,1.6466,1,0.0072,2,0.0143,1,0.0072
592,2168,13959,2.8863,15.5791,50.066146,38.764108850620545,-9.291177826335288,2,0.0143,1,0.0072,23,0.1648,1,0.0072,6,0.0430,3,0.0215
684,0,4295,0.8881,18.8231,59.08261,38.762650389490204,-9.286824950364474,3,0.0698,1,0.0233,6,0.1397,0,0.0000,0,0.0000,3,0.0698
915,0,4111,0.8500,17.0173,54.411761,38.76448033265195,-9.291962218380908,0,0.0000,2,0.0486,11,0.2676,2,0.0486,0,0.0000,0,0.0000
27,51,3640,0.7526,17.2165,54.837572,38.764271356536405,-9.291031765427688,0,0.0000,0,0.0000,6,0.1648,1,0.0275,0,0.0000,1,0.0275
41,157,3343,0.6912,19.4454,60.943913,38.76101623723351,-9.29193901704804,2,0.0598,0,0.0000,7,0.2094,0,0.0000,0,0.0000,0,0.0000
304,1469,3176,0.6567,16.4909,52.77358,38.76669524476559,-9.290662541668068,2,0.0630,1,0.0315,10,0.3149,0,0.0000,2,0.0630,1,0.0315
37,55,3068,0.6344,16.5059,52.925538,38.764393045093264,-9.291443527488761,5,0.1630,0,0.0000,5,0.1630,1,0.0326,1,0.0326,1,0.0326
513,0,2770,0.5728,16.7751,53.900444,38.76364527622191,-9.291472527038671,1,0.0361,0,0.0000,6,0.2166,0,0.0000,0,0.0000,0,0.0000
109,703,2713,0.5610,19.7892,61.400649,38.765347998484124,-9.291831277946265,5,0.1843,0,0.0000,2,0.0737,0,0.0000,0,0.0000,0,0.0000
237,0,2709,0.5601,19.2473,60.149247,38.76376579485178,-9.291385847260116,2,0.0738,0,0.0000,4,0.1477,0,0.0000,0,0.0000,2,0.0738
353,908,2685,0.5552,15.4212,49.763643,38.768305318303604,-9.298964492965423,1,0.0372,1,0.0372,4,0.1490,0,0.0000,0,0.0000,1,0.0372
35,0,2523,0.5217,20.0452,62.026722,38.76453703088964,-9.291570011939939,1,0.0396,0,0.0000,7,0.2774,0,0.0000,0,0.0000,0,0.0000
333,0,2501,0.5171,17.2967,54.641304,38.76411711478702,-9.290999805113461,1,0.0400,0,0.0000,3,0.1200,3,0.1200,1,0.0400,0,0.0000
427,0,2233,0.4617,16.6950,53.069552,38.76730621222428,-9.287847165800926,0,0.0000,1,0.0448,3,0.1343,1,0.0448,0,0.0000,0,0.0000
