pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,12500,4045.3074,10.485390663434178,0.5007522463824851,2.9986,8.0765,7.9848,8.0088,16.7998,53.489075,38.764193866864986,-9.291018287826358,3,0.0240,1,0.0080,26,0.2080,6,0.0480,3,0.0240,4,0.0320
194,1226,11616,3759.2233,8.704995794346923,0.4098429545054866,3.0017,7.9111,7.8905,7.9114,16.6306,52.695517,38.76413081841028,-9.291323271029169,3,0.0258,1,0.0086,29,0.2497,5,0.0430,3,0.0258,0,0.0000
333,0,11463,3709.7087,1.238027346203329,0.41120929437358744,3.0020,9.1418,9.1233,9.1671,19.6194,60.960355,38.76397362266728,-9.29129304134222,7,0.0611,0,0.0000,23,0.2006,1,0.0087,0,0.0000,1,0.0087
427,0,11042,3573.4628,5.668528009631922,0.40095121313962856,3.0013,7.9261,7.9543,7.9815,16.6658,53.026366,38.764620554031595,-9.29025962879417,3,0.0272,2,0.0181,18,0.1630,5,0.0453,6,0.0543,1,0.0091
27,51,10083,3263.1068,12.248318656340931,0.5986126701965787,2.9941,8.2241,8.1681,8.1811,17.2954,54.607455,38.7641234711784,-9.291649735591959,6,0.0595,2,0.0198,23,0.2281,1,0.0099,6,0.0595,4,0.0397
304,1469,8891,2877.3463,61.392895397095494,0.40961371371789357,2.9976,7.7989,7.7509,7.9023,16.2477,52.115694,38.76675375403358,-9.291025479922423,4,0.0450,0,0.0000,23,0.2587,4,0.0450,8,0.0900,5,0.0562
37,55,8310,2689.3204,10.201852470567939,0.6016527834399589,3.0075,7.9022,8.0181,8.0925,16.7633,53.361747,38.764362270665465,-9.291817420271256,5,0.0602,0,0.0000,18,0.2166,0,0.0000,1,0.0120,2,0.0241
41,157,8087,2617.1521,7.704121922795885,0.8006878484419498,3.0010,8.8694,8.8598,8.8341,18.7754,59.029387,38.76407745495626,-9.292271444617853,3,0.0371,0,0.0000,13,0.1608,3,0.0371,2,0.0247,1,0.0124
513,0,7991,2586.0841,11.287327589566877,0.6004771493238611,3.0019,8.2388,8.1634,8.2214,17.1992,54.719009,38.76362850746608,-9.291236580268047,5,0.0626,1,0.0125,18,0.2253,1,0.0125,1,0.0125,1,0.0125
206,0,7346,2377.3463,14.337566780564874,1.4988716479202118,3.0030,7.5026,7.3930,7.5335,15.3413,49.842446,38.76334697164353,-9.291286278417457,3,0.0408,2,0.0272,16,0.2178,0,0.0000,1,0.0136,0,0.0000
684,0,6374,2062.7832,3.584473691457642,0.39948896372966963,2.9975,8.1972,8.0871,8.2440,17.4082,54.507214,38.763974696009534,-9.290325341112561,3,0.0471,0,0.0000,14,0.2196,0,0.0000,0,0.0000,3,0.0471
35,0,6340,2051.7799,7.693158578262895,0.5990397897962143,2.9938,8.2909,8.2719,8.3421,17.6442,55.344156,38.76457081285407,-9.291771609902014,1,0.0158,1,0.0158,9,0.1420,0,0.0000,2,0.0315,2,0.0315
237,0,6126,1982.5243,49.44440895002396,1.4021699035949395,3.0002,8.1853,8.2904,8.1544,17.4161,54.733555,38.76414156037426,-9.291605164396973,2,0.0326,1,0.0163,13,0.2122,0,0.0000,2,0.0326,2,0.0326
273,625,5981,1935.5987,4.114719273502158,0.511382092292942,3.0035,8.2005,8.1699,8.2401,17.2755,54.689886,38.76407698085301,-9.291255863752843,4,0.0669,1,0.0167,6,0.1003,3,0.0502,0,0.0000,2,0.0334
921,0,5650,1828.4790,2.5612845489399234,0.2998893798573111,3.0000,7.4450,7.4618,7.4788,15.6412,49.745485,38.763813918839546,-9.290896743406803,2,0.0354,4,0.0708,0,0.0000,0,0.0000,5,0.0885,4,0.0708
170,0,5242,1696.4401,12.294898770240666,0.5097592661724764,3.0012,7.4966,7.4504,7.4966,15.4618,49.874517,38.76448806385675,-9.291278095150744,2,0.0382,1,0.0191,8,0.1526,3,0.0572,0,0.0000,2,0.0382
285,0,5196,1681.5534,4.5961029955072235,0.40958620644414906,3.0062,7.9634,8.0216,8.0685,16.6299,53.452233,38.764644678991345,-9.290914090708648,0,0.0000,0,0.0000,13,0.2502,0,0.0000,0,0.0000,0,0.0000
585,587,5077,1643.0421,20.009063582442124,0.5995486909159361,3.0018,8.1985,8.2429,8.2001,17.2945,54.758978,38.76392192424673,-9.290836338749331,1,0.0197,1,0.0197,0,0.0000,0,0.0000,0,0.0000,0,0.0000
