pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,7159,2520.7746,17.0430,53.620796,40.58516951414181,-8.46162792624686,1,0.0140,1,0.0140,9,0.1257,1,0.0140,2,0.0279,1,0.0140
427,0,6936,2442.2535,15.9715,51.044188,40.586747643813105,-8.4638916293375,4,0.0577,1,0.0144,13,0.1874,2,0.0288,5,0.0721,0,0.0000
194,1226,6806,2396.4789,16.2474,51.925491,40.584953783356085,-8.461370472338903,2,0.0294,1,0.0147,12,0.1763,1,0.0147,1,0.0147,0,0.0000
27,51,5680,2000.0000,16.9630,53.611468,40.586869336937404,-8.463971611263895,1,0.0176,0,0.0000,8,0.1408,2,0.0352,1,0.0176,1,0.0176
41,157,5563,1958.8028,19.0315,59.505864,40.58615943046594,-8.463309379969733,1,0.0180,0,0.0000,13,0.2337,0,0.0000,0,0.0000,0,0.0000
37,55,5056,1780.2817,16.3119,52.474535,40.58688888143002,-8.463742215951179,2,0.0396,0,0.0000,16,0.3165,2,0.0396,0,0.0000,0,0.0000
333,0,5018,1766.9014,18.6614,58.593934,40.58489923842576,-8.461187516571233,3,0.0598,0,0.0000,9,0.1794,1,0.0199,2,0.0399,0,0.0000
35,0,4668,1643.6620,18.3916,57.325979,40.58702930334173,-8.464267279775143,1,0.0214,0,0.0000,9,0.1928,1,0.0214,2,0.0428,1,0.0214
684,0,4424,1557.7465,18.5007,57.627089,40.58312600569375,-8.458042554949056,3,0.0678,1,0.0226,4,0.0904,0,0.0000,1,0.0226,3,0.0678
285,0,4322,1521.8310,16.1721,52.0104,40.588613344614714,-8.466960612873374,3,0.0694,2,0.0463,9,0.2082,0,0.0000,2,0.0463,1,0.0231
304,1469,4211,1482.7465,16.1750,51.933246,40.57850093293307,-8.451034252545773,3,0.0712,0,0.0000,9,0.2137,1,0.0237,3,0.0712,1,0.0237
237,0,4200,1478.8732,18.3726,57.649776,40.58476799721234,-8.460721265988289,0,0.0000,1,0.0238,6,0.1429,0,0.0000,0,0.0000,0,0.0000
206,0,4133,1455.2817,15.6013,49.49008,40.58523742354576,-8.461487164837463,0,0.0000,0,0.0000,5,0.1210,0,0.0000,0,0.0000,0,0.0000
453,0,4083,1437.6761,19.3250,60.181205,40.58648977452562,-8.462672929033607,0,0.0000,0,0.0000,9,0.2204,0,0.0000,1,0.0245,0,0.0000
513,0,3898,1372.5352,16.7314,53.688476,40.58211860460185,-8.457000055040758,1,0.0257,1,0.0257,12,0.3079,2,0.0513,0,0.0000,1,0.0257
109,703,3694,1300.7042,19.0365,59.40683,40.585798976350965,-8.46114937142276,1,0.0271,0,0.0000,4,0.1083,1,0.0271,1,0.0271,3,0.0812
273,625,3495,1230.6338,16.8429,53.237894,40.58509978469735,-8.461298931457765,2,0.0572,0,0.0000,4,0.1144,1,0.0286,0,0.0000,0,0.0000
155,1127,3437,1210.2113,16.3166,52.483113,40.58302467820648,-8.45890371350455,0,0.0000,1,0.0291,10,0.2910,0,0.0000,2,0.0582,2,0.0582
736,0,3430,1207.7465,15.2761,50.099076,40.5854653641605,-8.462153518395066,0,0.0000,0,0.0000,9,0.2624,0,0.0000,1,0.0292,2,0.0583
921,0,3399,1196.8310,15.6046,50.295158,40.585233381111166,-8.46157844490785,2,0.0588,0,0.0000,0,0.0000,0,0.0000,6,0.1765,1,0.0294
158,1136,3086,1086.6197,15.5982,50.170049,40.58463734545481,-8.460494316712431,1,0.0324,2,0.0648,6,0.1944,0,0.0000,0,0.0000,1,0.0324
263,946,2968,1045.0704,16.3817,51.689225,40.585360112652076,-8.461970045489162,1,0.0337,1,0.0337,43,1.4488,1,0.0337,1,0.0337,0,0.0000
585,587,2930,1031.6901,16.8119,54.292615,40.58515602229486,-8.461728380796481,3,0.1024,0,0.0000,0,0.0000,1,0.0341,0,0.0000,0,0.0000
152,1118,2927,1030.6338,16.2152,52.333427,40.58583563166321,-8.462473914650467,3,0.1025,1,0.0342,2,0.0683,2,0.0683,4,0.1367,0,0.0000
170,0,2895,1019.3662,15.5454,50.278974,40.5852418997629,-8.461519886988308,0,0.0000,1,0.0345,9,0.3109,0,0.0000,1,0.0345,0,0.0000
590,0,2409,848.2394,18.9307,59.92714,40.585417701464515,-8.46147761296166,3,0.1245,0,0.0000,5,0.2076,0,0.0000,0,0.0000,3,0.1245
287,0,2319,816.5493,16.5567,53.531678,40.58544438576982,-8.46275013176078,0,0.0000,0,0.0000,5,0.2156,0,0.0000,0,0.0000,1,0.0431
702,0,2303,810.9155,18.4863,58.430061,40.58579337358621,-8.462978772487533,1,0.0434,0,0.0000,3,0.1303,0,0.0000,0,0.0000,0,0.0000
265,0,2198,773.9437,15.5068,49.725969,40.587831333954504,-8.466254015893997,0,0.0000,2,0.0910,3,0.1365,1,0.0455,1,0.0455,0,0.0000
16,0,2192,771.8310,18.0374,56.233677,40.59157713199872,-8.470463629245241,1,0.0456,0,0.0000,5,0.2281,0,0.0000,1,0.0456,1,0.0456
909,0,2173,765.1408,16.9365,52.595955,40.58551707364157,-8.462039691246126,0,0.0000,2,0.0920,0,0.0000,1,0.0460,2,0.0920,1,0.0460
519,0,2103,740.4930,18.0523,57.082392,40.58547122272494,-8.462169928636385,1,0.0476,0,0.0000,1,0.0476,0,0.0000,0,0.0000,0,0.0000
906,0,2075,730.6338,16.5359,52.543962,40.58530463066865,-8.461157061202929,1,0.0482,0,0.0000,0,0.0000,1,0.0482,0,0.0000,1,0.0482
554,2063,2073,729.9296,16.6995,52.186271,40.57871130876166,-8.451623953477803,0,0.0000,2,0.0965,3,0.1447,0,0.0000,0,0.0000,1,0.0482
912,0,2071,729.2254,15.6490,50.332067,40.58539325199067,-8.461863572391094,0,0.0000,1,0.0483,0,0.0000,2,0.0966,0,0.0000,1,0.0483
316,0,2054,723.2394,18.5000,57.224966,40.587046523180796,-8.463850753837194,0,0.0000,0,0.0000,2,0.0974,0,0.0000,0,0.0000,0,0.0000
557,0,2043,719.3662,16.9266,53.391028,40.582659629330216,-8.457185970994967,0,0.0000,0,0.0000,3,0.1468,0,0.0000,0,0.0000,0,0.0000
747,0,2026,713.3803,19.2981,61.016802,40.584117627000694,-8.460207133194853,2,0.0987,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
163,0,1956,688.7324,18.2183,56.772383,40.59293558065627,-8.471797460198779,4,0.2045,0,0.0000,2,0.1022,0,0.0000,3,0.1534,0,0.0000
431,0,1871,658.8028,16.7055,53.218162,40.58754381220375,-8.464967605053259,1,0.0534,1,0.0534,5,0.2672,0,0.0000,0,0.0000,0,0.0000
434,791,1862,655.6338,18.3072,57.241934,40.58664953109204,-8.463628410908266,1,0.0537,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0537
25,598,1861,655.2817,15.2886,50.210688,40.58666175565779,-8.463212778907504,1,0.0537,0,0.0000,2,0.1075,1,0.0537,0,0.0000,2,0.1075
13,616,1849,651.0563,18.6084,57.542315,40.58799863009278,-8.466315799690278,0,0.0000,0,0.0000,4,0.2163,0,0.0000,0,0.0000,0,0.0000
506,0,1821,641.1972,16.4327,51.894586,40.588181303291385,-8.464861062789783,1,0.0549,0,0.0000,1,0.0549,0,0.0000,0,0.0000,0,0.0000
261,1367,1758,619.0141,15.2565,50.347685,40.58556535358189,-8.461907343222203,0,0.0000,1,0.0569,4,0.2275,0,0.0000,1,0.0569,0,0.0000
580,0,1755,617.9577,16.8775,53.043373,40.58391893899871,-8.458677872629151,1,0.0570,0,0.0000,0,0.0000,1,0.0570,1,0.0570,1,0.0570
216,1265,1737,611.6197,16.7415,53.007081,40.58656525531162,-8.464175852297597,0,0.0000,0,0.0000,3,0.1727,1,0.0576,0,0.0000,1,0.0576
527,0,1726,607.7465,16.5238,52.653563,40.5835121025596,-8.460110507846167,0,0.0000,0,0.0000,4,0.2317,0,0.0000,1,0.0579,0,0.0000
274,628,1655,582.7465,16.8218,52.903656,40.58507508434841,-8.461433219881682,0,0.0000,0,0.0000,0,0.0000,1,0.0604,0,0.0000,0,0.0000
574,0,1643,578.5211,16.3871,51.227456,40.585650228528095,-8.462091481089628,0,0.0000,1,0.0609,2,0.1217,1,0.0609,1,0.0609,0,0.0000
777,0,1639,577.1127,15.7700,49.960165,40.57862318970233,-8.451583056253682,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0610,0,0.0000
228,229,1635,575.7042,16.7382,53.190667,40.58097971543117,-8.460236908511963,0,0.0000,1,0.0612,6,0.3670,0,0.0000,2,0.1223,1,0.0612
613,2231,1621,570.7746,15.5657,49.715602,40.58561537659652,-8.461965194165346,0,0.0000,0,0.0000,3,0.1851,0,0.0000,0,0.0000,0,0.0000
220,1277,1518,534.5070,15.8287,52.646825,40.585097553826934,-8.461334779810237,0,0.0000,0,0.0000,1,0.0659,0,0.0000,0,0.0000,1,0.0659
761,0,1483,522.1831,16.3884,52.011794,40.585392789756696,-8.461438575740054,0,0.0000,1,0.0674,0,0.0000,1,0.0674,0,0.0000,1,0.0674
396,1658,1453,511.6197,17.5533,54.104109,40.58738347952301,-8.465190352245674,0,0.0000,0,0.0000,1,0.0688,0,0.0000,0,0.0000,0,0.0000
179,646,1446,509.1549,15.2095,49.548209,40.58498751245624,-8.461207418763014,1,0.0692,2,0.1383,2,0.1383,0,0.0000,1,0.0692,0,0.0000
919,0,1431,503.8732,15.7198,49.819127,40.58598493551996,-8.460666063945045,2,0.1398,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
167,0,1391,489.7887,17.6729,56.830525,40.590984679704974,-8.4692724606323,1,0.0719,0,0.0000,6,0.4313,0,0.0000,0,0.0000,0,0.0000
539,0,1371,482.7465,18.3071,57.960846,40.58084353240187,-8.454831717180209,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0729
592,2330,1340,471.8310,15.4410,49.474269,40.5852716747905,-8.461234081464795,1,0.0746,0,0.0000,5,0.3731,1,0.0746,2,0.1493,0,0.0000
52,63,1336,470.4225,16.2612,51.763286,40.586538388897,-8.46333463523264,0,0.0000,0,0.0000,3,0.2246,0,0.0000,1,0.0749,0,0.0000
84,0,1334,469.7183,18.2991,57.016537,40.58377173282266,-8.46127286883519,0,0.0000,0,0.0000,3,0.2249,0,0.0000,0,0.0000,0,0.0000
38,57,1266,445.7746,16.6848,52.187093,40.586643531714124,-8.463368112179039,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
676,2629,1247,439.0845,15.5902,49.51976,40.584940678204106,-8.46124119372587,0,0.0000,1,0.0802,1,0.0802,0,0.0000,0,0.0000,0,0.0000
307,0,1235,434.8592,19.5733,60.847539,40.58515829321442,-8.462086418258764,1,0.0810,0,0.0000,3,0.2429,0,0.0000,0,0.0000,0,0.0000
338,0,1199,422.1831,18.3286,58.094762,40.58601063368509,-8.463073156010843,0,0.0000,1,0.0834,0,0.0000,0,0.0000,0,0.0000,1,0.0834
74,67,1162,409.1549,17.6558,55.668374,40.58764088869753,-8.465133916232372,0,0.0000,0,0.0000,5,0.4303,0,0.0000,0,0.0000,1,0.0861
133,0,1160,408.4507,16.8224,53.850604,40.58599793604767,-8.462661290843858,0,0.0000,0,0.0000,0,0.0000,1,0.0862,1,0.0862,0,0.0000
708,0,1147,403.8732,16.5458,52.374298,40.57493703677254,-8.451409863716618,0,0.0000,0,0.0000,1,0.0872,0,0.0000,0,0.0000,0,0.0000
29,776,1136,400.0000,18.1937,57.654542,40.58661064135975,-8.46294688724255,0,0.0000,0,0.0000,2,0.1761,0,0.0000,0,0.0000,0,0.0000
618,2345,1111,391.1972,16.8551,52.759145,40.586909995124266,-8.464260849408072,0,0.0000,0,0.0000,14,1.2601,1,0.0900,0,0.0000,0,0.0000
203,0,1097,386.2676,18.2498,57.783874,40.584562763478246,-8.460647877045721,1,0.0912,0,0.0000,3,0.2735,0,0.0000,0,0.0000,0,0.0000
559,0,1096,385.9155,17.0776,55.527163,40.586604643507755,-8.463070585303036,0,0.0000,0,0.0000,4,0.3650,0,0.0000,1,0.0912,0,0.0000
353,908,1091,384.1549,15.6480,49.00506,40.58442223103875,-8.459982918111027,0,0.0000,0,0.0000,3,0.2750,0,0.0000,0,0.0000,1,0.0917
50,59,1074,378.1690,15.8315,49.575764,40.58702691857826,-8.464182125681585,0,0.0000,0,0.0000,0,0.0000,1,0.0931,0,0.0000,0,0.0000
32,776,1072,377.4648,18.1567,57.53125,40.587292988558225,-8.464066599637052,1,0.0933,1,0.0933,1,0.0933,0,0.0000,0,0.0000,0,0.0000
524,0,1015,357.3944,16.4207,54.598907,40.582660441748295,-8.457566778938705,0,0.0000,0,0.0000,2,0.1970,1,0.0985,0,0.0000,0,0.0000
605,0,978,344.3662,17.0624,55.03272,40.58546341273445,-8.461663995515293,0,0.0000,0,0.0000,4,0.4090,0,0.0000,0,0.0000,0,0.0000
58,280,975,343.3099,16.4564,52.100195,40.58617631097378,-8.460807827113303,0,0.0000,0,0.0000,1,0.1026,0,0.0000,0,0.0000,0,0.0000
661,0,968,340.8451,18.5878,57.134825,40.58098205012821,-8.45508846982536,0,0.0000,1,0.1033,1,0.1033,1,0.1033,1,0.1033,1,0.1033
