pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
158,1136,12936,4283.4437,15.3880,50.077669,38.66556721288035,-9.169848246722102,4,0.0309,1,0.0077,30,0.2319,6,0.0464,5,0.0387,4,0.0309
915,0,12820,4245.0331,16.8576,53.64533,38.668613272513504,-9.175028256356958,2,0.0156,3,0.0234,23,0.1794,0,0.0000,0,0.0000,2,0.0156
194,1226,11189,3704.9669,16.8759,53.603191,38.66859959947215,-9.175060210569312,3,0.0268,3,0.0268,14,0.1251,1,0.0089,3,0.0268,0,0.0000
427,0,10089,3340.7285,19.2974,60.004436,38.668632186616115,-9.175507675840441,2,0.0198,1,0.0099,19,0.1883,0,0.0000,2,0.0198,1,0.0099
333,0,9483,3140.0662,19.4018,60.079223,38.66895845530673,-9.17384121136929,4,0.0422,1,0.0105,15,0.1582,0,0.0000,1,0.0105,0,0.0000
27,51,9069,3002.9801,17.6279,55.667315,38.66946622262518,-9.174360152575975,3,0.0331,1,0.0110,15,0.1654,2,0.0221,4,0.0441,0,0.0000
513,0,8042,2662.9139,17.6214,55.469363,38.667822578941504,-9.177401764434398,3,0.0373,2,0.0249,16,0.1990,2,0.0249,1,0.0124,2,0.0249
37,55,7930,2625.8278,17.0690,53.737675,38.667886387133,-9.175093976167279,4,0.0504,0,0.0000,22,0.2774,3,0.0378,2,0.0252,3,0.0378
41,157,7159,2370.5298,18.7504,58.546301,38.6694987187426,-9.174082508589207,3,0.0419,2,0.0279,15,0.2095,3,0.0419,1,0.0140,0,0.0000
304,1469,6745,2233.4437,16.2666,52.872397,38.66777850470338,-9.175535927405077,2,0.0297,2,0.0297,7,0.1038,1,0.0148,9,0.1334,1,0.0148
109,703,6585,2180.4636,17.9622,56.731947,38.67067922286435,-9.17413649065422,9,0.1367,0,0.0000,8,0.1215,0,0.0000,0,0.0000,7,0.1063
273,625,6509,2155.2980,17.6265,55.644989,38.66882364637848,-9.174941120326064,2,0.0307,0,0.0000,6,0.0922,3,0.0461,1,0.0154,3,0.0461
237,0,6145,2034.7682,17.4939,54.845699,38.66849966421387,-9.174982053967726,1,0.0163,2,0.0325,6,0.0976,0,0.0000,0,0.0000,1,0.0163
