pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
167,0,11361,3944.7917,17.1020,54.842422,39.202221664646736,-8.638380373651525,5,0.0440,1,0.0088,21,0.1848,3,0.0264,2,0.0176,0,0.0000
915,0,8068,2801.3889,16.7840,53.446786,39.20506971386107,-8.625586484785336,3,0.0372,1,0.0124,16,0.1983,4,0.0496,0,0.0000,1,0.0124
194,1226,7241,2514.2361,17.6075,55.67194,39.205140535683384,-8.62579554457983,4,0.0552,2,0.0276,12,0.1657,3,0.0414,1,0.0138,0,0.0000
513,0,7025,2439.2361,18.5718,57.865139,39.205057875557905,-8.625313183856772,3,0.0427,1,0.0142,13,0.1851,1,0.0142,1,0.0142,2,0.0285
427,0,6726,2335.4167,15.8125,50.98485,39.20507001191602,-8.625422772919588,0,0.0000,1,0.0149,11,0.1635,0,0.0000,1,0.0149,0,0.0000
453,0,6601,2292.0139,18.5854,58.443021,39.205146169116084,-8.625723001448577,4,0.0606,0,0.0000,17,0.2575,3,0.0454,0,0.0000,0,0.0000
109,703,5716,1984.7222,18.5532,58.140891,39.205806506503805,-8.624307970199242,6,0.1050,0,0.0000,8,0.1400,0,0.0000,0,0.0000,3,0.0525
37,55,4839,1680.2083,17.4286,55.826927,39.20492239847903,-8.623206159403631,1,0.0207,0,0.0000,9,0.1860,0,0.0000,0,0.0000,1,0.0207
273,625,4790,1663.1944,18.6595,57.986998,39.204955088870605,-8.625717346986516,2,0.0418,1,0.0209,10,0.2088,1,0.0209,0,0.0000,1,0.0209
506,0,4675,1623.2639,16.8165,53.197823,39.20508363615959,-8.625356299438806,2,0.0428,0,0.0000,6,0.1283,2,0.0428,1,0.0214,3,0.0642
684,0,4496,1561.1111,17.5632,55.883797,39.20508276049066,-8.625989562546076,1,0.0222,0,0.0000,6,0.1335,1,0.0222,0,0.0000,1,0.0222
731,0,4389,1523.9583,17.2752,55.055833,39.204768046304906,-8.627052587788473,3,0.0684,1,0.0228,0,0.0000,3,0.0684,1,0.0228,0,0.0000
206,0,4209,1461.4583,15.4538,50.209442,39.20520480273428,-8.625184200862268,1,0.0238,2,0.0475,9,0.2138,0,0.0000,1,0.0238,0,0.0000
237,0,4172,1448.6111,17.7351,55.997109,39.205078514078714,-8.625426866122366,1,0.0240,4,0.0959,8,0.1918,0,0.0000,1,0.0240,1,0.0240
16,0,4100,1423.6111,17.6749,55.707937,39.20524372024731,-8.623311967607343,1,0.0244,1,0.0244,10,0.2439,0,0.0000,0,0.0000,1,0.0244
519,0,3940,1368.0556,17.5284,55.24816,39.20849630785267,-8.623193634786125,1,0.0254,1,0.0254,3,0.0761,0,0.0000,1,0.0254,0,0.0000
736,0,3871,1344.0972,15.5159,49.817182,39.204988133151076,-8.626155367677525,1,0.0258,1,0.0258,7,0.1808,1,0.0258,1,0.0258,0,0.0000
921,0,3818,1325.6944,15.5935,49.74044,39.20513375912379,-8.625832370326965,1,0.0262,1,0.0262,0,0.0000,0,0.0000,4,0.1048,1,0.0262
163,0,3768,1308.3333,16.3363,52.357933,39.20456377452162,-8.628940945873063,1,0.0265,0,0.0000,12,0.3185,1,0.0265,2,0.0531,0,0.0000
27,51,3509,1218.4028,18.4765,58.375628,39.20506038491455,-8.62339431683383,2,0.0570,1,0.0285,7,0.1995,0,0.0000,2,0.0570,0,0.0000
919,0,3468,1204.1667,15.5349,49.798091,39.204872457386095,-8.627102686541278,0,0.0000,2,0.0577,0,0.0000,1,0.0288,1,0.0288,1,0.0288
170,0,3338,1159.0278,15.4374,49.82157,39.20514587875408,-8.62593647890001,2,0.0599,1,0.0300,4,0.1198,0,0.0000,1,0.0300,2,0.0599
585,587,3253,1129.5139,18.6969,58.557218,39.205050114827614,-8.625711333480679,0,0.0000,0,0.0000,0,0.0000,1,0.0307,0,0.0000,0,0.0000
263,946,3229,1121.1806,16.4054,52.547399,39.20496138233018,-8.625825027876626,1,0.0310,0,0.0000,43,1.3317,0,0.0000,2,0.0619,2,0.0619
285,0,3162,1097.9167,17.6581,55.751534,39.2051247383918,-8.625436997263739,2,0.0633,1,0.0316,6,0.1898,3,0.0949,0,0.0000,1,0.0316
158,1136,3149,1093.4028,15.6240,49.870457,39.20515852504257,-8.625227379007235,2,0.0635,0,0.0000,8,0.2540,1,0.0318,1,0.0318,0,0.0000
431,0,3029,1051.7361,17.0640,53.755154,39.20514130221549,-8.624580783339448,0,0.0000,1,0.0330,10,0.3301,0,0.0000,2,0.0660,0,0.0000
