pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,29607,8411.0795,16.9282,53.871415,38.76357546024674,-9.222501823836915,8,0.0270,8,0.0270,56,0.1891,4,0.0135,1,0.0034,4,0.0135
194,1226,27427,7791.7614,16.8663,53.510286,38.763330081144915,-9.223224081707151,8,0.0292,6,0.0219,53,0.1932,9,0.0328,5,0.0182,0,0.0000
427,0,24887,7070.1705,19.4232,60.269143,38.76336858827182,-9.221868682073316,13,0.0522,0,0.0000,56,0.2250,1,0.0040,16,0.0643,2,0.0080
27,51,21325,6058.2386,17.5272,55.589244,38.763273529159164,-9.223008776292282,7,0.0328,1,0.0047,39,0.1829,3,0.0141,11,0.0516,2,0.0094
333,0,21106,5996.0227,19.4382,60.318094,38.76430400727245,-9.22277584025975,14,0.0663,0,0.0000,42,0.1990,1,0.0047,1,0.0047,0,0.0000
37,55,19160,5443.1818,16.9115,53.731988,38.76265279904306,-9.221557453743653,5,0.0261,6,0.0313,40,0.2088,2,0.0104,1,0.0052,4,0.0209
304,1469,18961,5386.6477,16.3880,52.65146,38.76376520108751,-9.224679667712145,3,0.0158,8,0.0422,25,0.1318,2,0.0105,10,0.0527,8,0.0422
513,0,17733,5037.7841,17.6239,55.493902,38.764985983201264,-9.222886779801243,6,0.0338,1,0.0056,36,0.2030,1,0.0056,0,0.0000,4,0.0226
41,157,17315,4919.0341,18.5834,58.25546,38.76357418037468,-9.223027455146365,5,0.0289,1,0.0058,34,0.1964,1,0.0058,2,0.0116,1,0.0058
109,703,16707,4746.3068,18.1008,56.917199,38.760200431917006,-9.216658885915853,11,0.0658,2,0.0120,21,0.1257,3,0.0180,1,0.0060,9,0.0539
206,0,16417,4663.9205,15.5187,49.898161,38.76307528233547,-9.221343491422854,7,0.0426,7,0.0426,38,0.2315,1,0.0061,3,0.0183,0,0.0000
273,625,15404,4376.1364,17.5937,55.535038,38.762985968146914,-9.22221557687527,5,0.0325,1,0.0065,34,0.2207,6,0.0390,0,0.0000,1,0.0065
237,0,14229,4042.3295,17.4227,54.81732,38.763329564651166,-9.222328678962036,8,0.0562,2,0.0141,24,0.1687,0,0.0000,2,0.0141,8,0.0562
35,0,13743,3904.2614,17.4068,54.869831,38.76283302494316,-9.222683167623723,3,0.0218,3,0.0218,28,0.2037,3,0.0218,1,0.0073,2,0.0146
921,0,13393,3804.8295,15.5726,50.001572,38.76365152473995,-9.222199251314327,5,0.0373,4,0.0299,0,0.0000,5,0.0373,9,0.0672,3,0.0224
285,0,13102,3722.1591,16.9510,53.847304,38.76301192213662,-9.221185063580744,1,0.0076,2,0.0153,28,0.2137,1,0.0076,3,0.0229,2,0.0153
557,0,13074,3714.2045,17.0586,54.088363,38.76093462522572,-9.221633856831312,1,0.0076,2,0.0153,30,0.2295,1,0.0076,2,0.0153,1,0.0076
158,1136,13035,3703.1250,15.4703,49.9602,38.764088776121476,-9.222351711362741,4,0.0307,2,0.0153,21,0.1611,7,0.0537,7,0.0537,2,0.0153
170,0,12267,3484.9432,15.5606,50.288457,38.76296514530883,-9.222938422224368,3,0.0245,1,0.0082,22,0.1793,3,0.0245,6,0.0489,3,0.0245
585,587,11813,3355.9659,17.9043,56.692516,38.76301178892687,-9.222689361441134,6,0.0508,2,0.0169,0,0.0000,4,0.0339,1,0.0085,0,0.0000
684,0,11763,3341.7614,17.0669,54.495189,38.76557991225447,-9.225125620422926,8,0.0680,0,0.0000,21,0.1785,2,0.0170,2,0.0170,8,0.0680
263,946,11370,3230.1136,16.5485,52.873451,38.7636010755741,-9.22227343361957,4,0.0352,5,0.0440,183,1.6095,7,0.0616,3,0.0264,2,0.0176
155,1127,11323,3216.7614,16.8848,53.654023,38.763676546368515,-9.223125409741703,4,0.0353,2,0.0177,19,0.1678,1,0.0088,4,0.0353,2,0.0177
152,1118,11210,3184.6591,16.9630,53.649117,38.76220423697324,-9.221935262150373,2,0.0178,1,0.0089,34,0.3033,4,0.0357,6,0.0535,2,0.0178
453,0,10196,2896.5909,18.4970,58.070929,38.76314512058683,-9.220759900372395,1,0.0098,1,0.0098,10,0.0981,5,0.0490,0,0.0000,3,0.0294
519,0,10072,2861.3636,18.8924,58.988184,38.76307143964255,-9.22274494375528,3,0.0298,1,0.0099,23,0.2284,2,0.0199,0,0.0000,1,0.0099
554,2063,9710,2758.5227,16.9789,53.771634,38.76396569676644,-9.224263238999104,6,0.0618,3,0.0309,18,0.1854,1,0.0103,4,0.0412,1,0.0103
590,0,9359,2658.8068,18.7354,58.890893,38.76291311614559,-9.223742499465226,3,0.0321,2,0.0214,16,0.1710,0,0.0000,1,0.0107,3,0.0321
736,0,9216,2618.1818,15.4695,49.917538,38.76448178245295,-9.223656420281904,4,0.0434,2,0.0217,17,0.1845,2,0.0217,5,0.0543,4,0.0434
906,0,9077,2578.6932,17.7513,55.67795,38.76352849663278,-9.22187427747985,1,0.0110,0,0.0000,0,0.0000,4,0.0441,2,0.0220,3,0.0331
909,0,9038,2567.6136,17.7652,56.212812,38.76307781057814,-9.222406327363132,4,0.0443,0,0.0000,0,0.0000,3,0.0332,5,0.0553,1,0.0111
261,1367,8228,2337.5000,15.3817,50.552878,38.760070181269136,-9.222285561945585,3,0.0365,1,0.0122,12,0.1458,4,0.0486,6,0.0729,0,0.0000
747,0,8089,2298.0114,19.2913,59.724554,38.76353654623843,-9.22370078845133,9,0.1113,0,0.0000,0,0.0000,0,0.0000,1,0.0124,0,0.0000
702,0,8008,2275.0000,17.2534,54.325704,38.76420026933339,-9.223426705345263,2,0.0250,0,0.0000,9,0.1124,0,0.0000,1,0.0125,0,0.0000
912,0,7613,2162.7841,15.4769,49.705036,38.7634551595158,-9.222420536122545,2,0.0263,2,0.0263,0,0.0000,3,0.0394,3,0.0394,1,0.0131
274,628,7401,2102.5568,17.6736,55.817655,38.76310760106593,-9.222404165797887,1,0.0135,3,0.0405,0,0.0000,1,0.0135,0,0.0000,0,0.0000
316,0,7211,2048.5795,17.3478,54.751827,38.76372672346288,-9.222054118895908,3,0.0416,1,0.0139,15,0.2080,0,0.0000,1,0.0139,0,0.0000
580,0,7036,1998.8636,16.9464,53.85225,38.76150060837611,-9.219997326888288,7,0.0995,1,0.0142,0,0.0000,0,0.0000,3,0.0426,7,0.0995
777,0,6892,1957.9545,15.5837,49.654986,38.763813753737026,-9.224500941041358,2,0.0290,2,0.0290,0,0.0000,0,0.0000,0,0.0000,2,0.0290
574,0,6852,1946.5909,16.3546,53.084202,38.763212403859285,-9.222284065192508,2,0.0292,1,0.0146,11,0.1605,1,0.0146,5,0.0730,3,0.0438
753,0,6840,1943.1818,16.9939,54.206335,38.76848266642097,-9.222747497805232,3,0.0439,0,0.0000,17,0.2485,0,0.0000,0,0.0000,0,0.0000
506,0,6741,1915.0568,16.9016,54.322308,38.76360137629508,-9.221882718570374,3,0.0445,0,0.0000,17,0.2522,2,0.0297,0,0.0000,0,0.0000
216,1265,6643,1887.2159,16.8394,53.470474,38.7581097006848,-9.240439767202972,1,0.0151,1,0.0151,12,0.1806,2,0.0301,0,0.0000,5,0.0753
661,0,6523,1853.1250,18.7110,58.491852,38.7605027511555,-9.21875709762807,2,0.0307,0,0.0000,12,0.1840,3,0.0460,2,0.0307,2,0.0307
527,0,6497,1845.7386,16.8795,54.155941,38.762567563342124,-9.226246681534423,1,0.0154,3,0.0462,12,0.1847,2,0.0308,0,0.0000,0,0.0000
25,598,6404,1819.3182,15.3192,50.168971,38.762945898589585,-9.221527624846088,1,0.0156,0,0.0000,12,0.1874,1,0.0156,3,0.0468,2,0.0312
539,0,6380,1812.5000,17.0837,54.628658,38.763706973391486,-9.222081712542138,5,0.0784,1,0.0157,12,0.1881,1,0.0157,1,0.0157,1,0.0157
353,908,6273,1782.1023,15.5305,50.377862,38.76689249368458,-9.220144426830593,0,0.0000,1,0.0159,16,0.2551,2,0.0319,1,0.0159,1,0.0159
133,0,6064,1722.7273,16.7756,53.758793,38.762032539560124,-9.218148590246305,2,0.0330,2,0.0330,12,0.1979,6,0.0989,4,0.0660,6,0.0989
919,0,5994,1702.8409,15.4892,50.142341,38.761571401905165,-9.219458176816753,2,0.0334,2,0.0334,0,0.0000,2,0.0334,1,0.0167,0,0.0000
592,2330,5975,1697.4432,15.3657,50.30997,38.76306733991558,-9.220726627196559,4,0.0669,1,0.0167,5,0.0837,2,0.0335,5,0.0837,2,0.0335
431,0,5823,1654.2614,16.9013,53.94469,38.76502152717673,-9.221850036015073,0,0.0000,1,0.0172,10,0.1717,1,0.0172,1,0.0172,0,0.0000
220,1277,5781,1642.3295,17.0626,53.592453,38.76346137937365,-9.222278574152412,2,0.0346,0,0.0000,8,0.1384,1,0.0173,1,0.0173,3,0.0519
761,0,5780,1642.0455,17.0516,54.026512,38.76356811418628,-9.221960626703995,0,0.0000,1,0.0173,0,0.0000,5,0.0865,1,0.0173,3,0.0519
52,63,5768,1638.6364,16.3644,52.634111,38.766779694990355,-9.219963697087342,2,0.0347,0,0.0000,11,0.1907,1,0.0173,1,0.0173,0,0.0000
