pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,15318,4925.4019,17.9303,56.402517,40.42346454613083,-8.429910755047109,9,0.0588,1,0.0065,30,0.1958,4,0.0261,3,0.0196,1,0.0065
427,0,14546,4677.1704,16.3274,52.660977,40.42145890667231,-8.428431629392625,7,0.0481,1,0.0069,27,0.1856,10,0.0687,11,0.0756,3,0.0206
194,1226,12600,4051.4469,17.4390,55.086068,40.42194115043929,-8.428807449171057,4,0.0317,3,0.0238,26,0.2063,4,0.0317,2,0.0159,0,0.0000
27,51,11876,3818.6495,18.2556,57.25215,40.425538533629215,-8.425733369724764,5,0.0421,2,0.0168,27,0.2273,1,0.0084,5,0.0421,1,0.0084
37,55,8981,2887.7814,17.5286,55.836592,40.420732976965425,-8.428346941575628,6,0.0668,2,0.0223,20,0.2227,3,0.0334,1,0.0111,2,0.0223
513,0,8577,2757.8778,18.2839,57.388591,40.42716930248972,-8.438088693165907,4,0.0466,1,0.0117,16,0.1865,2,0.0233,1,0.0117,1,0.0117
285,0,8463,2721.2219,17.8161,55.674769,40.420301290019914,-8.423910645377976,4,0.0473,1,0.0118,22,0.2600,1,0.0118,0,0.0000,0,0.0000
206,0,8278,2661.7363,15.4353,50.034037,40.42432074092762,-8.431839932722482,4,0.0483,1,0.0121,21,0.2537,3,0.0362,1,0.0121,0,0.0000
273,625,7767,2497.4277,18.3978,57.347455,40.42320286438908,-8.43001350768353,5,0.0644,0,0.0000,22,0.2832,1,0.0129,0,0.0000,1,0.0129
453,0,7634,2454.6624,18.0051,56.583426,40.426415158213956,-8.435372009532975,3,0.0393,2,0.0262,11,0.1441,0,0.0000,1,0.0131,0,0.0000
158,1136,7056,2268.8103,15.5616,49.848518,40.423895130008425,-8.439037975662773,3,0.0425,1,0.0142,14,0.1984,1,0.0142,2,0.0283,0,0.0000
237,0,6521,2096.7846,17.3286,54.854894,40.42435377917231,-8.430060830168813,7,0.1073,2,0.0307,11,0.1687,0,0.0000,1,0.0153,7,0.1073
736,0,6509,2092.9260,15.6697,50.088301,40.42288000301798,-8.430041365946975,1,0.0154,3,0.0461,15,0.2305,3,0.0461,5,0.0768,3,0.0461
684,0,6323,2033.1190,17.4215,55.354144,40.42479025479824,-8.433155094238183,1,0.0158,0,0.0000,20,0.3163,0,0.0000,1,0.0158,1,0.0158
921,0,6225,2001.6077,15.4728,50.131541,40.42418840010488,-8.430405358124274,1,0.0161,0,0.0000,0,0.0000,3,0.0482,6,0.0964,1,0.0161
585,587,6188,1989.7106,19.4350,60.669031,40.42686266946234,-8.433038882621855,7,0.1131,1,0.0162,0,0.0000,0,0.0000,1,0.0162,1,0.0162
506,0,6112,1965.2733,17.6692,56.223835,40.428114882923815,-8.438173868480968,4,0.0654,2,0.0327,10,0.1636,0,0.0000,2,0.0327,0,0.0000
41,157,5808,1867.5241,16.6088,52.892528,40.41747484853933,-8.425555072473852,5,0.0861,1,0.0172,14,0.2410,1,0.0172,1,0.0172,1,0.0172
170,0,5710,1836.0129,15.4061,50.040491,40.42170989248662,-8.428956090108324,2,0.0350,1,0.0175,6,0.1051,1,0.0175,2,0.0350,2,0.0350
163,0,5625,1808.6817,18.2444,57.091205,40.429344014282215,-8.432458970548733,1,0.0178,0,0.0000,16,0.2844,0,0.0000,0,0.0000,0,0.0000
16,0,5577,1793.2476,17.6898,56.158015,40.42604164335969,-8.434439480514136,1,0.0179,0,0.0000,7,0.1255,0,0.0000,0,0.0000,1,0.0179
35,0,5388,1732.4759,16.6047,53.024419,40.4213582960608,-8.424660675499114,2,0.0371,4,0.0742,11,0.2042,1,0.0186,1,0.0186,0,0.0000
431,0,5379,1729.5820,17.9924,56.738729,40.42818146766977,-8.434498997855071,5,0.0930,0,0.0000,20,0.3718,0,0.0000,0,0.0000,0,0.0000
263,946,5325,1712.2186,17.3198,54.642875,40.423400416030475,-8.430249201491085,1,0.0188,1,0.0188,86,1.6150,3,0.0563,2,0.0376,2,0.0376
155,1127,5314,1708.6817,17.4834,55.996346,40.423889380597224,-8.43138177512789,1,0.0188,1,0.0188,11,0.2070,2,0.0376,0,0.0000,0,0.0000
333,0,5126,1648.2315,17.6432,55.980804,40.42509913546912,-8.427307942967175,2,0.0390,0,0.0000,13,0.2536,1,0.0195,1,0.0195,0,0.0000
152,1118,5017,1613.1833,17.5290,55.386355,40.420437453730315,-8.429607381075396,0,0.0000,2,0.0399,12,0.2392,1,0.0199,4,0.0797,1,0.0199
109,703,4891,1572.6688,17.8315,55.547312,40.43003600849237,-8.433810681066307,2,0.0409,1,0.0204,11,0.2249,1,0.0204,0,0.0000,1,0.0204
906,0,4730,1520.9003,18.6279,58.795844,40.42366161810893,-8.43006600325187,2,0.0423,1,0.0211,0,0.0000,0,0.0000,1,0.0211,0,0.0000
434,791,4709,1514.1479,16.7171,53.136579,40.43606364200092,-8.438937522689157,4,0.0849,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
265,0,4668,1500.9646,15.7363,50.11954,40.410020476238714,-8.412786154183488,1,0.0214,1,0.0214,12,0.2571,1,0.0214,1,0.0214,0,0.0000
287,0,4619,1485.2090,18.2561,57.709866,40.42022628768739,-8.427527462732234,3,0.0649,0,0.0000,4,0.0866,0,0.0000,0,0.0000,0,0.0000
909,0,4578,1472.0257,18.6931,58.385081,40.423204958455806,-8.430251011961603,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0437,1,0.0218
590,0,4540,1459.8071,19.3040,60.102333,40.42460507476365,-8.43074556227067,2,0.0441,2,0.0441,14,0.3084,1,0.0220,0,0.0000,2,0.0441
216,1265,4477,1439.5498,18.1881,56.794505,40.42948445310782,-8.433641292074677,2,0.0447,0,0.0000,4,0.0893,0,0.0000,1,0.0223,2,0.0447
747,0,4206,1352.4116,17.6296,55.959796,40.41625409350481,-8.424390377459483,1,0.0238,1,0.0238,0,0.0000,0,0.0000,0,0.0000,0,0.0000
167,0,4032,1296.4630,16.6297,53.171295,40.42591408187339,-8.426932681026768,1,0.0248,1,0.0248,14,0.3472,1,0.0248,1,0.0248,0,0.0000
519,0,3902,1254.6624,17.7911,56.024288,40.425586894006315,-8.431639007372365,1,0.0256,0,0.0000,7,0.1794,1,0.0256,1,0.0256,2,0.0513
261,1367,3793,1219.6141,15.5716,50.269254,40.42706073517516,-8.433820694542892,0,0.0000,0,0.0000,8,0.2109,2,0.0527,1,0.0264,0,0.0000
