pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,7702,2760.5735,17.9202,56.27655,40.24432961379608,-8.440290874774208,3,0.0390,0,0.0000,17,0.2207,2,0.0260,0,0.0000,0,0.0000
27,51,6979,2501.4337,18.2053,57.616418,40.244990325695944,-8.438830267241306,1,0.0143,3,0.0430,11,0.1576,0,0.0000,1,0.0143,2,0.0287
194,1226,6550,2347.6703,17.5812,55.290234,40.2446797379777,-8.440219158319941,2,0.0305,4,0.0611,16,0.2443,0,0.0000,0,0.0000,0,0.0000
427,0,6545,2345.8781,16.3572,52.047151,40.24424959577928,-8.437914819149286,1,0.0153,2,0.0306,8,0.1222,0,0.0000,3,0.0458,1,0.0153
37,55,5210,1867.3835,17.6489,55.653591,40.24491525030127,-8.439938246432218,1,0.0192,0,0.0000,7,0.1344,0,0.0000,0,0.0000,3,0.0576
513,0,4877,1748.0287,18.5280,57.475688,40.24423264500651,-8.443385897618503,1,0.0205,0,0.0000,7,0.1435,0,0.0000,0,0.0000,0,0.0000
41,157,3983,1427.5986,16.3656,52.734082,40.24478436278877,-8.439516050133085,1,0.0251,1,0.0251,4,0.1004,0,0.0000,1,0.0251,0,0.0000
273,625,3973,1424.0143,18.6854,58.017143,40.24444417317391,-8.4400917407213,1,0.0252,0,0.0000,8,0.2014,2,0.0503,0,0.0000,0,0.0000
35,0,3729,1336.5591,16.6565,52.814929,40.2447708140183,-8.439285746733203,0,0.0000,0,0.0000,5,0.1341,0,0.0000,0,0.0000,2,0.0536
206,0,3713,1330.8244,15.4390,49.734549,40.24447806228773,-8.439414117947152,2,0.0539,1,0.0269,4,0.1077,0,0.0000,0,0.0000,0,0.0000
285,0,3630,1301.0753,17.3534,55.289912,40.24473150742406,-8.437452401113458,2,0.0551,0,0.0000,11,0.3030,1,0.0275,0,0.0000,0,0.0000
304,1469,3626,1299.6416,17.4581,54.408351,40.2432796399524,-8.44423070598199,0,0.0000,3,0.0827,9,0.2482,1,0.0276,2,0.0552,1,0.0276
684,0,3482,1248.0287,17.3142,55.546651,40.24431578499604,-8.442195722476379,1,0.0287,0,0.0000,8,0.2298,0,0.0000,0,0.0000,1,0.0287
158,1136,3396,1217.2043,15.7962,49.918225,40.244080061530084,-8.44212706469096,0,0.0000,0,0.0000,7,0.2061,0,0.0000,1,0.0294,1,0.0294
237,0,3315,1188.1720,17.2790,54.472956,40.24434241970305,-8.441186898006324,0,0.0000,1,0.0302,9,0.2715,1,0.0302,1,0.0302,0,0.0000
921,0,3142,1126.1649,15.5824,49.679523,40.24447245052924,-8.439490668949936,0,0.0000,2,0.0637,0,0.0000,0,0.0000,0,0.0000,0,0.0000
736,0,3027,1084.9462,15.4926,50.297655,40.24438569851932,-8.439562269298563,1,0.0330,1,0.0330,4,0.1321,4,0.1321,1,0.0330,1,0.0330
170,0,3015,1080.6452,15.2789,50.004116,40.24468807832798,-8.439646577174335,2,0.0663,0,0.0000,4,0.1327,1,0.0332,0,0.0000,2,0.0663
585,587,2954,1058.7814,19.0860,60.397289,40.242812923552265,-8.440829534087738,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
152,1118,2854,1022.9391,17.5995,55.735452,40.24439360778645,-8.43907963948037,2,0.0701,1,0.0350,9,0.3153,0,0.0000,1,0.0350,0,0.0000
155,1127,2834,1015.7706,17.7505,55.277925,40.244835587569824,-8.439411365761478,2,0.0706,0,0.0000,2,0.0706,2,0.0706,1,0.0353,0,0.0000
333,0,2818,1010.0358,18.1128,56.369404,40.24434620866702,-8.439547821365187,2,0.0710,1,0.0355,4,0.1419,1,0.0355,1,0.0355,1,0.0355
263,946,2658,952.6882,17.1467,54.645064,40.24432301899657,-8.440096924822441,0,0.0000,0,0.0000,38,1.4296,1,0.0376,0,0.0000,0,0.0000
453,0,2576,923.2975,17.6526,56.379344,40.2448306059131,-8.43925176202136,2,0.0776,0,0.0000,4,0.1553,0,0.0000,1,0.0388,0,0.0000
265,0,2361,846.2366,15.3494,49.575002,40.243616197780355,-8.436634930926008,0,0.0000,0,0.0000,6,0.2541,2,0.0847,2,0.0847,0,0.0000
747,0,2319,831.1828,17.5110,54.534968,40.244641827414185,-8.439673269433968,1,0.0431,0,0.0000,0,0.0000,0,0.0000,2,0.0862,0,0.0000
909,0,2310,827.9570,18.7597,58.694628,40.24421611973722,-8.439942012386501,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0433
906,0,2304,825.8065,18.7431,58.384462,40.24434593231702,-8.439875289505688,1,0.0434,2,0.0868,0,0.0000,0,0.0000,0,0.0000,0,0.0000
287,0,2234,800.7168,17.8671,57.239651,40.244754298131966,-8.43858429295996,0,0.0000,0,0.0000,4,0.1791,1,0.0448,0,0.0000,1,0.0448
590,0,2185,783.1541,19.0870,60.293863,40.24432750287155,-8.440472006531675,0,0.0000,1,0.0458,3,0.1373,0,0.0000,0,0.0000,0,0.0000
109,703,2073,743.0108,17.8114,55.828886,40.24423241431397,-8.442058080794796,2,0.0965,0,0.0000,5,0.2412,0,0.0000,0,0.0000,0,0.0000
431,0,1962,703.2258,18.2508,57.004154,40.24443903381146,-8.440307412396965,0,0.0000,0,0.0000,3,0.1529,0,0.0000,0,0.0000,0,0.0000
274,628,1928,691.0394,18.6094,57.778869,40.24420537672819,-8.439438071470967,3,0.1556,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
25,598,1874,671.6846,15.4899,50.239701,40.244795227448336,-8.439046403596599,0,0.0000,0,0.0000,3,0.1601,0,0.0000,0,0.0000,2,0.1067
557,0,1850,663.0824,18.1784,57.401919,40.243882882198584,-8.441351015909165,0,0.0000,0,0.0000,4,0.2162,1,0.0541,0,0.0000,0,0.0000
506,0,1829,655.5556,17.5200,55.499727,40.244556814834596,-8.44090534326775,2,0.1093,0,0.0000,1,0.0547,0,0.0000,0,0.0000,0,0.0000
554,2063,1802,645.8781,17.3651,55.03389,40.24325721226175,-8.444682600144906,0,0.0000,1,0.0555,2,0.1110,0,0.0000,0,0.0000,0,0.0000
519,0,1662,595.6989,17.6925,56.210638,40.24438250810379,-8.440244540106262,1,0.0602,0,0.0000,4,0.2407,0,0.0000,0,0.0000,0,0.0000
912,0,1662,595.6989,15.5903,49.533213,40.244569302381194,-8.440406462338414,0,0.0000,1,0.0602,0,0.0000,0,0.0000,1,0.0602,0,0.0000
261,1367,1620,580.6452,15.1630,50.625574,40.243788588562275,-8.440548968116046,1,0.0617,0,0.0000,4,0.2469,1,0.0617,0,0.0000,0,0.0000
13,616,1612,577.7778,17.3344,55.217792,40.245002613166356,-8.438561663781503,0,0.0000,1,0.0620,1,0.0620,2,0.1241,0,0.0000,1,0.0620
216,1265,1550,555.5556,17.6303,56.410026,40.24474573405721,-8.438588396565676,1,0.0645,0,0.0000,3,0.1935,0,0.0000,0,0.0000,0,0.0000
777,0,1525,546.5950,15.4295,49.665521,40.243312006697444,-8.444598859881527,1,0.0656,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0656
