pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
109,703,13656,4280.8777,19.0565,59.591432,40.638004895436744,-8.643604412739178,7,0.0513,0,0.0000,22,0.1611,1,0.0073,0,0.0000,11,0.0806
453,0,13440,4213.1661,19.1411,59.731115,40.637636566014024,-8.639253720500884,4,0.0298,0,0.0000,26,0.1935,0,0.0000,0,0.0000,1,0.0074
915,0,13118,4112.2257,16.9408,53.649308,40.63761093553425,-8.639608274092632,1,0.0076,0,0.0000,29,0.2211,4,0.0305,3,0.0229,4,0.0305
427,0,12059,3780.2508,15.8787,50.990052,40.63789034390847,-8.638022013013906,5,0.0415,2,0.0166,24,0.1990,6,0.0498,8,0.0663,5,0.0415
194,1226,11976,3754.2320,16.3894,52.213297,40.637806486656615,-8.639528613967437,2,0.0167,1,0.0084,20,0.1670,2,0.0167,2,0.0167,0,0.0000
37,55,9472,2969.2790,16.5408,52.3074,40.63799444115911,-8.63894039165454,2,0.0211,1,0.0106,20,0.2111,0,0.0000,0,0.0000,3,0.0317
513,0,8978,2814.4201,16.8680,53.690746,40.6372629397453,-8.639758703832564,3,0.0334,3,0.0334,15,0.1671,4,0.0446,5,0.0557,2,0.0223
16,0,8964,2810.0313,18.0973,57.543707,40.638343313945015,-8.636159469900875,2,0.0223,3,0.0335,16,0.1785,5,0.0558,2,0.0223,5,0.0558
731,0,8320,2608.1505,18.1573,56.970094,40.6371042640957,-8.63731690328161,5,0.0601,2,0.0240,0,0.0000,5,0.0601,2,0.0240,1,0.0120
206,0,7925,2484.3260,15.3840,50.051959,40.63819182631926,-8.637793061528633,2,0.0252,0,0.0000,11,0.1388,0,0.0000,2,0.0252,0,0.0000
684,0,7922,2483.3856,18.4489,57.856083,40.63644430712941,-8.638411941187726,5,0.0631,0,0.0000,17,0.2146,2,0.0252,1,0.0126,5,0.0631
506,0,7868,2466.4577,16.3940,52.586308,40.637031641742766,-8.640430900025711,3,0.0381,3,0.0381,15,0.1906,5,0.0635,3,0.0381,3,0.0381
237,0,7711,2417.2414,18.3345,57.697961,40.63766057741285,-8.63946414216389,2,0.0259,1,0.0130,19,0.2464,0,0.0000,1,0.0130,2,0.0259
273,625,7419,2325.7053,16.7289,53.513079,40.63747573272298,-8.639152307248652,2,0.0270,0,0.0000,19,0.2561,7,0.0944,1,0.0135,1,0.0135
736,0,6480,2031.3480,15.5642,49.959835,40.637214001892886,-8.638355355234506,1,0.0154,2,0.0309,19,0.2932,3,0.0463,3,0.0463,1,0.0154
333,0,6360,1993.7304,18.5019,58.326749,40.63738944713432,-8.641333545100137,3,0.0472,0,0.0000,10,0.1572,1,0.0157,0,0.0000,0,0.0000
921,0,6129,1921.3166,15.6153,49.860245,40.6375510619388,-8.639619853705291,4,0.0653,0,0.0000,0,0.0000,3,0.0489,4,0.0653,1,0.0163
919,0,6021,1887.4608,15.6323,50.268534,40.63721367949173,-8.636441665189837,0,0.0000,2,0.0332,0,0.0000,0,0.0000,0,0.0000,1,0.0166
158,1136,6009,1883.6991,15.6078,50.510195,40.63787594055187,-8.64035752997407,2,0.0333,1,0.0166,13,0.2163,1,0.0166,3,0.0499,1,0.0166
163,0,6005,1882.4451,18.3958,56.345266,40.63879339345042,-8.634377732420546,4,0.0666,0,0.0000,13,0.2165,1,0.0167,0,0.0000,0,0.0000
285,0,5737,1798.4326,16.2946,52.093828,40.63801158759642,-8.637394495738924,1,0.0174,1,0.0174,12,0.2092,2,0.0349,2,0.0349,1,0.0174
170,0,5574,1747.3354,15.5294,50.015524,40.63778823721222,-8.639645694618217,2,0.0359,1,0.0179,10,0.1794,3,0.0538,0,0.0000,2,0.0359
27,51,5556,1741.6928,17.0769,53.949683,40.63773657012756,-8.639339155664318,3,0.0540,0,0.0000,9,0.1620,2,0.0360,5,0.0900,0,0.0000
702,0,5529,1733.2288,18.1107,57.250063,40.637226939912416,-8.639893308173873,2,0.0362,3,0.0543,5,0.0904,0,0.0000,0,0.0000,0,0.0000
585,587,5389,1689.3417,17.1087,54.229032,40.63780686182428,-8.639404516003083,0,0.0000,0,0.0000,0,0.0000,1,0.0186,2,0.0371,1,0.0186
122,1080,5344,1675.2351,19.4998,59.989184,40.638115816007804,-8.64140670462593,3,0.0561,0,0.0000,16,0.2994,0,0.0000,0,0.0000,1,0.0187
