pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
427,0,8552,2879.4613,15.8337,51.142043,40.62541276618864,-8.736503022953384,1,0.0117,0,0.0000,11,0.1286,0,0.0000,2,0.0234,1,0.0117
194,1226,6615,2227.2727,16.4801,51.973096,40.62571084098163,-8.73573054105222,3,0.0454,4,0.0605,14,0.2116,1,0.0151,3,0.0454,0,0.0000
915,0,6594,2220.2020,16.8138,53.692885,40.62486072995155,-8.735272708785034,6,0.0910,2,0.0303,11,0.1668,3,0.0455,0,0.0000,0,0.0000
109,703,6424,2162.9630,19.1111,59.716348,40.62673480680731,-8.7375229648793,2,0.0311,1,0.0156,10,0.1557,1,0.0156,1,0.0156,7,0.1090
453,0,5731,1929.6296,19.1314,60.161726,40.6225014005611,-8.732513958787699,2,0.0349,0,0.0000,14,0.2443,0,0.0000,0,0.0000,2,0.0349
206,0,5170,1740.7407,15.6772,50.049499,40.62673373800052,-8.736806355890826,1,0.0193,3,0.0580,9,0.1741,1,0.0193,1,0.0193,0,0.0000
731,0,4825,1624.5791,18.3588,57.256881,40.62246687316671,-8.733322212265497,1,0.0207,0,0.0000,0,0.0000,1,0.0207,1,0.0207,3,0.0622
261,1367,4788,1612.1212,15.5919,49.610618,40.62939426363067,-8.740098820978357,0,0.0000,0,0.0000,8,0.1671,2,0.0418,1,0.0209,0,0.0000
37,55,4707,1584.8485,16.5362,52.521774,40.62522521564819,-8.735316956426304,0,0.0000,0,0.0000,9,0.1912,1,0.0212,0,0.0000,0,0.0000
13,616,4622,1556.2290,18.0266,56.969598,40.62846544557397,-8.737794768772543,1,0.0216,1,0.0216,7,0.1514,2,0.0433,1,0.0216,0,0.0000
16,0,4493,1512.7946,18.1876,57.519608,40.6218606785979,-8.732434265328694,3,0.0668,1,0.0223,10,0.2226,0,0.0000,2,0.0445,3,0.0668
167,0,4142,1394.6128,18.0546,56.82607,40.62513128843723,-8.729959391503252,3,0.0724,1,0.0241,7,0.1690,0,0.0000,1,0.0241,0,0.0000
285,0,3973,1337.7104,16.4581,52.477526,40.621519234074555,-8.7357464992489,0,0.0000,0,0.0000,4,0.1007,1,0.0252,0,0.0000,0,0.0000
919,0,3925,1321.5488,15.4782,50.440204,40.62265107286987,-8.73395367504106,0,0.0000,1,0.0255,0,0.0000,1,0.0255,1,0.0255,0,0.0000
237,0,3895,1311.4478,18.3240,57.722896,40.624420255016915,-8.735444914771842,1,0.0257,0,0.0000,3,0.0770,0,0.0000,0,0.0000,1,0.0257
163,0,3761,1266.3300,17.9232,57.02322,40.61905136451027,-8.730055253827272,0,0.0000,0,0.0000,5,0.1329,2,0.0532,1,0.0266,0,0.0000
133,0,3448,1160.9428,16.6958,53.003248,40.631850350753574,-8.740627782221669,1,0.0290,2,0.0580,8,0.2320,4,0.1160,2,0.0580,6,0.1740
316,0,3250,1094.2761,18.4388,57.808456,40.63030679820615,-8.739882678670817,1,0.0308,2,0.0615,6,0.1846,0,0.0000,0,0.0000,0,0.0000
179,646,3220,1084.1751,15.3658,50.320258,40.6303023220774,-8.740087812477439,0,0.0000,1,0.0311,5,0.1553,1,0.0311,2,0.0621,2,0.0621
921,0,3131,1054.2088,15.1006,49.886765,40.625317580858784,-8.735795446187481,0,0.0000,0,0.0000,0,0.0000,1,0.0319,1,0.0319,4,0.1278
273,625,3116,1049.1582,17.0087,53.841046,40.62529210450208,-8.735534676930639,1,0.0321,0,0.0000,6,0.1926,3,0.0963,0,0.0000,1,0.0321
513,0,3098,1043.0976,16.7034,53.155442,40.62357906334466,-8.733738408405667,2,0.0646,0,0.0000,4,0.1291,0,0.0000,0,0.0000,1,0.0323
506,0,2968,999.3266,16.7204,52.522416,40.62264835559768,-8.733092333034763,0,0.0000,0,0.0000,4,0.1348,1,0.0337,2,0.0674,1,0.0337
170,0,2961,996.9697,15.2398,49.655096,40.62554644553734,-8.736147127597858,0,0.0000,0,0.0000,9,0.3040,0,0.0000,0,0.0000,0,0.0000
431,0,2948,992.5926,16.7310,53.58809,40.626113120085506,-8.736700014919938,1,0.0339,1,0.0339,7,0.2374,0,0.0000,1,0.0339,0,0.0000
155,1127,2935,988.2155,16.1796,52.739687,40.62394779679034,-8.736201395279632,0,0.0000,1,0.0341,4,0.1363,3,0.1022,0,0.0000,0,0.0000
684,0,2931,986.8687,18.4050,58.062075,40.622087804638916,-8.732536761417416,1,0.0341,0,0.0000,3,0.1024,0,0.0000,0,0.0000,1,0.0341
