pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,6151,2099.3174,16.2252,52.462631,41.126612157291426,-8.64650855285626,3,0.0488,1,0.0163,8,0.1301,1,0.0163,1,0.0163,0,0.0000
194,1226,6141,2095.9044,17.8961,56.922342,41.12661918233258,-8.646714931178789,1,0.0163,3,0.0489,10,0.1628,0,0.0000,1,0.0163,0,0.0000
427,0,5700,1945.3925,15.7432,50.978532,41.12629263906287,-8.646882544831653,2,0.0351,0,0.0000,11,0.1930,0,0.0000,3,0.0526,1,0.0175
27,51,5684,1939.9317,19.0577,59.053517,41.12786940955479,-8.643954789455707,3,0.0528,0,0.0000,11,0.1935,0,0.0000,3,0.0528,0,0.0000
513,0,5153,1758.7031,19.0421,59.156086,41.126872339569914,-8.64510314876357,1,0.0194,0,0.0000,9,0.1747,2,0.0388,2,0.0388,1,0.0194
304,1469,5031,1717.0648,15.8947,51.267029,41.129444184852844,-8.641103552905442,1,0.0199,0,0.0000,8,0.1590,1,0.0199,3,0.0596,2,0.0398
37,55,4859,1658.3618,18.0259,57.082153,41.126274930867226,-8.646338594243478,3,0.0617,1,0.0206,16,0.3293,2,0.0412,1,0.0206,0,0.0000
109,703,4323,1475.4266,18.3680,58.064058,41.126199354612154,-8.647230250782215,0,0.0000,0,0.0000,5,0.1157,0,0.0000,0,0.0000,0,0.0000
273,625,4138,1412.2867,19.1042,59.0532,41.126496127416516,-8.64632388685877,2,0.0483,1,0.0242,11,0.2658,1,0.0242,0,0.0000,0,0.0000
206,0,3922,1338.5666,15.5395,49.804506,41.12593624321407,-8.647627979815315,1,0.0255,1,0.0255,6,0.1530,0,0.0000,0,0.0000,0,0.0000
453,0,3514,1199.3174,18.9283,59.18364,41.12404697916469,-8.649352548180802,0,0.0000,0,0.0000,2,0.0569,1,0.0285,0,0.0000,0,0.0000
237,0,3393,1158.0205,17.9104,55.960277,41.126280045779374,-8.646727093666616,0,0.0000,1,0.0295,6,0.1768,1,0.0295,0,0.0000,0,0.0000
41,157,3319,1132.7645,17.6008,55.80868,41.127830265048054,-8.643616385252935,1,0.0301,0,0.0000,13,0.3917,1,0.0301,3,0.0904,0,0.0000
684,0,3239,1105.4608,17.9318,56.312347,41.12604211074313,-8.645411275282381,2,0.0617,0,0.0000,4,0.1235,0,0.0000,1,0.0309,2,0.0617
35,0,3172,1082.5939,17.5643,55.566744,41.128277307450524,-8.642816626792012,1,0.0315,0,0.0000,5,0.1576,0,0.0000,0,0.0000,0,0.0000
921,0,3063,1045.3925,15.6092,50.380474,41.12641572921339,-8.646872636465385,1,0.0326,0,0.0000,0,0.0000,1,0.0326,2,0.0653,3,0.0979
170,0,2916,995.2218,15.9492,50.991489,41.12634446190056,-8.64720115582848,0,0.0000,2,0.0686,4,0.1372,2,0.0686,2,0.0686,0,0.0000
585,587,2832,966.5529,18.5339,58.14113,41.12573871550227,-8.645368597313105,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
554,2063,2769,945.0512,18.2853,57.475262,41.12895393891117,-8.641697246814998,2,0.0722,2,0.0722,5,0.1806,0,0.0000,0,0.0000,0,0.0000
747,0,2733,932.7645,18.8181,59.656832,41.1255729961438,-8.650179297851782,1,0.0366,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
