pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,16611,5018.4290,16.5719,52.970132,38.69680476567359,-9.340664369669653,2,0.0120,5,0.0301,29,0.1746,3,0.0181,5,0.0301,3,0.0181
194,1226,15602,4713.5952,16.5083,52.94475,38.6969610155518,-9.34086068011182,5,0.0320,0,0.0000,24,0.1538,3,0.0192,2,0.0128,0,0.0000
427,0,14780,4465.2568,15.9871,51.103094,38.69653909528225,-9.340744537178844,8,0.0541,3,0.0203,32,0.2165,0,0.0000,10,0.0677,3,0.0203
506,0,13723,4145.9215,16.4839,52.540354,38.697983124313424,-9.32784425145301,5,0.0364,3,0.0219,24,0.1749,0,0.0000,3,0.0219,3,0.0219
109,703,12015,3629.9094,18.1792,57.052569,38.69538726296354,-9.340340358744928,5,0.0416,3,0.0250,18,0.1498,1,0.0083,0,0.0000,4,0.0333
333,0,11974,3617.5227,19.6422,60.448407,38.69924746431368,-9.344584408122824,8,0.0668,0,0.0000,19,0.1587,1,0.0084,0,0.0000,1,0.0084
513,0,10462,3160.7251,17.3027,54.893694,38.69699227395414,-9.33996135040733,5,0.0478,2,0.0191,16,0.1529,0,0.0000,0,0.0000,1,0.0096
37,55,9960,3009.0634,16.6509,52.912729,38.69615719320666,-9.34220145754461,1,0.0100,2,0.0201,19,0.1908,3,0.0301,4,0.0402,3,0.0301
206,0,9610,2903.3233,15.3644,50.016875,38.69661434653963,-9.341790284717185,3,0.0312,3,0.0312,21,0.2185,0,0.0000,2,0.0208,0,0.0000
273,625,9244,2792.7492,17.0437,54.381716,38.697141636217935,-9.341629461652607,2,0.0216,4,0.0433,20,0.2164,2,0.0216,3,0.0325,2,0.0216
27,51,9102,2749.8489,17.2237,54.646389,38.69780734928887,-9.344678304144194,1,0.0110,0,0.0000,16,0.1758,0,0.0000,1,0.0110,1,0.0110
453,0,8909,2691.5408,18.1910,56.976552,38.69599046937275,-9.340099782663735,6,0.0673,1,0.0112,15,0.1684,0,0.0000,1,0.0112,0,0.0000
