pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
37,55,14445,4705.2117,16.6955,53.288255,38.71154418223047,-9.42544909208497,3,0.0208,4,0.0277,28,0.1938,3,0.0208,2,0.0138,6,0.0415
915,0,13450,4381.1075,16.5928,52.839489,38.71038738521075,-9.42515131739738,5,0.0372,1,0.0074,28,0.2082,1,0.0074,4,0.0297,1,0.0074
194,1226,13057,4253.0945,16.4735,52.523213,38.71056940364318,-9.424611033121773,4,0.0306,3,0.0230,21,0.1608,2,0.0153,0,0.0000,0,0.0000
427,0,12368,4028.6645,15.8712,50.739217,38.71003638768148,-9.425311734659207,2,0.0162,6,0.0485,29,0.2345,3,0.0243,6,0.0485,5,0.0404
333,0,9973,3248.5342,19.5878,60.888397,38.71149588173323,-9.423881506804399,3,0.0301,1,0.0100,29,0.2908,3,0.0301,1,0.0100,1,0.0100
109,703,9210,3000.0000,18.3685,57.294949,38.70696251134755,-9.42643944758438,2,0.0217,1,0.0109,13,0.1412,1,0.0109,1,0.0109,7,0.0760
27,51,8542,2782.4104,17.2764,54.301606,38.7099283936657,-9.422160496874026,5,0.0585,2,0.0234,15,0.1756,0,0.0000,6,0.0702,2,0.0234
206,0,8501,2769.0554,15.3236,49.945197,38.71053551530303,-9.425350122943591,2,0.0235,1,0.0118,15,0.1764,0,0.0000,6,0.0706,0,0.0000
513,0,7717,2513.6808,17.2095,54.490945,38.71327550833566,-9.425802897227053,1,0.0130,1,0.0130,14,0.1814,2,0.0259,2,0.0259,2,0.0259
41,157,7308,2380.4560,18.6797,58.891934,38.7096161342037,-9.422689156436759,2,0.0274,0,0.0000,18,0.2463,1,0.0137,0,0.0000,1,0.0137
273,625,7153,2329.9674,17.2962,54.542489,38.712297774325904,-9.427496724262108,1,0.0140,2,0.0280,11,0.1538,0,0.0000,0,0.0000,1,0.0140
237,0,6953,2264.8208,17.4986,54.944811,38.71062712521294,-9.424976768931613,4,0.0575,2,0.0288,9,0.1294,1,0.0144,0,0.0000,4,0.0575
158,1136,6889,2243.9739,15.7238,49.883375,38.70623147501614,-9.42431560988192,1,0.0145,3,0.0435,17,0.2468,0,0.0000,2,0.0290,1,0.0145
921,0,6370,2074.9186,15.1940,49.954317,38.71045411020178,-9.42521083805112,3,0.0471,2,0.0314,0,0.0000,0,0.0000,6,0.0942,2,0.0314
304,1469,6099,1986.6450,16.0900,51.994703,38.711428745094,-9.42702195204171,0,0.0000,0,0.0000,10,0.1640,0,0.0000,3,0.0492,3,0.0492
155,1127,6046,1969.3811,16.7994,53.248075,38.709177576199004,-9.424117921033144,4,0.0662,0,0.0000,10,0.1654,2,0.0331,1,0.0165,0,0.0000
453,0,6025,1962.5407,18.0702,56.730319,38.711166261237175,-9.428282011884855,4,0.0664,1,0.0166,10,0.1660,1,0.0166,1,0.0166,0,0.0000
170,0,5942,1935.5049,15.4995,49.766205,38.71006641320657,-9.424399472208307,1,0.0168,1,0.0168,7,0.1178,2,0.0337,0,0.0000,1,0.0168
285,0,5746,1871.6612,16.4840,52.852155,38.709340787758514,-9.42508558690062,2,0.0348,3,0.0522,12,0.2088,3,0.0522,1,0.0174,0,0.0000
585,587,5605,1825.7329,17.5413,54.911262,38.71118270002909,-9.424418545587411,2,0.0357,2,0.0357,0,0.0000,1,0.0178,0,0.0000,1,0.0178
263,946,5486,1786.9707,16.1276,51.860902,38.71036155159246,-9.42485764655754,2,0.0365,1,0.0182,89,1.6223,4,0.0729,3,0.0547,1,0.0182
519,0,5304,1727.6873,19.2178,59.736903,38.71030225938991,-9.424815595862842,7,0.1320,1,0.0189,6,0.1131,2,0.0377,0,0.0000,0,0.0000
35,0,5254,1711.4007,17.3329,55.154572,38.7111767371073,-9.422602221546974,1,0.0190,0,0.0000,8,0.1523,0,0.0000,0,0.0000,1,0.0190
261,1367,5046,1643.6482,15.5172,49.826473,38.70865649162928,-9.422906812267078,0,0.0000,0,0.0000,15,0.2973,1,0.0198,0,0.0000,0,0.0000
557,0,4998,1628.0130,16.8527,53.891345,38.707532133995116,-9.423371654966763,2,0.0400,3,0.0600,11,0.2201,1,0.0200,0,0.0000,3,0.0600
684,0,4907,1598.3713,17.1895,54.716415,38.71425758818088,-9.426909878394904,2,0.0408,0,0.0000,10,0.2038,1,0.0204,2,0.0408,2,0.0408
152,1118,4893,1593.8111,16.6824,53.024515,38.710354161165576,-9.424187017188924,0,0.0000,2,0.0409,11,0.2248,4,0.0817,2,0.0409,1,0.0204
747,0,4316,1405.8632,17.7521,56.036949,38.7102240545506,-9.42488249146312,1,0.0232,2,0.0463,0,0.0000,1,0.0232,0,0.0000,0,0.0000
906,0,4294,1398.6971,17.3642,55.23463,38.71069893359017,-9.424991091226111,1,0.0233,0,0.0000,0,0.0000,3,0.0699,0,0.0000,1,0.0233
108,0,4221,1374.9186,16.1625,52.610422,38.72566369794689,-9.4340502378336,0,0.0000,0,0.0000,70,1.6584,1,0.0237,2,0.0474,0,0.0000
736,0,4198,1367.4267,15.5102,50.042256,38.712862275814096,-9.426222568476355,2,0.0476,0,0.0000,4,0.0953,0,0.0000,1,0.0238,0,0.0000
909,0,4143,1349.5114,17.4605,54.873239,38.710408342591265,-9.424767708988284,2,0.0483,1,0.0241,0,0.0000,2,0.0483,2,0.0483,1,0.0241
590,0,4065,1324.1042,18.5336,58.319051,38.711079025095316,-9.42515525096237,0,0.0000,0,0.0000,6,0.1476,0,0.0000,2,0.0492,0,0.0000
506,0,3761,1225.0814,16.4552,52.90561,38.711587117988714,-9.428336480976457,1,0.0266,0,0.0000,12,0.3191,0,0.0000,1,0.0266,3,0.0798
912,0,3640,1185.6678,15.2190,49.901706,38.710245795871195,-9.42499133047097,1,0.0275,1,0.0275,0,0.0000,0,0.0000,1,0.0275,2,0.0549
16,0,3613,1176.8730,19.1996,59.611323,38.709855861143176,-9.431080399991975,0,0.0000,0,0.0000,7,0.1937,0,0.0000,0,0.0000,0,0.0000
702,0,3606,1174.5928,17.1309,54.544898,38.7109458996281,-9.42421331755181,0,0.0000,1,0.0277,3,0.0832,0,0.0000,0,0.0000,0,0.0000
133,0,3520,1146.5798,16.4284,52.509443,38.70562546019122,-9.425735431548548,1,0.0284,1,0.0284,8,0.2273,2,0.0568,3,0.0852,5,0.1420
316,0,3504,1141.3681,17.3108,54.947954,38.710939054597986,-9.42390301059945,1,0.0285,0,0.0000,7,0.1998,0,0.0000,0,0.0000,0,0.0000
574,0,3504,1141.3681,16.9061,53.717643,38.71021517171536,-9.424412696544106,0,0.0000,0,0.0000,7,0.1998,0,0.0000,1,0.0285,1,0.0285
554,2063,3459,1126.7101,16.5068,53.553677,38.71255643397178,-9.426865122724145,1,0.0289,0,0.0000,7,0.2024,0,0.0000,0,0.0000,0,0.0000
274,628,3297,1073.9414,16.9184,54.502051,38.71044640872946,-9.425334624930251,1,0.0303,3,0.0910,0,0.0000,1,0.0303,0,0.0000,0,0.0000
592,2330,3230,1052.1173,15.6201,50.674917,38.70898676675949,-9.425704237357934,1,0.0310,0,0.0000,5,0.1548,2,0.0619,3,0.0929,0,0.0000
580,0,3181,1036.1564,17.4354,55.380286,38.710050087467884,-9.42636140759865,2,0.0629,1,0.0314,0,0.0000,0,0.0000,0,0.0000,2,0.0629
527,0,3168,1031.9218,17.3264,54.864621,38.71282922225298,-9.426855638895967,0,0.0000,0,0.0000,2,0.0631,0,0.0000,1,0.0316,0,0.0000
25,598,3151,1026.3844,15.6750,49.826195,38.709760316154494,-9.42508734314366,1,0.0317,0,0.0000,4,0.1269,0,0.0000,1,0.0317,2,0.0635
919,0,3147,1025.0814,15.6133,50.300404,38.70973716274733,-9.427646456870495,1,0.0318,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0318
338,0,3115,1014.6580,19.8607,60.9774,38.710561315510986,-9.424356202733803,1,0.0321,1,0.0321,6,0.1926,0,0.0000,0,0.0000,2,0.0642
431,0,3019,983.3876,16.7754,53.375323,38.712586616909434,-9.427504333229374,0,0.0000,1,0.0331,5,0.1656,0,0.0000,0,0.0000,0,0.0000
539,0,2857,930.6189,17.4137,54.797053,38.71130873311205,-9.425074064830095,1,0.0350,0,0.0000,5,0.1750,1,0.0350,0,0.0000,1,0.0350
676,2629,2778,904.8860,17.9226,56.793733,38.710333496570286,-9.425014530473831,1,0.0360,1,0.0360,5,0.1800,0,0.0000,0,0.0000,1,0.0360
179,646,2751,896.0912,15.3951,49.823435,38.70963189372951,-9.423981425124815,1,0.0364,0,0.0000,5,0.1818,1,0.0364,2,0.0727,0,0.0000
761,0,2745,894.1368,16.6375,53.708987,38.710396444026316,-9.424892155651657,1,0.0364,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
613,2231,2731,889.5765,15.3907,50.128938,38.71034515365419,-9.424907192252,4,0.1465,1,0.0366,4,0.1465,0,0.0000,0,0.0000,1,0.0366
220,1277,2712,883.3876,16.6475,53.653739,38.7104670153479,-9.425372917584863,2,0.0737,1,0.0369,3,0.1106,1,0.0369,5,0.1844,3,0.1106
29,776,2680,872.9642,17.2239,54.922064,38.70711538721203,-9.4300693587036,2,0.0746,0,0.0000,5,0.1866,0,0.0000,3,0.1119,0,0.0000
122,1080,2635,858.3062,19.1476,59.74789,38.710388711049745,-9.42931123584384,4,0.1518,0,0.0000,3,0.1139,0,0.0000,0,0.0000,2,0.0759
434,791,2574,838.4365,17.3679,54.237246,38.71411148295453,-9.429739695061617,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,2728,2536,826.0586,16.8478,53.320225,38.71012743341108,-9.424086213243314,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
731,0,2489,810.7492,18.7493,59.184833,38.708536156836345,-9.434583930585733,0,0.0000,0,0.0000,0,0.0000,1,0.0402,0,0.0000,0,0.0000
287,0,2428,790.8795,16.5560,53.577665,38.7145484365665,-9.429205354840265,1,0.0412,0,0.0000,0,0.0000,2,0.0824,0,0.0000,1,0.0412
