pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,21749,6590.6061,17.8054,56.198847,40.204199802747524,-8.413860501609687,4,0.0184,1,0.0046,46,0.2115,3,0.0138,2,0.0092,3,0.0138
27,51,18654,5652.7273,18.3037,57.58374,40.204555632695836,-8.413409639673525,9,0.0482,0,0.0000,49,0.2627,4,0.0214,9,0.0482,1,0.0054
194,1226,17309,5245.1515,17.3391,55.334247,40.20430159938427,-8.414087746808326,8,0.0462,3,0.0173,31,0.1791,2,0.0116,2,0.0116,0,0.0000
427,0,17252,5227.8788,16.4103,52.398302,40.204394876816316,-8.413455868714955,11,0.0638,6,0.0348,30,0.1739,14,0.0812,19,0.1101,1,0.0058
513,0,14110,4275.7576,18.2615,57.526443,40.20447398537095,-8.414422760398223,9,0.0638,2,0.0142,24,0.1701,2,0.0142,2,0.0142,3,0.0213
37,55,12832,3888.4848,17.6608,55.530078,40.20473764283322,-8.413406619246771,5,0.0390,3,0.0234,21,0.1637,1,0.0078,1,0.0078,5,0.0390
304,1469,12347,3741.5152,17.3148,54.534541,40.203475776251054,-8.41397820041361,4,0.0324,2,0.0162,34,0.2754,2,0.0162,9,0.0729,1,0.0081
41,157,11561,3503.3333,16.7403,53.006609,40.204663351268366,-8.41315428203998,2,0.0173,2,0.0173,21,0.1816,3,0.0259,2,0.0173,0,0.0000
273,625,10868,3293.3333,18.3154,57.318772,40.2043738382043,-8.414035504263872,2,0.0184,2,0.0184,30,0.2760,3,0.0276,2,0.0184,0,0.0000
35,0,10827,3280.9091,16.7371,53.516438,40.204989884772964,-8.41340281513044,5,0.0462,3,0.0277,30,0.2771,1,0.0092,4,0.0369,3,0.0277
206,0,9997,3029.3939,15.5139,49.897192,40.20473994249578,-8.413756395738227,0,0.0000,2,0.0200,19,0.1901,1,0.0100,2,0.0200,0,0.0000
237,0,9420,2854.5455,17.1762,54.640051,40.20431441746093,-8.413850476868467,6,0.0637,4,0.0425,23,0.2442,0,0.0000,2,0.0212,6,0.0637
285,0,9050,2742.4242,17.5086,55.970784,40.202725754976576,-8.413028641083168,6,0.0663,0,0.0000,17,0.1878,1,0.0110,2,0.0221,0,0.0000
333,0,8980,2721.2121,17.6363,55.919057,40.20442572758043,-8.41382272353876,1,0.0111,0,0.0000,21,0.2339,2,0.0223,2,0.0223,1,0.0111
921,0,8683,2631.2121,15.4608,50.196148,40.20398738312869,-8.413822559971285,2,0.0230,2,0.0230,0,0.0000,9,0.1037,7,0.0806,1,0.0115
684,0,8636,2616.9697,17.3763,55.290005,40.204156649948075,-8.414781864348477,7,0.0811,3,0.0347,16,0.1853,0,0.0000,1,0.0116,7,0.0811
557,0,7936,2404.8485,18.0033,57.203142,40.20468553654674,-8.414418742399397,3,0.0378,0,0.0000,15,0.1890,2,0.0252,0,0.0000,1,0.0126
585,587,7903,2394.8485,19.4787,60.403517,40.20402156970134,-8.413700928737233,5,0.0633,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
