pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
427,0,10147,3294.4805,15.9370,50.923406,41.005970841293056,-8.633942357371788,3,0.0296,2,0.0197,16,0.1577,2,0.0197,5,0.0493,4,0.0394
915,0,9544,3098.7013,16.7997,53.172437,41.00584928781677,-8.634526372115948,2,0.0210,2,0.0210,14,0.1467,1,0.0105,1,0.0105,2,0.0210
194,1226,9106,2956.4935,16.9775,53.546109,41.00594952025524,-8.63415530716007,2,0.0220,2,0.0220,23,0.2526,0,0.0000,2,0.0220,0,0.0000
16,0,7874,2556.4935,18.4472,58.121255,41.00572346312172,-8.632119842158097,4,0.0508,1,0.0127,14,0.1778,1,0.0127,1,0.0127,5,0.0635
37,55,7697,2499.0260,16.9415,54.004299,41.005977717519265,-8.63432476765754,6,0.0780,3,0.0390,9,0.1169,1,0.0130,2,0.0260,2,0.0260
731,0,7603,2468.5065,18.4605,57.667892,41.00635037352091,-8.633483971500134,1,0.0132,0,0.0000,0,0.0000,1,0.0132,0,0.0000,1,0.0132
453,0,7522,2442.2078,18.3136,57.630896,41.005952046819395,-8.633642728009265,3,0.0399,0,0.0000,11,0.1462,1,0.0133,0,0.0000,0,0.0000
109,703,7063,2293.1818,17.7544,56.724752,41.00677270915988,-8.63759108219685,5,0.0708,0,0.0000,13,0.1841,0,0.0000,1,0.0142,3,0.0425
206,0,6479,2103.5714,15.4928,49.957907,41.00513318300981,-8.633411125481306,3,0.0463,4,0.0617,11,0.1698,1,0.0154,1,0.0154,0,0.0000
163,0,6302,2046.1039,18.2188,57.072187,41.00598326127052,-8.630864455733928,1,0.0159,0,0.0000,19,0.3015,0,0.0000,1,0.0159,0,0.0000
919,0,6210,2016.2338,15.9960,50.813744,41.006266587263184,-8.633381329488063,2,0.0322,0,0.0000,0,0.0000,3,0.0483,3,0.0483,2,0.0322
27,51,5681,1844.4805,17.3415,55.561424,41.005415671778636,-8.633561397566826,3,0.0528,0,0.0000,13,0.2288,3,0.0528,4,0.0704,0,0.0000
513,0,5559,1804.8701,17.3080,55.266616,41.00573067360778,-8.635097488057683,4,0.0720,2,0.0360,9,0.1619,0,0.0000,0,0.0000,3,0.0540
285,0,5472,1776.6234,16.9561,53.993255,41.00571824822854,-8.632711831613115,2,0.0365,0,0.0000,5,0.0914,6,0.1096,2,0.0365,1,0.0183
167,0,5407,1755.5195,17.4777,55.451167,41.00595914459027,-8.630127257716136,3,0.0555,0,0.0000,12,0.2219,0,0.0000,1,0.0185,0,0.0000
273,625,5203,1689.2857,17.5147,55.487231,41.00590771477851,-8.634691141961683,2,0.0384,4,0.0769,10,0.1922,0,0.0000,1,0.0192,0,0.0000
237,0,4954,1608.4416,17.3668,54.945497,41.00582597549756,-8.634459864543985,1,0.0202,1,0.0202,14,0.2826,0,0.0000,0,0.0000,1,0.0202
170,0,4890,1587.6623,16.2861,51.690532,41.00589888251977,-8.634519004878271,0,0.0000,1,0.0204,10,0.2045,1,0.0204,1,0.0204,0,0.0000
736,0,4808,1561.0390,16.1057,51.356073,41.00560562491948,-8.632621909427314,3,0.0624,1,0.0208,12,0.2496,0,0.0000,2,0.0416,1,0.0208
921,0,4668,1515.5844,15.9090,51.053049,41.00572822066,-8.634328510959746,0,0.0000,1,0.0214,0,0.0000,0,0.0000,1,0.0214,0,0.0000
506,0,4590,1490.2597,16.6172,52.477972,41.00585854377079,-8.633588014561093,0,0.0000,0,0.0000,6,0.1307,0,0.0000,0,0.0000,0,0.0000
17,0,4537,1473.0519,18.3604,57.691625,41.00625616485301,-8.62996050881604,2,0.0441,1,0.0220,0,0.0000,0,0.0000,1,0.0220,3,0.0661
684,0,4440,1441.5584,17.4162,55.45543,41.00554729897597,-8.63343956982552,2,0.0450,0,0.0000,8,0.1802,0,0.0000,0,0.0000,2,0.0450
