pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,10596,3628.7671,17.3434,54.760506,38.5717181228934,-7.912085031204695,1,0.0094,1,0.0094,24,0.2265,3,0.0283,1,0.0094,0,0.0000
194,1226,9404,3220.5479,18.5319,58.340424,38.571846800171,-7.912184958822684,5,0.0532,0,0.0000,11,0.1170,2,0.0213,2,0.0213,0,0.0000
427,0,9078,3108.9041,15.9985,51.849875,38.57055920081769,-7.912585822182714,2,0.0220,2,0.0220,14,0.1542,1,0.0110,3,0.0330,1,0.0110
513,0,8557,2930.4795,19.3333,59.800553,38.57143757606988,-7.911547992602772,6,0.0701,1,0.0117,11,0.1285,0,0.0000,0,0.0000,0,0.0000
27,51,7288,2495.8904,19.0649,59.416966,38.57156528148217,-7.910467336901903,0,0.0000,4,0.0549,11,0.1509,0,0.0000,0,0.0000,1,0.0137
37,55,6734,2306.1644,18.4706,58.049313,38.5716218598024,-7.911091409989121,2,0.0297,0,0.0000,13,0.1931,1,0.0149,0,0.0000,1,0.0149
273,625,6656,2279.4521,18.9258,59.6047,38.57169186164894,-7.912500535384912,4,0.0601,1,0.0150,15,0.2254,1,0.0150,0,0.0000,0,0.0000
109,703,6065,2077.0548,16.5006,52.547379,38.57243529032258,-7.914701372921584,0,0.0000,2,0.0330,9,0.1484,0,0.0000,0,0.0000,3,0.0495
206,0,5424,1857.5342,15.3086,50.134377,38.57137510853556,-7.9119745995468405,3,0.0553,2,0.0369,14,0.2581,0,0.0000,2,0.0369,0,0.0000
506,0,4955,1696.9178,17.3518,54.672398,38.57136338123127,-7.912893158145359,4,0.0807,4,0.0807,7,0.1413,0,0.0000,0,0.0000,1,0.0202
453,0,4709,1612.6712,16.1971,51.919879,38.57188137397808,-7.91282902868795,1,0.0212,1,0.0212,8,0.1699,1,0.0212,0,0.0000,1,0.0212
921,0,4452,1524.6575,15.6444,49.861164,38.57154531975828,-7.912061128843931,0,0.0000,3,0.0674,0,0.0000,0,0.0000,2,0.0449,1,0.0225
170,0,4388,1502.7397,15.4979,50.577815,38.572345403333465,-7.912188437245715,3,0.0684,3,0.0684,9,0.2051,2,0.0456,2,0.0456,3,0.0684
237,0,4324,1480.8219,16.3222,51.455897,38.5715629461784,-7.911885673983075,2,0.0463,0,0.0000,4,0.0925,0,0.0000,2,0.0463,2,0.0463
285,0,4151,1421.5753,18.7894,57.915905,38.57147420620395,-7.911927682667792,1,0.0241,0,0.0000,16,0.3854,1,0.0241,0,0.0000,2,0.0482
263,946,4129,1414.0411,16.6246,53.327489,38.57159273248672,-7.911890174640082,1,0.0242,2,0.0484,58,1.4047,1,0.0242,0,0.0000,0,0.0000
16,0,4101,1404.4521,17.9566,56.477732,38.57210912293517,-7.912082643247694,1,0.0244,0,0.0000,6,0.1463,1,0.0244,1,0.0244,2,0.0488
