pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,664482,123509.6654,16.8868,53.67749,189,0.0284,106,0.0160,1276,0.1920,156,0.0235,91,0.0137,114,0.0172
194,1226,616448,114581.4126,17.1103,54.266477,233,0.0378,113,0.0183,1222,0.1982,133,0.0216,101,0.0164,0,0.0000
427,0,584358,108616.7286,17.2247,54.58623,206,0.0353,89,0.0152,1119,0.1915,159,0.0272,347,0.0594,66,0.0113
37,55,448742,83409.2937,17.0541,54.09316,161,0.0359,76,0.0169,881,0.1963,75,0.0167,78,0.0174,156,0.0348
27,51,430273,79976.3941,17.9137,56.40924,169,0.0393,61,0.0142,825,0.1917,58,0.0135,204,0.0474,59,0.0137
109,703,422434,78519.3309,18.2995,57.464894,192,0.0455,41,0.0097,766,0.1813,28,0.0066,30,0.0071,194,0.0459
513,0,400759,74490.5204,17.8583,56.274948,178,0.0444,73,0.0182,762,0.1901,49,0.0122,36,0.0090,57,0.0142
333,0,382360,71070.6320,18.9440,59.104427,176,0.0460,28,0.0073,798,0.2087,55,0.0144,45,0.0118,27,0.0071
206,0,374248,69562.8253,15.8482,50.912,110,0.0294,96,0.0257,712,0.1902,30,0.0080,90,0.0240,0,0.0000
273,625,361397,67174.1636,17.7439,55.934045,144,0.0398,55,0.0152,756,0.2092,97,0.0268,26,0.0072,45,0.0125
41,157,352677,65553.3457,18.3260,57.57136,164,0.0465,32,0.0091,692,0.1962,71,0.0201,56,0.0159,30,0.0085
237,0,335604,62379.9257,17.5148,55.332726,105,0.0313,53,0.0158,667,0.1987,16,0.0048,41,0.0122,105,0.0313
453,0,331319,61583.4572,18.3250,57.601505,138,0.0417,36,0.0109,604,0.1823,34,0.0103,24,0.0072,41,0.0124
285,0,322786,59997.3978,16.9929,53.950722,117,0.0362,51,0.0158,622,0.1927,134,0.0415,48,0.0149,40,0.0124
921,0,312155,58021.3755,15.7161,50.527317,77,0.0247,73,0.0234,0,0.0000,120,0.0384,216,0.0692,82,0.0263
304,1469,300910,55931.2268,16.3546,52.385233,91,0.0302,50,0.0166,601,0.1997,61,0.0203,246,0.0818,117,0.0389
170,0,298007,55391.6357,15.9287,51.09524,85,0.0285,65,0.0218,550,0.1846,83,0.0279,59,0.0198,85,0.0285
684,0,294863,54807.2491,17.5011,55.2962,138,0.0468,32,0.0109,592,0.2008,27,0.0092,37,0.0125,138,0.0468
35,0,288529,53629.9257,17.4467,55.166556,82,0.0284,38,0.0132,573,0.1986,31,0.0107,36,0.0125,43,0.0149
158,1136,285782,53119.3309,15.6714,50.397135,73,0.0255,56,0.0196,557,0.1949,80,0.0280,121,0.0423,74,0.0259
585,587,281385,52302.0446,17.9341,56.536798,115,0.0409,36,0.0128,0,0.0000,29,0.0103,29,0.0103,36,0.0128
