pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
194,1226,7818,2772.3404,17.3887,55.04761,49.65395093930502,6.9691640923510585,4,0.0512,0,0.0000,17,0.2174,3,0.0384,0,0.0000,0,0.0000
915,0,7578,2687.2340,16.0110,51.467398,49.6538218346438,6.96904340377664,0,0.0000,1,0.0132,15,0.1979,1,0.0132,1,0.0132,0,0.0000
285,0,7330,2599.2908,15.6151,49.9124,49.653022676736015,6.974707795635654,3,0.0409,0,0.0000,14,0.1910,3,0.0409,1,0.0136,2,0.0273
170,0,7199,2552.8369,18.3462,57.91635,49.654265672927814,6.9678847577644785,2,0.0278,0,0.0000,19,0.2639,1,0.0139,0,0.0000,2,0.0278
41,157,6387,2264.8936,18.7429,58.409626,49.6545383080668,6.967139763147625,1,0.0157,0,0.0000,15,0.2349,1,0.0157,1,0.0157,0,0.0000
333,0,6202,2199.2908,18.8676,58.116772,49.65406574848375,6.968788146614036,2,0.0322,2,0.0322,12,0.1935,0,0.0000,0,0.0000,1,0.0161
37,55,5965,2115.2482,15.3360,49.336721,49.654647109224356,6.966950416846359,3,0.0503,4,0.0671,4,0.0671,0,0.0000,2,0.0335,1,0.0168
736,0,5667,2009.5745,18.1085,57.282935,49.65438262837623,6.967239961273937,4,0.0706,0,0.0000,10,0.1765,0,0.0000,1,0.0176,0,0.0000
602,0,5483,1944.3262,19.4795,60.395614,49.65451552694329,6.966949756722117,2,0.0365,0,0.0000,0,0.0000,0,0.0000,1,0.0182,0,0.0000
427,0,5263,1866.3121,15.5850,51.040608,49.65408476812589,6.9699010742704415,0,0.0000,1,0.0190,11,0.2090,3,0.0570,5,0.0950,1,0.0190
921,0,5164,1831.2057,17.5608,55.967794,49.65384194725656,6.969638861162133,1,0.0194,1,0.0194,0,0.0000,1,0.0194,8,0.1549,1,0.0194
35,0,4920,1744.6809,17.2171,55.022565,49.654562684148466,6.96814142472285,0,0.0000,1,0.0203,9,0.1829,0,0.0000,1,0.0203,0,0.0000
92,0,4751,1684.7518,17.5599,54.910101,49.65375473475921,6.96834111538299,2,0.0421,0,0.0000,9,0.1894,1,0.0210,1,0.0210,2,0.0421
206,0,4555,1615.2482,15.7662,50.07631,49.654174090294305,6.967175162084224,0,0.0000,0,0.0000,10,0.2195,0,0.0000,3,0.0659,0,0.0000
237,0,4219,1496.0993,17.4629,54.632766,49.65370393766816,6.968990114088528,1,0.0237,2,0.0474,7,0.1659,0,0.0000,0,0.0000,1,0.0237
273,625,3640,1290.7801,15.3099,49.841253,49.653408876403795,6.96774811238377,1,0.0275,0,0.0000,5,0.1374,1,0.0275,0,0.0000,1,0.0275
16,0,3540,1255.3191,18.1008,56.047701,49.652978239121914,6.975217766825132,4,0.1130,1,0.0282,6,0.1695,3,0.0847,1,0.0282,6,0.1695
580,0,3490,1237.5887,19.7699,61.062716,49.65429047113983,6.968293546954637,2,0.0573,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0573
684,0,3427,1215.2482,17.4129,55.084135,49.65431174524276,6.966721578097451,1,0.0292,0,0.0000,9,0.2626,0,0.0000,0,0.0000,1,0.0292
158,1136,3400,1205.6738,17.5738,55.103933,49.652915849545046,6.971338062355017,0,0.0000,0,0.0000,8,0.2353,0,0.0000,0,0.0000,0,0.0000
585,587,3361,1191.8440,15.5019,50.719652,49.654018577935474,6.968551411019073,1,0.0298,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
263,946,3349,1187.5887,15.4291,50.612756,49.653905786246604,6.969341506809255,0,0.0000,0,0.0000,64,1.9110,0,0.0000,1,0.0299,1,0.0299
287,0,3295,1168.4397,15.6716,50.844094,49.653728955962464,6.969047525809639,2,0.0607,1,0.0303,7,0.2124,0,0.0000,0,0.0000,0,0.0000
155,1127,3220,1141.8440,15.5481,49.552792,49.654095591589616,6.968972383179191,1,0.0311,1,0.0311,8,0.2484,2,0.0621,2,0.0621,1,0.0311
152,1118,3153,1118.0851,15.4922,49.817228,49.654463181695924,6.967655636545815,1,0.0317,0,0.0000,1,0.0317,0,0.0000,3,0.0951,1,0.0317
912,0,2869,1017.3759,17.2126,54.567916,49.65417844824822,6.96853621565168,1,0.0349,0,0.0000,0,0.0000,0,0.0000,2,0.0697,0,0.0000
13,616,2727,967.0213,19.4188,60.147499,49.655309426428666,6.963166960499784,0,0.0000,0,0.0000,7,0.2567,0,0.0000,2,0.0733,1,0.0367
25,598,2695,955.6738,17.6913,56.588753,49.6548079631268,6.9658633614208725,0,0.0000,0,0.0000,5,0.1855,0,0.0000,0,0.0000,1,0.0371
453,0,2675,948.5816,17.3166,54.641787,49.654084563486194,6.969425285205562,0,0.0000,2,0.0748,9,0.3364,0,0.0000,0,0.0000,0,0.0000
906,0,2388,846.8085,15.3446,49.438857,49.65398847737355,6.96933724956382,1,0.0419,0,0.0000,0,0.0000,2,0.0838,0,0.0000,1,0.0419
909,0,2321,823.0496,15.2852,49.343701,49.653818594756835,6.97006139370886,0,0.0000,1,0.0431,0,0.0000,0,0.0000,0,0.0000,1,0.0431
557,0,2266,803.5461,18.8557,58.191646,49.65405032774764,6.970183057337031,1,0.0441,0,0.0000,7,0.3089,0,0.0000,0,0.0000,1,0.0441
179,646,2260,801.4184,17.6288,56.14469,49.65389185176128,6.968618831421192,2,0.0885,0,0.0000,6,0.2655,1,0.0442,0,0.0000,0,0.0000
574,0,2094,742.5532,16.8949,54.116495,49.654025663333094,6.966596006409029,0,0.0000,2,0.0955,7,0.3343,0,0.0000,0,0.0000,0,0.0000
261,1367,2080,737.5887,15.5808,50.144202,49.653863772822,6.969035267284502,2,0.0962,1,0.0481,1,0.0481,0,0.0000,0,0.0000,0,0.0000
396,1658,2061,730.8511,16.9617,54.562499,49.65365111029301,6.971908559356665,0,0.0000,0,0.0000,2,0.0970,0,0.0000,0,0.0000,0,0.0000
919,0,1967,697.5177,17.1393,54.808719,49.65360681074496,6.970563268862433,2,0.1017,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0508
431,0,1900,673.7589,15.7821,51.201179,49.654337347807456,6.968264782724494,1,0.0526,0,0.0000,6,0.3158,0,0.0000,0,0.0000,0,0.0000
506,0,1894,671.6312,15.9403,51.896072,49.654338662723454,6.965619078951602,0,0.0000,1,0.0528,5,0.2640,1,0.0528,0,0.0000,0,0.0000
32,776,1825,647.1631,17.5003,54.951699,49.652859884617335,6.961701359907221,0,0.0000,0,0.0000,0,0.0000,1,0.0548,0,0.0000,1,0.0548
216,1265,1816,643.9716,15.7203,50.851751,49.65483500763599,6.965622433616258,3,0.1652,1,0.0551,4,0.2203,0,0.0000,2,0.1101,1,0.0551
167,0,1814,643.2624,18.9669,59.638572,49.653782282783794,6.973340410390614,0,0.0000,0,0.0000,2,0.1103,0,0.0000,0,0.0000,0,0.0000
747,0,1799,637.9433,17.8977,56.347338,49.65394834511853,6.968748958005739,1,0.0556,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
316,0,1796,636.8794,17.2745,55.362567,49.654175653493326,6.967015377200429,0,0.0000,0,0.0000,2,0.1114,0,0.0000,0,0.0000,0,0.0000
613,2231,1783,632.2695,15.5777,49.544481,49.65417277996815,6.968233123052645,1,0.0561,1,0.0561,3,0.1683,0,0.0000,0,0.0000,0,0.0000
434,791,1735,615.2482,17.3994,54.83332,49.654005974753794,6.965644290955483,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
676,2629,1731,613.8298,15.6291,49.90033,49.65380432524061,6.969102785163673,0,0.0000,1,0.0578,1,0.0578,0,0.0000,0,0.0000,0,0.0000
592,2330,1713,607.4468,17.4156,55.385645,49.6535659256764,6.968570603476057,0,0.0000,0,0.0000,2,0.1168,0,0.0000,1,0.0584,1,0.0584
171,0,1702,603.5461,18.5552,58.049389,49.65424198907898,6.966478902657724,1,0.0588,0,0.0000,0,0.0000,0,0.0000,2,0.1175,1,0.0588
527,0,1691,599.6454,17.3046,53.881195,49.65365992435839,6.969297676056683,1,0.0591,0,0.0000,4,0.2365,3,0.1774,2,0.1183,0,0.0000
761,0,1682,596.4539,15.5143,50.158425,49.653956951289814,6.970122642225236,0,0.0000,0,0.0000,0,0.0000,1,0.0595,0,0.0000,2,0.1189
220,1277,1672,592.9078,15.5520,50.006651,49.653837466981635,6.968776784139525,0,0.0000,0,0.0000,4,0.2392,0,0.0000,1,0.0598,0,0.0000
163,0,1658,587.9433,17.9789,56.080911,49.65374574742051,6.968610262114003,1,0.0603,0,0.0000,4,0.2413,0,0.0000,0,0.0000,0,0.0000
421,94,1637,580.4965,15.5608,49.692395,49.653814304913254,6.969394213900556,2,0.1222,0,0.0000,0,0.0000,0,0.0000,1,0.0611,0,0.0000
274,628,1629,577.6596,15.5513,50.109939,49.653745197736335,6.96828515206468,0,0.0000,0,0.0000,0,0.0000,1,0.0614,0,0.0000,0,0.0000
265,0,1589,563.4752,17.5456,55.538848,49.65389700868038,6.968741682477922,1,0.0629,0,0.0000,1,0.0629,0,0.0000,0,0.0000,0,0.0000
133,0,1576,558.8652,15.7951,51.452418,49.653730547585795,6.967082986776921,0,0.0000,0,0.0000,3,0.1904,3,0.1904,1,0.0635,4,0.2538
84,0,1547,548.5816,17.9244,56.894422,49.652354129628094,6.973290684760722,2,0.1293,0,0.0000,1,0.0646,0,0.0000,1,0.0646,0,0.0000
52,63,1489,528.0142,15.8858,50.49323,49.6544860688822,6.967703678904284,1,0.0672,0,0.0000,3,0.2015,0,0.0000,1,0.0672,0,0.0000
513,0,1485,526.5957,15.4727,49.788068,49.65486153637821,6.963607820430244,1,0.0673,1,0.0673,2,0.1347,2,0.1347,0,0.0000,0,0.0000
38,57,1484,526.2411,15.3632,49.477372,49.65462629473115,6.9660842658146445,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
50,59,1470,521.2766,15.3469,50.585041,49.654484329137496,6.967599942853169,0,0.0000,1,0.0680,4,0.2721,0,0.0000,0,0.0000,0,0.0000
313,0,1405,498.2270,19.7181,60.01573,49.654553683749675,6.968114672866614,0,0.0000,0,0.0000,4,0.2847,0,0.0000,0,0.0000,0,0.0000
93,0,1380,489.3617,17.2210,55.693957,49.65393880101685,6.968600658222769,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
618,2345,1374,487.2340,15.1470,49.670131,49.65414968351154,6.967703642858556,2,0.1456,0,0.0000,17,1.2373,0,0.0000,0,0.0000,2,0.1456
519,0,1264,448.2270,18.2840,56.914478,49.65442504238322,6.9661444628426725,0,0.0000,0,0.0000,1,0.0791,1,0.0791,1,0.0791,0,0.0000
307,0,1264,448.2270,19.0696,60.068513,49.65395585185832,6.969000259026267,1,0.0791,0,0.0000,0,0.0000,0,0.0000,1,0.0791,0,0.0000
29,776,1245,441.4894,17.2932,54.782715,49.65469759994107,6.966764990708407,2,0.1606,0,0.0000,2,0.1606,0,0.0000,2,0.1606,0,0.0000
353,908,1212,429.7872,15.3531,49.869868,49.654463770656136,6.96827257288922,0,0.0000,0,0.0000,3,0.2475,0,0.0000,0,0.0000,0,0.0000
707,0,1208,428.3688,16.9801,54.543717,49.653818000336656,6.964910283260394,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
