pokemon_id,form,count_poke,percentage,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
453,0,10800,3517.9153,19.1226,59.953689,40.60112345197188,-8.662923793721934,6,0.0556,2,0.0185,16,0.1481,0,0.0000,1,0.0093,0,0.0000
427,0,10450,3403.9088,15.9566,51.172395,40.600851480073224,-8.662664418260096,3,0.0287,3,0.0287,20,0.1914,2,0.0191,5,0.0478,1,0.0096
915,0,10211,3326.0586,16.8612,53.68958,40.601345388553476,-8.662906873673306,2,0.0196,2,0.0196,10,0.0979,2,0.0196,1,0.0098,0,0.0000
194,1226,9814,3196.7427,16.3566,52.297186,40.60186306420724,-8.662729405987537,2,0.0204,5,0.0509,18,0.1834,3,0.0306,2,0.0204,0,0.0000
731,0,8920,2905.5375,18.0205,57.082231,40.5998864602204,-8.661346368045306,5,0.0561,1,0.0112,0,0.0000,3,0.0336,2,0.0224,1,0.0112
37,55,7772,2531.5961,16.4133,52.853535,40.60200957194855,-8.661980639271214,2,0.0257,2,0.0257,18,0.2316,4,0.0515,5,0.0643,2,0.0257
109,703,7429,2419.8697,19.0237,59.267164,40.60160010257894,-8.663244650438918,5,0.0673,0,0.0000,14,0.1885,0,0.0000,0,0.0000,8,0.1077
16,0,7239,2357.9805,18.0826,56.973477,40.599279597956155,-8.661781820418305,2,0.0276,0,0.0000,20,0.2763,1,0.0138,3,0.0414,2,0.0276
513,0,7011,2283.7134,17.0804,53.510538,40.601212875937605,-8.662719729123067,3,0.0428,5,0.0713,9,0.1284,0,0.0000,0,0.0000,1,0.0143
684,0,6876,2239.7394,18.4930,57.914782,40.60092948093643,-8.663066941341901,5,0.0727,1,0.0145,16,0.2327,1,0.0145,0,0.0000,5,0.0727
919,0,6718,2188.2736,15.5511,49.943451,40.60008518258054,-8.661744445533474,1,0.0149,4,0.0595,0,0.0000,3,0.0447,2,0.0298,1,0.0149
206,0,6278,2044.9511,15.5371,49.679295,40.59979224717209,-8.663311054225842,0,0.0000,1,0.0159,17,0.2708,1,0.0159,1,0.0159,0,0.0000
736,0,6137,1999.0228,15.1937,50.039269,40.60091193818585,-8.662366704739114,4,0.0652,2,0.0326,16,0.2607,4,0.0652,1,0.0163,2,0.0326
237,0,6046,1969.3811,18.4231,57.731454,40.60147299994294,-8.662653576212822,3,0.0496,1,0.0165,12,0.1985,0,0.0000,1,0.0165,3,0.0496
163,0,5988,1950.4886,17.9065,56.403165,40.59918404846481,-8.661373518339168,2,0.0334,1,0.0167,12,0.2004,0,0.0000,0,0.0000,0,0.0000
506,0,5786,1884.6906,16.4298,52.329046,40.600978807682864,-8.66281261144986,2,0.0346,1,0.0173,18,0.3111,2,0.0346,0,0.0000,2,0.0346
273,625,5430,1768.7296,16.8924,53.566221,40.601649919789786,-8.663568512784733,3,0.0552,0,0.0000,16,0.2947,1,0.0184,0,0.0000,0,0.0000
167,0,5241,1707.1661,18.3196,57.317779,40.59779110419946,-8.661353930736274,4,0.0763,1,0.0191,11,0.2099,1,0.0191,1,0.0191,0,0.0000
285,0,5063,1649.1857,16.3883,52.178918,40.600622329377316,-8.662696308549515,1,0.0198,1,0.0198,11,0.2173,7,0.1383,0,0.0000,1,0.0198
921,0,4695,1529.3160,15.5335,49.989342,40.60092442659279,-8.66256248233156,1,0.0213,0,0.0000,0,0.0000,4,0.0852,4,0.0852,0,0.0000
155,1127,4693,1528.6645,16.2930,52.284469,40.6021012011763,-8.662766671187942,1,0.0213,2,0.0426,12,0.2557,2,0.0426,1,0.0213,1,0.0213
27,51,4517,1471.3355,16.8430,53.63594,40.60076314444198,-8.662145923139239,0,0.0000,1,0.0221,10,0.2214,3,0.0664,0,0.0000,0,0.0000
170,0,4463,1453.7459,15.5306,50.244188,40.60203214820104,-8.66293996266477,3,0.0672,2,0.0448,10,0.2241,1,0.0224,1,0.0224,3,0.0672
41,157,4350,1416.9381,18.9129,58.989087,40.60168833750238,-8.66206385902475,0,0.0000,1,0.0230,9,0.2069,0,0.0000,0,0.0000,0,0.0000
152,1118,4339,1413.3550,16.5593,52.318726,40.600621773052964,-8.663770769027483,0,0.0000,0,0.0000,5,0.1152,1,0.0230,1,0.0230,2,0.0461
263,946,4319,1406.8404,16.2237,51.598912,40.60071370823714,-8.663288991071802,2,0.0463,2,0.0463,70,1.6207,0,0.0000,1,0.0232,1,0.0232
158,1136,4263,1388.5993,15.4042,49.919977,40.60099356792006,-8.662566365606885,1,0.0235,0,0.0000,8,0.1877,1,0.0235,2,0.0469,0,0.0000
396,1658,4233,1378.8274,17.4070,55.152937,40.59902730736953,-8.662213080688222,3,0.0709,2,0.0472,4,0.0945,0,0.0000,3,0.0709,1,0.0236
585,587,4156,1353.7459,17.1672,53.94128,40.601400688886784,-8.66290804251169,2,0.0481,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0481
747,0,3861,1257.6547,19.4110,60.02876,40.60157890829995,-8.662568111779528,2,0.0518,0,0.0000,0,0.0000,0,0.0000,1,0.0259,0,0.0000
431,0,3787,1233.5505,16.9105,53.481785,40.60034539855138,-8.66309304472654,1,0.0264,0,0.0000,4,0.1056,0,0.0000,2,0.0528,0,0.0000
333,0,3751,1221.8241,18.6785,58.988123,40.60070699560864,-8.662646052424458,2,0.0533,0,0.0000,9,0.2399,0,0.0000,0,0.0000,0,0.0000
17,0,3738,1217.5896,18.2156,57.396774,40.59683353967091,-8.660035522358175,1,0.0268,2,0.0535,0,0.0000,1,0.0268,1,0.0268,1,0.0268
434,791,3450,1123.7785,18.3194,57.666936,40.60080820986073,-8.662882788834509,0,0.0000,1,0.0290,0,0.0000,0,0.0000,0,0.0000,0,0.0000
35,0,3435,1118.8925,18.4102,57.830131,40.600621230852525,-8.661924107908066,3,0.0873,0,0.0000,8,0.2329,0,0.0000,0,0.0000,0,0.0000
590,0,3435,1118.8925,19.0737,59.640399,40.600989456768694,-8.663359397781404,0,0.0000,0,0.0000,4,0.1164,0,0.0000,0,0.0000,0,0.0000
309,1484,3427,1116.2866,15.5191,49.757861,40.5992679260323,-8.66296102678831,1,0.0292,0,0.0000,4,0.1167,2,0.0584,0,0.0000,0,0.0000
702,0,3354,1092.5081,18.3649,57.577624,40.60368101851743,-8.663464499446063,0,0.0000,1,0.0298,8,0.2385,0,0.0000,0,0.0000,0,0.0000
261,1367,3353,1092.1824,15.6284,50.250239,40.60142592091112,-8.66278569679672,0,0.0000,1,0.0298,9,0.2684,0,0.0000,0,0.0000,0,0.0000
216,1265,3248,1057.9805,16.8094,53.492774,40.60053124265775,-8.662634135937179,1,0.0308,1,0.0308,5,0.1539,1,0.0308,0,0.0000,0,0.0000
287,0,3210,1045.6026,16.8558,53.876112,40.60129973867748,-8.663808219922469,2,0.0623,1,0.0312,8,0.2492,0,0.0000,1,0.0312,0,0.0000
519,0,3147,1025.0814,17.9800,56.612622,40.60098808277902,-8.663138888438773,1,0.0318,0,0.0000,7,0.2224,1,0.0318,1,0.0318,1,0.0318
906,0,3145,1024.4300,16.5866,52.756738,40.60139348999239,-8.662879663064206,2,0.0636,0,0.0000,0,0.0000,0,0.0000,1,0.0318,0,0.0000
909,0,3059,996.4169,16.3426,52.994015,40.60112576467008,-8.662454400472742,1,0.0327,1,0.0327,0,0.0000,0,0.0000,0,0.0000,0,0.0000
